Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,BIDI.CA,1.14,1.15,1.12,1.14,111000
2026-01-05,BIDI.CA,1.15,1.15,1.12,1.14,52160
2026-01-06,BIDI.CA,1.14,1.19,1.14,1.19,440070
2026-01-08,BIDI.CA,1.21,1.24,1.21,1.24,167900
2026-01-11,BIDI.CA,1.27,1.28,1.20,1.24,85490
2026-01-12,BIDI.CA,1.26,1.27,1.21,1.24,123160
2026-01-13,BIDI.CA,1.21,1.21,1.18,1.24,67310
2026-01-14,BIDI.CA,1.18,1.21,1.18,1.24,9030
2026-01-15,BIDI.CA,1.20,1.20,1.18,1.24,47000
2026-01-18,BIDI.CA,1.24,1.30,1.18,1.19,134800
2026-01-19,BIDI.CA,1.22,1.22,1.14,1.19,66050
2026-01-20,BIDI.CA,1.20,1.20,1.16,1.19,25610
2026-01-21,BIDI.CA,1.19,1.19,1.14,1.15,184170
2026-01-22,BIDI.CA,1.17,1.17,1.12,1.15,30320
2026-01-25,BIDI.CA,1.16,1.17,1.12,1.15,90210
2026-01-26,BIDI.CA,1.17,1.17,1.12,1.15,67940
2026-01-27,BIDI.CA,1.16,1.16,1.12,1.15,47340
2026-01-28,BIDI.CA,1.13,1.15,1.12,1.15,29850
2026-02-01,BIDI.CA,1.14,1.15,1.10,1.15,104990
2026-02-02,BIDI.CA,1.14,1.15,1.11,1.15,43200
2026-02-03,BIDI.CA,1.12,1.14,1.12,1.15,30780
2026-02-04,BIDI.CA,1.14,1.16,1.12,1.15,108180
2026-02-05,BIDI.CA,1.16,1.16,1.12,1.15,11520
2026-02-08,BIDI.CA,1.12,1.17,1.11,1.15,100490
2026-02-09,BIDI.CA,1.15,1.18,1.11,1.15,115910
2026-02-10,BIDI.CA,1.13,1.16,1.12,1.15,25410
2026-02-11,BIDI.CA,1.15,1.15,1.11,1.15,101260
2026-02-12,BIDI.CA,1.15,1.15,1.12,1.15,29620
2026-02-15,BIDI.CA,1.15,1.15,1.12,1.15,40780
2026-02-16,BIDI.CA,1.15,1.17,1.13,1.15,50180
