Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,BIGP.CA,0.202,0.211,0.199,0.208,13210000
2024-01-03,BIGP.CA,0.210,0.211,0.198,0.200,12750000
2024-01-04,BIGP.CA,0.200,0.203,0.190,0.197,7400000
2024-01-08,BIGP.CA,0.198,0.198,0.195,0.195,2910000
2024-01-09,BIGP.CA,0.196,0.197,0.190,0.193,8780000
2024-01-10,BIGP.CA,0.194,0.194,0.190,0.191,5810000
2024-01-11,BIGP.CA,0.192,0.194,0.189,0.192,8530000
2024-01-14,BIGP.CA,0.191,0.194,0.191,0.191,4350000
2024-01-15,BIGP.CA,0.193,0.194,0.190,0.190,5820000
2024-01-16,BIGP.CA,0.192,0.197,0.190,0.196,10660000
2024-01-17,BIGP.CA,0.194,0.198,0.191,0.198,15270000
2024-01-18,BIGP.CA,0.198,0.205,0.194,0.203,36550000
2024-01-21,BIGP.CA,0.205,0.213,0.202,0.209,22910000
2024-01-22,BIGP.CA,0.210,0.210,0.199,0.201,14690000
2024-01-23,BIGP.CA,0.204,0.204,0.194,0.195,9980000
2024-01-24,BIGP.CA,0.196,0.196,0.183,0.187,47210000
2024-01-28,BIGP.CA,0.190,0.190,0.182,0.189,24810000
2024-01-29,BIGP.CA,0.189,0.190,0.182,0.184,18400000
2024-01-30,BIGP.CA,0.184,0.184,0.180,0.182,11090000
2024-01-31,BIGP.CA,0.184,0.187,0.167,0.168,12640000
2024-02-01,BIGP.CA,0.168,0.176,0.152,0.172,11530000
2024-02-04,BIGP.CA,0.172,0.176,0.165,0.169,6450000
2024-02-05,BIGP.CA,0.169,0.175,0.168,0.173,5240000
2024-02-06,BIGP.CA,0.173,0.176,0.166,0.168,7590000
2024-02-07,BIGP.CA,0.168,0.172,0.163,0.165,6250000
2024-02-08,BIGP.CA,0.165,0.167,0.163,0.166,5230000
2024-02-11,BIGP.CA,0.166,0.168,0.163,0.164,5040000
2024-02-12,BIGP.CA,0.164,0.165,0.160,0.160,4840000
2024-02-13,BIGP.CA,0.160,0.164,0.161,0.163,2800000
2024-02-14,BIGP.CA,0.163,0.166,0.160,0.160,8510000
2024-02-15,BIGP.CA,0.160,0.165,0.161,0.162,4620000
2024-02-18,BIGP.CA,0.162,0.165,0.163,0.164,6390000
2024-02-19,BIGP.CA,0.164,0.169,0.164,0.166,8580000
2024-02-20,BIGP.CA,0.166,0.169,0.166,0.168,8650000
2024-02-21,BIGP.CA,0.168,0.169,0.166,0.168,7410000
2024-02-22,BIGP.CA,0.168,0.169,0.166,0.167,4320000
2024-02-25,BIGP.CA,0.167,0.165,0.157,0.158,8140000
2024-02-26,BIGP.CA,0.158,0.158,0.145,0.156,5140000
2024-02-27,BIGP.CA,0.156,0.158,0.152,0.155,3350000
2024-02-28,BIGP.CA,0.155,0.155,0.148,0.149,3930000
2024-02-29,BIGP.CA,0.149,0.152,0.144,0.150,4770000
2024-03-03,BIGP.CA,0.150,0.157,0.145,0.151,2750000
2024-03-04,BIGP.CA,0.151,0.152,0.146,0.149,5190000
2024-03-05,BIGP.CA,0.149,0.152,0.147,0.149,1850000
2024-03-06,BIGP.CA,0.149,0.150,0.144,0.145,3590000
2024-03-07,BIGP.CA,0.145,0.149,0.140,0.142,2970000
2024-03-10,BIGP.CA,0.142,0.144,0.140,0.142,1630000
2024-03-11,BIGP.CA,0.142,0.147,0.140,0.141,2900000
2024-03-12,BIGP.CA,0.141,0.144,0.136,0.139,2450000
2024-03-13,BIGP.CA,0.139,0.139,0.131,0.133,1810000
2024-03-14,BIGP.CA,0.133,0.138,0.131,0.134,3810000
2024-03-17,BIGP.CA,0.134,0.135,0.132,0.133,1800000
2024-03-18,BIGP.CA,0.133,0.134,0.126,0.127,3980000
2024-03-19,BIGP.CA,0.127,0.129,0.122,0.123,3120000
2024-03-20,BIGP.CA,0.123,0.124,0.118,0.121,1360000
2024-03-21,BIGP.CA,0.121,0.127,0.121,0.126,3670000
2024-03-24,BIGP.CA,0.126,0.131,0.125,0.126,743040
2024-03-25,BIGP.CA,0.126,0.129,0.115,0.122,1430000
2024-03-26,BIGP.CA,0.122,0.127,0.123,0.125,1570000
2024-03-27,BIGP.CA,0.125,0.127,0.121,0.124,1330000
2024-03-28,BIGP.CA,0.124,0.126,0.119,0.124,1100000
2024-03-31,BIGP.CA,0.124,0.125,0.117,0.121,1880000
2024-04-01,BIGP.CA,0.121,0.124,0.112,0.121,1030000
2024-04-02,BIGP.CA,0.121,0.126,0.122,0.125,1610000
2024-04-03,BIGP.CA,0.125,0.125,0.119,0.120,2930000
2024-04-04,BIGP.CA,0.120,0.124,0.119,0.121,1680000
2024-04-07,BIGP.CA,0.121,0.125,0.122,0.121,625900
2024-04-08,BIGP.CA,0.121,0.124,0.120,0.121,717410
2024-04-15,BIGP.CA,0.121,0.124,0.121,0.123,1840000
2024-04-16,BIGP.CA,0.123,0.125,0.122,0.123,2350000
2024-04-17,BIGP.CA,0.123,0.135,0.124,0.135,8420000
2024-04-18,BIGP.CA,0.135,0.148,0.140,0.148,19180000
2024-04-21,BIGP.CA,0.148,0.162,0.149,0.155,11930000
2024-04-22,BIGP.CA,0.155,0.159,0.140,0.140,10740000
2024-04-23,BIGP.CA,0.140,0.150,0.132,0.149,7860000
2024-04-24,BIGP.CA,0.149,0.148,0.137,0.139,3690000
2024-04-28,BIGP.CA,0.139,0.141,0.126,0.128,4880000
2024-04-29,BIGP.CA,0.126,0.132,0.120,0.126,3560000
2024-04-30,BIGP.CA,0.125,0.138,0.125,0.131,4080000
2024-05-01,BIGP.CA,0.131,0.131,0.127,0.130,2140000
2024-05-02,BIGP.CA,0.133,0.133,0.125,0.129,2730000
2024-05-07,BIGP.CA,0.129,0.132,0.126,0.127,2290000
2024-05-08,BIGP.CA,0.129,0.129,0.124,0.127,2180000
2024-05-09,BIGP.CA,0.127,0.127,0.123,0.127,717360
2024-05-12,BIGP.CA,0.127,0.127,0.124,0.125,2390000
2024-05-13,BIGP.CA,0.124,0.126,0.113,0.118,2730000
2024-05-14,BIGP.CA,0.120,0.122,0.118,0.118,433680
2024-05-15,BIGP.CA,0.121,0.121,0.118,0.118,1230000
2024-05-16,BIGP.CA,0.120,0.124,0.118,0.122,1680000
2024-05-19,BIGP.CA,0.124,0.126,0.119,0.126,4200000
2024-05-20,BIGP.CA,0.126,0.127,0.124,0.126,1250000
2024-05-21,BIGP.CA,0.125,0.126,0.121,0.126,869530
2024-05-22,BIGP.CA,0.121,0.125,0.121,0.126,355060
2024-05-23,BIGP.CA,0.122,0.124,0.121,0.122,1490000
2024-05-26,BIGP.CA,0.122,0.124,0.121,0.122,941180
2024-05-27,BIGP.CA,0.123,0.125,0.123,0.124,1880000
2024-05-28,BIGP.CA,0.125,0.127,0.123,0.126,1960000
2024-05-29,BIGP.CA,0.126,0.128,0.125,0.127,1840000
2024-05-30,BIGP.CA,0.127,0.127,0.124,0.125,2300000
2024-06-02,BIGP.CA,0.125,0.126,0.122,0.123,1350000
2024-06-03,BIGP.CA,0.123,0.126,0.116,0.120,5800000
2024-06-04,BIGP.CA,0.117,0.122,0.117,0.120,494350
2024-06-05,BIGP.CA,0.119,0.121,0.117,0.120,1300000
2024-06-06,BIGP.CA,0.116,0.120,0.116,0.118,1560000
2024-06-09,BIGP.CA,0.118,0.119,0.116,0.117,1390000
2024-06-10,BIGP.CA,0.118,0.119,0.115,0.117,548480
2024-06-11,BIGP.CA,0.117,0.121,0.116,0.117,980500
2024-06-12,BIGP.CA,0.117,0.121,0.116,0.117,1180000
2024-06-13,BIGP.CA,0.121,0.125,0.120,0.121,1260000
2024-06-23,BIGP.CA,0.123,0.125,0.120,0.121,1120000
2024-06-24,BIGP.CA,0.123,0.125,0.120,0.121,1200000
2024-06-25,BIGP.CA,0.122,0.123,0.118,0.121,1010000
2024-06-26,BIGP.CA,0.123,0.123,0.120,0.121,1120000
2024-06-27,BIGP.CA,0.121,0.124,0.120,0.121,1060000
2024-07-01,BIGP.CA,0.122,0.125,0.122,0.121,985440
2024-07-02,BIGP.CA,0.125,0.125,0.121,0.121,609850
2024-07-03,BIGP.CA,0.122,0.123,0.119,0.121,762490
2024-07-04,BIGP.CA,0.123,0.124,0.120,0.122,1230000
2024-07-07,BIGP.CA,0.122,0.124,0.121,0.122,1040000
2024-07-08,BIGP.CA,0.123,0.123,0.121,0.122,924210
2024-07-09,BIGP.CA,0.122,0.124,0.121,0.122,2160000
2024-07-10,BIGP.CA,0.123,0.124,0.120,0.120,2640000
2024-07-14,BIGP.CA,0.120,0.123,0.120,0.121,1900000
2024-07-15,BIGP.CA,0.120,0.124,0.120,0.123,2300000
2024-07-16,BIGP.CA,0.123,0.123,0.121,0.122,1390000
2024-07-17,BIGP.CA,0.123,0.123,0.119,0.120,2570000
2024-07-18,BIGP.CA,0.122,0.123,0.121,0.122,1470000
2024-07-21,BIGP.CA,0.122,0.122,0.120,0.121,1700000
2024-07-22,BIGP.CA,0.121,0.130,0.121,0.129,4230000
2024-07-23,BIGP.CA,0.128,0.131,0.127,0.128,1890000
2024-07-24,BIGP.CA,0.127,0.129,0.125,0.127,1750000
2024-07-28,BIGP.CA,0.126,0.131,0.125,0.130,2030000
