Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,BINV.CA,19.10,21.60,19.06,20.82,3090000
2024-01-03,BINV.CA,20.98,21.30,20.47,20.79,1690000
2024-01-04,BINV.CA,20.99,21.70,20.31,21.65,2240000
2024-01-08,BINV.CA,21.70,22.33,21.70,21.93,2240000
2024-01-09,BINV.CA,22.20,22.55,21.96,22.17,1800000
2024-01-10,BINV.CA,22.40,22.56,20.50,22.45,2310000
2024-01-11,BINV.CA,22.50,23.44,21.90,23.30,2500000
2024-01-14,BINV.CA,23.30,23.43,22.85,22.89,913400
2024-01-15,BINV.CA,23.05,23.20,22.33,22.53,1510000
2024-01-16,BINV.CA,22.54,24.00,22.33,24.00,4190000
2024-01-17,BINV.CA,24.10,24.50,23.61,24.00,2180000
2024-01-18,BINV.CA,24.00,25.25,23.81,25.00,2980000
2024-01-21,BINV.CA,25.10,27.31,25.01,27.00,3370000
2024-01-22,BINV.CA,27.10,27.60,25.90,26.01,2020000
2024-01-23,BINV.CA,26.48,26.50,25.01,25.04,564560
2024-01-24,BINV.CA,25.18,26.00,24.07,25.09,885360
2024-01-28,BINV.CA,25.67,25.98,24.82,25.50,1360000
2024-01-29,BINV.CA,25.79,27.60,25.04,27.45,2340000
2024-01-30,BINV.CA,27.54,28.50,27.00,27.50,1640000
2024-01-31,BINV.CA,27.88,27.95,23.01,24.08,1050000
2024-02-01,BINV.CA,24.08,26.50,20.11,26.50,1630000
2024-02-04,BINV.CA,26.50,26.54,25.12,25.45,449970
2024-02-05,BINV.CA,25.45,26.30,24.91,26.01,633610
2024-02-06,BINV.CA,26.01,26.60,25.00,25.04,414380
2024-02-07,BINV.CA,25.04,25.95,25.10,25.31,173930
2024-02-08,BINV.CA,25.31,25.79,25.10,25.37,268090
2024-02-11,BINV.CA,25.37,25.69,25.00,25.28,405300
2024-02-12,BINV.CA,25.28,26.00,24.05,25.98,438070
2024-02-13,BINV.CA,25.98,26.10,25.47,25.74,333790
2024-02-14,BINV.CA,25.74,26.50,25.58,26.29,292410
2024-02-15,BINV.CA,26.29,26.88,25.08,26.01,443830
2024-02-18,BINV.CA,26.01,28.00,26.04,27.60,1080000
2024-02-19,BINV.CA,27.60,28.00,27.08,27.67,341490
2024-02-20,BINV.CA,27.67,27.93,27.25,27.46,108120
2024-02-21,BINV.CA,27.46,27.68,26.70,27.24,225580
2024-02-22,BINV.CA,27.24,27.59,27.01,27.07,148130
2024-02-25,BINV.CA,27.07,26.40,24.70,24.82,517920
2024-02-26,BINV.CA,24.82,25.50,24.50,25.17,211180
2024-02-27,BINV.CA,25.17,27.50,25.00,25.88,261630
2024-02-28,BINV.CA,25.88,26.10,24.73,24.77,326130
2024-02-29,BINV.CA,24.77,25.10,23.20,23.50,528260
2024-03-03,BINV.CA,23.50,23.90,22.00,22.16,633060
2024-03-04,BINV.CA,22.16,23.56,22.18,23.14,311170
2024-03-05,BINV.CA,23.14,23.50,22.73,22.90,164770
2024-03-06,BINV.CA,22.90,23.49,22.51,22.54,313250
2024-03-07,BINV.CA,22.54,22.93,22.22,22.40,127460
2024-03-10,BINV.CA,22.40,22.99,22.40,22.54,149920
2024-03-11,BINV.CA,22.54,22.98,22.01,22.16,155620
2024-03-12,BINV.CA,22.16,22.49,21.50,21.57,134630
2024-03-13,BINV.CA,21.57,22.00,20.22,21.26,172370
2024-03-14,BINV.CA,21.26,21.90,20.72,21.64,64720
2024-03-17,BINV.CA,21.64,22.00,21.07,21.15,81150
2024-03-18,BINV.CA,21.15,21.69,20.02,20.21,106670
2024-03-19,BINV.CA,20.21,20.03,18.00,18.90,182560
2024-03-20,BINV.CA,18.90,19.98,19.05,19.39,116150
2024-03-21,BINV.CA,19.39,20.45,19.11,20.02,103340
2024-03-24,BINV.CA,20.02,20.85,16.57,20.22,257420
2024-03-25,BINV.CA,20.22,20.64,19.80,20.16,58530
2024-03-26,BINV.CA,20.16,21.00,20.20,20.35,199150
2024-03-27,BINV.CA,20.35,20.69,19.61,19.94,135430
2024-03-28,BINV.CA,19.94,20.00,19.10,19.75,28090
2024-03-31,BINV.CA,19.75,19.59,18.00,18.52,139170
2024-04-01,BINV.CA,18.52,19.60,18.70,19.51,106670
2024-04-02,BINV.CA,19.51,20.20,19.41,19.75,127790
2024-04-03,BINV.CA,19.75,20.00,19.15,19.56,45960
2024-04-04,BINV.CA,19.56,20.10,19.58,19.93,67500
2024-04-07,BINV.CA,19.93,20.86,20.02,20.11,66500
2024-04-08,BINV.CA,20.11,20.67,20.00,20.41,66680
2024-04-15,BINV.CA,20.41,21.50,20.35,21.35,248360
2024-04-16,BINV.CA,21.35,22.19,21.53,22.00,322850
2024-04-17,BINV.CA,22.00,22.80,21.01,21.73,182930
2024-04-18,BINV.CA,21.73,22.30,19.90,20.97,332740
2024-04-21,BINV.CA,20.97,21.00,19.70,20.65,103840
2024-04-22,BINV.CA,20.65,20.99,20.23,20.30,100550
2024-04-23,BINV.CA,20.30,20.63,18.70,19.11,152640
2024-04-24,BINV.CA,19.11,19.11,17.16,18.26,143000
2024-04-28,BINV.CA,18.44,18.45,16.67,16.84,227450
2024-04-29,BINV.CA,16.84,17.67,16.26,17.44,254080
2024-04-30,BINV.CA,17.80,17.99,16.27,16.52,109700
2024-05-01,BINV.CA,16.52,17.18,15.51,17.00,140370
2024-05-02,BINV.CA,17.00,17.50,16.32,17.28,104230
2024-05-07,BINV.CA,17.39,17.40,16.85,17.17,153740
2024-05-08,BINV.CA,17.34,17.48,17.00,17.08,42720
2024-05-09,BINV.CA,17.00,17.50,17.00,17.48,83340
2024-05-12,BINV.CA,17.49,17.90,16.55,16.84,159260
2024-05-13,BINV.CA,16.85,16.89,16.15,16.25,91620
2024-05-14,BINV.CA,16.69,16.69,16.00,16.07,127850
2024-05-15,BINV.CA,16.10,16.25,15.60,15.94,413650
2024-05-16,BINV.CA,16.12,16.31,15.74,16.28,146380
2024-05-19,BINV.CA,16.99,17.70,16.51,17.18,315200
2024-05-20,BINV.CA,17.22,18.98,17.20,17.74,787960
2024-05-21,BINV.CA,17.90,18.08,17.65,17.73,271210
2024-05-22,BINV.CA,17.73,17.85,17.25,17.30,168000
2024-05-23,BINV.CA,17.30,17.77,17.05,17.17,157860
2024-05-26,BINV.CA,17.18,18.76,17.18,18.69,393800
2024-05-27,BINV.CA,18.69,18.99,18.05,18.80,295030
2024-05-28,BINV.CA,18.63,20.56,17.75,20.50,1110000
2024-05-29,BINV.CA,21.00,24.00,21.00,22.51,1070000
2024-05-30,BINV.CA,22.50,23.90,21.75,23.80,2140000
2024-06-02,BINV.CA,23.79,23.97,22.22,22.38,224130
2024-06-03,BINV.CA,22.50,22.50,21.02,21.25,215250
2024-06-04,BINV.CA,21.30,22.36,21.25,21.91,222830
2024-06-05,BINV.CA,21.91,21.98,21.25,21.51,171890
