Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,BIOC.CA,64.00,64.50,61.80,62.09,53660
2026-01-05,BIOC.CA,62.75,63.19,61.00,61.54,26880
2026-01-06,BIOC.CA,62.00,62.50,61.52,62.23,26630
2026-01-08,BIOC.CA,62.39,63.70,62.00,62.37,27140
2026-01-11,BIOC.CA,62.50,63.64,62.22,62.93,33050
2026-01-12,BIOC.CA,63.00,63.20,61.04,61.75,45440
2026-01-13,BIOC.CA,61.75,62.50,61.50,61.54,26100
2026-01-14,BIOC.CA,62.34,62.34,60.00,60.08,24120
2026-01-15,BIOC.CA,60.79,60.87,57.60,58.03,60420
2026-01-18,BIOC.CA,58.51,60.38,58.00,58.43,42040
2026-01-19,BIOC.CA,59.06,60.05,58.70,59.96,25340
2026-01-20,BIOC.CA,60.00,60.50,59.31,59.62,28880
2026-01-21,BIOC.CA,60.00,60.00,58.71,59.81,44580
2026-01-22,BIOC.CA,59.52,60.50,59.50,59.72,25530
2026-01-25,BIOC.CA,60.18,60.49,58.70,59.32,21780
2026-01-26,BIOC.CA,59.01,59.75,58.00,58.22,34560
2026-01-27,BIOC.CA,58.01,62.70,58.00,62.26,108630
2026-01-28,BIOC.CA,61.90,62.80,59.21,62.30,126330
2026-02-01,BIOC.CA,62.35,66.29,61.22,65.03,254030
2026-02-02,BIOC.CA,65.10,65.95,64.00,64.53,41790
2026-02-03,BIOC.CA,64.80,65.40,63.90,65.01,95140
2026-02-04,BIOC.CA,65.02,68.80,65.02,67.49,191630
2026-02-05,BIOC.CA,67.50,68.00,65.51,66.02,65560
2026-02-08,BIOC.CA,66.98,69.96,66.15,68.43,166660
2026-02-09,BIOC.CA,69.65,69.96,68.00,68.31,31560
2026-02-10,BIOC.CA,68.00,68.89,65.01,66.36,31050
2026-02-11,BIOC.CA,67.85,68.38,66.51,67.43,14250
2026-02-12,BIOC.CA,67.05,67.40,65.60,66.17,34120
2026-02-15,BIOC.CA,66.25,66.98,65.71,66.09,49110
2026-02-16,BIOC.CA,66.51,66.88,64.50,64.53,41800
2026-02-17,BIOC.CA,64.56,65.96,64.55,65.03,39230
2026-02-18,BIOC.CA,65.22,65.67,64.72,64.84,18310
2026-02-19,BIOC.CA,64.80,65.49,63.70,64.04,34450
2026-02-22,BIOC.CA,64.50,64.94,62.05,62.38,25940
2026-02-23,BIOC.CA,62.06,63.73,62.00,63.21,14130
2026-02-24,BIOC.CA,63.50,63.73,62.75,62.90,8070
2026-02-25,BIOC.CA,62.85,63.26,60.70,60.78,35870
2026-02-26,BIOC.CA,60.99,62.00,60.78,61.03,12720
2026-03-01,BIOC.CA,56.00,61.00,55.10,59.28,32110
2026-03-02,BIOC.CA,59.01,60.50,59.01,59.29,10970
2026-03-03,BIOC.CA,59.21,60.38,59.01,59.70,23140
2026-03-04,BIOC.CA,60.01,61.00,59.10,59.40,12650
2026-03-05,BIOC.CA,61.00,61.00,59.25,60.28,15800
2026-03-08,BIOC.CA,60.50,60.99,60.00,60.85,18640
2026-03-09,BIOC.CA,60.41,60.93,60.00,60.50,12100
2026-03-10,BIOC.CA,61.00,62.39,60.51,61.79,34510
2026-03-11,BIOC.CA,61.99,63.10,61.50,62.32,12760
2026-03-12,BIOC.CA,62.19,63.10,61.00,61.89,10150
2026-03-15,BIOC.CA,61.90,62.18,61.50,61.89,4250
2026-03-16,BIOC.CA,61.80,62.10,60.11,60.97,10780
2026-03-17,BIOC.CA,60.96,62.00,60.50,60.77,6030
2026-03-18,BIOC.CA,61.30,61.30,60.62,61.28,8330
2026-03-24,BIOC.CA,61.30,62.00,60.11,60.39,21750
2026-03-25,BIOC.CA,60.40,60.90,60.06,60.15,10510
2026-03-26,BIOC.CA,60.17,60.85,60.11,60.26,7190
2026-03-29,BIOC.CA,60.50,60.50,58.82,59.11,21650
2026-03-30,BIOC.CA,59.46,60.70,58.52,59.71,18280
2026-03-31,BIOC.CA,59.17,60.60,58.50,58.64,16810
2026-04-01,BIOC.CA,58.90,59.98,58.46,59.18,10350
2026-04-02,BIOC.CA,59.98,63.00,58.71,61.26,64540
2026-04-05,BIOC.CA,61.27,62.43,60.61,61.83,22960
2026-04-06,BIOC.CA,61.83,63.70,60.00,61.01,123170
2026-04-07,BIOC.CA,61.99,64.38,61.60,62.03,89890
2026-04-08,BIOC.CA,62.96,63.38,62.11,62.50,37860
2026-04-09,BIOC.CA,62.10,68.00,62.03,64.75,401330
2026-04-12,BIOC.CA,62.50,64.75,64.75,64.75,401330
2026-04-14,BIOC.CA,65.76,66.97,65.00,65.11,129830
2026-04-15,BIOC.CA,65.95,66.45,64.11,64.26,37770
2026-04-16,BIOC.CA,64.30,64.95,63.61,63.81,42780
2026-04-19,BIOC.CA,64.56,64.97,63.81,64.07,22060
2026-04-20,BIOC.CA,64.25,67.89,64.25,66.74,325940
2026-04-21,BIOC.CA,68.15,70.00,67.01,67.09,286560
2026-04-22,BIOC.CA,67.10,68.85,66.00,66.08,56970
2026-04-23,BIOC.CA,66.11,66.94,65.02,65.38,59750
2026-04-26,BIOC.CA,65.44,69.40,65.00,68.48,255370
2026-04-27,BIOC.CA,68.98,68.98,67.25,67.98,55480
2026-04-28,BIOC.CA,68.42,68.42,66.70,67.17,37870
2026-04-29,BIOC.CA,67.20,70.10,66.48,68.04,218250
2026-04-30,BIOC.CA,68.75,68.85,67.52,68.01,48280
2026-05-03,BIOC.CA,68.10,70.50,68.10,69.40,153560
2026-05-04,BIOC.CA,69.40,71.95,68.01,70.06,170150
2026-05-05,BIOC.CA,70.00,73.40,69.00,70.73,217490
2026-05-06,BIOC.CA,70.78,72.79,70.78,71.98,56000
2026-05-10,BIOC.CA,72.06,76.87,72.06,74.51,305120
2026-05-11,BIOC.CA,74.60,75.90,72.50,74.50,73080
2026-05-12,BIOC.CA,75.26,79.00,73.61,76.22,454140
2026-05-13,BIOC.CA,76.22,79.99,76.20,78.00,253430
2026-05-14,BIOC.CA,78.00,78.00,76.00,76.52,56830
2026-05-17,BIOC.CA,79.90,79.90,74.10,75.03,102760
