Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,BTFH.CA,3.360,3.540,3.350,3.540,92560000
2024-01-03,BTFH.CA,3.600,3.810,3.570,3.640,177770000
2024-01-04,BTFH.CA,3.650,3.660,3.520,3.540,84630000
2024-01-08,BTFH.CA,3.540,3.560,3.470,3.490,50660000
2024-01-09,BTFH.CA,3.520,3.600,3.510,3.600,71060000
2024-01-10,BTFH.CA,3.630,3.640,3.570,3.580,66240000
2024-01-11,BTFH.CA,3.590,3.600,3.490,3.490,61760000
2024-01-14,BTFH.CA,3.500,3.550,3.500,3.540,37530000
2024-01-15,BTFH.CA,3.580,3.620,3.540,3.550,64520000
2024-01-16,BTFH.CA,3.560,3.760,3.540,3.760,134590000
2024-01-17,BTFH.CA,3.790,3.800,3.660,3.660,108510000
2024-01-18,BTFH.CA,3.690,3.770,3.670,3.690,101140000
2024-01-21,BTFH.CA,3.700,3.740,3.680,3.680,94350000
2024-01-22,BTFH.CA,3.710,4.000,3.680,3.930,252510000
2024-01-23,BTFH.CA,3.970,4.170,3.940,3.940,253790000
2024-01-24,BTFH.CA,3.940,4.120,3.940,3.990,200180000
2024-01-28,BTFH.CA,4.050,4.100,3.910,3.950,141630000
2024-01-29,BTFH.CA,3.970,4.000,3.830,3.830,106630000
2024-01-30,BTFH.CA,3.850,3.920,3.790,3.840,134880000
2024-01-31,BTFH.CA,3.890,3.900,3.310,3.390,173710000
2024-02-01,BTFH.CA,3.390,3.500,3.210,3.420,85470000
2024-02-04,BTFH.CA,3.420,3.440,3.340,3.410,46420000
2024-02-05,BTFH.CA,3.410,3.610,3.450,3.530,95960000
2024-02-06,BTFH.CA,3.530,3.610,3.420,3.420,103180000
2024-02-07,BTFH.CA,3.420,3.490,3.380,3.410,69330000
2024-02-08,BTFH.CA,3.410,3.520,3.400,3.460,70720000
2024-02-11,BTFH.CA,3.460,3.500,3.340,3.380,62250000
2024-02-12,BTFH.CA,3.380,3.400,3.310,3.390,42550000
2024-02-13,BTFH.CA,3.390,3.430,3.360,3.380,53670000
