Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,CCAP.CA,2.720,2.840,2.720,2.830,26200000
2024-01-03,CCAP.CA,2.840,2.990,2.830,2.950,64640000
2024-01-04,CCAP.CA,2.950,2.970,2.900,2.920,22490000
2024-01-08,CCAP.CA,2.910,2.960,2.890,2.960,23620000
2024-01-09,CCAP.CA,2.990,3.040,2.940,2.950,42310000
2024-01-10,CCAP.CA,2.960,2.970,2.900,2.910,21230000
2024-01-11,CCAP.CA,2.920,2.950,2.870,2.890,21400000
2024-01-14,CCAP.CA,2.900,2.930,2.880,2.910,21480000
2024-01-15,CCAP.CA,2.930,2.970,2.890,2.900,22800000
2024-01-16,CCAP.CA,2.900,2.950,2.900,2.940,22150000
2024-01-17,CCAP.CA,2.980,2.990,2.890,2.890,35740000
2024-01-18,CCAP.CA,2.900,2.920,2.870,2.900,17680000
2024-01-21,CCAP.CA,2.910,2.990,2.900,2.980,29660000
2024-01-22,CCAP.CA,3.030,3.140,3.010,3.050,70420000
2024-01-23,CCAP.CA,3.070,3.080,2.920,2.920,52480000
2024-01-24,CCAP.CA,2.940,2.940,2.870,2.920,56150000
2024-01-28,CCAP.CA,2.960,3.030,2.930,2.960,35060000
2024-01-29,CCAP.CA,2.970,3.030,2.910,2.920,37940000
2024-01-30,CCAP.CA,2.950,3.060,2.920,3.010,43920000
2024-01-31,CCAP.CA,3.040,3.050,2.650,2.710,51620000
2024-02-01,CCAP.CA,2.710,2.780,2.570,2.760,24500000
2024-02-04,CCAP.CA,2.760,2.760,2.670,2.720,24450000
2024-02-05,CCAP.CA,2.720,2.840,2.740,2.820,19900000
2024-02-06,CCAP.CA,2.820,2.870,2.710,2.730,20410000
2024-02-07,CCAP.CA,2.730,2.780,2.640,2.670,33140000
2024-02-08,CCAP.CA,2.670,2.740,2.650,2.730,26650000
2024-02-11,CCAP.CA,2.730,2.830,2.710,2.820,42540000
2024-02-12,CCAP.CA,2.820,2.850,2.770,2.800,32540000
2024-02-13,CCAP.CA,2.800,2.970,2.780,2.940,72340000
2024-02-14,CCAP.CA,2.940,3.430,2.980,3.380,261270000
2024-02-15,CCAP.CA,3.380,3.520,3.280,3.510,139720000
2024-02-18,CCAP.CA,3.510,3.590,3.390,3.480,80680000
2024-02-19,CCAP.CA,3.480,3.540,3.380,3.440,47280000
2024-02-20,CCAP.CA,3.440,3.660,3.450,3.520,91430000
2024-02-21,CCAP.CA,3.520,3.560,3.440,3.460,32270000
2024-02-22,CCAP.CA,3.460,3.590,3.380,3.380,31780000
2024-02-25,CCAP.CA,3.380,3.350,3.040,3.200,66610000
2024-02-26,CCAP.CA,3.200,3.390,3.170,3.250,29620000
2024-02-27,CCAP.CA,3.250,3.480,3.290,3.340,46140000
2024-02-28,CCAP.CA,3.340,3.440,3.090,3.100,26930000
2024-02-29,CCAP.CA,3.100,3.220,3.040,3.200,28700000
2024-03-03,CCAP.CA,3.200,3.250,3.120,3.130,12520000
2024-03-04,CCAP.CA,3.130,3.320,3.160,3.300,33980000
2024-03-05,CCAP.CA,3.300,3.510,3.350,3.410,75880000
2024-03-06,CCAP.CA,3.410,3.420,3.090,3.130,66870000
2024-03-07,CCAP.CA,3.130,3.180,3.010,3.110,45530000
2024-03-10,CCAP.CA,3.110,3.260,3.150,3.230,37290000
2024-03-11,CCAP.CA,3.230,3.290,3.110,3.140,26140000
2024-03-12,CCAP.CA,3.140,3.170,2.980,3.010,16520000
2024-03-13,CCAP.CA,3.010,3.040,2.830,2.880,20430000
2024-03-14,CCAP.CA,2.880,2.980,2.830,2.980,12920000
2024-03-17,CCAP.CA,2.980,3.010,2.820,2.830,22270000
2024-03-18,CCAP.CA,2.830,2.830,2.560,2.600,21390000
2024-03-19,CCAP.CA,2.600,2.650,2.450,2.530,21510000
2024-03-20,CCAP.CA,2.530,2.610,2.520,2.560,16070000
2024-03-21,CCAP.CA,2.560,2.830,2.500,2.820,25680000
2024-03-24,CCAP.CA,2.820,2.910,2.770,2.790,15130000
2024-03-25,CCAP.CA,2.790,2.850,2.780,2.810,15550000
2024-03-26,CCAP.CA,2.810,2.900,2.770,2.800,29260000
2024-03-27,CCAP.CA,2.800,2.810,2.680,2.710,12350000
2024-03-28,CCAP.CA,2.710,2.740,2.650,2.710,8540000
2024-03-31,CCAP.CA,2.710,2.730,2.510,2.620,9970000
2024-04-01,CCAP.CA,2.620,2.770,2.610,2.760,8940000
2024-04-02,CCAP.CA,2.760,2.800,2.690,2.750,12760000
2024-04-03,CCAP.CA,2.750,2.810,2.740,2.750,8920000
2024-04-04,CCAP.CA,2.750,2.830,2.760,2.760,10620000
2024-04-07,CCAP.CA,2.760,2.840,2.740,2.760,11190000
2024-04-08,CCAP.CA,2.760,2.780,2.700,2.750,11410000
2024-04-15,CCAP.CA,2.750,3.290,2.770,3.290,51970000
2024-04-16,CCAP.CA,3.290,3.380,3.140,3.310,110390000
