Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,CCRS.CA,18.47,18.55,18.00,18.18,5090
2024-01-03,CCRS.CA,18.04,18.70,18.00,18.18,6100
2024-01-04,CCRS.CA,18.50,18.66,18.00,18.18,5870
2024-01-08,CCRS.CA,18.60,18.60,17.82,18.18,3180
2024-01-09,CCRS.CA,18.29,18.39,17.76,18.18,2320
2024-01-10,CCRS.CA,18.30,18.30,17.90,18.18,8100
2024-01-11,CCRS.CA,18.00,18.30,17.80,17.99,24560
2024-01-14,CCRS.CA,18.02,18.65,18.00,17.99,9380
2024-01-15,CCRS.CA,18.01,18.25,18.01,17.99,5390
2024-01-16,CCRS.CA,18.00,18.58,17.81,17.99,9710
2024-01-17,CCRS.CA,18.59,18.59,18.00,17.99,8810
2024-01-18,CCRS.CA,17.82,18.35,17.73,17.99,2350
2024-01-21,CCRS.CA,17.90,18.20,17.82,17.99,1740
2024-01-22,CCRS.CA,18.18,18.28,17.84,17.99,13440
2024-01-23,CCRS.CA,18.00,18.49,17.90,17.99,7460
2024-01-24,CCRS.CA,18.49,18.49,17.10,17.23,30030
2024-01-28,CCRS.CA,17.21,17.90,17.21,17.33,22240
2024-01-29,CCRS.CA,17.28,17.97,17.10,17.28,23840
2024-01-30,CCRS.CA,17.01,17.49,17.00,17.28,16470
2024-01-31,CCRS.CA,17.15,17.50,16.42,16.61,30160
2024-02-01,CCRS.CA,16.61,17.00,16.00,16.61,15910
2024-02-04,CCRS.CA,16.61,17.37,16.11,16.61,14260
2024-02-05,CCRS.CA,16.61,16.80,16.27,16.61,7510
2024-02-06,CCRS.CA,16.61,17.44,16.10,16.56,21520
2024-02-07,CCRS.CA,16.56,16.70,16.20,16.56,14660
2024-02-08,CCRS.CA,16.56,17.38,16.56,17.37,25210
2024-02-11,CCRS.CA,17.37,18.23,18.20,18.23,68940
2024-02-12,CCRS.CA,18.23,19.14,19.09,19.14,52290
2024-02-13,CCRS.CA,19.14,20.09,19.14,20.09,32210
2024-02-14,CCRS.CA,20.09,21.09,20.13,21.09,102060
2024-02-15,CCRS.CA,21.09,22.09,20.23,20.61,35560
2024-02-18,CCRS.CA,20.61,21.00,19.58,20.61,13210
2024-02-19,CCRS.CA,20.61,20.40,19.58,20.61,3700
2024-02-20,CCRS.CA,20.61,20.00,19.58,20.61,6190
2024-02-21,CCRS.CA,20.61,19.98,19.58,20.61,4560
2024-02-22,CCRS.CA,20.61,19.98,19.58,20.61,3200
2024-02-25,CCRS.CA,20.61,19.96,19.58,20.61,1050
2024-02-26,CCRS.CA,20.61,19.99,19.58,19.70,22090
2024-02-27,CCRS.CA,19.70,19.89,18.72,19.70,11150
2024-02-28,CCRS.CA,19.70,19.88,19.49,19.70,5810
2024-02-29,CCRS.CA,19.70,18.88,18.88,19.70,3000
2024-03-03,CCRS.CA,19.70,19.50,18.72,19.70,2600
2024-03-04,CCRS.CA,19.70,19.42,18.72,19.70,1390
2024-03-05,CCRS.CA,19.70,19.39,18.72,19.70,10280
2024-03-06,CCRS.CA,19.70,19.00,18.72,19.70,2250
2024-03-07,CCRS.CA,19.70,19.30,18.72,19.70,6010
2024-03-10,CCRS.CA,19.70,19.30,18.72,19.70,11090
2024-03-11,CCRS.CA,19.70,19.00,18.72,19.70,200
2024-03-12,CCRS.CA,19.70,18.72,18.72,19.70,80
2024-03-13,CCRS.CA,19.70,18.72,18.72,19.70,10
2024-03-14,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-03-17,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-03-18,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-03-19,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-03-20,CCRS.CA,19.70,18.72,18.72,19.70,590
2024-03-21,CCRS.CA,19.70,19.50,18.72,19.70,12910
2024-03-24,CCRS.CA,19.70,19.48,18.72,19.70,12060
2024-03-25,CCRS.CA,19.70,19.50,18.72,19.70,5250
2024-03-26,CCRS.CA,19.70,19.00,18.72,19.70,4330
2024-03-27,CCRS.CA,19.70,18.72,18.72,19.70,430
2024-03-28,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-03-31,CCRS.CA,19.70,18.72,18.72,19.70,140
2024-04-01,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-04-02,CCRS.CA,19.70,18.72,18.72,19.70,2120
2024-04-03,CCRS.CA,19.70,18.72,18.72,19.70,1000
2024-04-04,CCRS.CA,19.70,18.72,18.72,19.70,2500
2024-04-07,CCRS.CA,19.70,18.72,18.72,19.70,1000
2024-04-08,CCRS.CA,19.70,18.72,18.72,19.70,710
2024-04-15,CCRS.CA,19.70,19.40,18.72,19.70,11210
2024-04-16,CCRS.CA,19.70,19.24,18.72,19.70,5380
2024-04-17,CCRS.CA,19.70,19.30,18.80,19.70,540
2024-04-18,CCRS.CA,19.70,19.30,18.72,19.70,3590
2024-04-21,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-04-22,CCRS.CA,19.70,19.70,19.70,19.70,0
2024-04-23,CCRS.CA,19.70,19.13,19.13,19.70,10
2024-04-24,CCRS.CA,19.70,18.72,18.72,19.70,8000
2024-04-28,CCRS.CA,18.73,18.73,18.72,19.70,14040
2024-04-29,CCRS.CA,18.72,18.72,18.72,18.72,16940
2024-04-30,CCRS.CA,18.72,18.72,17.85,18.72,1950
2024-05-01,CCRS.CA,17.79,17.79,17.79,18.72,3550
2024-05-02,CCRS.CA,17.79,17.79,17.79,18.72,1030
2024-05-07,CCRS.CA,17.79,17.79,17.79,18.72,6680
2024-05-08,CCRS.CA,17.79,17.90,17.79,18.72,8010
2024-05-09,CCRS.CA,17.80,18.71,17.79,18.72,12170
2024-05-12,CCRS.CA,17.80,17.80,17.79,18.72,2000
2024-05-13,CCRS.CA,17.79,17.79,17.79,18.72,2720
2024-05-14,CCRS.CA,17.79,18.80,17.79,17.85,33710
2024-05-15,CCRS.CA,17.13,17.50,17.13,17.85,1060
2024-05-16,CCRS.CA,16.96,18.50,16.96,17.85,2950
2024-05-19,CCRS.CA,17.01,18.40,16.96,17.85,8100
2024-05-20,CCRS.CA,17.01,17.80,16.96,17.85,4800
2024-05-21,CCRS.CA,16.97,17.75,16.97,17.85,340
2024-05-22,CCRS.CA,17.72,17.74,16.96,17.85,900
2024-05-23,CCRS.CA,16.97,17.80,16.96,17.85,1440
2024-05-26,CCRS.CA,17.59,18.74,17.59,18.73,40770
2024-05-27,CCRS.CA,19.63,19.66,18.40,19.55,25800
2024-05-28,CCRS.CA,19.55,20.17,18.62,19.55,2650
2024-05-29,CCRS.CA,19.03,19.55,18.60,19.29,16880
2024-05-30,CCRS.CA,18.60,19.29,18.60,19.29,1130
2024-06-02,CCRS.CA,18.80,19.60,18.80,19.29,7510
2024-06-03,CCRS.CA,18.34,20.20,18.33,19.29,7450
2024-06-04,CCRS.CA,19.31,19.31,18.81,19.29,1450
2024-06-05,CCRS.CA,18.50,19.98,18.33,19.29,7000
2024-06-06,CCRS.CA,19.95,19.95,19.80,19.29,320
2024-06-09,CCRS.CA,19.00,19.29,18.33,19.29,8600
2024-06-10,CCRS.CA,18.33,19.18,18.33,19.29,3050
2024-06-11,CCRS.CA,18.33,19.29,18.33,19.29,8740
2024-06-12,CCRS.CA,19.00,19.20,19.00,19.29,8140
2024-06-13,CCRS.CA,19.10,19.10,19.00,19.29,650
2024-06-23,CCRS.CA,18.35,19.50,18.33,19.29,3450
2024-06-24,CCRS.CA,18.33,19.25,18.33,19.29,3560
2024-06-25,CCRS.CA,18.33,18.50,18.33,19.29,3200
2024-06-26,CCRS.CA,18.37,19.16,18.37,19.29,3290
2024-06-27,CCRS.CA,19.00,19.00,18.34,19.29,5110
2024-07-01,CCRS.CA,18.50,19.41,18.38,18.95,19700
2024-07-02,CCRS.CA,19.40,19.49,19.00,18.95,4040
2024-07-03,CCRS.CA,19.39,19.39,18.68,18.95,4460
2024-07-04,CCRS.CA,19.00,19.35,18.65,18.95,1380
2024-07-07,CCRS.CA,19.00,19.89,19.00,19.77,16080
2024-07-08,CCRS.CA,19.50,19.90,19.50,19.77,7550
2024-07-09,CCRS.CA,19.01,19.10,19.01,19.77,4450
2024-07-10,CCRS.CA,19.02,20.00,18.80,19.77,13670
2024-07-14,CCRS.CA,18.90,19.90,18.90,19.77,3200
2024-07-15,CCRS.CA,18.82,19.77,18.80,19.77,5860
2024-07-16,CCRS.CA,18.90,20.59,18.90,19.77,12190
2024-07-17,CCRS.CA,19.77,20.75,19.77,20.73,27600
2024-07-18,CCRS.CA,21.76,21.76,20.75,21.76,15640
2024-07-21,CCRS.CA,22.84,22.84,22.84,22.84,13200
