Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,CICH.CA,9.10,9.17,8.87,8.96,73860
2026-01-05,CICH.CA,8.87,8.90,8.74,8.81,118980
2026-01-06,CICH.CA,8.90,8.95,8.65,8.81,42800
2026-01-08,CICH.CA,8.78,8.95,8.60,8.61,124040
2026-01-11,CICH.CA,8.65,8.99,8.60,8.77,495140
2026-01-12,CICH.CA,8.90,8.90,8.65,8.77,10340
2026-01-13,CICH.CA,8.78,8.88,8.68,8.77,247490
2026-01-14,CICH.CA,8.70,8.77,8.32,8.50,217680
2026-01-15,CICH.CA,8.57,8.69,8.10,8.50,616830
2026-01-18,CICH.CA,8.55,8.64,8.40,8.45,601050
2026-01-19,CICH.CA,8.52,8.74,8.51,8.63,82960
2026-01-20,CICH.CA,8.74,9.20,8.66,8.96,464230
2026-01-21,CICH.CA,8.97,9.40,8.82,9.06,79310
2026-01-22,CICH.CA,9.07,9.68,9.06,9.66,631560
2026-01-25,CICH.CA,9.69,9.94,9.40,9.91,720140
2026-01-26,CICH.CA,9.94,10.49,9.65,10.40,543040
2026-01-27,CICH.CA,10.41,10.69,10.17,10.23,1520000
2026-01-28,CICH.CA,10.22,10.61,10.00,10.14,175650
2026-02-01,CICH.CA,10.25,10.30,9.25,9.97,175600
2026-02-02,CICH.CA,10.00,10.37,9.95,10.21,1780000
2026-02-03,CICH.CA,10.31,10.61,10.25,10.36,153870
2026-02-04,CICH.CA,10.34,11.50,10.33,10.70,1240000
2026-02-05,CICH.CA,10.72,11.24,10.63,11.16,490430
2026-02-08,CICH.CA,11.30,11.47,11.05,11.17,165770
2026-02-09,CICH.CA,11.17,11.40,11.10,11.23,76200
2026-02-10,CICH.CA,11.29,11.90,11.20,11.77,395420
2026-02-11,CICH.CA,11.71,11.92,11.18,11.70,1350000
2026-02-12,CICH.CA,11.66,11.97,11.40,11.50,349300
2026-02-15,CICH.CA,11.58,11.90,11.40,11.50,840370
2026-02-16,CICH.CA,11.55,11.88,11.35,11.43,119560
2026-02-17,CICH.CA,11.50,11.84,11.29,11.32,217420
2026-02-18,CICH.CA,11.32,11.40,11.15,11.19,346460
2026-02-19,CICH.CA,11.35,11.50,10.90,11.30,79470
2026-02-22,CICH.CA,11.24,11.45,10.25,10.42,416930
2026-02-23,CICH.CA,10.43,10.79,10.43,10.64,123690
2026-02-24,CICH.CA,10.70,10.98,10.43,10.58,131980
2026-02-25,CICH.CA,10.44,10.57,10.02,10.10,213900
2026-02-26,CICH.CA,10.30,10.48,10.04,10.21,144730
2026-03-01,CICH.CA,10.15,10.20,9.50,10.03,113870
2026-03-02,CICH.CA,10.15,10.79,9.62,10.41,216910
2026-03-03,CICH.CA,10.40,10.69,10.16,10.26,37990
2026-03-04,CICH.CA,10.50,10.80,10.20,10.25,117530
2026-03-05,CICH.CA,10.50,10.50,10.25,10.32,102540
2026-03-08,CICH.CA,10.33,10.57,10.20,10.44,129540
2026-03-09,CICH.CA,10.60,10.69,10.22,10.33,143820
2026-03-10,CICH.CA,10.40,10.79,10.24,10.70,155530
2026-03-11,CICH.CA,10.71,10.95,10.63,10.76,52900
2026-03-12,CICH.CA,10.80,11.00,10.76,10.98,107020
2026-03-15,CICH.CA,10.98,11.00,10.78,10.87,33960
2026-03-16,CICH.CA,10.80,10.98,10.31,10.52,86400
2026-03-17,CICH.CA,10.52,10.67,10.36,10.52,3570
2026-03-18,CICH.CA,10.67,11.00,10.55,10.65,65440
2026-03-24,CICH.CA,10.67,11.00,10.32,10.85,118670
2026-03-25,CICH.CA,10.80,10.90,10.66,10.79,30380
2026-03-26,CICH.CA,10.71,11.21,10.51,10.70,226760
2026-03-29,CICH.CA,10.70,10.80,10.45,10.59,46890
2026-03-30,CICH.CA,10.64,10.80,10.23,10.30,234810
2026-03-31,CICH.CA,10.30,10.54,10.00,10.42,4890000
2026-04-01,CICH.CA,10.40,10.59,10.36,10.46,954240
2026-04-02,CICH.CA,10.46,10.54,10.32,10.49,91320
2026-04-05,CICH.CA,10.54,10.65,10.45,10.56,61240
2026-04-06,CICH.CA,10.60,10.88,10.51,10.61,88210
2026-04-07,CICH.CA,10.75,10.75,10.57,10.59,59750
2026-04-08,CICH.CA,10.70,11.29,10.60,11.22,883760
2026-04-09,CICH.CA,11.24,11.49,11.08,11.21,176000
2026-04-12,CICH.CA,11.22,11.21,11.21,11.21,176000
2026-04-14,CICH.CA,11.02,11.30,11.00,11.15,145910
2026-04-15,CICH.CA,11.20,11.30,11.08,11.27,219360
2026-04-16,CICH.CA,11.29,11.40,11.11,11.37,234160
2026-04-19,CICH.CA,11.51,11.88,11.30,11.38,1220000
2026-04-20,CICH.CA,11.38,11.69,11.30,11.35,103830
2026-04-21,CICH.CA,11.36,11.99,11.22,11.53,311630
2026-04-22,CICH.CA,11.80,11.80,11.35,11.55,150730
2026-04-23,CICH.CA,11.67,11.68,11.20,11.50,162640
2026-04-26,CICH.CA,11.60,11.78,11.25,11.30,242890
2026-04-27,CICH.CA,11.33,11.40,11.20,11.30,333470
2026-04-28,CICH.CA,11.30,11.40,11.14,11.18,135870
2026-04-29,CICH.CA,11.25,11.28,11.00,11.20,88460
2026-04-30,CICH.CA,11.31,11.31,11.10,11.19,68630
2026-05-03,CICH.CA,11.21,11.27,11.11,11.18,51250
2026-05-04,CICH.CA,11.20,11.79,11.05,11.12,284950
2026-05-05,CICH.CA,11.25,11.33,11.02,11.14,245440
2026-05-06,CICH.CA,11.22,11.33,10.90,10.97,209520
2026-05-10,CICH.CA,11.01,11.60,11.01,11.40,453330
2026-05-11,CICH.CA,11.45,12.99,11.45,12.25,1610000
2026-05-12,CICH.CA,12.25,12.95,12.07,12.90,554400
2026-05-13,CICH.CA,12.91,13.17,12.01,12.93,210780
2026-05-14,CICH.CA,13.09,13.46,12.95,13.07,349630
2026-05-17,CICH.CA,13.17,13.47,12.40,12.50,393760
2026-05-18,CICH.CA,12.52,12.70,12.50,12.58,598820
2026-05-19,CICH.CA,12.60,12.90,12.52,12.72,625020
2026-05-20,CICH.CA,12.71,12.90,12.25,12.54,107680
2026-05-21,CICH.CA,12.56,12.96,12.40,12.65,99040
2026-05-24,CICH.CA,12.77,13.00,12.46,12.68,710370
2026-05-25,CICH.CA,12.60,12.97,12.50,12.55,78280
2026-06-01,CICH.CA,12.57,13.00,12.04,12.23,375720
2026-06-02,CICH.CA,12.47,12.58,12.08,12.39,191220
2026-06-03,CICH.CA,12.58,12.60,12.30,12.30,91970
2026-06-04,CICH.CA,12.50,12.72,12.34,12.42,97430
2026-06-07,CICH.CA,12.47,12.69,12.16,12.30,100900
2026-06-08,CICH.CA,12.40,12.40,12.00,12.10,185450
2026-06-09,CICH.CA,12.35,12.40,11.71,11.82,472370
