Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,CIEB.CA,22.51,22.80,21.90,21.93,283060
2026-01-05,CIEB.CA,22.10,22.50,21.60,21.61,245870
2026-01-06,CIEB.CA,21.65,22.34,21.65,21.83,167980
2026-01-08,CIEB.CA,21.86,22.34,21.50,22.24,148420
2026-01-11,CIEB.CA,22.34,24.76,22.24,24.20,4670000
2026-01-12,CIEB.CA,24.31,24.43,23.40,23.82,778490
2026-01-13,CIEB.CA,24.25,24.50,23.81,24.00,923690
2026-01-14,CIEB.CA,24.10,24.30,23.50,24.05,607180
2026-01-15,CIEB.CA,24.05,24.85,23.80,24.00,819710
2026-01-18,CIEB.CA,24.26,25.90,24.26,25.49,3220000
2026-01-19,CIEB.CA,25.50,25.50,24.95,25.06,409440
2026-01-20,CIEB.CA,25.50,25.99,25.12,25.50,2100000
2026-01-21,CIEB.CA,25.50,26.00,25.43,26.00,1630000
2026-01-22,CIEB.CA,25.99,26.50,25.60,26.43,708660
2026-01-25,CIEB.CA,26.40,26.50,25.45,25.74,472610
2026-01-26,CIEB.CA,25.56,25.97,25.51,25.68,358230
2026-01-27,CIEB.CA,25.90,26.17,25.50,25.66,1370000
2026-01-28,CIEB.CA,25.65,26.40,24.85,26.33,1210000
2026-02-01,CIEB.CA,25.75,26.10,24.80,25.99,1020000
2026-02-02,CIEB.CA,25.99,25.99,25.25,25.43,228100
2026-02-03,CIEB.CA,25.44,26.00,25.40,25.66,426020
2026-02-04,CIEB.CA,25.86,26.00,25.51,25.73,502690
2026-02-05,CIEB.CA,25.70,25.98,24.80,25.00,896780
2026-02-08,CIEB.CA,25.37,26.00,25.00,25.43,239110
2026-02-09,CIEB.CA,25.60,25.96,24.90,24.93,1050000
2026-02-10,CIEB.CA,24.96,25.20,23.80,24.00,1670000
2026-02-11,CIEB.CA,24.01,24.43,23.50,23.73,1920000
2026-02-12,CIEB.CA,23.50,24.00,23.49,23.99,609460
2026-02-15,CIEB.CA,24.00,24.38,23.71,23.87,430130
2026-02-16,CIEB.CA,23.92,24.19,23.54,23.54,2170000
2026-02-17,CIEB.CA,23.94,24.17,23.60,23.75,930120
2026-02-18,CIEB.CA,23.76,24.25,22.90,23.05,2500000
2026-02-19,CIEB.CA,23.15,23.39,22.00,22.90,1650000
2026-02-22,CIEB.CA,22.89,22.90,22.45,22.52,324150
2026-02-23,CIEB.CA,22.55,23.35,22.50,23.31,453630
2026-02-24,CIEB.CA,23.39,23.45,22.90,22.93,329060
2026-02-25,CIEB.CA,22.99,23.23,22.63,23.00,1240000
2026-02-26,CIEB.CA,22.95,23.23,22.70,22.76,157980
2026-03-01,CIEB.CA,21.95,22.25,20.00,22.02,264150
2026-03-02,CIEB.CA,22.24,22.79,21.01,21.55,429320
2026-03-03,CIEB.CA,21.70,22.30,21.54,21.91,923050
2026-03-04,CIEB.CA,22.25,22.47,21.50,21.51,545170
2026-03-05,CIEB.CA,21.59,21.95,21.55,21.69,600460
2026-03-08,CIEB.CA,21.99,22.00,21.58,21.72,463860
2026-03-09,CIEB.CA,21.83,21.95,21.10,21.38,989920
2026-03-10,CIEB.CA,21.57,22.39,21.42,22.19,1480000
2026-03-11,CIEB.CA,22.30,23.30,22.00,23.30,1540000
2026-03-12,CIEB.CA,23.29,23.40,22.61,23.20,1010000
2026-03-15,CIEB.CA,23.20,23.25,22.70,23.02,391600
