Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,CNFN.CA,3.70,3.80,3.70,3.79,73140
2024-01-03,CNFN.CA,3.70,3.85,3.70,3.79,8630
2024-01-04,CNFN.CA,3.70,3.70,3.70,3.79,24380
2024-01-08,CNFN.CA,3.55,3.89,3.55,3.70,95890
2024-01-09,CNFN.CA,3.70,3.70,3.63,3.69,385560
2024-01-10,CNFN.CA,3.68,3.79,3.65,3.71,663150
2024-01-11,CNFN.CA,3.75,3.75,3.20,3.62,126760
2024-01-14,CNFN.CA,3.55,3.69,3.55,3.62,58420
2024-01-15,CNFN.CA,3.68,3.69,3.58,3.60,217060
2024-01-16,CNFN.CA,3.60,3.64,3.59,3.60,145900
2024-01-17,CNFN.CA,3.62,3.65,3.58,3.60,80410
2024-01-18,CNFN.CA,3.69,3.70,3.60,3.70,288810
2024-01-21,CNFN.CA,3.70,3.70,3.61,3.70,12330
2024-01-22,CNFN.CA,3.70,4.00,3.60,3.70,18000
2024-01-23,CNFN.CA,3.85,3.85,3.71,3.70,11380
2024-01-24,CNFN.CA,3.71,3.94,3.65,3.70,810
2024-01-28,CNFN.CA,3.92,3.93,3.65,3.70,39500
2024-01-29,CNFN.CA,3.80,3.80,3.70,3.71,681730
2024-01-30,CNFN.CA,3.85,3.85,3.76,3.78,490000
2024-01-31,CNFN.CA,3.89,4.00,3.81,3.98,183640
2024-02-01,CNFN.CA,3.98,3.95,3.77,3.98,40590
2024-02-04,CNFN.CA,3.98,3.95,3.72,3.98,3250
2024-02-05,CNFN.CA,3.98,3.90,3.77,3.90,241010
2024-02-06,CNFN.CA,3.90,4.40,3.95,4.34,334030
2024-02-07,CNFN.CA,4.34,4.39,4.01,4.14,218960
2024-02-08,CNFN.CA,4.14,4.43,3.90,4.33,95860
2024-02-11,CNFN.CA,4.33,5.19,4.25,4.50,551960
2024-02-12,CNFN.CA,4.50,4.69,4.07,4.50,45220
2024-02-13,CNFN.CA,4.50,4.75,4.25,4.70,278380
2024-02-14,CNFN.CA,4.70,4.89,4.60,4.70,8380
2024-02-15,CNFN.CA,4.70,5.60,4.51,5.30,604520
2024-02-18,CNFN.CA,5.30,5.50,5.01,5.20,156080
2024-02-19,CNFN.CA,5.20,5.70,5.25,5.70,270120
2024-02-20,CNFN.CA,5.70,5.90,5.01,5.70,143940
2024-02-21,CNFN.CA,5.70,6.00,5.50,5.81,54970
2024-02-22,CNFN.CA,5.81,5.97,5.50,5.81,36400
2024-02-25,CNFN.CA,5.81,5.85,5.00,5.60,271000
2024-02-26,CNFN.CA,5.60,5.97,5.25,5.84,459560
2024-02-27,CNFN.CA,5.84,5.99,5.53,5.84,38320
2024-02-28,CNFN.CA,5.84,5.96,5.40,5.49,345920
2024-02-29,CNFN.CA,5.49,5.80,5.25,5.49,40
2024-03-03,CNFN.CA,5.49,5.49,5.10,5.49,50870
2024-03-04,CNFN.CA,5.49,5.40,5.10,5.16,95400
2024-03-05,CNFN.CA,5.16,5.49,5.12,5.16,13590
2024-03-06,CNFN.CA,5.16,5.39,4.45,5.30,250840
2024-03-07,CNFN.CA,5.30,5.40,4.53,5.30,48690
2024-03-10,CNFN.CA,5.30,5.29,4.61,5.30,22080
2024-03-11,CNFN.CA,5.30,6.36,4.91,5.90,18160000
2024-03-12,CNFN.CA,5.90,6.50,5.50,5.51,1410000
2024-03-13,CNFN.CA,5.51,5.60,5.12,5.51,54890
2024-03-14,CNFN.CA,5.51,5.80,5.02,5.51,55050
2024-03-17,CNFN.CA,5.51,5.30,4.90,5.01,77550
2024-03-18,CNFN.CA,5.01,5.20,4.56,4.90,322840
2024-03-19,CNFN.CA,4.90,5.19,4.35,4.90,53890
2024-03-20,CNFN.CA,4.90,5.00,4.51,4.88,74440
2024-03-21,CNFN.CA,4.88,4.87,4.51,4.88,56390
2024-03-24,CNFN.CA,4.88,4.85,4.60,4.88,49940
2024-03-25,CNFN.CA,4.88,4.80,4.50,4.59,128990
2024-03-26,CNFN.CA,4.59,4.78,4.32,4.58,194100
2024-03-27,CNFN.CA,4.58,4.57,4.36,4.58,21080
2024-03-28,CNFN.CA,4.58,4.58,4.15,4.58,49160
2024-03-31,CNFN.CA,4.58,4.70,4.21,4.57,163240
2024-04-01,CNFN.CA,4.57,4.49,4.11,4.20,131270
2024-04-02,CNFN.CA,4.20,4.84,4.10,4.70,405700
2024-04-03,CNFN.CA,4.70,4.75,4.26,4.33,139290
2024-04-04,CNFN.CA,4.33,4.48,4.20,4.25,102510
2024-04-07,CNFN.CA,4.25,4.45,4.12,4.25,66680
2024-04-08,CNFN.CA,4.25,4.28,4.05,4.13,235520
2024-04-15,CNFN.CA,4.13,4.20,3.82,4.13,56960
2024-04-16,CNFN.CA,4.13,4.20,4.00,4.13,130450
2024-04-17,CNFN.CA,4.13,4.23,4.04,4.13,14930
2024-04-18,CNFN.CA,4.13,4.27,3.83,4.13,45320
2024-04-21,CNFN.CA,4.13,4.10,4.00,4.13,17840
2024-04-22,CNFN.CA,4.13,4.20,4.00,4.04,125190
2024-04-23,CNFN.CA,4.04,4.15,4.00,4.04,230360
2024-04-24,CNFN.CA,4.04,4.84,4.00,4.43,350440
2024-04-28,CNFN.CA,4.53,4.53,4.20,4.21,169790
2024-04-29,CNFN.CA,4.10,4.47,4.10,4.21,11600
2024-04-30,CNFN.CA,4.11,4.45,4.00,4.01,175850
2024-05-01,CNFN.CA,4.00,4.03,4.00,4.00,164610
2024-05-02,CNFN.CA,4.39,4.40,4.20,4.00,28080
2024-05-07,CNFN.CA,4.01,4.50,4.00,4.44,359610
2024-05-08,CNFN.CA,4.12,4.40,4.12,4.44,34590
2024-05-09,CNFN.CA,4.12,4.39,4.12,4.44,230
2024-05-12,CNFN.CA,4.40,4.70,4.24,4.44,72940
2024-05-13,CNFN.CA,4.20,4.60,4.20,4.22,76920
2024-05-14,CNFN.CA,4.30,4.30,4.22,4.29,83300
2024-05-15,CNFN.CA,4.25,4.50,4.16,4.29,1980
2024-05-16,CNFN.CA,4.29,4.29,4.29,4.29,0
2024-05-19,CNFN.CA,4.35,4.79,4.30,4.47,614940
2024-05-20,CNFN.CA,4.49,4.96,4.49,4.94,594130
2024-05-21,CNFN.CA,5.14,5.14,4.89,4.94,14470
2024-05-22,CNFN.CA,4.61,4.90,4.60,4.94,51270
2024-05-23,CNFN.CA,4.93,4.93,4.50,4.94,63400
2024-05-26,CNFN.CA,4.89,4.89,4.15,4.21,418510
2024-05-27,CNFN.CA,4.32,4.39,4.18,4.19,264480
2024-05-28,CNFN.CA,4.19,4.40,4.15,4.23,256440
2024-05-29,CNFN.CA,4.21,4.64,4.21,4.38,257760
2024-05-30,CNFN.CA,4.32,4.38,4.24,4.28,167140
2024-06-02,CNFN.CA,4.21,4.45,4.20,4.23,276900
2024-06-03,CNFN.CA,4.21,4.21,4.21,4.23,20
2024-06-04,CNFN.CA,4.38,4.38,4.36,4.23,10
2024-06-05,CNFN.CA,4.38,4.70,4.10,4.21,135560
2024-06-06,CNFN.CA,4.39,4.70,4.23,4.21,35050
2024-06-09,CNFN.CA,4.48,4.48,4.21,4.21,2700
2024-06-10,CNFN.CA,4.21,4.30,4.15,4.30,1310000
2024-06-11,CNFN.CA,4.40,4.50,4.40,4.50,82710
2024-06-12,CNFN.CA,4.40,4.45,4.24,4.38,154190
2024-06-13,CNFN.CA,4.38,4.38,4.38,4.38,175000
2024-06-23,CNFN.CA,4.45,4.50,4.30,4.30,286120
2024-06-24,CNFN.CA,4.30,4.44,4.22,4.30,8170
2024-06-25,CNFN.CA,4.23,4.48,4.00,4.21,1260000
2024-06-26,CNFN.CA,4.30,4.30,4.12,4.21,40320
2024-06-27,CNFN.CA,4.39,4.49,4.15,4.15,107500
2024-07-01,CNFN.CA,4.18,4.20,4.18,4.15,500
2024-07-02,CNFN.CA,4.25,4.30,4.15,4.15,27950
2024-07-03,CNFN.CA,4.15,4.40,4.10,4.17,190790
2024-07-04,CNFN.CA,4.25,4.33,4.15,4.17,10540
