Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,COPR.CA,0.333,0.336,0.327,0.327,27610000
2026-01-05,COPR.CA,0.327,0.332,0.318,0.322,40620000
2026-01-06,COPR.CA,0.322,0.327,0.320,0.321,22260000
2026-01-08,COPR.CA,0.321,0.334,0.320,0.326,37080000
2026-01-11,COPR.CA,0.327,0.328,0.323,0.325,8100000
2026-01-12,COPR.CA,0.323,0.328,0.318,0.319,11450000
2026-01-13,COPR.CA,0.320,0.323,0.316,0.320,14460000
2026-01-14,COPR.CA,0.320,0.340,0.310,0.327,60810000
2026-01-15,COPR.CA,0.329,0.334,0.318,0.319,17520000
2026-01-18,COPR.CA,0.324,0.326,0.318,0.320,11490000
2026-01-19,COPR.CA,0.322,0.330,0.318,0.327,45910000
2026-01-20,COPR.CA,0.330,0.331,0.322,0.329,43280000
2026-01-21,COPR.CA,0.329,0.331,0.320,0.320,32920000
2026-01-22,COPR.CA,0.321,0.324,0.318,0.319,19880000
2026-01-25,COPR.CA,0.319,0.321,0.312,0.314,13680000
2026-01-26,COPR.CA,0.316,0.316,0.307,0.309,19120000
2026-01-27,COPR.CA,0.309,0.316,0.308,0.310,13350000
2026-01-28,COPR.CA,0.310,0.313,0.297,0.299,18480000
2026-02-01,COPR.CA,0.301,0.305,0.300,0.304,6080000
2026-02-02,COPR.CA,0.305,0.306,0.302,0.304,8510000
2026-02-03,COPR.CA,0.304,0.312,0.304,0.306,16740000
2026-02-04,COPR.CA,0.307,0.323,0.307,0.312,48690000
2026-02-05,COPR.CA,0.314,0.314,0.309,0.311,14200000
2026-02-08,COPR.CA,0.313,0.316,0.310,0.310,12920000
2026-02-09,COPR.CA,0.312,0.320,0.308,0.313,30920000
2026-02-10,COPR.CA,0.314,0.318,0.311,0.313,13400000
2026-02-11,COPR.CA,0.313,0.316,0.310,0.311,16390000
2026-02-12,COPR.CA,0.315,0.315,0.310,0.311,5370000
2026-02-15,COPR.CA,0.314,0.316,0.311,0.313,11490000
2026-02-16,COPR.CA,0.313,0.315,0.311,0.312,5630000
2026-02-17,COPR.CA,0.311,0.313,0.310,0.311,6150000
2026-02-18,COPR.CA,0.311,0.314,0.309,0.312,25170000
2026-02-19,COPR.CA,0.311,0.312,0.307,0.308,8770000
2026-02-22,COPR.CA,0.310,0.311,0.301,0.302,7040000
2026-02-23,COPR.CA,0.303,0.306,0.301,0.303,4900000
2026-02-24,COPR.CA,0.303,0.304,0.299,0.301,7000000
2026-02-25,COPR.CA,0.303,0.303,0.287,0.292,7180000
2026-02-26,COPR.CA,0.293,0.337,0.292,0.316,61360000
2026-03-01,COPR.CA,0.290,0.308,0.283,0.302,22480000
2026-03-02,COPR.CA,0.300,0.318,0.296,0.303,20040000
2026-03-03,COPR.CA,0.305,0.306,0.300,0.302,9500000
2026-03-04,COPR.CA,0.303,0.304,0.295,0.298,13210000
2026-03-05,COPR.CA,0.300,0.304,0.300,0.302,8390000
2026-03-08,COPR.CA,0.303,0.309,0.302,0.303,9990000
2026-03-09,COPR.CA,0.304,0.318,0.303,0.313,25920000
2026-03-10,COPR.CA,0.314,0.321,0.313,0.318,31700000
2026-03-11,COPR.CA,0.319,0.320,0.313,0.314,13910000
2026-03-12,COPR.CA,0.314,0.316,0.308,0.310,9450000
2026-03-15,COPR.CA,0.313,0.313,0.306,0.307,6840000
2026-03-16,COPR.CA,0.307,0.310,0.303,0.304,6660000
2026-03-17,COPR.CA,0.306,0.308,0.300,0.304,8880000
2026-03-18,COPR.CA,0.306,0.320,0.305,0.318,15500000
2026-03-24,COPR.CA,0.320,0.320,0.313,0.313,12850000
2026-03-25,COPR.CA,0.315,0.316,0.311,0.313,5880000
2026-03-26,COPR.CA,0.313,0.315,0.309,0.311,9060000
2026-03-29,COPR.CA,0.311,0.312,0.306,0.306,6360000
2026-03-30,COPR.CA,0.307,0.311,0.305,0.305,5710000
2026-03-31,COPR.CA,0.310,0.312,0.294,0.306,4460000
2026-04-01,COPR.CA,0.309,0.319,0.306,0.308,21990000
2026-04-02,COPR.CA,0.310,0.311,0.303,0.305,8730000
2026-04-05,COPR.CA,0.308,0.308,0.301,0.302,16160000
2026-04-06,COPR.CA,0.291,0.294,0.281,0.285,211940000
2026-04-07,COPR.CA,0.285,0.285,0.277,0.278,112260000
2026-04-08,COPR.CA,0.280,0.284,0.274,0.282,81180000
2026-04-09,COPR.CA,0.282,0.285,0.280,0.281,132060000
2026-04-12,COPR.CA,0.282,0.281,0.281,0.281,132060000
2026-04-14,COPR.CA,0.280,0.282,0.278,0.280,48280000
2026-04-15,COPR.CA,0.281,0.283,0.280,0.282,43740000
2026-04-16,COPR.CA,0.283,0.286,0.282,0.284,56760000
2026-04-19,COPR.CA,0.284,0.285,0.281,0.281,31660000
2026-04-20,COPR.CA,0.282,0.283,0.281,0.281,21460000
