Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,COSG.CA,1.354,1.392,1.345,1.371,22320000
2024-01-03,COSG.CA,1.392,1.430,1.375,1.383,20890000
2024-01-04,COSG.CA,1.396,1.396,1.358,1.371,13350000
2024-01-08,COSG.CA,1.371,1.417,1.362,1.388,15000000
2024-01-09,COSG.CA,1.409,1.422,1.379,1.383,18490000
2024-01-10,COSG.CA,1.392,1.405,1.379,1.388,12730000
2024-01-11,COSG.CA,1.392,1.439,1.383,1.396,21090000
2024-01-14,COSG.CA,1.405,1.426,1.392,1.396,13540000
2024-01-15,COSG.CA,1.400,1.447,1.388,1.426,27600000
2024-01-16,COSG.CA,1.460,1.460,1.426,1.426,17430000
2024-01-17,COSG.CA,1.439,1.443,1.383,1.388,16180000
2024-01-18,COSG.CA,1.392,1.400,1.366,1.396,13550000
2024-01-21,COSG.CA,1.392,1.409,1.392,1.396,8830000
2024-01-22,COSG.CA,1.400,1.409,1.375,1.383,11220000
2024-01-23,COSG.CA,1.392,1.396,1.362,1.366,8260000
2024-01-24,COSG.CA,1.375,1.375,1.354,1.362,6110000
2024-01-28,COSG.CA,1.375,1.383,1.358,1.366,8390000
2024-01-29,COSG.CA,1.375,1.396,1.354,1.371,10540000
2024-01-30,COSG.CA,1.379,1.485,1.366,1.426,26950000
2024-01-31,COSG.CA,1.447,1.468,1.260,1.281,17410000
2024-02-01,COSG.CA,1.281,1.354,1.107,1.341,10990000
2024-02-04,COSG.CA,1.341,1.358,1.239,1.294,7680000
2024-02-05,COSG.CA,1.294,1.341,1.298,1.315,7010000
2024-02-06,COSG.CA,1.315,1.337,1.277,1.281,8080000
2024-02-07,COSG.CA,1.281,1.302,1.277,1.277,6450000
2024-02-08,COSG.CA,1.277,1.307,1.281,1.307,5610000
2024-02-11,COSG.CA,1.307,1.311,1.277,1.281,6550000
2024-02-12,COSG.CA,1.281,1.285,1.192,1.260,5830000
2024-02-13,COSG.CA,1.260,1.290,1.251,1.281,6950000
2024-02-14,COSG.CA,1.281,1.307,1.277,1.294,6560000
2024-02-15,COSG.CA,1.294,1.332,1.294,1.311,7810000
2024-02-18,COSG.CA,1.311,1.439,1.345,1.396,25160000
2024-02-19,COSG.CA,1.396,1.422,1.366,1.383,10170000
2024-02-20,COSG.CA,1.383,1.413,1.371,1.383,12130000
2024-02-21,COSG.CA,1.383,1.400,1.371,1.383,7330000
2024-02-22,COSG.CA,1.383,1.447,1.379,1.413,20010000
2024-02-25,COSG.CA,1.413,1.396,1.213,1.319,11430000
2024-02-26,COSG.CA,1.319,1.345,1.311,1.315,4120000
2024-02-27,COSG.CA,1.315,1.345,1.294,1.298,5670000
2024-02-28,COSG.CA,1.298,1.315,1.256,1.264,4110000
2024-02-29,COSG.CA,1.264,1.277,1.226,1.251,3950000
2024-03-03,COSG.CA,1.251,1.319,1.247,1.260,5860000
2024-03-04,COSG.CA,1.260,1.285,1.260,1.264,5430000
2024-03-05,COSG.CA,1.264,1.281,1.247,1.256,4660000
2024-03-06,COSG.CA,1.256,1.273,1.234,1.234,6600000
2024-03-07,COSG.CA,1.234,1.251,1.192,1.222,4250000
2024-03-10,COSG.CA,1.222,1.251,1.213,1.226,4830000
2024-03-11,COSG.CA,1.226,1.239,1.192,1.196,3960000
2024-03-12,COSG.CA,1.196,1.217,1.124,1.141,3990000
2024-03-13,COSG.CA,1.141,1.188,1.090,1.107,3440000
2024-03-14,COSG.CA,1.107,1.136,1.064,1.077,4310000
2024-03-17,COSG.CA,1.265,1.290,1.100,1.285,10810000
2024-03-18,COSG.CA,1.285,1.440,1.185,1.195,14640000
2024-03-19,COSG.CA,1.195,1.245,1.075,1.105,8310000
2024-03-20,COSG.CA,1.105,1.140,1.075,1.090,7070000
2024-03-21,COSG.CA,1.090,1.100,1.080,1.090,6200000
2024-03-24,COSG.CA,1.090,1.165,1.085,1.105,6380000
2024-03-25,COSG.CA,1.105,1.130,1.095,1.110,2820000
