Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,CPCI.CA,269.00,269.98,266.00,266.24,2890
2026-01-05,CPCI.CA,266.13,268.75,265.50,267.35,2850
2026-01-06,CPCI.CA,267.35,268.13,266.30,266.76,1630
2026-01-08,CPCI.CA,267.79,269.99,266.00,266.78,4870
2026-01-11,CPCI.CA,267.00,269.88,267.00,268.81,3760
2026-01-12,CPCI.CA,268.81,269.80,267.18,267.26,3440
2026-01-13,CPCI.CA,268.00,269.55,266.40,267.62,3000
2026-01-14,CPCI.CA,266.40,269.00,260.00,264.69,7820
2026-01-15,CPCI.CA,264.69,268.00,261.00,264.48,4930
2026-01-18,CPCI.CA,264.50,268.50,264.50,264.94,6080
2026-01-19,CPCI.CA,264.51,267.85,264.00,265.87,2160
2026-01-20,CPCI.CA,267.50,277.00,264.00,265.46,15740
2026-01-21,CPCI.CA,265.66,273.00,261.52,262.11,18440
2026-01-22,CPCI.CA,263.80,264.00,259.00,260.01,24760
2026-01-25,CPCI.CA,260.01,262.00,256.25,256.62,25020
2026-01-26,CPCI.CA,258.00,259.00,252.50,255.12,12570
2026-01-27,CPCI.CA,255.02,256.00,253.00,253.56,8570
2026-01-28,CPCI.CA,253.56,255.00,250.00,250.14,11140
2026-02-01,CPCI.CA,250.57,254.89,249.00,253.29,3900
2026-02-02,CPCI.CA,253.64,263.00,253.64,256.23,3680
2026-02-03,CPCI.CA,259.65,259.65,255.00,257.03,2440
2026-02-04,CPCI.CA,257.25,264.00,257.03,262.94,9770
2026-02-05,CPCI.CA,264.00,268.00,260.20,263.60,5980
2026-02-08,CPCI.CA,264.00,265.00,258.52,259.53,4550
2026-02-09,CPCI.CA,260.00,262.50,254.50,255.58,6750
2026-02-10,CPCI.CA,257.90,257.95,252.00,254.47,2850
2026-02-11,CPCI.CA,257.00,257.00,253.50,255.06,1450
2026-02-12,CPCI.CA,254.15,257.50,254.05,256.63,2140
2026-02-15,CPCI.CA,258.00,259.00,256.30,257.41,1810
2026-02-16,CPCI.CA,257.50,258.00,254.81,255.14,2730
2026-02-17,CPCI.CA,255.00,258.00,252.90,253.63,8680
2026-02-18,CPCI.CA,253.07,258.00,253.00,253.06,7070
2026-02-19,CPCI.CA,256.49,256.97,252.91,253.00,6010
2026-02-22,CPCI.CA,254.00,254.00,250.00,250.25,7030
2026-02-23,CPCI.CA,252.00,254.00,250.10,253.63,2150
2026-02-24,CPCI.CA,252.91,254.00,251.28,253.69,2580
2026-02-25,CPCI.CA,253.90,253.91,252.10,252.32,3430
2026-02-26,CPCI.CA,251.50,253.00,250.05,252.86,4660
2026-03-01,CPCI.CA,250.00,251.08,235.00,249.50,5820
2026-03-02,CPCI.CA,249.40,257.00,246.00,252.28,9650
2026-03-03,CPCI.CA,251.00,252.00,246.01,246.54,4560
2026-03-04,CPCI.CA,247.00,256.81,247.00,254.26,5020
2026-03-05,CPCI.CA,253.00,253.00,249.00,250.64,3640
2026-03-08,CPCI.CA,252.95,252.99,250.00,251.02,2500
2026-03-09,CPCI.CA,252.25,252.99,250.01,251.03,4250
2026-03-10,CPCI.CA,255.00,257.00,251.07,252.03,4210
2026-03-11,CPCI.CA,251.50,255.60,251.50,252.31,1940
2026-03-12,CPCI.CA,252.10,254.00,251.91,252.10,1690
2026-03-15,CPCI.CA,252.00,253.30,252.00,252.01,3050
2026-03-16,CPCI.CA,252.50,252.50,250.04,250.49,2210
2026-03-17,CPCI.CA,251.00,252.00,250.09,251.83,1730
2026-03-18,CPCI.CA,251.95,253.21,251.00,252.50,1790
2026-03-24,CPCI.CA,253.00,253.98,248.81,249.76,4050
2026-03-25,CPCI.CA,250.11,252.04,250.00,250.25,2200
2026-03-26,CPCI.CA,250.50,252.00,250.50,251.16,2150
2026-03-29,CPCI.CA,253.00,253.00,250.02,251.05,4090
2026-03-30,CPCI.CA,251.00,252.49,250.08,250.13,3030
2026-03-31,CPCI.CA,250.08,251.95,250.01,250.13,790
2026-04-01,CPCI.CA,252.00,253.00,251.02,252.13,3620
2026-04-02,CPCI.CA,252.50,287.90,251.08,275.36,96550
2026-04-05,CPCI.CA,272.00,278.55,264.20,265.07,51560
2026-04-06,CPCI.CA,265.10,273.00,260.02,260.76,20540
2026-04-07,CPCI.CA,260.12,264.98,260.00,260.06,11960
2026-04-08,CPCI.CA,261.20,265.00,260.45,262.47,7990
2026-04-09,CPCI.CA,263.00,307.00,262.97,289.98,101210
2026-04-12,CPCI.CA,262.47,289.98,289.98,289.98,101210
2026-04-14,CPCI.CA,289.98,294.98,285.00,285.09,24710
2026-04-15,CPCI.CA,289.00,289.00,285.11,285.41,7650
2026-04-16,CPCI.CA,285.50,287.40,280.06,284.99,6010
2026-04-19,CPCI.CA,285.05,288.98,284.00,285.15,9590
2026-04-20,CPCI.CA,287.50,339.97,284.50,325.01,180340
