Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,DAPH.CA,32.57,32.91,32.00,32.01,22790
2024-01-03,DAPH.CA,32.40,32.67,32.08,32.21,59450
2024-01-04,DAPH.CA,32.21,32.53,32.00,32.22,36930
2024-01-08,DAPH.CA,32.69,32.69,32.12,32.31,38810
2024-01-09,DAPH.CA,32.86,34.49,32.16,33.42,140520
2024-01-10,DAPH.CA,33.97,34.18,33.51,33.63,50990
2024-01-11,DAPH.CA,33.98,35.95,33.64,34.20,235050
2024-01-14,DAPH.CA,34.75,35.40,34.20,34.53,81220
2024-01-15,DAPH.CA,34.78,35.00,33.82,33.99,62610
2024-01-16,DAPH.CA,34.00,34.30,33.37,33.73,41990
2024-01-17,DAPH.CA,33.75,33.75,32.81,33.11,54910
2024-01-18,DAPH.CA,33.04,33.64,33.00,33.31,55490
2024-01-21,DAPH.CA,33.75,36.34,33.12,36.17,302980
2024-01-22,DAPH.CA,36.24,42.00,36.00,41.83,548990
2024-01-23,DAPH.CA,41.50,50.19,39.01,50.19,424350
2024-01-24,DAPH.CA,50.22,54.00,44.00,46.55,660360
2024-01-28,DAPH.CA,48.00,49.70,45.50,46.19,159450
2024-01-29,DAPH.CA,46.31,47.46,44.53,45.88,78840
2024-01-30,DAPH.CA,47.50,55.05,46.01,55.05,537190
2024-01-31,DAPH.CA,57.85,66.00,48.00,59.75,610670
2024-02-01,DAPH.CA,57.85,59.75,59.75,59.75,0
2024-02-04,DAPH.CA,57.85,59.75,59.75,59.75,0
2024-02-05,DAPH.CA,57.85,59.75,59.75,59.75,0
2024-02-06,DAPH.CA,59.75,71.70,60.00,59.75,488440
2024-02-07,DAPH.CA,59.75,71.11,61.16,59.75,36340
2024-02-08,DAPH.CA,59.75,71.70,59.75,59.75,72400
2024-02-11,DAPH.CA,59.75,70.40,66.46,59.75,29200
2024-02-12,DAPH.CA,59.75,70.00,66.01,67.16,84770
2024-02-13,DAPH.CA,59.75,67.16,67.16,67.16,0
2024-02-14,DAPH.CA,59.75,67.16,67.16,67.16,0
2024-02-15,DAPH.CA,59.75,67.16,67.16,67.16,0
2024-02-18,DAPH.CA,59.75,67.16,67.16,67.16,0
2024-02-19,DAPH.CA,67.16,80.59,67.05,67.16,372250
2024-02-20,DAPH.CA,67.16,80.20,75.00,67.16,201480
2024-02-21,DAPH.CA,67.16,79.80,77.40,67.16,82160
2024-02-22,DAPH.CA,67.16,80.50,69.13,67.16,220530
2024-02-25,DAPH.CA,67.16,79.95,74.50,79.79,41620
2024-02-26,DAPH.CA,79.79,89.30,77.02,79.79,54350
2024-02-27,DAPH.CA,79.79,91.40,82.00,79.79,11990
2024-02-28,DAPH.CA,79.79,95.20,79.79,79.79,99780
2024-02-29,DAPH.CA,79.79,79.79,79.79,79.79,0
2024-03-03,DAPH.CA,79.79,79.79,79.79,79.79,0
2024-03-04,DAPH.CA,79.79,79.79,79.79,79.79,0
2024-03-05,DAPH.CA,79.79,79.79,79.79,79.79,0
2024-03-06,DAPH.CA,79.79,79.79,79.79,79.79,0
2024-03-07,DAPH.CA,79.79,79.79,79.79,79.79,0
2024-03-10,DAPH.CA,79.79,93.98,80.03,86.38,4810
2024-03-11,DAPH.CA,86.38,94.99,85.00,86.38,39390
2024-03-12,DAPH.CA,86.38,102.90,91.00,86.38,63380
2024-03-13,DAPH.CA,86.38,103.40,95.00,95.80,21760
2024-03-14,DAPH.CA,95.80,110.00,96.25,109.92,56140
2024-03-17,DAPH.CA,109.92,125.00,100.00,106.83,33930
2024-03-18,DAPH.CA,106.83,110.00,89.95,90.78,8850
2024-03-19,DAPH.CA,90.78,90.00,72.63,85.39,16050
2024-03-20,DAPH.CA,85.39,95.00,88.00,91.66,14340
2024-03-21,DAPH.CA,91.66,100.00,85.40,87.95,17540
2024-03-24,DAPH.CA,87.95,105.50,85.01,102.95,27190
2024-03-25,DAPH.CA,102.95,108.90,103.00,103.00,33420
2024-03-26,DAPH.CA,103.00,105.00,94.50,96.17,10070
2024-03-27,DAPH.CA,96.17,97.95,86.61,91.84,8260
2024-03-28,DAPH.CA,91.84,100.00,85.01,92.31,12750
2024-03-31,DAPH.CA,92.31,94.97,86.50,88.98,5000
2024-04-01,DAPH.CA,88.98,93.90,87.00,93.62,19000
2024-04-02,DAPH.CA,93.62,91.99,85.00,89.54,7770
2024-04-03,DAPH.CA,89.54,88.00,86.00,86.33,4990
2024-04-04,DAPH.CA,86.33,92.00,85.23,87.36,5360
2024-04-07,DAPH.CA,87.36,87.99,72.02,82.46,5980
2024-04-08,DAPH.CA,82.46,85.00,75.01,78.67,5800
2024-04-15,DAPH.CA,78.67,81.88,78.01,80.39,3760
2024-04-16,DAPH.CA,80.39,79.06,70.51,78.25,5690
2024-04-17,DAPH.CA,78.25,79.60,77.26,78.30,7950
2024-04-18,DAPH.CA,78.30,79.00,68.00,69.65,17770
2024-04-21,DAPH.CA,69.65,76.90,67.68,69.77,46160
2024-04-22,DAPH.CA,69.77,74.99,66.00,69.69,6790
2024-04-23,DAPH.CA,69.69,70.34,62.15,66.48,8130
2024-04-24,DAPH.CA,66.48,64.96,60.06,66.48,3900
2024-04-28,DAPH.CA,61.00,62.55,55.00,57.85,6750
2024-04-29,DAPH.CA,55.05,67.99,55.05,59.33,16610
2024-04-30,DAPH.CA,60.00,60.00,52.80,55.81,11860
2024-05-01,DAPH.CA,54.00,57.20,50.00,53.51,12710
2024-05-02,DAPH.CA,56.18,57.00,51.00,53.96,12140
2024-05-07,DAPH.CA,53.96,56.99,52.10,53.96,4260
2024-05-08,DAPH.CA,52.33,53.96,52.00,52.93,6010
2024-05-09,DAPH.CA,53.00,54.88,51.50,52.93,4300
2024-05-12,DAPH.CA,51.65,54.00,51.25,52.93,4370
2024-05-13,DAPH.CA,53.49,53.50,43.01,46.53,16200
2024-05-14,DAPH.CA,46.61,47.00,42.50,46.53,6620
2024-05-15,DAPH.CA,46.50,47.00,43.00,46.53,3410
2024-05-16,DAPH.CA,41.00,48.49,41.00,46.51,6700
2024-05-19,DAPH.CA,46.26,55.81,44.40,55.75,43180
2024-05-20,DAPH.CA,55.87,65.79,55.87,64.53,34550
2024-05-21,DAPH.CA,66.00,77.00,55.55,62.91,62960
2024-05-22,DAPH.CA,68.00,68.00,60.50,63.20,16340
2024-05-23,DAPH.CA,63.00,64.70,61.50,63.45,5280
2024-05-26,DAPH.CA,63.44,63.44,61.15,61.59,6140
2024-05-27,DAPH.CA,61.50,64.70,57.10,63.21,11730
2024-05-28,DAPH.CA,62.06,62.06,59.01,60.12,6570
2024-05-29,DAPH.CA,60.12,62.91,58.01,60.81,5230
2024-05-30,DAPH.CA,59.70,60.99,58.70,60.81,3540
2024-06-02,DAPH.CA,58.57,59.10,56.10,57.70,5940
2024-06-03,DAPH.CA,56.11,66.98,56.11,62.84,33090
2024-06-04,DAPH.CA,63.19,65.00,61.61,62.40,5920
2024-06-05,DAPH.CA,62.50,63.00,57.66,58.55,10440
2024-06-06,DAPH.CA,59.00,61.90,57.00,57.95,13320
2024-06-09,DAPH.CA,58.50,59.75,56.00,56.77,6660
2024-06-10,DAPH.CA,62.44,62.44,55.13,56.38,6420
2024-06-11,DAPH.CA,56.96,57.45,55.25,56.38,2390
2024-06-12,DAPH.CA,56.00,58.00,55.40,56.38,1990
2024-06-13,DAPH.CA,56.02,57.96,55.50,56.38,4770
2024-06-23,DAPH.CA,56.00,59.87,55.52,59.04,9700
2024-06-24,DAPH.CA,59.04,59.95,57.66,59.04,3240
2024-06-25,DAPH.CA,57.85,58.80,56.56,59.04,2020
2024-06-26,DAPH.CA,56.90,58.50,56.90,59.04,2770
2024-06-27,DAPH.CA,57.98,59.01,56.71,57.73,6460
2024-07-01,DAPH.CA,58.75,58.75,57.57,57.73,1940
2024-07-02,DAPH.CA,58.38,58.38,55.00,55.35,34910
2024-07-03,DAPH.CA,55.61,57.00,55.00,55.49,10300
2024-07-04,DAPH.CA,56.94,56.94,55.49,56.11,10470
2024-07-07,DAPH.CA,55.50,55.74,54.03,54.98,7000
