Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-01-05,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-06,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-08,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-11,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-12,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-13,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-14,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-15,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-17,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-18,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-19,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-20,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-21,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-22,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-25,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-01-26,DEIN.CA,12.41,12.41,12.41,10.35,0
2026-01-27,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-01-28,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-02-01,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-02-02,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-02-03,DEIN.CA,12.41,12.41,12.41,10.35,920
2026-02-04,DEIN.CA,12.41,12.41,12.41,10.35,500
2026-02-05,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-02-08,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-02-09,DEIN.CA,12.41,12.41,12.41,10.35,0
2026-02-10,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-11,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-12,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-15,DEIN.CA,13.65,11.38,11.38,11.38,0
2026-02-16,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-17,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-18,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-19,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-22,DEIN.CA,12.41,12.41,12.41,10.35,920
2026-02-23,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-24,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-25,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-02-26,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-01,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-02,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-03,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-04,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-05,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-08,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-09,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-10,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-11,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-12,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-15,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-16,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-17,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-18,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-24,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-25,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-26,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-29,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-03-30,DEIN.CA,12.41,12.41,12.41,10.35,10
2026-03-31,DEIN.CA,11.38,11.38,11.38,11.38,0
2026-04-01,DEIN.CA,11.38,11.38,11.38,11.38,0
