Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,DGTZ.CA,4.58,4.78,4.58,4.61,1910000
2026-01-05,DGTZ.CA,4.61,4.74,4.50,4.57,788100
2026-01-06,DGTZ.CA,4.57,4.61,4.50,4.57,538890
2026-01-08,DGTZ.CA,4.57,4.67,4.50,4.64,652220
2026-01-11,DGTZ.CA,4.60,4.64,4.52,4.54,434350
2026-01-12,DGTZ.CA,4.54,4.59,4.48,4.50,695130
2026-01-13,DGTZ.CA,4.48,4.51,4.28,4.38,785100
2026-01-14,DGTZ.CA,4.38,4.40,4.17,4.18,505510
2026-01-15,DGTZ.CA,4.01,4.14,3.98,4.02,413010
2026-01-18,DGTZ.CA,4.08,4.09,3.82,3.98,478630
2026-01-19,DGTZ.CA,4.00,4.17,4.00,4.17,511910
2026-01-20,DGTZ.CA,4.37,4.37,4.37,4.37,166490
2026-01-21,DGTZ.CA,4.49,4.58,4.30,4.58,997660
2026-01-22,DGTZ.CA,4.58,4.75,4.57,4.62,558720
2026-01-25,DGTZ.CA,4.61,4.65,4.39,4.39,1190000
2026-01-26,DGTZ.CA,4.33,4.33,4.18,4.18,1450000
2026-01-27,DGTZ.CA,4.17,4.29,3.99,4.02,906950
2026-01-28,DGTZ.CA,4.08,4.15,3.90,4.03,496750
2026-02-01,DGTZ.CA,4.04,4.07,3.83,3.98,799680
2026-02-02,DGTZ.CA,4.00,4.06,3.81,3.85,1130000
2026-02-03,DGTZ.CA,3.90,4.00,3.82,3.93,1150000
2026-02-04,DGTZ.CA,3.96,3.98,3.90,3.96,638000
2026-02-05,DGTZ.CA,3.95,4.00,3.87,3.99,1340000
2026-02-08,DGTZ.CA,4.00,4.02,3.92,3.98,559470
2026-02-09,DGTZ.CA,4.00,4.02,3.90,3.95,521290
2026-02-10,DGTZ.CA,3.98,3.99,3.91,3.92,435830
2026-02-11,DGTZ.CA,3.95,3.96,3.84,3.85,1090000
2026-02-12,DGTZ.CA,3.90,3.93,3.89,3.89,535420
2026-02-15,DGTZ.CA,3.92,3.93,3.88,3.89,859120
2026-02-16,DGTZ.CA,3.90,3.94,3.86,3.88,680560
2026-02-17,DGTZ.CA,3.88,3.89,3.83,3.84,1140000
2026-02-18,DGTZ.CA,3.84,3.88,3.83,3.85,1430000
2026-02-19,DGTZ.CA,3.84,3.89,3.66,3.71,1040000
2026-02-22,DGTZ.CA,3.72,3.78,3.53,3.53,926950
2026-02-23,DGTZ.CA,3.58,3.68,3.44,3.55,968650
2026-02-24,DGTZ.CA,3.55,3.65,3.38,3.38,1220000
2026-02-25,DGTZ.CA,3.27,3.38,3.24,3.28,366970
2026-02-26,DGTZ.CA,3.29,3.29,3.15,3.17,818940
2026-03-01,DGTZ.CA,3.02,3.12,3.02,3.03,609390
2026-03-02,DGTZ.CA,3.03,3.18,3.03,3.18,1080000
2026-03-03,DGTZ.CA,3.25,3.29,3.06,3.08,601500
2026-03-04,DGTZ.CA,3.09,3.17,3.00,3.06,833580
2026-03-05,DGTZ.CA,3.09,3.10,3.00,3.07,453500
2026-03-08,DGTZ.CA,3.08,3.13,2.92,2.93,2890000
2026-03-09,DGTZ.CA,2.93,2.98,2.88,2.90,1060000
2026-03-10,DGTZ.CA,2.90,3.00,2.90,2.93,621370
2026-03-11,DGTZ.CA,2.95,2.99,2.90,2.91,815540
2026-03-12,DGTZ.CA,2.91,2.96,2.89,2.91,1240000
2026-03-15,DGTZ.CA,2.92,2.94,2.85,2.88,754960
2026-03-16,DGTZ.CA,2.89,2.90,2.78,2.79,1090000
2026-03-17,DGTZ.CA,2.80,2.84,2.77,2.78,2060000
2026-03-18,DGTZ.CA,2.78,2.90,2.77,2.78,2330000
2026-03-24,DGTZ.CA,2.82,2.85,2.79,2.80,1550000
2026-03-25,DGTZ.CA,2.80,2.84,2.79,2.81,1030000
2026-03-26,DGTZ.CA,2.82,2.83,2.77,2.78,1130000
2026-03-29,DGTZ.CA,2.78,2.78,2.70,2.74,704170
2026-03-30,DGTZ.CA,2.75,2.76,2.61,2.64,1670000
2026-03-31,DGTZ.CA,2.67,2.74,2.64,2.68,1500000
2026-04-01,DGTZ.CA,2.71,2.76,2.65,2.68,635020
2026-04-02,DGTZ.CA,2.67,2.71,2.64,2.68,936500
2026-04-05,DGTZ.CA,2.67,2.69,2.56,2.67,1110000
2026-04-06,DGTZ.CA,2.69,2.80,2.66,2.80,2120000
2026-04-07,DGTZ.CA,2.94,2.94,2.94,2.94,719510
2026-04-08,DGTZ.CA,3.08,3.08,2.91,2.94,5240000
2026-04-09,DGTZ.CA,2.90,2.97,2.83,2.83,1720000
2026-04-12,DGTZ.CA,2.94,2.83,2.83,2.83,1720000
2026-04-14,DGTZ.CA,2.83,2.97,2.73,2.97,3010000
2026-04-15,DGTZ.CA,2.96,3.00,2.83,2.88,2410000
2026-04-16,DGTZ.CA,2.88,2.90,2.83,2.84,1520000
2026-04-19,DGTZ.CA,2.84,2.85,2.79,2.80,1980000
2026-04-20,DGTZ.CA,2.80,2.83,2.72,2.77,1920000
2026-04-21,DGTZ.CA,2.80,2.90,2.71,2.88,1910000
2026-04-22,DGTZ.CA,2.88,2.95,2.82,2.93,2000000
2026-04-23,DGTZ.CA,2.91,2.93,2.87,2.89,981700
2026-04-26,DGTZ.CA,2.90,2.91,2.86,2.89,689520
2026-04-27,DGTZ.CA,2.89,2.90,2.87,2.88,387910
2026-04-28,DGTZ.CA,2.89,2.92,2.86,2.86,1880000
2026-04-29,DGTZ.CA,2.87,3.00,2.86,2.88,2990000
2026-04-30,DGTZ.CA,2.90,2.92,2.82,2.89,2530000
2026-05-03,DGTZ.CA,2.91,2.92,2.85,2.87,1160000
2026-05-04,DGTZ.CA,2.90,2.90,2.81,2.82,1850000
2026-05-05,DGTZ.CA,2.83,2.86,2.82,2.83,545130
2026-05-06,DGTZ.CA,2.86,2.88,2.82,2.83,918970
2026-05-10,DGTZ.CA,2.83,2.83,2.76,2.76,2450000
2026-05-11,DGTZ.CA,2.79,2.79,2.70,2.70,3260000
2026-05-12,DGTZ.CA,2.71,2.75,2.70,2.70,2270000
2026-05-13,DGTZ.CA,2.70,2.73,2.67,2.68,2140000
2026-05-14,DGTZ.CA,2.70,2.71,2.67,2.70,1600000
2026-05-17,DGTZ.CA,2.70,2.71,2.68,2.69,1510000
2026-05-18,DGTZ.CA,2.70,2.70,2.63,2.64,1460000
2026-05-19,DGTZ.CA,2.65,2.68,2.63,2.66,604350
2026-05-20,DGTZ.CA,2.64,2.66,2.56,2.57,1260000
2026-05-21,DGTZ.CA,2.59,2.66,2.55,2.60,1460000
2026-05-24,DGTZ.CA,2.63,2.70,2.61,2.67,1390000
2026-05-25,DGTZ.CA,2.67,2.68,2.62,2.64,1230000
2026-06-01,DGTZ.CA,2.64,2.67,2.60,2.61,1020000
2026-06-02,DGTZ.CA,2.62,2.64,2.60,2.62,909610
2026-06-03,DGTZ.CA,2.64,2.65,2.60,2.60,1350000
2026-06-04,DGTZ.CA,2.61,2.64,2.61,2.62,548350
2026-06-07,DGTZ.CA,2.63,2.74,2.62,2.69,2270000
2026-06-08,DGTZ.CA,2.70,2.74,2.65,2.65,1510000
2026-06-09,DGTZ.CA,2.67,2.69,2.63,2.66,1370000
2026-06-10,DGTZ.CA,2.67,2.67,2.63,2.63,1440000
2026-06-11,DGTZ.CA,2.61,2.63,2.57,2.60,1490000
2026-06-14,DGTZ.CA,2.61,2.69,2.61,2.66,1120000
2026-06-15,DGTZ.CA,2.63,2.66,2.61,2.62,459680
2026-06-16,DGTZ.CA,2.65,2.66,2.61,2.62,454250
2026-06-17,DGTZ.CA,2.64,2.65,2.59,2.61,1030000
2026-06-21,DGTZ.CA,2.64,2.64,2.60,2.60,799750
2026-06-22,DGTZ.CA,2.63,2.63,2.58,2.59,763490
2026-06-23,DGTZ.CA,2.60,2.61,2.56,2.57,790750
2026-06-24,DGTZ.CA,2.57,2.57,2.47,2.47,2110000
