Date,Ticker,Open,High,Low,Close,Volume
2026-01-05,DIFC.CA,11.700,12.000,11.700,12.000,3070
2026-01-12,DIFC.CA,11.700,11.710,11.700,11.700,3340
2026-01-14,DIFC.CA,11.700,11.700,11.000,11.000,3510
2026-01-19,DIFC.CA,11.000,11.800,8.000,11.800,5380
2026-01-21,DIFC.CA,11.800,11.800,10.060,10.060,300
2026-01-26,DIFC.CA,10.050,10.500,10.050,10.300,4020
2026-01-28,DIFC.CA,10.300,10.890,9.500,10.890,1110
2026-02-02,DIFC.CA,10.950,10.950,10.000,10.790,4200
2026-02-04,DIFC.CA,10.500,10.500,10.200,10.200,650
2026-02-09,DIFC.CA,10.200,10.200,10.160,10.160,230
2026-02-11,DIFC.CA,10.290,10.290,10.160,10.180,2260
2026-02-16,DIFC.CA,10.020,10.020,9.450,10.010,2250
2026-02-18,DIFC.CA,10.200,10.200,10.000,10.000,120
2026-02-23,DIFC.CA,10.000,10.000,10.000,10.000,20
2026-03-02,DIFC.CA,8.520,9.900,8.010,9.880,180
2026-03-04,DIFC.CA,9.880,9.880,9.500,9.500,1970
2026-03-09,DIFC.CA,9.500,9.500,8.500,9.310,1430
2026-03-11,DIFC.CA,9.500,9.880,9.000,9.880,560
2026-03-16,DIFC.CA,9.000,9.880,8.100,9.880,1460
2026-03-18,DIFC.CA,9.870,10.400,9.870,10.400,190
2026-03-25,DIFC.CA,10.000,10.000,10.000,10.000,600
2026-03-30,DIFC.CA,10.000,10.000,9.500,10.000,1310
2026-04-01,DIFC.CA,10.000,10.220,9.000,10.220,160
2026-04-06,DIFC.CA,9.050,10.130,9.050,10.130,490
2026-04-08,DIFC.CA,10.000,10.140,9.500,10.140,4140
2026-04-15,DIFC.CA,10.140,10.250,9.950,10.250,1570
2026-04-20,DIFC.CA,10.250,10.250,9.750,10.250,460
2026-04-22,DIFC.CA,10.250,10.500,9.850,10.500,430
2026-04-27,DIFC.CA,10.250,10.500,10.500,10.500,0
2026-04-29,DIFC.CA,10.200,10.400,10.200,10.400,630
2026-05-04,DIFC.CA,10.300,10.490,10.000,10.490,2010
2026-05-06,DIFC.CA,10.000,10.490,10.000,10.490,1090
2026-05-11,DIFC.CA,10.490,11.550,10.010,11.550,330
2026-05-13,DIFC.CA,11.550,11.990,10.150,11.990,550
2026-05-18,DIFC.CA,11.980,11.990,11.980,11.980,250
2026-05-20,DIFC.CA,11.940,11.940,10.000,11.790,9240
2026-05-25,DIFC.CA,11.500,11.500,10.000,10.000,3060
2026-06-01,DIFC.CA,10.000,11.000,10.000,11.000,1530
2026-06-03,DIFC.CA,10.990,10.990,10.890,10.890,1320
2026-06-08,DIFC.CA,10.200,10.500,10.010,10.010,4160
2026-06-10,DIFC.CA,11.390,12.000,11.390,12.000,1820
2026-06-15,DIFC.CA,10.300,12.000,10.300,10.900,320
2026-06-17,DIFC.CA,10.910,11.250,10.900,11.000,5030
2026-06-22,DIFC.CA,11.800,11.800,10.910,10.910,1030
2026-06-24,DIFC.CA,10.910,10.910,10.900,10.900,290
