Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,DOMT.CA,11.20,11.59,11.03,11.32,168800
2024-01-03,DOMT.CA,11.47,11.65,11.33,11.42,257690
2024-01-04,DOMT.CA,11.44,11.50,11.25,11.29,73320
2024-01-08,DOMT.CA,11.25,11.50,11.24,11.29,95400
2024-01-09,DOMT.CA,11.35,11.45,11.27,11.30,115940
2024-01-10,DOMT.CA,11.43,11.68,11.35,11.40,246990
2024-01-11,DOMT.CA,11.40,11.55,11.00,11.21,225650
2024-01-14,DOMT.CA,11.35,11.70,11.27,11.34,191730
2024-01-15,DOMT.CA,11.35,11.64,11.35,11.43,179040
2024-01-16,DOMT.CA,11.50,11.53,11.30,11.40,164370
2024-01-17,DOMT.CA,11.44,11.56,11.38,11.40,186310
2024-01-18,DOMT.CA,11.50,11.55,11.39,11.52,103770
2024-01-21,DOMT.CA,11.60,12.40,11.57,11.81,464230
2024-01-22,DOMT.CA,12.00,12.10,11.75,11.80,239520
2024-01-23,DOMT.CA,11.81,12.00,11.50,11.52,159740
2024-01-24,DOMT.CA,11.76,11.76,11.35,11.40,211580
2024-01-28,DOMT.CA,11.66,11.99,11.40,11.42,351060
2024-01-29,DOMT.CA,11.45,11.88,11.37,11.42,282870
2024-01-30,DOMT.CA,11.41,12.00,11.41,11.70,368410
2024-01-31,DOMT.CA,11.97,13.00,10.90,10.92,563530
2024-02-01,DOMT.CA,10.92,11.23,10.50,11.00,313990
2024-02-04,DOMT.CA,11.00,11.30,10.63,11.20,202650
2024-02-05,DOMT.CA,11.20,11.54,11.11,11.31,61500
2024-02-06,DOMT.CA,11.31,11.49,11.13,11.20,94470
2024-02-07,DOMT.CA,11.20,11.35,11.01,11.10,124160
2024-02-08,DOMT.CA,11.10,11.32,11.00,11.04,82770
2024-02-11,DOMT.CA,11.04,11.34,11.10,11.22,89420
2024-02-12,DOMT.CA,11.22,11.29,11.11,11.19,44790
2024-02-13,DOMT.CA,11.19,12.10,11.16,11.81,499130
2024-02-14,DOMT.CA,11.81,12.40,11.99,12.16,329350
2024-02-15,DOMT.CA,12.16,12.32,11.91,12.09,232590
2024-02-18,DOMT.CA,12.09,14.42,12.10,13.98,1780000
2024-02-19,DOMT.CA,13.98,16.77,14.20,16.77,2410000
2024-02-20,DOMT.CA,16.77,20.12,17.30,18.95,2490000
2024-02-21,DOMT.CA,18.95,19.90,17.60,17.79,2040000
2024-02-22,DOMT.CA,17.79,18.80,17.04,17.35,1400000
2024-02-25,DOMT.CA,17.35,17.33,14.51,16.02,607800
2024-02-26,DOMT.CA,16.02,18.30,15.80,17.97,1720000
2024-02-27,DOMT.CA,17.97,19.80,17.00,18.00,2220000
2024-02-28,DOMT.CA,18.00,18.49,16.03,16.34,473080
2024-02-29,DOMT.CA,16.34,16.90,15.60,16.40,433820
2024-03-03,DOMT.CA,16.40,17.70,16.45,16.62,399540
2024-03-04,DOMT.CA,16.62,16.95,16.50,16.67,234470
2024-03-05,DOMT.CA,16.67,17.50,16.50,16.58,228020
2024-03-06,DOMT.CA,16.58,16.89,15.10,15.45,592280
2024-03-07,DOMT.CA,15.45,16.00,15.01,15.12,231320
2024-03-10,DOMT.CA,15.12,16.20,14.91,15.00,976280
2024-03-11,DOMT.CA,15.00,15.28,13.50,13.80,1290000
2024-03-12,DOMT.CA,13.80,16.50,13.65,15.56,2810000
2024-03-13,DOMT.CA,15.56,16.60,13.64,15.61,1610000
2024-03-14,DOMT.CA,15.61,15.61,14.00,15.05,416370
2024-03-17,DOMT.CA,15.05,15.74,14.40,14.49,221250
2024-03-18,DOMT.CA,14.49,14.49,12.30,12.57,827450
2024-03-19,DOMT.CA,12.57,12.55,11.35,12.29,360770
2024-03-20,DOMT.CA,12.29,12.78,12.00,12.20,472150
2024-03-21,DOMT.CA,12.20,12.50,12.00,12.23,344340
2024-03-24,DOMT.CA,12.23,13.29,12.37,12.62,476740
2024-03-25,DOMT.CA,12.62,12.98,12.50,12.63,241550
2024-03-26,DOMT.CA,12.63,13.90,12.75,13.03,662220
2024-03-27,DOMT.CA,13.03,13.16,12.10,12.23,392340
2024-03-28,DOMT.CA,12.23,12.49,11.80,12.01,144280
2024-03-31,DOMT.CA,12.01,12.10,11.00,11.22,117420
2024-04-01,DOMT.CA,11.22,12.09,11.01,11.60,296700
2024-04-02,DOMT.CA,11.60,12.10,11.37,11.46,284450
2024-04-03,DOMT.CA,11.46,11.70,11.22,11.37,172080
2024-04-04,DOMT.CA,11.37,12.70,11.30,12.32,1030000
2024-04-07,DOMT.CA,12.32,12.40,11.60,11.82,261420
2024-04-08,DOMT.CA,11.82,12.10,11.71,11.92,175990
2024-04-15,DOMT.CA,11.92,12.25,11.84,12.03,287630
2024-04-16,DOMT.CA,12.03,12.95,12.06,12.64,790410
2024-04-17,DOMT.CA,12.64,12.94,12.52,12.77,394240
2024-04-18,DOMT.CA,12.77,13.74,11.83,12.34,896150
2024-04-21,DOMT.CA,12.34,12.80,12.30,12.39,195040
2024-04-22,DOMT.CA,12.39,12.70,11.82,12.14,142270
2024-04-23,DOMT.CA,12.14,12.29,11.20,11.30,268920
2024-04-24,DOMT.CA,11.30,11.79,10.40,11.05,218930
2024-04-28,DOMT.CA,11.22,11.28,10.25,10.69,200850
2024-04-29,DOMT.CA,10.69,11.10,10.55,10.88,340040
2024-04-30,DOMT.CA,11.00,11.85,10.60,10.67,606580
2024-05-01,DOMT.CA,10.75,10.88,10.39,10.55,743000
2024-05-02,DOMT.CA,10.57,11.25,10.57,10.73,375890
2024-05-07,DOMT.CA,10.85,10.99,10.55,10.79,300900
2024-05-08,DOMT.CA,10.98,11.19,10.79,11.07,523780
2024-05-09,DOMT.CA,10.90,10.90,10.51,10.71,380800
2024-05-12,DOMT.CA,10.60,10.80,10.06,10.14,303370
2024-05-13,DOMT.CA,10.20,10.30,9.40,9.61,300400
2024-05-14,DOMT.CA,9.61,9.80,8.60,9.24,185440
2024-05-15,DOMT.CA,9.24,9.60,9.04,9.15,287910
2024-05-16,DOMT.CA,9.27,9.59,9.20,9.56,148490
2024-05-19,DOMT.CA,9.60,9.88,9.57,9.82,391510
2024-05-20,DOMT.CA,9.88,10.34,9.75,9.96,470810
2024-05-21,DOMT.CA,10.05,10.16,9.86,9.92,256640
2024-05-22,DOMT.CA,9.92,10.25,9.86,9.93,197820
2024-05-23,DOMT.CA,10.00,10.10,9.89,9.93,201720
2024-05-26,DOMT.CA,9.90,10.20,9.90,10.09,183660
2024-05-27,DOMT.CA,10.10,10.80,10.10,10.30,635360
2024-05-28,DOMT.CA,10.10,10.17,9.03,9.99,331630
2024-05-29,DOMT.CA,10.00,10.39,9.95,10.02,1870000
2024-05-30,DOMT.CA,10.02,10.05,9.75,9.86,138770
2024-06-02,DOMT.CA,9.86,10.00,9.10,9.63,107940
2024-06-03,DOMT.CA,9.75,9.77,9.53,9.57,93300
2024-06-04,DOMT.CA,9.62,9.90,9.60,9.80,71310
2024-06-05,DOMT.CA,9.81,9.97,9.25,9.48,213160
2024-06-06,DOMT.CA,9.72,9.72,9.35,9.44,67240
2024-06-09,DOMT.CA,9.50,9.54,9.12,9.20,71000
2024-06-10,DOMT.CA,9.27,9.53,9.01,9.50,262750
2024-06-11,DOMT.CA,9.60,10.19,9.42,9.94,316320
2024-06-12,DOMT.CA,10.10,10.49,10.04,10.14,352720
2024-06-13,DOMT.CA,10.14,10.25,9.51,9.89,288700
2024-06-23,DOMT.CA,9.90,10.05,9.88,9.94,141780
2024-06-24,DOMT.CA,10.00,10.05,9.55,9.88,105800
2024-06-25,DOMT.CA,9.94,9.98,9.60,9.87,58660
2024-06-26,DOMT.CA,9.95,10.40,9.92,10.11,344790
2024-06-27,DOMT.CA,10.21,10.60,10.21,10.33,471610
2024-07-01,DOMT.CA,10.41,10.99,10.41,10.68,306360
2024-07-02,DOMT.CA,10.81,11.42,10.81,11.30,1050000
2024-07-03,DOMT.CA,11.50,11.65,10.74,10.94,442190
2024-07-04,DOMT.CA,11.00,11.25,11.00,11.02,268080
2024-07-07,DOMT.CA,11.10,11.23,10.81,11.16,175490
2024-07-08,DOMT.CA,11.14,11.25,10.84,11.04,230910
2024-07-09,DOMT.CA,11.00,11.10,10.81,11.03,109730
2024-07-10,DOMT.CA,11.05,11.11,10.57,10.87,100180
2024-07-14,DOMT.CA,10.73,10.93,10.70,10.87,25280
2024-07-15,DOMT.CA,10.78,10.80,10.36,10.48,75500
2024-07-16,DOMT.CA,10.80,10.80,10.38,10.63,109170
2024-07-17,DOMT.CA,10.55,10.76,10.55,10.68,67360
2024-07-18,DOMT.CA,10.75,11.07,10.73,10.86,141380
2024-07-21,DOMT.CA,10.95,11.05,10.83,10.91,247110
2024-07-22,DOMT.CA,11.00,11.17,10.91,10.95,183870
