Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,DSCW.CA,1.780,1.780,1.740,1.750,9940000
2026-01-05,DSCW.CA,1.750,1.760,1.710,1.730,13170000
2026-01-06,DSCW.CA,1.730,1.740,1.720,1.740,4120000
2026-01-08,DSCW.CA,1.740,1.770,1.730,1.770,13000000
2026-01-11,DSCW.CA,1.800,1.820,1.740,1.770,92400000
2026-01-12,DSCW.CA,1.780,1.790,1.740,1.750,21680000
2026-01-13,DSCW.CA,1.750,1.760,1.700,1.720,28870000
2026-01-14,DSCW.CA,1.720,1.720,1.620,1.660,20970000
2026-01-15,DSCW.CA,1.640,1.710,1.620,1.650,38140000
2026-01-18,DSCW.CA,1.670,1.700,1.650,1.670,8500000
2026-01-19,DSCW.CA,1.680,1.720,1.660,1.710,30590000
2026-01-20,DSCW.CA,1.720,1.730,1.680,1.690,10730000
2026-01-21,DSCW.CA,1.690,1.700,1.670,1.700,10270000
2026-01-22,DSCW.CA,1.700,1.710,1.680,1.680,8810000
2026-01-25,DSCW.CA,1.690,1.700,1.660,1.670,8900000
2026-01-26,DSCW.CA,1.670,1.720,1.660,1.710,29550000
2026-01-27,DSCW.CA,1.720,1.750,1.680,1.690,44800000
2026-01-28,DSCW.CA,1.700,1.710,1.640,1.690,18920000
2026-02-01,DSCW.CA,1.700,1.730,1.670,1.720,25500000
2026-02-02,DSCW.CA,1.720,1.730,1.700,1.710,5830000
2026-02-03,DSCW.CA,1.710,1.730,1.700,1.710,8790000
2026-02-04,DSCW.CA,1.720,1.760,1.710,1.740,18980000
2026-02-05,DSCW.CA,1.750,1.760,1.720,1.750,20070000
2026-02-08,DSCW.CA,1.760,1.760,1.740,1.760,8070000
2026-02-09,DSCW.CA,1.760,1.780,1.760,1.770,20340000
2026-02-10,DSCW.CA,1.770,1.780,1.760,1.770,6690000
2026-02-11,DSCW.CA,1.780,1.780,1.700,1.710,16560000
2026-02-12,DSCW.CA,1.710,1.750,1.700,1.750,7650000
2026-02-15,DSCW.CA,1.750,1.760,1.730,1.750,9570000
2026-02-16,DSCW.CA,1.760,1.760,1.730,1.730,4830000
2026-02-17,DSCW.CA,1.740,1.740,1.710,1.720,7110000
2026-02-18,DSCW.CA,1.730,1.740,1.710,1.730,8100000
2026-02-19,DSCW.CA,1.730,1.740,1.670,1.680,15850000
2026-02-22,DSCW.CA,1.700,1.710,1.650,1.650,10460000
2026-02-23,DSCW.CA,1.660,1.680,1.650,1.670,4360000
2026-02-24,DSCW.CA,1.680,1.690,1.660,1.670,6270000
2026-02-25,DSCW.CA,1.680,1.680,1.600,1.620,13010000
2026-02-26,DSCW.CA,1.630,1.630,1.600,1.620,6690000
2026-03-01,DSCW.CA,1.570,1.600,1.450,1.580,10910000
2026-03-02,DSCW.CA,1.590,1.620,1.580,1.610,3480000
2026-03-03,DSCW.CA,1.610,1.640,1.590,1.640,13500000
2026-03-04,DSCW.CA,1.640,1.700,1.640,1.680,17700000
2026-03-05,DSCW.CA,1.690,1.720,1.680,1.690,8900000
2026-03-08,DSCW.CA,1.690,1.800,1.680,1.780,42720000
2026-03-09,DSCW.CA,1.780,1.800,1.710,1.750,19090000
2026-03-10,DSCW.CA,1.760,1.860,1.750,1.850,62700000
2026-03-11,DSCW.CA,1.850,1.860,1.810,1.820,26210000
2026-03-12,DSCW.CA,1.810,1.860,1.810,1.810,23290000
2026-03-15,DSCW.CA,1.820,1.830,1.770,1.770,10940000
2026-03-16,DSCW.CA,1.770,1.790,1.760,1.780,7290000
2026-03-17,DSCW.CA,1.770,1.890,1.770,1.850,46020000
2026-03-18,DSCW.CA,1.850,1.860,1.790,1.800,18060000
2026-03-24,DSCW.CA,1.810,1.810,1.750,1.770,42280000
2026-03-25,DSCW.CA,1.780,1.780,1.730,1.740,21540000
2026-03-26,DSCW.CA,1.740,1.750,1.690,1.700,28070000
2026-03-29,DSCW.CA,1.710,1.760,1.670,1.720,35140000
2026-03-30,DSCW.CA,1.730,1.800,1.720,1.730,56290000
2026-03-31,DSCW.CA,1.730,1.780,1.730,1.760,14190000
2026-04-01,DSCW.CA,1.770,1.800,1.730,1.760,13190000
2026-04-02,DSCW.CA,1.760,1.760,1.740,1.750,8440000
2026-04-05,DSCW.CA,1.750,1.820,1.730,1.800,39470000
2026-04-06,DSCW.CA,1.800,1.920,1.790,1.860,142090000
2026-04-07,DSCW.CA,1.880,1.880,1.830,1.840,18050000
2026-04-08,DSCW.CA,1.860,1.910,1.860,1.870,24710000
2026-04-09,DSCW.CA,1.880,2.000,1.880,1.990,97350000
2026-04-12,DSCW.CA,1.870,1.990,1.990,1.990,97350000
2026-04-14,DSCW.CA,1.990,2.040,1.950,1.960,42980000
2026-04-15,DSCW.CA,1.970,2.070,1.930,2.030,65630000
2026-04-16,DSCW.CA,2.030,2.070,1.990,2.010,40160000
2026-04-19,DSCW.CA,2.010,2.020,1.930,1.940,30760000
2026-04-20,DSCW.CA,1.950,1.960,1.890,1.920,60570000
2026-04-21,DSCW.CA,1.940,1.950,1.890,1.900,33740000
2026-04-22,DSCW.CA,1.910,1.980,1.890,1.960,61700000
2026-04-23,DSCW.CA,1.960,2.010,1.940,1.940,40990000
2026-04-26,DSCW.CA,1.950,2.000,1.940,2.000,33850000
2026-04-27,DSCW.CA,2.020,2.100,2.020,2.100,83490000
2026-04-28,DSCW.CA,2.100,2.100,2.030,2.040,50100000
2026-04-29,DSCW.CA,2.040,2.080,2.010,2.080,40100000
2026-04-30,DSCW.CA,2.080,2.140,1.960,2.000,118680000
2026-05-03,DSCW.CA,2.000,2.020,1.960,1.970,45350000
2026-05-04,DSCW.CA,1.990,1.990,1.920,1.950,30340000
2026-05-05,DSCW.CA,1.950,1.970,1.900,1.940,33130000
2026-05-06,DSCW.CA,1.950,1.970,1.900,1.910,61590000
2026-05-10,DSCW.CA,1.920,1.980,1.920,1.970,49100000
2026-05-11,DSCW.CA,1.980,1.980,1.930,1.940,29180000
2026-05-12,DSCW.CA,1.950,1.960,1.920,1.920,21280000
2026-05-13,DSCW.CA,1.930,1.940,1.910,1.930,19330000
2026-05-14,DSCW.CA,1.930,1.940,1.890,1.890,41340000
2026-05-17,DSCW.CA,1.900,1.910,1.860,1.860,28460000
2026-05-18,DSCW.CA,1.870,1.890,1.850,1.850,17490000
2026-05-19,DSCW.CA,1.860,1.880,1.750,1.850,43650000
2026-05-20,DSCW.CA,1.860,1.880,1.730,1.730,106820000
2026-05-21,DSCW.CA,1.740,1.760,1.710,1.730,50380000
2026-05-24,DSCW.CA,1.750,1.770,1.730,1.750,16850000
2026-05-25,DSCW.CA,1.750,1.770,1.740,1.750,17910000
2026-06-01,DSCW.CA,1.760,1.790,1.750,1.780,19640000
2026-06-02,DSCW.CA,1.790,1.840,1.770,1.810,31900000
2026-06-03,DSCW.CA,1.810,1.830,1.800,1.820,19310000
2026-06-04,DSCW.CA,1.820,1.880,1.800,1.860,39520000
2026-06-07,DSCW.CA,1.870,1.870,1.830,1.830,20820000
2026-06-08,DSCW.CA,1.830,1.840,1.810,1.810,11450000
2026-06-09,DSCW.CA,1.830,1.840,1.820,1.820,9890000
2026-06-10,DSCW.CA,1.820,1.830,1.770,1.770,18520000
2026-06-11,DSCW.CA,1.770,1.790,1.740,1.740,11830000
2026-06-14,DSCW.CA,1.780,1.790,1.750,1.780,15070000
2026-06-15,DSCW.CA,1.790,1.840,1.780,1.800,31500000
2026-06-16,DSCW.CA,1.810,1.860,1.810,1.860,35150000
2026-06-17,DSCW.CA,1.860,1.870,1.840,1.840,23700000
2026-06-21,DSCW.CA,1.850,1.860,1.830,1.830,17100000
2026-06-22,DSCW.CA,1.840,1.850,1.800,1.820,13870000
2026-06-23,DSCW.CA,1.820,1.830,1.790,1.800,12710000
2026-06-24,DSCW.CA,1.810,1.820,1.760,1.780,21500000
