Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,DTPP.CA,119.89,120.45,116.08,117.05,26160
2026-01-05,DTPP.CA,117.20,118.00,111.72,112.71,37290
2026-01-06,DTPP.CA,114.99,116.99,112.42,112.84,44760
2026-01-08,DTPP.CA,113.07,118.00,112.90,113.03,54350
2026-01-11,DTPP.CA,113.30,115.40,111.30,112.95,35700
2026-01-12,DTPP.CA,113.67,113.67,109.00,109.32,49190
2026-01-13,DTPP.CA,110.00,110.00,102.20,102.97,107970
2026-01-14,DTPP.CA,104.00,109.00,101.11,101.99,103680
2026-01-15,DTPP.CA,104.44,105.00,99.00,99.42,74290
2026-01-18,DTPP.CA,102.00,103.00,100.25,100.74,35270
2026-01-19,DTPP.CA,101.53,102.90,100.00,100.89,41550
2026-01-20,DTPP.CA,101.75,104.50,101.00,101.09,55550
2026-01-21,DTPP.CA,100.92,101.80,99.00,99.40,46550
2026-01-22,DTPP.CA,100.00,104.50,97.50,99.27,190340
2026-01-25,DTPP.CA,99.03,101.50,98.00,98.00,70860
2026-01-26,DTPP.CA,98.50,99.95,96.50,96.57,29770
2026-01-27,DTPP.CA,97.00,97.50,94.63,95.05,47440
2026-01-28,DTPP.CA,95.90,96.95,91.55,91.79,43850
2026-02-01,DTPP.CA,91.83,95.50,91.52,94.41,28920
2026-02-02,DTPP.CA,94.79,110.97,93.90,109.59,341290
2026-02-03,DTPP.CA,109.54,109.54,102.65,103.33,152710
2026-02-04,DTPP.CA,104.74,108.85,102.80,103.52,135570
2026-02-05,DTPP.CA,104.16,105.50,99.03,100.55,101190
2026-02-08,DTPP.CA,101.26,103.00,100.41,100.79,49740
2026-02-09,DTPP.CA,101.28,102.30,99.40,99.91,39080
2026-02-10,DTPP.CA,100.21,100.90,98.60,98.66,37510
2026-02-11,DTPP.CA,99.00,99.89,97.00,97.43,20900
2026-02-12,DTPP.CA,97.98,99.49,96.00,98.02,24140
2026-02-15,DTPP.CA,99.00,100.77,98.05,98.30,35540
2026-02-16,DTPP.CA,98.30,99.50,96.00,96.92,30930
2026-02-17,DTPP.CA,96.70,103.90,96.70,99.02,85800
2026-02-18,DTPP.CA,99.14,100.99,98.60,98.89,24600
2026-02-19,DTPP.CA,99.00,99.50,97.75,97.87,24420
2026-02-22,DTPP.CA,98.00,99.47,96.95,97.00,15380
2026-02-23,DTPP.CA,97.07,98.00,96.90,97.15,15610
2026-02-24,DTPP.CA,98.67,98.67,97.16,97.24,9830
2026-02-25,DTPP.CA,97.20,97.97,94.05,94.79,21810
2026-02-26,DTPP.CA,95.00,96.70,93.00,94.92,16010
2026-03-01,DTPP.CA,93.00,93.70,90.00,92.84,21860
2026-03-02,DTPP.CA,92.80,96.00,92.12,93.85,11670
2026-03-03,DTPP.CA,94.15,95.00,92.00,92.46,23410
2026-03-04,DTPP.CA,93.51,99.98,93.51,96.64,118460
2026-03-05,DTPP.CA,97.78,98.03,95.50,97.29,39750
