Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,EASB.CA,3.276,3.330,3.249,3.258,269600
2026-01-05,EASB.CA,3.276,3.276,3.195,3.204,506380
2026-01-06,EASB.CA,3.285,3.312,3.213,3.294,259730
2026-01-08,EASB.CA,3.258,3.312,3.240,3.276,414360
2026-01-11,EASB.CA,3.258,3.285,3.159,3.240,140830
2026-01-12,EASB.CA,3.390,3.400,3.200,3.220,932660
2026-01-13,EASB.CA,3.220,3.290,3.100,3.130,387810
2026-01-14,EASB.CA,3.130,3.180,3.000,3.020,407320
2026-01-15,EASB.CA,3.060,3.120,3.000,3.040,160220
2026-01-18,EASB.CA,3.110,3.110,3.030,3.040,74790
2026-01-19,EASB.CA,3.040,3.170,3.040,3.140,192120
2026-01-20,EASB.CA,3.120,3.330,3.100,3.190,372040
2026-01-21,EASB.CA,3.240,3.240,3.140,3.160,230970
2026-01-22,EASB.CA,3.180,3.190,3.100,3.150,131800
2026-01-25,EASB.CA,3.130,3.160,3.050,3.120,239390
2026-01-26,EASB.CA,3.140,3.140,3.030,3.090,300350
2026-01-27,EASB.CA,3.110,3.190,3.060,3.090,192900
2026-01-28,EASB.CA,3.090,3.120,3.030,3.040,183950
2026-02-01,EASB.CA,3.030,3.140,3.000,3.050,194760
2026-02-02,EASB.CA,3.050,3.100,3.040,3.050,259570
2026-02-03,EASB.CA,3.070,3.090,3.030,3.060,339820
2026-02-04,EASB.CA,3.060,3.180,3.050,3.080,328840
2026-02-05,EASB.CA,3.060,3.120,3.060,3.080,202850
2026-02-08,EASB.CA,3.120,3.180,3.090,3.130,278780
2026-02-09,EASB.CA,3.120,3.220,3.120,3.140,322970
2026-02-10,EASB.CA,3.180,3.180,3.100,3.120,182230
2026-02-11,EASB.CA,3.160,3.190,3.090,3.120,248070
2026-02-12,EASB.CA,3.160,3.160,3.090,3.110,191830
2026-02-15,EASB.CA,3.130,3.170,3.100,3.120,171000
2026-02-16,EASB.CA,3.110,3.160,3.100,3.120,49870
2026-02-17,EASB.CA,3.130,3.150,3.090,3.100,201290
2026-02-18,EASB.CA,3.130,3.210,3.130,3.190,830100
