Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,EAST.CA,37.10,37.40,36.00,36.00,594060
2026-01-05,EAST.CA,36.02,36.25,34.85,36.00,1850000
2026-01-06,EAST.CA,36.05,38.12,35.55,37.52,1110000
2026-01-08,EAST.CA,37.51,38.04,37.10,37.80,3990000
2026-01-11,EAST.CA,37.90,38.25,37.10,37.14,848740
2026-01-12,EAST.CA,37.19,37.49,36.00,36.20,3460000
2026-01-13,EAST.CA,36.48,37.00,35.56,36.00,2240000
2026-01-14,EAST.CA,36.10,36.10,35.01,35.89,3210000
2026-01-15,EAST.CA,35.87,36.93,35.50,36.57,2200000
2026-01-18,EAST.CA,36.94,36.99,36.10,36.99,503930
2026-01-19,EAST.CA,36.99,37.67,36.41,37.50,1110000
2026-01-20,EAST.CA,37.50,38.49,37.50,37.70,2200000
2026-01-21,EAST.CA,37.71,37.89,37.02,37.43,1650000
2026-01-22,EAST.CA,37.73,38.00,37.26,37.70,2180000
2026-01-25,EAST.CA,37.88,37.90,36.61,37.00,910080
2026-01-26,EAST.CA,37.00,38.00,36.15,38.00,1460000
2026-01-27,EAST.CA,38.00,38.00,37.00,37.00,2620000
2026-01-28,EAST.CA,37.02,37.90,36.72,37.80,1090000
2026-02-01,EAST.CA,37.51,38.28,37.12,38.00,1060000
2026-02-02,EAST.CA,38.10,40.00,38.10,39.83,11300000
2026-02-03,EAST.CA,40.00,40.84,39.90,40.70,1130000
2026-02-04,EAST.CA,40.69,41.00,40.20,41.00,1340000
2026-02-05,EAST.CA,40.99,41.49,39.62,41.30,781520
2026-02-08,EAST.CA,41.30,41.49,39.85,40.02,643300
2026-02-09,EAST.CA,40.14,41.50,40.00,41.11,974320
2026-02-10,EAST.CA,41.12,42.20,40.54,40.70,760190
2026-02-11,EAST.CA,40.90,41.00,39.90,40.00,1720000
2026-02-12,EAST.CA,39.99,40.68,39.50,40.66,1610000
2026-02-15,EAST.CA,40.70,40.87,40.09,40.55,659730
2026-02-16,EAST.CA,40.55,41.95,40.25,41.48,1380000
2026-02-17,EAST.CA,41.47,41.50,40.80,40.97,361130
2026-02-18,EAST.CA,40.83,41.29,40.40,41.19,1330000
2026-02-19,EAST.CA,41.19,41.28,39.80,40.04,407690
2026-02-22,EAST.CA,40.15,40.57,38.93,39.51,620370
2026-02-23,EAST.CA,39.60,40.30,39.26,40.30,574500
2026-02-24,EAST.CA,40.30,40.89,39.52,40.89,847900
2026-02-25,EAST.CA,40.88,42.80,39.50,42.80,1300000
2026-02-26,EAST.CA,41.50,41.50,40.25,41.00,7290000
2026-03-01,EAST.CA,38.50,40.75,37.51,40.50,1210000
2026-03-02,EAST.CA,40.50,40.85,39.90,39.99,519350
2026-03-03,EAST.CA,39.80,39.99,38.60,39.29,399060
2026-03-04,EAST.CA,39.29,39.48,37.85,37.85,1080000
2026-03-05,EAST.CA,38.18,39.59,38.06,38.35,1600000
2026-03-08,EAST.CA,38.53,38.88,37.75,37.89,502250
2026-03-09,EAST.CA,37.99,38.20,37.41,37.59,1510000
2026-03-10,EAST.CA,37.86,38.00,37.59,37.85,480930
2026-03-11,EAST.CA,38.19,38.24,35.00,35.00,1070000
2026-03-12,EAST.CA,37.48,38.01,36.56,37.11,441030
2026-03-15,EAST.CA,37.39,37.44,36.75,37.00,122150
2026-03-16,EAST.CA,37.05,37.29,36.57,37.10,480940
2026-03-17,EAST.CA,37.10,37.59,37.00,37.32,1790000
2026-03-18,EAST.CA,37.50,37.74,35.89,35.89,50960000
2026-03-24,EAST.CA,36.00,37.00,35.52,36.41,11180000
2026-03-25,EAST.CA,36.60,37.70,36.60,37.70,2460000
2026-03-26,EAST.CA,37.70,38.00,37.24,37.50,716020
2026-03-29,EAST.CA,37.48,37.48,36.50,36.75,252220
2026-03-30,EAST.CA,36.96,36.96,35.16,35.59,2310000
2026-03-31,EAST.CA,35.70,35.80,34.83,34.85,3400000
2026-04-01,EAST.CA,35.17,35.60,35.01,35.60,1330000
2026-04-02,EAST.CA,35.47,35.59,35.13,35.50,695720
2026-04-05,EAST.CA,35.50,35.80,35.31,35.77,808840
2026-04-06,EAST.CA,35.80,36.80,35.77,36.45,1100000
2026-04-07,EAST.CA,36.50,36.70,35.77,35.99,862560
2026-04-08,EAST.CA,36.50,37.29,36.40,37.17,1780000
2026-04-09,EAST.CA,37.19,38.43,36.76,38.20,1670000
2026-04-12,EAST.CA,37.17,38.20,38.20,38.20,1670000
2026-04-14,EAST.CA,38.50,38.75,38.00,38.00,1520000
2026-04-15,EAST.CA,38.00,38.58,37.61,38.00,2000000
2026-04-16,EAST.CA,38.19,39.87,37.65,39.87,10550000
2026-04-19,EAST.CA,39.87,40.50,39.23,40.29,2210000
2026-04-20,EAST.CA,40.21,40.40,39.05,39.90,638840
2026-04-21,EAST.CA,39.90,40.00,38.74,39.65,1170000
2026-04-22,EAST.CA,39.65,40.89,39.19,40.75,2060000
