Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ECAP.CA,22.11,22.79,21.93,22.23,183070
2024-01-03,ECAP.CA,22.50,23.20,22.25,22.99,169760
2024-01-04,ECAP.CA,23.17,24.50,23.17,23.79,446430
2024-01-08,ECAP.CA,23.80,24.37,23.60,24.23,172900
2024-01-09,ECAP.CA,24.30,24.40,23.80,24.28,209060
2024-01-10,ECAP.CA,24.31,24.94,24.01,24.70,291180
2024-01-11,ECAP.CA,24.75,25.48,24.40,24.61,413920
2024-01-14,ECAP.CA,25.00,25.20,24.35,24.85,189810
2024-01-15,ECAP.CA,25.00,25.15,24.11,24.19,95470
2024-01-16,ECAP.CA,24.50,24.85,24.12,24.69,193680
2024-01-17,ECAP.CA,24.99,26.30,24.67,25.74,839510
2024-01-18,ECAP.CA,25.85,26.40,25.06,25.49,521810
2024-01-21,ECAP.CA,25.55,26.46,25.55,26.15,549880
2024-01-22,ECAP.CA,26.25,27.20,25.75,26.66,520020
2024-01-23,ECAP.CA,26.65,26.99,26.01,26.21,303630
2024-01-24,ECAP.CA,26.25,26.60,24.01,25.43,152760
2024-01-28,ECAP.CA,25.41,26.50,25.06,26.50,201670
2024-01-29,ECAP.CA,26.60,27.18,26.05,26.75,289720
2024-01-30,ECAP.CA,27.00,29.47,26.70,28.60,881310
2024-01-31,ECAP.CA,28.80,29.22,25.00,26.05,517720
2024-02-01,ECAP.CA,26.05,26.95,21.00,26.15,369630
2024-02-04,ECAP.CA,26.15,26.39,25.00,25.81,147790
2024-02-05,ECAP.CA,25.81,26.80,25.50,25.99,171510
2024-02-06,ECAP.CA,25.99,26.80,25.50,26.25,203410
2024-02-07,ECAP.CA,26.25,26.50,25.65,25.83,118570
2024-02-08,ECAP.CA,25.83,27.30,25.81,26.71,173080
2024-02-11,ECAP.CA,26.71,26.90,25.40,25.63,89550
2024-02-12,ECAP.CA,25.63,26.28,25.43,25.98,45090
2024-02-13,ECAP.CA,25.98,26.98,25.90,26.12,223750
2024-02-14,ECAP.CA,26.12,26.50,25.40,25.43,180380
2024-02-15,ECAP.CA,25.43,25.99,25.25,25.60,167320
2024-02-18,ECAP.CA,25.60,26.15,25.60,25.76,79210
2024-02-19,ECAP.CA,25.76,26.38,25.76,26.01,133330
2024-02-20,ECAP.CA,26.01,29.95,26.01,28.51,913100
2024-02-21,ECAP.CA,28.51,34.21,28.36,34.21,2280000
2024-02-22,ECAP.CA,34.21,38.80,33.35,34.00,1440000
2024-02-25,ECAP.CA,34.00,33.00,30.00,30.29,469460
2024-02-26,ECAP.CA,30.29,33.69,30.02,31.08,367040
2024-02-27,ECAP.CA,31.08,34.10,31.00,31.20,595640
2024-02-28,ECAP.CA,31.20,33.75,29.50,30.00,491770
2024-02-29,ECAP.CA,30.00,31.10,27.56,28.25,269890
2024-03-03,ECAP.CA,28.25,30.46,28.00,28.98,285830
2024-03-04,ECAP.CA,28.98,31.99,29.72,30.12,466680
2024-03-05,ECAP.CA,30.12,30.90,29.03,29.33,125170
2024-03-06,ECAP.CA,29.33,29.70,25.51,26.71,469170
2024-03-07,ECAP.CA,26.71,27.89,25.52,26.36,113700
2024-03-10,ECAP.CA,26.36,27.40,25.90,26.49,258270
2024-03-11,ECAP.CA,26.49,28.50,26.34,26.50,232000
2024-03-12,ECAP.CA,26.50,27.40,24.33,24.81,108900
2024-03-13,ECAP.CA,24.81,25.97,24.10,24.24,109850
2024-03-14,ECAP.CA,24.24,25.48,24.32,24.58,75670
2024-03-17,ECAP.CA,24.58,25.49,22.32,22.50,752490
2024-03-18,ECAP.CA,22.50,22.80,18.20,18.21,1250000
2024-03-19,ECAP.CA,18.21,21.85,18.22,21.85,1110000
2024-03-20,ECAP.CA,21.85,24.00,21.36,21.95,975610
2024-03-21,ECAP.CA,21.95,22.74,20.86,22.24,546160
2024-03-24,ECAP.CA,22.24,22.80,21.50,21.77,140570
2024-03-25,ECAP.CA,21.77,23.70,21.60,22.50,441910
2024-03-26,ECAP.CA,22.50,23.00,22.17,22.26,229250
2024-03-27,ECAP.CA,22.26,22.31,21.13,21.68,196030
2024-03-28,ECAP.CA,21.68,22.90,21.50,22.34,297820
2024-03-31,ECAP.CA,22.34,22.84,20.50,20.88,169450
2024-04-01,ECAP.CA,20.88,21.50,21.01,21.29,120710
2024-04-02,ECAP.CA,21.29,21.94,21.10,21.19,136630
2024-04-03,ECAP.CA,21.19,21.60,20.52,21.08,64940
2024-04-04,ECAP.CA,21.08,22.75,21.09,22.12,503120
2024-04-07,ECAP.CA,22.12,24.00,22.76,23.09,574960
2024-04-08,ECAP.CA,23.09,23.80,22.80,23.01,143540
2024-04-15,ECAP.CA,23.01,25.20,22.80,25.14,501960
2024-04-16,ECAP.CA,25.14,25.99,24.60,25.04,441100
2024-04-17,ECAP.CA,25.04,25.25,24.38,24.67,196390
2024-04-18,ECAP.CA,24.67,24.75,22.02,23.15,260450
2024-04-21,ECAP.CA,23.15,23.93,22.80,23.20,332630
2024-04-22,ECAP.CA,23.20,24.00,22.70,22.95,155570
2024-04-23,ECAP.CA,22.95,23.00,21.05,21.41,112290
2024-04-24,ECAP.CA,21.41,21.92,19.30,20.25,160500
2024-04-28,ECAP.CA,20.42,20.83,19.00,19.26,68730
2024-04-29,ECAP.CA,18.51,20.74,18.51,20.58,158310
2024-04-30,ECAP.CA,20.58,20.88,18.60,18.64,134700
2024-05-01,ECAP.CA,18.90,19.35,18.40,18.98,151940
2024-05-02,ECAP.CA,19.35,20.77,19.06,20.15,309800
2024-05-07,ECAP.CA,20.12,20.50,19.10,19.92,118650
2024-05-08,ECAP.CA,20.20,20.35,19.40,19.52,120530
2024-05-09,ECAP.CA,19.90,20.20,19.42,19.78,101180
2024-05-12,ECAP.CA,19.81,20.27,18.62,18.67,176990
2024-05-13,ECAP.CA,18.70,19.00,18.16,18.93,149570
2024-05-14,ECAP.CA,19.39,19.40,18.50,18.56,102960
2024-05-15,ECAP.CA,18.57,19.09,18.50,18.66,111430
2024-05-16,ECAP.CA,18.75,19.58,18.70,19.17,163390
2024-05-19,ECAP.CA,19.30,20.50,19.21,20.12,213420
2024-05-20,ECAP.CA,20.12,20.99,19.70,20.33,234460
2024-05-21,ECAP.CA,20.60,22.36,20.58,20.72,553310
2024-05-22,ECAP.CA,20.90,20.94,19.84,20.00,175040
2024-05-23,ECAP.CA,20.20,20.29,19.77,19.93,147820
2024-05-26,ECAP.CA,20.01,21.38,19.93,20.87,452930
2024-05-27,ECAP.CA,21.02,21.60,20.72,20.94,233250
2024-05-28,ECAP.CA,20.94,20.96,20.01,20.88,159320
2024-05-29,ECAP.CA,20.80,22.50,20.10,21.66,847760
2024-05-30,ECAP.CA,21.70,21.85,20.27,20.44,526170
2024-06-02,ECAP.CA,20.89,20.89,19.40,19.50,317360
2024-06-03,ECAP.CA,19.84,20.10,19.04,19.23,481420
2024-06-04,ECAP.CA,19.30,19.90,19.30,19.41,168380
2024-06-05,ECAP.CA,19.50,19.64,18.59,18.98,379430
2024-06-06,ECAP.CA,19.28,19.44,18.83,18.90,259600
2024-06-09,ECAP.CA,18.94,19.19,18.31,18.38,228470
2024-06-10,ECAP.CA,18.55,19.59,18.31,19.51,603060
2024-06-11,ECAP.CA,19.59,19.88,18.65,18.74,384210
2024-06-12,ECAP.CA,18.90,19.69,18.75,19.04,723240
2024-06-13,ECAP.CA,19.08,19.73,19.00,19.32,424920
2024-06-23,ECAP.CA,19.23,20.14,19.23,19.69,381550
2024-06-24,ECAP.CA,19.80,20.54,19.69,19.81,561140
2024-06-25,ECAP.CA,19.83,20.08,19.50,19.85,165730
2024-06-26,ECAP.CA,19.81,20.15,19.50,19.59,255630
2024-06-27,ECAP.CA,19.65,20.60,19.61,19.90,1210000
2024-07-01,ECAP.CA,19.90,20.48,19.90,19.99,323820
2024-07-02,ECAP.CA,20.40,21.39,20.12,20.26,1320000
2024-07-03,ECAP.CA,20.30,20.59,20.11,20.17,519700
2024-07-04,ECAP.CA,20.29,20.29,19.70,19.83,395720
2024-07-07,ECAP.CA,20.00,20.20,19.82,19.86,320940
2024-07-08,ECAP.CA,20.15,20.54,19.92,20.16,644560
2024-07-09,ECAP.CA,20.45,21.00,20.18,20.70,1280000
2024-07-10,ECAP.CA,21.45,21.95,21.05,21.09,2170000
2024-07-14,ECAP.CA,21.37,21.50,20.65,20.86,530940
2024-07-15,ECAP.CA,23.09,25.03,21.66,22.48,2200000
2024-07-16,ECAP.CA,23.09,23.70,22.51,22.53,2560000
2024-07-17,ECAP.CA,22.78,23.50,22.31,22.43,2170000
2024-07-18,ECAP.CA,22.68,22.74,22.01,22.27,950180
2024-07-21,ECAP.CA,22.30,23.80,22.13,23.15,1970000
2024-07-22,ECAP.CA,23.50,23.64,22.71,22.74,996400
2024-07-23,ECAP.CA,22.74,23.47,22.70,22.93,906720
2024-07-24,ECAP.CA,23.13,23.22,22.30,22.43,548090
2024-07-28,ECAP.CA,22.59,22.80,22.05,22.33,815590
2024-07-29,ECAP.CA,22.55,22.78,22.10,22.16,569840
2024-07-30,ECAP.CA,22.30,23.44,22.11,23.30,1420000
2024-07-31,ECAP.CA,23.45,24.30,23.15,23.25,1720000
2024-08-01,ECAP.CA,23.55,23.62,22.83,22.90,566850
2024-08-04,ECAP.CA,21.99,22.28,21.20,21.48,880490
2024-08-05,ECAP.CA,20.99,20.99,18.80,19.86,947320
2024-08-06,ECAP.CA,20.00,20.65,19.61,20.31,546400
2024-08-07,ECAP.CA,20.91,21.90,20.60,21.47,1980000
2024-08-08,ECAP.CA,21.40,21.50,20.78,20.91,873680
2024-08-11,ECAP.CA,21.25,21.45,21.10,21.27,735170
2024-08-12,ECAP.CA,21.50,22.10,21.32,21.32,1220000
2024-08-13,ECAP.CA,21.49,21.70,21.03,21.03,611890
2024-08-14,ECAP.CA,21.17,21.97,21.15,21.60,1100000
2024-08-15,ECAP.CA,22.00,22.10,21.22,21.54,1480000
2024-08-18,ECAP.CA,21.70,22.65,21.70,22.49,2840000
2024-08-19,ECAP.CA,22.57,22.99,22.21,22.50,1100000
2024-08-20,ECAP.CA,22.61,22.98,22.26,22.50,1560000
2024-08-21,ECAP.CA,22.51,22.64,22.00,22.00,538550
2024-08-22,ECAP.CA,22.29,22.89,19.00,21.76,1210000
2024-08-25,ECAP.CA,22.22,22.29,21.21,22.00,743420
2024-08-26,ECAP.CA,22.01,22.25,21.62,21.92,280000
2024-08-27,ECAP.CA,21.98,22.17,21.72,22.00,472860
2024-08-28,ECAP.CA,22.14,22.20,21.81,21.81,374110
2024-08-29,ECAP.CA,21.90,22.11,21.77,21.80,234810
2024-09-01,ECAP.CA,21.84,22.02,21.75,21.75,194380
2024-09-02,ECAP.CA,21.97,21.97,21.50,21.50,348700
2024-09-03,ECAP.CA,21.60,23.70,21.40,23.45,6990000
2024-09-04,ECAP.CA,23.11,23.63,22.21,22.95,3730000
2024-09-05,ECAP.CA,23.00,23.30,22.65,22.70,917230
2024-09-08,ECAP.CA,22.75,22.95,22.00,22.09,670380
2024-09-09,ECAP.CA,22.15,22.56,22.13,22.18,617040
