Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,EDFM.CA,166.98,167.99,162.07,165.87,5460
2024-01-03,EDFM.CA,165.01,167.51,162.33,165.87,160
2024-01-04,EDFM.CA,162.31,169.00,162.31,166.94,8480
2024-01-08,EDFM.CA,168.96,168.96,163.27,167.00,3060
2024-01-09,EDFM.CA,167.00,167.00,167.00,167.00,100
2024-01-10,EDFM.CA,170.00,170.00,165.01,168.97,2610
2024-01-11,EDFM.CA,165.63,171.90,165.63,168.97,830
2024-01-14,EDFM.CA,174.00,174.00,169.00,168.97,570
2024-01-15,EDFM.CA,170.00,173.00,170.00,168.97,420
2024-01-16,EDFM.CA,177.00,177.00,170.03,168.97,250
2024-01-17,EDFM.CA,176.99,176.99,171.00,168.97,250
2024-01-18,EDFM.CA,176.97,176.99,171.63,168.97,410
2024-01-21,EDFM.CA,176.69,192.99,174.00,181.63,3000
2024-01-22,EDFM.CA,182.00,187.00,175.00,181.63,1340
2024-01-23,EDFM.CA,176.01,184.00,176.01,181.63,940
2024-01-24,EDFM.CA,184.90,184.90,176.10,181.63,650
2024-01-28,EDFM.CA,177.01,185.00,177.01,181.63,680
2024-01-29,EDFM.CA,184.00,185.00,180.01,181.63,1230
2024-01-30,EDFM.CA,180.10,184.97,150.01,176.07,2070
2024-01-31,EDFM.CA,187.00,187.00,174.41,176.07,600
2024-02-01,EDFM.CA,176.07,179.25,174.00,176.07,280
2024-02-04,EDFM.CA,176.07,182.99,173.10,176.07,800
2024-02-05,EDFM.CA,176.07,183.88,170.00,174.17,3280
2024-02-06,EDFM.CA,174.17,180.80,171.62,174.17,190
2024-02-07,EDFM.CA,174.17,174.00,165.00,169.00,1800
2024-02-08,EDFM.CA,169.00,178.89,166.00,169.00,1720
2024-02-11,EDFM.CA,169.00,177.97,167.01,169.00,840
2024-02-12,EDFM.CA,169.00,177.87,166.51,169.00,970
2024-02-13,EDFM.CA,169.00,175.00,170.00,169.00,90
2024-02-14,EDFM.CA,169.00,180.00,169.05,169.00,440
2024-02-15,EDFM.CA,169.00,176.50,169.05,169.00,860
2024-02-18,EDFM.CA,169.00,176.34,170.00,169.00,160
2024-02-19,EDFM.CA,169.00,176.32,171.01,169.00,240
2024-02-20,EDFM.CA,169.00,180.00,172.60,169.00,1310
2024-02-21,EDFM.CA,169.00,182.98,175.02,169.00,910
2024-02-22,EDFM.CA,169.00,185.00,180.00,182.25,5960
2024-02-25,EDFM.CA,182.25,182.00,175.00,182.25,710
2024-02-26,EDFM.CA,182.25,183.00,177.61,182.25,1150
2024-02-27,EDFM.CA,182.25,187.00,178.25,182.25,1550
2024-02-28,EDFM.CA,182.25,183.00,178.01,182.25,150
2024-02-29,EDFM.CA,182.25,182.00,181.00,182.25,0
2024-03-03,EDFM.CA,182.25,182.00,166.15,182.25,1150
2024-03-04,EDFM.CA,182.25,179.00,173.00,174.98,2250
2024-03-05,EDFM.CA,174.98,180.00,175.11,174.98,690
2024-03-06,EDFM.CA,174.98,178.00,173.00,174.98,710
2024-03-07,EDFM.CA,174.98,175.00,174.98,174.98,280
2024-03-10,EDFM.CA,174.98,178.00,170.00,174.98,150
2024-03-11,EDFM.CA,174.98,176.99,167.00,174.98,380
2024-03-12,EDFM.CA,174.98,174.92,174.91,174.98,10
2024-03-13,EDFM.CA,174.98,174.99,168.90,174.98,900
2024-03-14,EDFM.CA,174.98,170.00,168.90,174.98,130
2024-03-17,EDFM.CA,174.98,175.00,169.00,174.98,110
2024-03-18,EDFM.CA,174.98,173.49,164.90,174.98,370
2024-03-19,EDFM.CA,174.98,169.50,161.00,174.98,290
2024-03-20,EDFM.CA,174.98,170.00,162.00,174.98,570
2024-03-21,EDFM.CA,174.98,167.99,163.00,174.98,50
2024-03-24,EDFM.CA,174.98,167.00,163.00,174.98,60
2024-03-25,EDFM.CA,174.98,174.00,165.00,174.98,80
2024-03-26,EDFM.CA,174.98,174.98,153.53,174.98,100
2024-03-27,EDFM.CA,174.98,170.00,165.00,174.98,850
2024-03-28,EDFM.CA,174.98,170.00,164.90,174.98,50
2024-03-31,EDFM.CA,174.98,169.99,168.99,174.98,660
2024-04-01,EDFM.CA,174.98,170.00,165.00,174.98,40
