Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,EEII.CA,2.33,2.36,2.28,2.30,5020000
2026-01-05,EEII.CA,2.32,2.32,2.19,2.21,4810000
2026-01-06,EEII.CA,2.23,2.29,2.23,2.25,3360000
2026-01-08,EEII.CA,2.27,2.28,2.18,2.19,3930000
2026-01-11,EEII.CA,2.21,2.23,2.12,2.16,3890000
2026-01-12,EEII.CA,2.17,2.21,2.14,2.14,3300000
2026-01-13,EEII.CA,2.14,2.16,2.06,2.07,3760000
2026-01-14,EEII.CA,2.07,2.09,2.02,2.06,5490000
2026-01-15,EEII.CA,2.08,2.14,1.96,2.01,7610000
2026-01-18,EEII.CA,2.06,2.09,2.04,2.09,2610000
2026-01-19,EEII.CA,2.10,2.10,2.05,2.09,6570000
2026-01-20,EEII.CA,2.09,2.14,2.07,2.07,6650000
2026-01-21,EEII.CA,2.08,2.10,2.05,2.07,6360000
2026-01-22,EEII.CA,2.07,2.09,2.05,2.06,4190000
2026-01-25,EEII.CA,2.06,2.07,1.99,2.00,6750000
2026-01-26,EEII.CA,2.00,2.01,1.96,1.97,2420000
2026-01-27,EEII.CA,1.96,1.99,1.92,1.95,3000000
2026-01-28,EEII.CA,1.97,1.98,1.88,1.90,3010000
2026-02-01,EEII.CA,1.90,1.94,1.89,1.93,1890000
2026-02-02,EEII.CA,1.97,2.08,1.97,2.03,12490000
2026-02-03,EEII.CA,2.04,2.05,2.00,2.04,3920000
2026-02-04,EEII.CA,2.05,2.06,2.02,2.02,1920000
2026-02-05,EEII.CA,2.03,2.04,1.97,2.00,2640000
2026-02-08,EEII.CA,2.01,2.02,2.00,2.01,2400000
2026-02-09,EEII.CA,2.02,2.02,1.99,1.99,1570000
2026-02-10,EEII.CA,2.00,2.06,1.99,2.03,4450000
2026-02-11,EEII.CA,2.03,2.05,1.99,2.00,3010000
2026-02-12,EEII.CA,2.00,2.03,1.99,1.99,2250000
2026-02-15,EEII.CA,2.00,2.05,1.99,2.01,3930000
2026-02-16,EEII.CA,2.02,2.04,1.98,1.98,2750000
2026-02-17,EEII.CA,2.00,2.00,1.93,1.99,2010000
2026-02-18,EEII.CA,2.00,2.05,1.98,2.04,6400000
2026-02-19,EEII.CA,2.04,2.05,1.95,1.95,4480000
2026-02-22,EEII.CA,1.96,1.96,1.88,1.90,3050000
2026-02-23,EEII.CA,1.90,1.93,1.90,1.93,1080000
2026-02-24,EEII.CA,1.93,1.94,1.84,1.86,1760000
2026-02-25,EEII.CA,1.88,1.88,1.72,1.75,8930000
2026-02-26,EEII.CA,1.76,1.76,1.71,1.75,3140000
2026-03-01,EEII.CA,1.60,1.69,1.60,1.69,2200000
2026-03-02,EEII.CA,1.69,1.72,1.66,1.68,1170000
2026-03-03,EEII.CA,1.68,1.76,1.67,1.72,3870000
2026-03-04,EEII.CA,1.72,1.76,1.70,1.75,1270000
2026-03-05,EEII.CA,1.75,1.77,1.75,1.75,1240000
2026-03-08,EEII.CA,1.76,1.78,1.75,1.78,1790000
2026-03-09,EEII.CA,1.77,1.78,1.74,1.78,1950000
2026-03-10,EEII.CA,1.79,1.84,1.77,1.83,1700000
2026-03-11,EEII.CA,1.85,1.88,1.83,1.84,2880000
2026-03-12,EEII.CA,1.84,1.84,1.79,1.83,1980000
2026-03-15,EEII.CA,1.84,1.84,1.80,1.81,1280000
2026-03-16,EEII.CA,1.83,1.84,1.77,1.80,1990000
2026-03-17,EEII.CA,1.80,1.85,1.78,1.82,2700000
2026-03-18,EEII.CA,1.83,1.85,1.81,1.82,680330
2026-03-24,EEII.CA,1.84,1.85,1.81,1.84,2210000
2026-03-25,EEII.CA,1.84,1.86,1.80,1.84,2510000
2026-03-26,EEII.CA,1.85,1.92,1.84,1.89,10980000
2026-03-29,EEII.CA,1.90,1.91,1.86,1.86,2960000
2026-03-30,EEII.CA,1.87,1.94,1.86,1.88,5830000
2026-03-31,EEII.CA,1.89,1.91,1.85,1.86,2170000
2026-04-01,EEII.CA,1.87,1.92,1.86,1.90,3470000
2026-04-02,EEII.CA,1.90,1.91,1.87,1.89,1740000
2026-04-05,EEII.CA,1.89,1.95,1.88,1.94,4290000
2026-04-06,EEII.CA,1.94,1.97,1.92,1.92,2830000
2026-04-07,EEII.CA,1.94,1.94,1.87,1.90,2940000
2026-04-08,EEII.CA,1.92,2.02,1.92,2.01,10430000
2026-04-09,EEII.CA,1.99,2.14,1.99,2.11,22280000
2026-04-12,EEII.CA,2.01,2.11,2.11,2.11,22280000
2026-04-14,EEII.CA,2.13,2.21,2.12,2.16,13840000
2026-04-15,EEII.CA,2.15,2.19,2.13,2.17,6110000
2026-04-16,EEII.CA,2.20,2.27,2.19,2.24,14430000
2026-04-19,EEII.CA,2.26,2.30,2.22,2.25,14030000
2026-04-20,EEII.CA,2.25,2.26,2.20,2.22,10050000
2026-04-21,EEII.CA,2.25,2.26,2.22,2.22,6460000
2026-04-22,EEII.CA,2.23,2.61,2.20,2.34,96320000
2026-04-23,EEII.CA,2.33,2.52,2.24,2.50,36050000
2026-04-26,EEII.CA,2.57,2.77,2.50,2.51,50870000
2026-04-27,EEII.CA,2.55,2.58,2.50,2.52,9420000
2026-04-28,EEII.CA,2.45,2.50,2.38,2.42,15910000
2026-04-29,EEII.CA,2.45,2.45,2.33,2.35,8710000
2026-04-30,EEII.CA,2.37,2.38,2.28,2.33,10500000
2026-05-03,EEII.CA,2.35,2.41,2.32,2.35,9160000
2026-05-04,EEII.CA,2.36,2.43,2.34,2.35,8620000
2026-05-05,EEII.CA,2.35,2.41,2.34,2.35,4670000
2026-05-06,EEII.CA,2.37,2.45,2.36,2.36,10850000
2026-05-10,EEII.CA,2.38,2.40,2.35,2.36,5440000
2026-05-11,EEII.CA,2.40,2.40,2.33,2.34,3250000
2026-05-12,EEII.CA,2.37,2.37,2.32,2.35,3110000
2026-05-13,EEII.CA,2.36,2.44,2.32,2.40,16310000
2026-05-14,EEII.CA,2.43,2.51,2.42,2.44,18220000
2026-05-17,EEII.CA,2.46,2.58,2.45,2.50,18500000
2026-05-18,EEII.CA,2.53,2.55,2.45,2.45,8650000
2026-05-19,EEII.CA,2.47,2.52,2.41,2.42,6280000
2026-05-20,EEII.CA,2.44,2.47,2.28,2.29,5740000
2026-05-21,EEII.CA,2.32,2.35,2.27,2.29,5060000
2026-05-24,EEII.CA,2.35,2.36,2.30,2.32,2840000
2026-05-25,EEII.CA,2.33,2.34,2.29,2.30,2860000
2026-06-01,EEII.CA,2.33,2.34,2.30,2.31,3240000
2026-06-02,EEII.CA,2.32,2.44,2.31,2.40,7440000
2026-06-03,EEII.CA,2.44,2.46,2.37,2.37,5790000
