Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,EFID.CA,15.95,15.99,15.65,15.93,36440
2024-01-03,EFID.CA,15.99,16.00,15.75,15.98,136300
2024-01-04,EFID.CA,15.99,16.00,15.79,16.00,108750
2024-01-08,EFID.CA,16.00,16.30,15.80,16.29,388710
2024-01-09,EFID.CA,16.04,16.30,16.00,16.19,510880
2024-01-10,EFID.CA,16.30,16.45,16.03,16.27,469510
2024-01-11,EFID.CA,16.24,16.50,16.06,16.35,65760
2024-01-14,EFID.CA,16.35,16.50,16.34,16.43,61440
2024-01-15,EFID.CA,16.50,16.74,16.40,16.66,212450
2024-01-16,EFID.CA,16.50,16.74,16.50,16.61,390370
2024-01-17,EFID.CA,16.70,16.74,16.20,16.27,212290
2024-01-18,EFID.CA,16.47,16.50,16.25,16.34,269280
2024-01-21,EFID.CA,16.40,16.50,16.00,16.00,419520
2024-01-22,EFID.CA,16.13,16.47,16.10,16.12,134000
2024-01-23,EFID.CA,16.19,16.30,15.95,16.07,87710
2024-01-24,EFID.CA,16.07,16.20,15.88,15.92,204860
2024-01-28,EFID.CA,16.00,16.10,15.10,15.69,546380
2024-01-29,EFID.CA,15.88,15.98,15.68,15.77,289720
2024-01-30,EFID.CA,15.75,15.94,15.45,15.63,638160
2024-01-31,EFID.CA,15.99,16.00,12.51,15.00,1830000
2024-02-01,EFID.CA,15.00,16.00,13.50,15.50,279210
2024-02-04,EFID.CA,15.50,15.99,15.34,15.51,104660
2024-02-05,EFID.CA,15.51,16.32,15.75,16.25,402110
2024-02-06,EFID.CA,16.25,17.00,16.10,16.50,681750
2024-02-07,EFID.CA,16.50,16.80,16.40,16.65,1280000
2024-02-08,EFID.CA,16.65,16.85,16.40,16.75,163540
2024-02-11,EFID.CA,16.75,16.75,16.50,16.66,224400
2024-02-12,EFID.CA,16.66,16.66,15.00,16.10,106050
2024-02-13,EFID.CA,16.10,18.63,15.89,17.75,751170
2024-02-14,EFID.CA,17.75,18.44,16.75,17.70,1540000
2024-02-15,EFID.CA,17.70,17.99,17.25,17.53,99480
2024-02-18,EFID.CA,17.53,18.30,17.59,18.03,182670
2024-02-19,EFID.CA,18.03,18.47,17.73,17.84,175590
2024-02-20,EFID.CA,17.84,18.25,17.50,18.01,207960
2024-02-21,EFID.CA,18.01,18.29,17.75,18.11,113580
2024-02-22,EFID.CA,18.11,18.75,17.77,17.94,1420000
2024-02-25,EFID.CA,17.94,21.52,17.00,21.52,1420000
2024-02-26,EFID.CA,21.52,24.99,17.31,20.43,2080000
2024-02-27,EFID.CA,20.43,21.50,19.60,19.69,850730
2024-02-28,EFID.CA,19.69,19.69,18.74,18.78,191760
2024-02-29,EFID.CA,18.78,19.85,17.90,19.00,636100
2024-03-03,EFID.CA,19.00,19.69,18.25,18.76,219160
2024-03-04,EFID.CA,18.76,19.50,18.28,18.50,430830
2024-03-05,EFID.CA,18.50,19.00,18.03,18.18,491000
2024-03-06,EFID.CA,18.18,18.70,16.60,17.16,872130
2024-03-07,EFID.CA,17.16,18.00,16.85,17.50,1650000
2024-03-10,EFID.CA,17.50,18.00,17.25,17.50,569840
2024-03-11,EFID.CA,17.50,18.00,17.45,17.51,1340000
2024-03-12,EFID.CA,17.51,20.58,15.75,18.75,2530000
2024-03-13,EFID.CA,18.75,19.00,16.90,17.44,314900
2024-03-14,EFID.CA,17.44,18.50,15.01,18.32,432710
2024-03-17,EFID.CA,18.32,19.10,17.50,18.00,333450
2024-03-18,EFID.CA,18.00,17.95,16.00,16.72,292690
2024-03-19,EFID.CA,16.72,16.75,16.00,16.50,1390000
2024-03-20,EFID.CA,16.50,17.23,16.25,16.35,350010
2024-03-21,EFID.CA,16.35,16.77,15.50,15.53,359490
2024-03-24,EFID.CA,15.53,16.19,15.02,15.78,1400000
2024-03-25,EFID.CA,15.78,16.40,16.00,16.24,2970000
2024-03-26,EFID.CA,16.24,17.75,16.75,17.00,294220
2024-03-27,EFID.CA,17.00,17.00,16.30,16.46,219400
2024-03-28,EFID.CA,16.46,16.85,15.85,15.99,196910
2024-03-31,EFID.CA,15.99,17.00,15.30,15.41,187870
2024-04-01,EFID.CA,15.41,16.37,15.51,15.87,189720
2024-04-02,EFID.CA,15.87,16.75,15.78,15.88,255080
2024-04-03,EFID.CA,15.88,16.24,15.70,15.90,344690
2024-04-04,EFID.CA,15.90,16.38,16.00,16.22,1450000
2024-04-07,EFID.CA,16.22,16.48,15.50,15.68,782500
2024-04-08,EFID.CA,15.68,16.25,15.75,16.02,795720
2024-04-15,EFID.CA,16.02,16.50,16.00,16.20,1580000
2024-04-16,EFID.CA,16.20,16.48,16.05,16.15,386080
2024-04-17,EFID.CA,16.15,16.35,15.95,16.00,1630000
2024-04-18,EFID.CA,16.00,16.19,15.00,15.58,227550
2024-04-21,EFID.CA,15.58,16.24,15.56,15.65,65550
2024-04-22,EFID.CA,15.65,15.65,15.42,15.48,45750
2024-04-23,EFID.CA,15.48,16.85,13.50,15.00,2980000
2024-04-24,EFID.CA,15.00,15.40,14.00,14.51,183240
2024-04-28,EFID.CA,14.50,15.00,13.10,13.38,133540
2024-04-29,EFID.CA,13.38,14.68,13.38,14.50,720070
2024-04-30,EFID.CA,14.50,15.00,13.65,13.88,2320000
2024-05-01,EFID.CA,13.90,14.40,13.01,13.77,244140
2024-05-02,EFID.CA,13.89,14.50,13.59,14.23,93930
2024-05-07,EFID.CA,14.12,14.50,14.06,14.29,150020
2024-05-08,EFID.CA,14.44,14.49,14.00,14.05,561340
2024-05-09,EFID.CA,14.10,14.14,13.90,14.04,4050000
2024-05-12,EFID.CA,14.09,14.25,13.53,13.82,61710
2024-05-13,EFID.CA,13.79,13.85,13.07,13.52,2350000
2024-05-14,EFID.CA,13.76,14.13,13.50,13.65,479340
2024-05-15,EFID.CA,13.65,13.89,13.63,13.69,40230
2024-05-16,EFID.CA,13.75,14.48,13.14,14.10,154130
2024-05-19,EFID.CA,13.95,14.27,13.93,14.05,366010
2024-05-20,EFID.CA,14.24,14.24,14.01,14.06,787390
2024-05-21,EFID.CA,14.10,14.74,13.53,14.25,2430000
2024-05-22,EFID.CA,14.26,15.95,14.26,15.25,52200000
2024-05-23,EFID.CA,15.15,15.43,14.82,14.98,358750
2024-05-26,EFID.CA,14.99,15.15,14.60,14.69,217130
2024-05-27,EFID.CA,14.75,15.43,14.51,15.10,1490000
2024-05-28,EFID.CA,15.09,15.19,14.65,15.11,783910
2024-05-29,EFID.CA,15.05,15.13,14.75,14.80,171850
2024-05-30,EFID.CA,14.81,14.89,14.45,14.52,530540
2024-06-02,EFID.CA,14.52,14.74,14.00,14.07,169240
2024-06-03,EFID.CA,14.25,14.40,14.13,14.26,165620
2024-06-04,EFID.CA,14.27,14.99,14.25,14.43,775440
