Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,EGAS.CA,44.27,44.74,44.19,44.64,67230
2026-01-05,EGAS.CA,44.65,44.65,43.80,43.98,99920
2026-01-06,EGAS.CA,44.30,44.50,44.00,44.20,35680
2026-01-08,EGAS.CA,44.34,44.35,43.96,44.04,43670
2026-01-11,EGAS.CA,44.20,44.30,43.91,44.00,75120
2026-01-12,EGAS.CA,44.01,44.35,43.70,43.88,72860
2026-01-13,EGAS.CA,43.88,44.00,43.30,43.60,93860
2026-01-14,EGAS.CA,43.60,43.60,40.50,41.56,92260
2026-01-15,EGAS.CA,41.85,42.94,40.76,41.17,66720
2026-01-18,EGAS.CA,41.48,42.39,41.02,41.74,59950
2026-01-19,EGAS.CA,41.91,42.38,41.41,41.50,111410
2026-01-20,EGAS.CA,42.00,43.50,42.00,42.91,159610
2026-01-21,EGAS.CA,42.85,44.29,42.62,43.52,207580
2026-01-22,EGAS.CA,44.00,45.87,43.60,43.70,1030000
2026-01-25,EGAS.CA,44.50,45.00,43.62,43.70,189410
2026-01-26,EGAS.CA,44.00,44.00,43.10,43.81,199840
2026-01-27,EGAS.CA,43.85,43.99,42.25,42.25,151320
2026-01-28,EGAS.CA,42.25,43.60,41.70,41.78,183720
2026-02-01,EGAS.CA,41.80,42.94,41.80,42.49,44370
2026-02-02,EGAS.CA,42.89,43.35,41.45,41.87,353490
2026-02-03,EGAS.CA,41.88,43.00,41.87,42.03,147410
2026-02-04,EGAS.CA,42.10,42.85,42.10,42.71,91300
2026-02-05,EGAS.CA,42.74,42.85,42.40,42.76,86930
2026-02-08,EGAS.CA,42.85,43.00,42.51,42.84,237250
2026-02-09,EGAS.CA,42.90,43.26,42.80,43.13,145870
2026-02-10,EGAS.CA,43.13,43.30,42.92,42.99,62290
2026-02-11,EGAS.CA,43.00,43.40,42.80,42.86,87430
2026-02-12,EGAS.CA,42.80,43.08,42.55,42.69,32990
2026-02-15,EGAS.CA,42.71,44.25,42.71,43.62,359980
2026-02-16,EGAS.CA,43.80,44.00,42.82,42.83,265940
2026-02-17,EGAS.CA,43.39,43.39,42.50,42.93,112620
2026-02-18,EGAS.CA,43.15,43.20,42.75,43.06,51100
2026-02-19,EGAS.CA,43.33,43.48,42.51,42.96,31060
2026-02-22,EGAS.CA,43.01,43.25,42.50,42.61,94780
2026-02-23,EGAS.CA,42.61,42.90,42.50,42.71,25550
2026-02-24,EGAS.CA,42.72,42.90,42.50,42.51,30230
2026-02-25,EGAS.CA,42.50,42.89,41.00,41.66,91470
2026-02-26,EGAS.CA,41.66,42.17,41.40,41.96,26360
2026-03-01,EGAS.CA,40.89,40.89,39.00,40.26,145460
2026-03-02,EGAS.CA,40.26,41.41,40.00,40.53,66960
2026-03-03,EGAS.CA,40.99,45.20,40.70,43.25,1040000
2026-03-04,EGAS.CA,43.87,44.00,42.80,43.01,342200
2026-03-05,EGAS.CA,43.00,43.90,42.05,42.19,140250
2026-03-08,EGAS.CA,43.10,43.96,42.33,42.86,285030
2026-03-09,EGAS.CA,43.54,44.80,43.30,43.90,681640
2026-03-10,EGAS.CA,44.03,44.76,43.05,43.11,758990
2026-03-11,EGAS.CA,43.50,43.77,42.31,42.68,140120
2026-03-12,EGAS.CA,43.00,43.34,42.21,42.45,168040
2026-03-15,EGAS.CA,42.74,43.00,41.73,41.84,106760
2026-03-16,EGAS.CA,41.99,42.90,41.25,41.50,67610
2026-03-17,EGAS.CA,42.00,42.20,41.25,41.34,136450
2026-03-18,EGAS.CA,41.40,42.00,41.40,41.64,56260
2026-03-24,EGAS.CA,41.70,42.45,41.70,41.93,47110
2026-03-25,EGAS.CA,42.00,42.00,41.60,41.66,58540
2026-03-26,EGAS.CA,41.66,41.80,41.53,41.68,90380
2026-03-29,EGAS.CA,41.68,41.78,41.30,41.56,34540
2026-03-30,EGAS.CA,41.73,42.10,41.40,41.56,158450
2026-03-31,EGAS.CA,41.71,41.99,41.11,41.11,58080
2026-04-01,EGAS.CA,41.50,41.97,41.22,41.58,32150
2026-04-02,EGAS.CA,41.75,43.25,41.50,41.86,458060
2026-04-05,EGAS.CA,42.16,42.90,42.00,42.36,197510
2026-04-06,EGAS.CA,42.75,42.75,42.05,42.16,59030
2026-04-07,EGAS.CA,42.20,42.60,41.82,41.82,177630
2026-04-08,EGAS.CA,42.05,42.48,41.70,42.15,152970
2026-04-09,EGAS.CA,42.17,43.00,41.76,42.43,234290
2026-04-12,EGAS.CA,42.15,42.43,42.43,42.43,234290
2026-04-14,EGAS.CA,42.46,43.20,42.41,42.47,92640
2026-04-15,EGAS.CA,42.67,43.00,42.40,42.60,95990
2026-04-16,EGAS.CA,42.65,42.90,42.08,42.33,150600
2026-04-19,EGAS.CA,42.50,42.80,42.20,42.46,114930
2026-04-20,EGAS.CA,42.50,42.99,42.20,42.66,119760
2026-04-21,EGAS.CA,42.80,42.80,42.21,42.36,93710
2026-04-22,EGAS.CA,42.31,42.72,42.31,42.69,134460
2026-04-23,EGAS.CA,42.68,42.72,42.40,42.57,110350
2026-04-26,EGAS.CA,42.57,42.80,42.50,42.73,130800
2026-04-27,EGAS.CA,42.75,43.15,42.52,42.99,159660
2026-04-28,EGAS.CA,43.10,43.70,43.00,43.58,320620
2026-04-29,EGAS.CA,43.89,46.30,43.80,46.00,2620000
2026-04-30,EGAS.CA,46.46,48.97,46.00,48.72,1490000
2026-05-03,EGAS.CA,50.40,51.90,49.00,49.00,1250000
2026-05-04,EGAS.CA,48.99,49.21,47.42,47.85,598400
2026-05-05,EGAS.CA,47.85,48.60,47.00,47.00,165840
2026-05-06,EGAS.CA,47.40,50.90,47.20,49.49,1010000
2026-05-10,EGAS.CA,49.50,50.11,48.50,48.74,164650
2026-05-11,EGAS.CA,48.75,49.90,48.74,49.32,103380
2026-05-12,EGAS.CA,49.50,49.50,48.71,49.12,109900
2026-05-13,EGAS.CA,49.12,49.49,48.61,48.66,129320
2026-05-14,EGAS.CA,48.81,49.00,48.12,48.40,210450
2026-05-17,EGAS.CA,48.40,48.90,46.51,47.11,126700
2026-05-18,EGAS.CA,47.50,49.68,47.15,48.39,736970
2026-05-19,EGAS.CA,49.00,51.30,48.90,50.58,578520
2026-05-20,EGAS.CA,50.99,51.88,48.51,48.79,355360
2026-05-21,EGAS.CA,48.61,49.80,48.61,49.04,161270
2026-05-24,EGAS.CA,49.06,49.98,48.61,48.71,332540
2026-05-25,EGAS.CA,48.81,49.50,47.50,48.31,85300
2026-06-01,EGAS.CA,48.65,50.19,48.50,48.87,105330
2026-06-02,EGAS.CA,49.87,51.49,49.05,50.46,559670
2026-06-03,EGAS.CA,50.65,51.20,49.90,50.03,183140
2026-06-04,EGAS.CA,50.30,51.00,49.90,50.58,159460
2026-06-07,EGAS.CA,50.90,51.20,50.50,50.53,172730
2026-06-08,EGAS.CA,50.10,50.49,49.02,49.76,82020
2026-06-09,EGAS.CA,50.00,50.09,49.41,49.56,58030
2026-06-10,EGAS.CA,49.57,50.40,49.42,49.96,113280
2026-06-11,EGAS.CA,49.96,55.00,48.20,50.54,464040
2026-06-14,EGAS.CA,52.50,52.90,51.00,52.00,224080
2026-06-15,EGAS.CA,52.50,54.00,51.00,51.50,236220
2026-06-16,EGAS.CA,51.70,52.50,51.15,51.15,73330
2026-06-17,EGAS.CA,52.00,52.50,51.20,51.93,103230
2026-06-21,EGAS.CA,52.00,53.00,51.25,51.67,158790
2026-06-22,EGAS.CA,52.57,52.57,50.51,51.76,121810
2026-06-23,EGAS.CA,52.28,52.28,50.82,51.22,60400
2026-06-24,EGAS.CA,51.22,52.50,48.55,51.99,150750
