Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,EGBE.CA,0.301,0.307,0.301,0.297,16410
2024-01-03,EGBE.CA,0.305,0.307,0.305,0.297,8740
2024-01-04,EGBE.CA,0.308,0.314,0.302,0.305,57070
2024-01-08,EGBE.CA,0.310,0.332,0.310,0.325,61200
2024-01-09,EGBE.CA,0.326,0.335,0.326,0.331,48640
2024-01-10,EGBE.CA,0.335,0.339,0.331,0.336,292800
2024-01-11,EGBE.CA,0.339,0.339,0.326,0.326,204260
2024-01-14,EGBE.CA,0.331,0.337,0.330,0.335,348970
2024-01-15,EGBE.CA,0.336,0.336,0.332,0.335,23110
2024-01-16,EGBE.CA,0.336,0.337,0.332,0.335,33640
2024-01-17,EGBE.CA,0.335,0.336,0.335,0.336,43830
2024-01-18,EGBE.CA,0.336,0.336,0.332,0.336,25610
2024-01-21,EGBE.CA,0.337,0.337,0.331,0.336,60350
2024-01-22,EGBE.CA,0.336,0.336,0.332,0.336,15210
2024-01-23,EGBE.CA,0.336,0.338,0.333,0.336,24310
2024-01-24,EGBE.CA,0.333,0.334,0.316,0.319,401870
2024-01-28,EGBE.CA,0.319,0.319,0.307,0.308,204960
2024-01-29,EGBE.CA,0.309,0.321,0.306,0.307,372430
2024-01-30,EGBE.CA,0.319,0.320,0.307,0.310,149460
2024-01-31,EGBE.CA,0.307,0.316,0.300,0.310,63660
2024-02-01,EGBE.CA,0.310,0.311,0.300,0.302,51270
2024-02-04,EGBE.CA,0.302,0.314,0.313,0.302,4900
2024-02-05,EGBE.CA,0.302,0.307,0.297,0.297,105710
2024-02-06,EGBE.CA,0.297,0.300,0.297,0.298,36830
2024-02-07,EGBE.CA,0.298,0.297,0.296,0.297,51810
2024-02-08,EGBE.CA,0.297,0.299,0.296,0.296,106110
2024-02-11,EGBE.CA,0.296,0.307,0.296,0.296,99100
2024-02-12,EGBE.CA,0.296,0.304,0.294,0.296,35270
2024-02-13,EGBE.CA,0.296,0.304,0.289,0.290,93760
2024-02-14,EGBE.CA,0.290,0.294,0.290,0.290,17830
2024-02-15,EGBE.CA,0.290,0.305,0.290,0.294,42390
2024-02-18,EGBE.CA,0.294,0.306,0.297,0.299,102280
2024-02-19,EGBE.CA,0.299,0.304,0.297,0.297,71780
2024-02-20,EGBE.CA,0.297,0.301,0.294,0.295,38570
2024-02-21,EGBE.CA,0.295,0.297,0.290,0.293,255990
2024-02-22,EGBE.CA,0.293,0.297,0.292,0.292,86100
