Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,EGREF.CA,12.54,13.28,12.54,12.74,109920
2026-01-05,EGREF.CA,12.87,13.39,12.36,12.55,160780
2026-01-06,EGREF.CA,12.87,12.87,12.50,12.55,9000
2026-01-08,EGREF.CA,12.85,12.85,12.50,12.55,23410
2026-01-11,EGREF.CA,12.74,12.74,12.22,12.55,21990
2026-01-12,EGREF.CA,12.40,13.00,12.38,12.80,36230
2026-01-13,EGREF.CA,12.60,12.68,12.38,12.57,26630
2026-01-14,EGREF.CA,12.38,12.80,12.10,12.57,5530
2026-01-15,EGREF.CA,12.10,12.54,12.10,12.57,8380
2026-01-18,EGREF.CA,12.10,12.53,12.10,12.57,3160
2026-01-19,EGREF.CA,12.11,12.55,12.11,12.57,930
2026-01-20,EGREF.CA,12.11,12.50,12.11,12.57,13410
2026-01-21,EGREF.CA,12.16,12.50,12.16,12.57,1860
2026-01-22,EGREF.CA,12.50,12.50,12.00,12.57,16760
2026-01-25,EGREF.CA,11.92,12.49,11.92,12.57,11100
2026-01-26,EGREF.CA,12.45,12.45,11.96,12.57,10820
2026-01-27,EGREF.CA,12.07,12.48,12.03,12.57,11420
2026-01-28,EGREF.CA,12.20,12.32,11.92,12.57,9530
2026-02-01,EGREF.CA,12.25,12.25,11.40,12.57,8630
2026-02-02,EGREF.CA,12.25,12.25,11.90,12.57,15900
2026-02-03,EGREF.CA,11.99,12.00,11.62,12.57,20330
2026-02-04,EGREF.CA,12.36,12.36,11.72,12.57,6150
2026-02-05,EGREF.CA,11.91,12.25,11.83,12.57,10280
2026-02-08,EGREF.CA,12.25,12.44,12.07,12.57,11920
2026-02-09,EGREF.CA,12.12,12.40,12.12,12.57,10170
2026-02-10,EGREF.CA,12.15,12.50,12.12,12.57,9940
2026-02-11,EGREF.CA,12.02,12.50,12.02,12.57,12990
2026-02-12,EGREF.CA,12.07,12.48,12.06,12.57,16630
2026-02-15,EGREF.CA,11.00,13.49,11.00,12.75,78210
2026-02-16,EGREF.CA,12.31,12.75,12.30,12.75,7110
