Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,EGTS.CA,4.170,4.380,4.150,4.240,652290
2024-01-03,EGTS.CA,4.250,4.350,4.200,4.210,514380
2024-01-04,EGTS.CA,4.280,4.440,4.210,4.310,885920
2024-01-08,EGTS.CA,4.340,4.340,4.210,4.260,328790
2024-01-09,EGTS.CA,4.320,4.370,4.240,4.280,265170
2024-01-10,EGTS.CA,4.280,4.390,4.240,4.250,517870
2024-01-11,EGTS.CA,4.280,4.290,4.170,4.230,865770
2024-01-14,EGTS.CA,4.280,4.530,4.210,4.390,2110000
2024-01-15,EGTS.CA,4.400,4.580,4.380,4.390,1110000
2024-01-16,EGTS.CA,4.470,4.470,4.350,4.370,355850
2024-01-17,EGTS.CA,4.400,4.430,4.260,4.280,517360
2024-01-18,EGTS.CA,4.250,4.370,4.150,4.200,388180
2024-01-21,EGTS.CA,4.250,4.310,4.210,4.250,445150
2024-01-22,EGTS.CA,4.250,4.400,4.220,4.240,577580
2024-01-23,EGTS.CA,4.240,4.310,4.210,4.240,310490
2024-01-24,EGTS.CA,4.240,4.300,4.100,4.120,508960
2024-01-28,EGTS.CA,4.120,4.370,4.120,4.250,865420
2024-01-29,EGTS.CA,4.350,4.360,4.200,4.210,800270
2024-01-30,EGTS.CA,4.240,4.280,4.180,4.210,460010
2024-01-31,EGTS.CA,4.280,4.320,3.900,3.910,1700000
2024-02-01,EGTS.CA,3.910,4.150,3.220,3.990,516480
2024-02-04,EGTS.CA,3.990,4.060,3.920,3.990,2200000
2024-02-05,EGTS.CA,3.990,4.250,3.900,4.030,4170000
2024-02-06,EGTS.CA,4.030,4.400,4.050,4.260,11170000
2024-02-07,EGTS.CA,4.260,4.730,4.400,4.420,12050000
2024-02-08,EGTS.CA,4.420,4.650,4.220,4.600,4480000
2024-02-11,EGTS.CA,4.600,5.450,4.440,5.260,16460000
2024-02-12,EGTS.CA,5.260,5.420,4.940,5.160,5620000
2024-02-13,EGTS.CA,5.160,5.700,5.070,5.400,13610000
2024-02-14,EGTS.CA,5.400,5.530,5.110,5.210,5490000
2024-02-15,EGTS.CA,5.210,5.280,5.080,5.150,3970000
2024-02-18,EGTS.CA,5.150,5.270,5.110,5.120,3020000
2024-02-19,EGTS.CA,5.120,5.190,5.000,5.030,2500000
2024-02-20,EGTS.CA,5.030,5.160,5.030,5.040,1370000
2024-02-21,EGTS.CA,5.040,5.160,5.000,5.020,2120000
2024-02-22,EGTS.CA,5.020,5.090,4.920,4.940,1550000
2024-02-25,EGTS.CA,4.940,4.900,4.200,4.330,4970000
2024-02-26,EGTS.CA,4.330,4.600,4.320,4.360,2510000
2024-02-27,EGTS.CA,4.360,4.590,4.390,4.410,1700000
2024-02-28,EGTS.CA,4.410,5.100,4.400,4.610,15240000
2024-02-29,EGTS.CA,4.610,4.960,4.540,4.720,3680000
2024-03-03,EGTS.CA,4.720,4.840,4.560,4.600,1740000
2024-03-04,EGTS.CA,4.600,4.930,4.600,4.790,5240000
2024-03-05,EGTS.CA,4.790,5.080,4.700,4.720,6200000
2024-03-06,EGTS.CA,4.720,4.760,4.330,4.440,1670000
2024-03-07,EGTS.CA,4.440,4.630,4.310,4.470,1600000
2024-03-10,EGTS.CA,4.470,4.800,4.500,4.630,3650000
2024-03-11,EGTS.CA,4.630,4.800,4.410,4.490,739540
2024-03-12,EGTS.CA,4.490,4.590,4.400,4.400,1040000
2024-03-13,EGTS.CA,4.400,4.520,4.050,4.070,1010000
2024-03-14,EGTS.CA,4.070,4.240,4.070,4.200,353490
2024-03-17,EGTS.CA,4.200,4.300,4.210,4.230,396190
2024-03-18,EGTS.CA,4.230,4.300,3.900,3.910,427330
2024-03-19,EGTS.CA,3.910,4.000,3.870,3.920,614980
2024-03-20,EGTS.CA,3.920,4.200,4.000,4.170,2840000
2024-03-21,EGTS.CA,4.170,4.400,4.200,4.350,971020
2024-03-24,EGTS.CA,4.350,4.900,4.260,4.530,2140000
2024-03-25,EGTS.CA,4.530,4.730,4.550,4.570,1600000
