Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,EGX30ETF.CA,48.00,48.23,46.61,47.14,60580
2026-01-05,EGX30ETF.CA,47.50,47.73,45.81,46.57,30570
2026-01-06,EGX30ETF.CA,46.25,47.29,46.01,46.98,12470
2026-01-08,EGX30ETF.CA,47.07,47.50,46.60,47.31,13500
2026-01-11,EGX30ETF.CA,47.49,48.49,47.12,47.90,21150
2026-01-12,EGX30ETF.CA,48.50,48.99,47.93,48.59,15360
2026-01-13,EGX30ETF.CA,48.57,49.98,48.47,49.65,12820
2026-01-14,EGX30ETF.CA,49.34,49.50,48.01,48.73,13140
2026-01-15,EGX30ETF.CA,48.90,49.94,48.50,49.38,15680
2026-01-18,EGX30ETF.CA,49.30,50.19,48.26,50.14,27060
2026-01-19,EGX30ETF.CA,50.20,50.99,50.18,50.78,19830
2026-01-20,EGX30ETF.CA,51.00,52.53,50.90,52.37,16430
2026-01-21,EGX30ETF.CA,52.38,52.80,51.15,51.70,23000
2026-01-22,EGX30ETF.CA,52.49,59.01,52.00,53.10,105670
2026-01-25,EGX30ETF.CA,53.50,54.00,53.00,53.66,49730
2026-01-26,EGX30ETF.CA,53.70,54.17,52.65,54.02,42110
2026-01-27,EGX30ETF.CA,54.50,64.00,54.00,55.85,176840
2026-01-28,EGX30ETF.CA,58.00,59.98,54.00,54.13,224070
2026-02-01,EGX30ETF.CA,55.28,56.40,53.13,54.00,101680
2026-02-02,EGX30ETF.CA,54.02,54.49,53.01,53.66,38940
2026-02-03,EGX30ETF.CA,53.50,55.99,53.46,55.82,209690
2026-02-04,EGX30ETF.CA,55.90,57.89,55.80,56.31,151840
2026-02-05,EGX30ETF.CA,57.48,57.48,55.80,56.27,39970
2026-02-08,EGX30ETF.CA,56.50,57.80,56.48,57.04,163980
2026-02-09,EGX30ETF.CA,57.04,57.60,56.80,57.45,105840
2026-02-10,EGX30ETF.CA,57.10,57.79,57.10,57.65,68140
2026-02-11,EGX30ETF.CA,57.70,57.90,56.80,56.87,110720
2026-02-12,EGX30ETF.CA,56.99,57.41,56.80,57.35,58360
2026-02-15,EGX30ETF.CA,57.41,58.99,57.00,58.27,91050
2026-02-16,EGX30ETF.CA,59.01,59.85,58.16,59.21,103620
2026-02-17,EGX30ETF.CA,59.20,59.50,58.01,58.05,67590
2026-02-18,EGX30ETF.CA,58.85,59.40,58.20,59.30,68850
2026-02-19,EGX30ETF.CA,59.35,59.65,57.50,57.61,107680
2026-02-22,EGX30ETF.CA,57.70,58.50,56.21,56.56,78640
2026-02-23,EGX30ETF.CA,56.70,57.18,56.00,57.00,32110
2026-02-24,EGX30ETF.CA,57.20,58.47,57.01,57.37,44620
2026-02-25,EGX30ETF.CA,57.60,57.99,54.50,54.76,94750
2026-02-26,EGX30ETF.CA,55.75,56.49,54.15,55.59,51630
2026-03-01,EGX30ETF.CA,54.20,54.99,44.74,54.40,138220
2026-03-02,EGX30ETF.CA,54.40,54.99,54.00,54.13,54780
2026-03-03,EGX30ETF.CA,54.20,54.99,52.80,53.17,56540
2026-03-04,EGX30ETF.CA,53.49,54.49,52.02,52.98,74890
2026-03-05,EGX30ETF.CA,53.20,54.50,53.00,54.06,80430
2026-03-08,EGX30ETF.CA,54.10,54.93,53.02,53.18,97050
2026-03-09,EGX30ETF.CA,53.48,53.99,52.07,52.81,85940
2026-03-10,EGX30ETF.CA,52.80,54.19,52.51,54.15,45120
2026-03-11,EGX30ETF.CA,54.49,54.95,53.77,54.10,97260
2026-03-12,EGX30ETF.CA,54.25,54.68,53.34,53.56,50330
2026-03-15,EGX30ETF.CA,53.00,53.91,52.20,52.54,58850
2026-03-16,EGX30ETF.CA,52.25,52.50,51.01,51.23,86420
2026-03-17,EGX30ETF.CA,51.50,52.47,51.12,52.17,36690
2026-03-18,EGX30ETF.CA,52.26,53.41,52.18,53.35,21570
2026-03-24,EGX30ETF.CA,53.77,54.00,53.20,53.39,47060
2026-03-25,EGX30ETF.CA,53.40,55.13,53.00,53.80,145070
2026-03-26,EGX30ETF.CA,53.98,53.99,53.20,53.46,16600
2026-03-29,EGX30ETF.CA,53.29,53.89,52.22,52.43,34530
2026-03-30,EGX30ETF.CA,52.27,53.50,51.20,51.49,79450
2026-03-31,EGX30ETF.CA,51.50,52.00,51.01,51.65,41590
2026-04-01,EGX30ETF.CA,51.75,52.85,51.60,52.47,115440
2026-04-02,EGX30ETF.CA,53.00,53.25,52.20,52.75,22600
2026-04-05,EGX30ETF.CA,52.99,53.49,52.25,53.30,22050
2026-04-06,EGX30ETF.CA,53.39,53.95,51.06,53.56,102910
2026-04-07,EGX30ETF.CA,53.71,53.82,53.00,53.14,26290
2026-04-08,EGX30ETF.CA,54.00,55.50,54.00,55.20,107080
2026-04-09,EGX30ETF.CA,55.31,56.38,55.20,55.75,44410
2026-04-12,EGX30ETF.CA,55.20,55.75,55.75,55.75,44410
2026-04-14,EGX30ETF.CA,56.00,57.00,55.81,56.78,71820
2026-04-15,EGX30ETF.CA,56.95,57.93,56.80,57.59,58310
2026-04-16,EGX30ETF.CA,57.99,58.95,56.75,58.50,79360
2026-04-19,EGX30ETF.CA,58.51,59.90,58.51,59.72,87340
2026-04-20,EGX30ETF.CA,59.60,59.83,58.51,59.01,59360
2026-04-21,EGX30ETF.CA,59.16,59.98,59.02,59.50,90690
2026-04-22,EGX30ETF.CA,59.60,59.95,59.30,59.64,33300
2026-04-23,EGX30ETF.CA,59.65,59.98,59.01,59.89,50620
2026-04-26,EGX30ETF.CA,59.90,62.35,59.35,62.12,114100
2026-04-27,EGX30ETF.CA,60.77,60.95,60.00,60.82,26800
2026-04-28,EGX30ETF.CA,60.70,61.33,60.15,60.40,58350
2026-04-29,EGX30ETF.CA,60.20,60.48,60.03,60.27,26100
2026-04-30,EGX30ETF.CA,60.20,60.94,59.50,59.60,94580
2026-05-03,EGX30ETF.CA,59.90,60.55,59.51,60.07,36510
2026-05-04,EGX30ETF.CA,60.20,60.73,59.71,60.06,72420
2026-05-05,EGX30ETF.CA,60.00,60.25,58.55,60.11,42800
2026-05-06,EGX30ETF.CA,60.20,61.95,60.20,61.66,69680
2026-05-10,EGX30ETF.CA,61.85,62.89,60.01,62.41,96680
2026-05-11,EGX30ETF.CA,62.50,63.33,62.50,63.01,51660
2026-05-12,EGX30ETF.CA,63.00,63.25,61.90,62.28,77950
2026-05-13,EGX30ETF.CA,62.40,63.50,61.25,61.55,68000
2026-05-14,EGX30ETF.CA,61.50,61.99,60.70,61.15,83200
2026-05-17,EGX30ETF.CA,61.11,61.49,60.03,60.50,46280
2026-05-18,EGX30ETF.CA,60.50,60.91,59.72,59.94,66470
2026-05-19,EGX30ETF.CA,59.81,60.83,59.81,60.69,30580
2026-05-20,EGX30ETF.CA,60.74,61.30,60.11,60.40,56220
2026-05-21,EGX30ETF.CA,60.20,60.75,59.51,60.52,29350
2026-05-24,EGX30ETF.CA,60.09,61.25,60.00,61.14,43310
2026-05-25,EGX30ETF.CA,61.19,61.60,60.72,60.97,78590
2026-06-01,EGX30ETF.CA,60.75,61.58,60.75,61.12,58690
2026-06-02,EGX30ETF.CA,61.48,61.57,60.84,61.18,39440
