Date,Ticker,Open,High,Low,Close,Volume
2026-01-05,EITP.CA,10.89,10.89,8.07,8.50,2070
2026-01-12,EITP.CA,10.89,8.50,8.50,8.50,0
2026-01-14,EITP.CA,8.90,8.95,8.90,8.92,670
2026-01-19,EITP.CA,9.00,9.00,9.00,9.00,10
2026-01-21,EITP.CA,9.00,9.00,8.95,9.00,20
2026-01-26,EITP.CA,9.00,9.99,8.00,8.00,7950
2026-01-28,EITP.CA,9.00,8.00,8.00,8.00,0
2026-02-02,EITP.CA,9.50,9.50,8.25,9.26,700
2026-02-04,EITP.CA,9.26,9.40,9.00,9.40,3560
2026-02-09,EITP.CA,9.40,9.40,9.00,9.38,780
2026-02-11,EITP.CA,9.38,9.38,9.00,9.10,410
2026-02-16,EITP.CA,9.10,9.20,9.10,9.15,3070
2026-02-18,EITP.CA,9.10,9.15,9.15,9.15,0
2026-02-23,EITP.CA,9.15,9.38,8.50,8.50,330
2026-03-02,EITP.CA,8.50,8.70,6.35,8.70,3190
2026-03-04,EITP.CA,8.00,8.80,8.00,8.80,1460
2026-03-09,EITP.CA,9.00,9.00,8.00,8.00,2040
2026-03-11,EITP.CA,8.60,8.60,8.00,8.00,180
2026-03-16,EITP.CA,8.90,8.90,8.00,8.00,3000
2026-03-18,EITP.CA,8.00,10.00,8.00,10.00,7000
2026-03-25,EITP.CA,10.70,10.70,8.50,10.00,510
2026-03-30,EITP.CA,9.90,9.90,8.00,9.00,7840
2026-04-01,EITP.CA,9.00,9.90,9.00,9.90,0
2026-04-06,EITP.CA,9.00,9.01,9.00,9.01,40
2026-04-08,EITP.CA,9.01,9.02,9.01,9.01,500
2026-04-15,EITP.CA,9.01,9.01,9.01,9.01,240
2026-04-20,EITP.CA,9.01,9.02,9.01,9.01,510
2026-04-22,EITP.CA,9.01,9.01,9.01,9.01,190
2026-04-27,EITP.CA,9.01,9.01,9.01,9.01,10
2026-04-29,EITP.CA,9.01,9.01,9.01,9.01,0
2026-05-04,EITP.CA,9.01,9.01,9.01,9.01,220
2026-05-06,EITP.CA,9.14,9.14,9.00,9.00,1000
2026-05-11,EITP.CA,9.10,9.10,9.00,9.00,110
2026-05-13,EITP.CA,9.00,9.02,9.00,9.02,180
2026-05-18,EITP.CA,9.03,9.03,9.02,9.02,420
2026-05-20,EITP.CA,9.80,9.94,9.21,9.94,6420
2026-05-25,EITP.CA,10.00,10.00,9.24,9.25,810
2026-06-01,EITP.CA,9.25,9.25,9.25,9.25,780
2026-06-03,EITP.CA,9.90,9.90,8.68,8.70,4880
2026-06-08,EITP.CA,9.90,9.90,8.75,8.75,1330
2026-06-10,EITP.CA,9.60,9.60,8.83,9.50,1010
2026-06-15,EITP.CA,9.50,9.50,9.50,9.50,3330
2026-06-17,EITP.CA,9.50,9.50,9.50,9.50,0
2026-06-22,EITP.CA,9.50,9.50,8.85,9.50,790
2026-06-24,EITP.CA,9.50,9.50,9.50,9.50,0
