Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ELEC.CA,1.224,1.230,1.215,1.218,713390
2024-01-03,ELEC.CA,1.230,1.255,1.220,1.248,1200000
2024-01-04,ELEC.CA,1.252,1.325,1.250,1.321,3920000
2024-01-08,ELEC.CA,1.330,1.466,1.322,1.453,6010000
2024-01-09,ELEC.CA,1.474,1.700,1.431,1.609,13410000
2024-01-10,ELEC.CA,1.650,1.728,1.610,1.652,5370000
2024-01-11,ELEC.CA,1.671,1.709,1.580,1.632,7130000
2024-01-14,ELEC.CA,1.640,1.699,1.640,1.650,1970000
2024-01-15,ELEC.CA,1.670,1.690,1.620,1.628,2310000
2024-01-16,ELEC.CA,1.638,1.700,1.630,1.682,2530000
2024-01-17,ELEC.CA,1.699,1.977,1.695,1.784,10840000
2024-01-18,ELEC.CA,1.829,1.935,1.810,1.850,5020000
2024-01-21,ELEC.CA,1.880,1.900,1.830,1.851,2840000
2024-01-22,ELEC.CA,1.870,1.880,1.822,1.850,2940000
2024-01-23,ELEC.CA,1.870,2.190,1.825,2.129,11810000
2024-01-24,ELEC.CA,2.170,2.554,2.150,2.554,12880000
2024-01-28,ELEC.CA,2.870,3.060,2.850,3.060,4410000
2024-01-29,ELEC.CA,3.650,3.670,3.170,3.670,9160000
2024-01-30,ELEC.CA,4.000,4.400,4.000,4.400,8020000
2024-01-31,ELEC.CA,4.600,4.840,3.520,3.520,19660000
2024-02-01,ELEC.CA,3.520,4.040,3.300,3.910,11920000
2024-02-04,ELEC.CA,3.910,4.000,3.610,3.660,8040000
2024-02-05,ELEC.CA,3.660,3.700,3.420,3.460,7070000
2024-02-06,ELEC.CA,3.460,3.550,3.020,3.230,4100000
2024-02-07,ELEC.CA,3.230,3.640,3.220,3.370,10870000
2024-02-08,ELEC.CA,3.370,3.520,3.310,3.380,4540000
2024-02-11,ELEC.CA,3.380,3.460,3.250,3.280,2860000
2024-02-12,ELEC.CA,3.280,3.330,3.160,3.180,2840000
2024-02-13,ELEC.CA,3.180,3.320,3.150,3.190,5790000
2024-02-14,ELEC.CA,3.190,3.520,3.210,3.340,11200000
2024-02-15,ELEC.CA,3.340,3.450,3.310,3.340,4990000
2024-02-18,ELEC.CA,3.340,3.400,3.210,3.240,4960000
2024-02-19,ELEC.CA,3.240,3.300,3.230,3.240,2770000
2024-02-20,ELEC.CA,3.240,3.360,3.220,3.230,5190000
2024-02-21,ELEC.CA,3.230,3.260,3.170,3.180,2880000
2024-02-22,ELEC.CA,3.180,3.720,3.180,3.540,24870000
2024-02-25,ELEC.CA,3.540,3.520,3.150,3.180,8250000
2024-02-26,ELEC.CA,3.180,3.250,2.900,2.940,6590000
2024-02-27,ELEC.CA,2.940,3.170,2.910,2.910,6020000
2024-02-28,ELEC.CA,2.910,3.050,2.600,2.610,5620000
2024-02-29,ELEC.CA,2.610,2.930,2.640,2.750,7600000
2024-03-03,ELEC.CA,2.750,2.840,2.650,2.670,3560000
2024-03-04,ELEC.CA,2.670,2.840,2.690,2.730,7040000
2024-03-05,ELEC.CA,2.730,2.820,2.720,2.730,3790000
2024-03-06,ELEC.CA,2.730,2.830,2.650,2.660,4180000
2024-03-07,ELEC.CA,2.660,2.800,2.580,2.700,2500000
2024-03-10,ELEC.CA,2.700,3.190,2.720,3.090,13460000
2024-03-11,ELEC.CA,3.090,3.340,3.010,3.030,10360000
2024-03-12,ELEC.CA,3.030,3.060,2.810,2.890,3170000
2024-03-13,ELEC.CA,2.890,2.960,2.630,2.710,2930000
2024-03-14,ELEC.CA,2.710,2.890,2.600,2.870,3220000
2024-03-17,ELEC.CA,2.870,2.940,2.760,2.770,1810000
2024-03-18,ELEC.CA,2.770,2.770,2.310,2.330,5850000
2024-03-19,ELEC.CA,2.330,2.330,2.090,2.190,3160000
2024-03-20,ELEC.CA,2.190,2.450,2.210,2.360,5410000
2024-03-21,ELEC.CA,2.360,2.510,2.370,2.460,4460000
2024-03-24,ELEC.CA,2.460,2.550,2.400,2.430,1640000
2024-03-25,ELEC.CA,2.430,2.470,2.390,2.400,1720000
2024-03-26,ELEC.CA,2.400,2.430,2.320,2.380,2310000
2024-03-27,ELEC.CA,2.380,2.380,2.210,2.250,2000000
2024-03-28,ELEC.CA,2.250,2.260,2.150,2.210,1690000
2024-03-31,ELEC.CA,2.210,2.250,2.060,2.120,1870000
2024-04-01,ELEC.CA,2.120,2.280,2.120,2.240,2680000
2024-04-02,ELEC.CA,2.240,2.310,2.160,2.210,2620000
