Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ELNA.CA,39.00,40.12,40.12,40.12,0
2026-01-05,ELNA.CA,42.00,42.12,38.27,42.12,64890
2026-01-06,ELNA.CA,44.22,44.22,42.00,44.21,104650
2026-01-08,ELNA.CA,44.19,45.86,42.53,43.37,8820
2026-01-11,ELNA.CA,42.30,44.00,41.82,42.42,16160
2026-01-12,ELNA.CA,42.00,43.13,40.30,41.45,32910
2026-01-13,ELNA.CA,40.41,42.95,40.41,41.36,12570
2026-01-14,ELNA.CA,40.32,41.40,39.30,39.60,16420
2026-01-15,ELNA.CA,39.00,40.77,37.65,37.85,13860
2026-01-18,ELNA.CA,38.18,39.00,38.00,37.85,4840
2026-01-19,ELNA.CA,38.86,39.50,38.38,37.85,5680
2026-01-20,ELNA.CA,39.49,39.74,39.00,39.63,18490
2026-01-21,ELNA.CA,39.02,41.39,38.01,39.63,4750
2026-01-22,ELNA.CA,38.20,40.39,38.03,39.63,6660
2026-01-25,ELNA.CA,40.20,40.20,37.65,37.67,47400
2026-01-26,ELNA.CA,37.67,38.88,36.00,37.67,6870
2026-01-27,ELNA.CA,36.77,37.99,36.77,37.67,4160
2026-01-28,ELNA.CA,36.25,37.67,35.85,37.67,7880
2026-02-01,ELNA.CA,35.86,37.67,35.86,37.67,1150
2026-02-02,ELNA.CA,36.12,37.67,36.12,37.67,740
2026-02-03,ELNA.CA,37.28,39.35,37.01,38.93,8870
2026-02-04,ELNA.CA,39.00,39.33,37.66,38.93,4230
2026-02-05,ELNA.CA,37.80,38.98,37.80,38.93,7670
2026-02-08,ELNA.CA,38.00,38.88,37.27,37.29,14090
2026-02-09,ELNA.CA,38.66,38.66,36.06,37.29,3710
2026-02-10,ELNA.CA,37.00,38.00,36.50,36.66,15120
2026-02-11,ELNA.CA,37.88,38.47,36.30,37.91,7970
2026-02-12,ELNA.CA,37.60,39.80,37.60,38.79,8320
2026-02-15,ELNA.CA,38.99,38.99,37.00,37.50,11000
2026-02-16,ELNA.CA,38.48,38.89,36.86,36.92,11380
2026-02-17,ELNA.CA,37.00,38.25,36.03,36.92,4640
2026-02-18,ELNA.CA,36.92,37.82,36.70,36.92,3070
2026-02-19,ELNA.CA,37.00,37.78,35.90,36.03,11430
2026-02-22,ELNA.CA,36.97,36.97,34.61,34.78,8840
2026-02-23,ELNA.CA,33.73,35.95,33.73,34.78,3840
2026-02-24,ELNA.CA,35.84,35.84,35.00,35.22,10870
2026-02-25,ELNA.CA,35.22,35.49,34.40,35.22,5720
2026-02-26,ELNA.CA,34.40,35.65,34.40,35.44,21030
2026-03-01,ELNA.CA,34.47,35.44,34.00,35.44,3170
2026-03-02,ELNA.CA,35.44,37.21,35.44,37.11,23090
2026-03-03,ELNA.CA,36.42,38.40,36.01,37.11,950
2026-03-04,ELNA.CA,37.88,37.88,36.03,36.96,8990
2026-03-05,ELNA.CA,37.79,38.25,37.73,38.00,11330
2026-03-08,ELNA.CA,38.33,39.62,36.81,38.88,15150
2026-03-09,ELNA.CA,38.88,40.40,38.88,40.05,12020
2026-03-10,ELNA.CA,40.30,41.60,39.40,39.99,18930
2026-03-11,ELNA.CA,39.65,39.80,39.17,39.32,7720
2026-03-12,ELNA.CA,39.00,39.75,38.36,39.32,7130
2026-03-15,ELNA.CA,38.40,39.98,38.40,39.32,1190
2026-03-16,ELNA.CA,40.00,40.00,38.16,38.71,8070
2026-03-17,ELNA.CA,39.01,39.01,37.16,38.71,4910
2026-03-18,ELNA.CA,37.51,39.80,37.51,38.71,3680
2026-03-24,ELNA.CA,37.13,39.00,37.12,37.96,15400
2026-03-25,ELNA.CA,37.56,38.00,37.56,37.96,4450
2026-03-26,ELNA.CA,38.85,38.85,36.80,37.96,5350
2026-03-29,ELNA.CA,36.80,38.99,36.07,36.98,19790
2026-03-30,ELNA.CA,38.60,38.60,36.25,36.98,2070
2026-03-31,ELNA.CA,36.56,37.90,36.56,36.98,400
2026-04-01,ELNA.CA,36.75,37.60,36.50,36.98,5760
2026-04-02,ELNA.CA,36.60,37.50,36.52,36.98,4760
2026-04-05,ELNA.CA,37.49,37.49,36.53,36.98,3800
2026-04-06,ELNA.CA,36.90,37.45,36.75,36.98,1650
2026-04-07,ELNA.CA,36.88,37.30,36.75,36.98,2250
2026-04-08,ELNA.CA,37.34,38.80,36.81,36.98,2310
2026-04-09,ELNA.CA,36.87,38.19,36.87,37.10,23380
2026-04-12,ELNA.CA,36.98,37.10,37.10,37.10,23380
2026-04-14,ELNA.CA,37.98,37.99,36.50,37.08,8490
2026-04-15,ELNA.CA,37.95,38.50,36.59,37.66,8230
2026-04-16,ELNA.CA,37.97,37.97,37.21,37.66,2920
2026-04-19,ELNA.CA,37.27,38.19,37.01,37.66,6150
2026-04-20,ELNA.CA,37.03,38.09,37.03,37.66,1710
2026-04-21,ELNA.CA,37.40,37.40,37.00,37.17,25540
2026-04-22,ELNA.CA,37.01,37.94,36.70,37.17,4510
2026-04-23,ELNA.CA,37.88,37.88,36.71,37.17,2470
2026-04-26,ELNA.CA,37.83,37.83,36.71,37.17,4350
2026-04-27,ELNA.CA,37.00,37.97,36.70,37.06,10610
2026-04-28,ELNA.CA,37.10,37.66,36.72,37.02,16770
2026-04-29,ELNA.CA,37.10,37.49,37.00,37.13,11490
2026-04-30,ELNA.CA,37.47,37.64,37.01,37.42,8380
2026-05-03,ELNA.CA,37.62,39.29,37.62,39.27,36060
2026-05-04,ELNA.CA,38.25,41.17,38.24,40.40,12170
2026-05-05,ELNA.CA,40.00,40.50,38.67,40.40,7210
2026-05-06,ELNA.CA,39.96,40.88,39.00,39.15,9770
2026-05-10,ELNA.CA,39.13,40.25,39.13,39.32,10950
2026-05-11,ELNA.CA,39.06,39.69,38.82,38.93,13820
2026-05-12,ELNA.CA,39.00,40.87,39.00,40.84,14350
2026-05-13,ELNA.CA,42.49,42.79,40.50,41.86,8020
2026-05-14,ELNA.CA,41.50,41.85,40.91,41.06,16090
2026-05-17,ELNA.CA,41.25,41.46,40.53,41.03,8910
2026-05-18,ELNA.CA,40.97,41.99,39.22,40.95,19280
2026-05-19,ELNA.CA,40.22,41.50,40.22,40.25,12220
2026-05-20,ELNA.CA,40.03,41.40,40.00,40.25,4170
2026-05-21,ELNA.CA,40.01,40.10,39.00,40.25,3930
2026-05-24,ELNA.CA,39.40,40.54,39.40,40.25,450
2026-05-25,ELNA.CA,40.80,40.87,39.00,39.27,10440
2026-06-01,ELNA.CA,39.02,40.86,39.02,39.27,1170
2026-06-02,ELNA.CA,39.18,40.48,39.03,39.27,1560
2026-06-03,ELNA.CA,39.52,40.39,39.00,39.05,13570
2026-06-04,ELNA.CA,39.50,39.50,38.00,38.29,13480
2026-06-07,ELNA.CA,37.46,40.20,37.11,39.54,8170
2026-06-08,ELNA.CA,38.03,39.99,38.03,39.54,1640
2026-06-09,ELNA.CA,38.62,39.90,37.57,39.54,7670
2026-06-10,ELNA.CA,38.32,41.51,38.32,41.26,32690
2026-06-11,ELNA.CA,40.97,41.48,39.20,39.38,9830
2026-06-14,ELNA.CA,40.98,40.99,37.43,37.74,21740
2026-06-15,ELNA.CA,38.01,39.27,38.01,37.74,2570
2026-06-16,ELNA.CA,37.71,39.62,37.50,39.45,15010
2026-06-17,ELNA.CA,38.53,40.00,38.53,39.45,2370
2026-06-21,ELNA.CA,38.63,40.65,38.63,39.56,9640
2026-06-22,ELNA.CA,39.56,39.80,37.62,39.56,4500
2026-06-23,ELNA.CA,39.40,39.40,37.65,37.96,21000
2026-06-24,ELNA.CA,37.63,38.00,37.59,37.73,31270
