Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ELSH.CA,8.100,8.950,8.100,8.950,13150000
2024-01-03,ELSH.CA,8.930,8.930,8.670,8.770,6740000
2024-01-04,ELSH.CA,9.000,9.190,8.900,9.000,16200000
2024-01-08,ELSH.CA,9.040,9.200,8.900,8.920,7780000
2024-01-09,ELSH.CA,8.950,9.070,8.860,8.930,5910000
2024-01-10,ELSH.CA,8.990,9.050,8.820,8.860,5700000
2024-01-11,ELSH.CA,8.880,9.270,8.880,9.200,15830000
2024-01-14,ELSH.CA,9.270,9.410,9.120,9.140,7300000
2024-01-15,ELSH.CA,9.190,9.240,8.990,9.040,5940000
2024-01-16,ELSH.CA,9.100,9.150,8.970,9.000,4330000
2024-01-17,ELSH.CA,9.030,9.110,8.880,8.910,4070000
2024-01-18,ELSH.CA,8.920,8.970,8.830,8.900,2460000
2024-01-21,ELSH.CA,8.950,9.140,8.920,9.050,4890000
2024-01-22,ELSH.CA,9.150,9.380,9.050,9.350,14850000
2024-01-23,ELSH.CA,9.420,9.500,9.040,9.040,7920000
2024-01-24,ELSH.CA,9.080,9.160,8.940,8.970,3760000
2024-01-28,ELSH.CA,9.040,9.090,8.920,8.960,5360000
2024-01-29,ELSH.CA,9.080,9.170,8.900,8.920,4160000
2024-01-30,ELSH.CA,8.950,9.180,8.910,9.070,5330000
2024-01-31,ELSH.CA,9.210,9.320,7.910,8.250,8800000
2024-02-01,ELSH.CA,8.250,8.580,7.800,8.580,3060000
2024-02-04,ELSH.CA,8.580,8.700,8.220,8.660,3450000
2024-02-05,ELSH.CA,8.660,8.970,8.670,8.830,4550000
2024-02-06,ELSH.CA,8.830,8.950,8.520,8.520,5050000
2024-02-07,ELSH.CA,8.520,8.750,8.400,8.440,3490000
2024-02-08,ELSH.CA,8.440,8.670,8.450,8.490,3460000
2024-02-11,ELSH.CA,8.490,8.650,8.330,8.380,3190000
2024-02-12,ELSH.CA,8.380,8.440,8.200,8.300,2510000
2024-02-13,ELSH.CA,8.300,8.420,8.290,8.360,2350000
2024-02-14,ELSH.CA,8.360,8.620,8.380,8.600,3350000
2024-02-15,ELSH.CA,8.600,8.700,8.520,8.620,3450000
2024-02-18,ELSH.CA,8.620,8.820,8.600,8.710,4370000
2024-02-19,ELSH.CA,8.710,8.860,8.640,8.810,4740000
2024-02-20,ELSH.CA,8.810,9.150,8.840,8.850,10760000
2024-02-21,ELSH.CA,8.850,8.950,8.710,8.770,4500000
2024-02-22,ELSH.CA,8.770,8.880,8.720,8.730,2690000
2024-02-25,ELSH.CA,8.730,8.690,8.210,8.270,3600000
2024-02-26,ELSH.CA,8.270,8.500,8.200,8.350,2620000
2024-02-27,ELSH.CA,8.350,8.630,8.260,8.360,3810000
2024-02-28,ELSH.CA,8.360,8.440,8.010,8.040,2250000
2024-02-29,ELSH.CA,8.040,8.080,7.880,7.960,1540000
2024-03-03,ELSH.CA,7.960,8.090,7.930,7.950,1040000
2024-03-04,ELSH.CA,7.950,8.390,7.980,8.350,4310000
2024-03-05,ELSH.CA,8.350,8.480,8.170,8.210,1860000
2024-03-06,ELSH.CA,8.210,8.190,7.830,7.870,2590000
2024-03-07,ELSH.CA,7.870,8.000,7.620,7.710,1690000
2024-03-10,ELSH.CA,7.710,7.910,7.750,7.830,1330000
2024-03-11,ELSH.CA,7.830,7.900,7.650,7.730,770620
2024-03-12,ELSH.CA,7.730,7.830,7.440,7.480,704910
2024-03-13,ELSH.CA,7.480,7.540,7.100,7.130,1180000
2024-03-14,ELSH.CA,7.130,7.290,7.070,7.140,670980
2024-03-17,ELSH.CA,7.140,7.330,6.800,6.800,867280
2024-03-18,ELSH.CA,6.800,7.100,6.360,6.360,2140000
2024-03-19,ELSH.CA,6.360,6.500,6.010,6.300,2120000
2024-03-20,ELSH.CA,6.300,6.490,6.220,6.330,909970
2024-03-21,ELSH.CA,6.330,6.600,6.280,6.600,955640
2024-03-24,ELSH.CA,6.600,6.820,6.610,6.660,1430000
2024-03-25,ELSH.CA,6.660,6.840,6.610,6.780,784680
2024-03-26,ELSH.CA,6.780,6.840,6.620,6.650,1000000
2024-03-27,ELSH.CA,6.650,6.700,6.500,6.520,758330
2024-03-28,ELSH.CA,6.520,6.560,6.400,6.400,666800
2024-03-31,ELSH.CA,6.400,6.510,6.040,6.080,899480
2024-04-01,ELSH.CA,6.080,6.390,6.120,6.360,634290
2024-04-02,ELSH.CA,6.360,6.460,6.340,6.390,600250
2024-04-03,ELSH.CA,6.390,6.410,6.310,6.330,410130
2024-04-04,ELSH.CA,6.330,6.530,6.370,6.480,906170
2024-04-07,ELSH.CA,6.480,6.570,6.400,6.440,855580
2024-04-08,ELSH.CA,6.440,6.500,6.400,6.460,668310
2024-04-15,ELSH.CA,6.460,6.770,6.420,6.710,1920000
2024-04-16,ELSH.CA,6.710,6.870,6.700,6.810,1340000
2024-04-17,ELSH.CA,6.810,6.980,6.850,6.910,1550000
2024-04-18,ELSH.CA,6.910,6.980,6.300,6.500,2230000
2024-04-21,ELSH.CA,6.500,6.630,6.440,6.530,934170
2024-04-22,ELSH.CA,6.530,6.800,6.520,6.590,2140000
2024-04-23,ELSH.CA,6.590,6.650,6.260,6.270,1380000
2024-04-24,ELSH.CA,6.270,6.300,6.020,6.120,1050000
2024-04-28,ELSH.CA,6.120,6.240,5.750,5.770,1160000
2024-04-29,ELSH.CA,5.770,5.970,5.760,5.950,812600
2024-04-30,ELSH.CA,5.980,6.020,5.550,5.630,1180000
2024-05-01,ELSH.CA,5.690,5.930,5.560,5.830,762870
2024-05-02,ELSH.CA,5.840,6.000,5.760,5.870,1230000
2024-05-07,ELSH.CA,5.870,6.080,5.840,6.020,1410000
2024-05-08,ELSH.CA,6.070,6.100,5.740,5.800,1170000
2024-05-09,ELSH.CA,5.850,5.910,5.750,5.840,750670
2024-05-12,ELSH.CA,5.930,5.940,5.600,5.610,1080000
2024-05-13,ELSH.CA,5.580,5.630,5.400,5.620,1110000
2024-05-14,ELSH.CA,5.680,5.800,5.520,5.660,1240000
2024-05-15,ELSH.CA,5.740,5.790,5.590,5.650,1250000
2024-05-16,ELSH.CA,5.740,5.850,5.660,5.830,776850
2024-05-19,ELSH.CA,5.880,6.040,5.850,6.010,1730000
2024-05-20,ELSH.CA,6.080,6.090,5.910,5.970,1370000
2024-05-21,ELSH.CA,5.990,6.210,5.910,6.090,3250000
2024-05-22,ELSH.CA,6.120,6.260,6.060,6.200,3130000
2024-05-23,ELSH.CA,6.230,6.250,6.130,6.130,1410000
2024-05-26,ELSH.CA,6.160,6.230,6.130,6.210,964440
2024-05-27,ELSH.CA,6.230,6.290,6.050,6.100,1770000
2024-05-28,ELSH.CA,6.010,6.090,5.910,6.060,1190000
2024-05-29,ELSH.CA,6.050,6.120,6.000,6.040,1090000
2024-05-30,ELSH.CA,6.030,6.090,5.850,5.920,1290000
2024-06-02,ELSH.CA,6.000,6.000,5.760,5.800,1180000
2024-06-03,ELSH.CA,5.820,5.870,5.770,5.800,734530
2024-06-04,ELSH.CA,5.850,5.910,5.800,5.830,711130
2024-06-05,ELSH.CA,5.870,5.880,5.640,5.730,944780
2024-06-06,ELSH.CA,5.780,5.800,5.650,5.670,598730
2024-06-09,ELSH.CA,5.720,5.720,5.540,5.580,451980
2024-06-10,ELSH.CA,5.560,5.710,5.550,5.580,328640
2024-06-11,ELSH.CA,5.600,5.810,5.600,5.700,1060000
2024-06-12,ELSH.CA,5.820,6.100,5.780,6.010,2460000
2024-06-13,ELSH.CA,6.010,6.130,5.990,6.080,1160000
2024-06-23,ELSH.CA,6.080,6.210,6.060,6.180,1280000
2024-06-24,ELSH.CA,6.190,6.200,6.060,6.080,1800000
2024-06-25,ELSH.CA,5.990,6.240,5.930,6.220,1770000
2024-06-26,ELSH.CA,6.250,6.450,6.230,6.310,5200000
2024-06-27,ELSH.CA,6.300,6.360,6.230,6.250,1150000
2024-07-01,ELSH.CA,6.270,6.350,6.260,6.290,744450
2024-07-02,ELSH.CA,6.350,6.410,6.250,6.300,1090000
2024-07-03,ELSH.CA,6.300,6.370,6.290,6.350,1020000
2024-07-04,ELSH.CA,6.340,6.670,6.310,6.490,5530000
2024-07-07,ELSH.CA,6.500,6.640,6.440,6.450,1610000
2024-07-08,ELSH.CA,6.470,6.560,6.330,6.350,2280000
2024-07-09,ELSH.CA,6.460,6.480,6.340,6.340,2280000
2024-07-10,ELSH.CA,6.340,6.390,6.200,6.260,1130000
2024-07-14,ELSH.CA,6.280,6.380,6.210,6.370,1060000
2024-07-15,ELSH.CA,6.390,6.510,6.370,6.500,1930000
2024-07-16,ELSH.CA,6.570,6.640,6.500,6.500,2710000
2024-07-17,ELSH.CA,6.560,6.750,6.500,6.750,2390000
2024-07-18,ELSH.CA,6.830,6.840,6.650,6.710,2730000
2024-07-21,ELSH.CA,6.770,6.780,6.640,6.710,2000000
2024-07-22,ELSH.CA,6.730,6.780,6.640,6.650,2370000
2024-07-23,ELSH.CA,6.670,6.720,6.630,6.660,1450000
