Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,EPPK.CA,6.67,6.67,6.67,7.02,1940
2024-01-04,EPPK.CA,6.67,6.67,6.67,7.02,1760
2024-01-08,EPPK.CA,6.67,6.67,6.67,7.02,3180
2024-01-09,EPPK.CA,6.67,6.67,6.67,7.02,1180
2024-01-10,EPPK.CA,6.67,7.37,6.67,7.37,96730
2024-01-11,EPPK.CA,7.37,7.73,7.22,7.65,130660
2024-01-14,EPPK.CA,7.60,8.03,7.50,8.01,131180
2024-01-15,EPPK.CA,8.30,8.41,7.89,8.41,185380
2024-01-16,EPPK.CA,8.50,8.83,7.99,7.99,203100
2024-01-17,EPPK.CA,7.67,8.00,7.66,7.70,168220
2024-01-18,EPPK.CA,7.79,8.08,7.75,8.08,192460
2024-01-21,EPPK.CA,8.47,8.47,8.09,8.32,40240
2024-01-22,EPPK.CA,8.42,8.73,8.23,8.60,93740
2024-01-23,EPPK.CA,8.17,9.02,8.17,8.33,45490
2024-01-24,EPPK.CA,8.35,8.66,8.11,8.17,58680
2024-01-28,EPPK.CA,8.20,8.50,7.81,8.17,10600
2024-01-29,EPPK.CA,8.07,8.46,8.06,8.27,41740
2024-01-30,EPPK.CA,8.16,8.68,8.16,8.37,76340
2024-01-31,EPPK.CA,8.19,8.55,7.96,8.37,28870
2024-02-01,EPPK.CA,8.37,8.42,7.98,8.37,20700
2024-02-04,EPPK.CA,8.37,8.41,7.96,8.37,34420
2024-02-05,EPPK.CA,8.37,8.17,7.96,8.37,11990
2024-02-06,EPPK.CA,8.37,8.29,7.96,8.37,23760
2024-02-07,EPPK.CA,8.37,8.18,7.96,8.37,24170
2024-02-08,EPPK.CA,8.37,8.18,7.96,8.37,28320
2024-02-11,EPPK.CA,8.37,8.00,7.96,8.37,12530
2024-02-12,EPPK.CA,8.37,7.96,7.96,8.37,510
2024-02-13,EPPK.CA,8.37,7.96,7.96,8.37,600
2024-02-14,EPPK.CA,8.37,7.96,7.96,8.37,5900
2024-02-15,EPPK.CA,8.37,7.96,7.96,8.37,15230
2024-02-18,EPPK.CA,8.37,7.96,7.96,8.37,500
2024-02-19,EPPK.CA,8.37,7.96,7.96,8.37,800
2024-02-20,EPPK.CA,8.37,8.34,7.96,8.02,59430
2024-02-21,EPPK.CA,8.02,8.10,7.66,8.02,18460
2024-02-22,EPPK.CA,8.02,8.00,7.62,8.02,22300
2024-02-25,EPPK.CA,8.02,7.62,7.62,8.02,12810
2024-02-26,EPPK.CA,8.02,7.63,7.62,8.02,10710
2024-02-27,EPPK.CA,8.02,7.62,7.62,8.02,650
2024-02-28,EPPK.CA,8.02,8.02,8.02,8.02,0
2024-02-29,EPPK.CA,8.02,7.62,7.62,8.02,10
2024-03-03,EPPK.CA,8.02,7.62,7.62,8.02,0
2024-03-04,EPPK.CA,8.02,7.62,7.62,8.02,3150
2024-03-05,EPPK.CA,8.02,7.62,7.62,8.02,220
2024-03-06,EPPK.CA,8.02,7.62,7.62,8.02,80
2024-03-07,EPPK.CA,8.02,7.62,7.62,8.02,300
2024-03-10,EPPK.CA,8.02,8.40,7.62,7.83,88140
2024-03-11,EPPK.CA,7.83,8.00,7.55,7.83,13950
2024-03-12,EPPK.CA,7.83,7.70,7.44,7.83,6960
2024-03-13,EPPK.CA,7.83,7.60,7.44,7.83,4490
2024-03-14,EPPK.CA,7.83,7.44,7.44,7.83,6840
