Date,Ticker,Open,High,Low,Close,Volume
2026-01-05,ESRS.CA,141.00,141.90,140.00,140.00,610
2026-01-12,ESRS.CA,141.00,141.88,141.00,141.00,840
2026-01-14,ESRS.CA,141.00,141.50,141.00,141.00,640
2026-01-19,ESRS.CA,141.00,141.00,141.00,141.00,740
2026-01-21,ESRS.CA,141.00,141.49,141.00,141.00,350
2026-01-26,ESRS.CA,141.00,142.00,141.00,141.00,3510
2026-01-28,ESRS.CA,142.00,144.50,141.00,144.50,1080
2026-02-02,ESRS.CA,144.50,144.50,141.00,141.00,840
2026-02-04,ESRS.CA,144.00,144.00,141.00,141.00,190
2026-02-09,ESRS.CA,142.00,142.50,141.00,141.00,1850
2026-02-11,ESRS.CA,144.00,144.00,141.00,141.00,160
2026-02-16,ESRS.CA,143.00,148.99,141.00,141.00,3330
2026-02-18,ESRS.CA,142.00,144.00,141.00,141.00,910
2026-02-23,ESRS.CA,144.00,144.00,141.00,141.00,200
2026-02-25,ESRS.CA,141.00,144.00,141.00,141.00,650
2026-03-02,ESRS.CA,142.00,144.00,141.00,141.00,290
2026-03-04,ESRS.CA,144.00,144.00,141.00,141.00,1510
2026-03-09,ESRS.CA,141.00,141.00,141.00,141.00,400
2026-03-11,ESRS.CA,141.00,141.00,141.00,141.00,720
2026-03-16,ESRS.CA,141.00,142.00,141.00,141.00,1350
2026-03-18,ESRS.CA,144.00,144.00,141.00,141.00,320
2026-03-25,ESRS.CA,141.00,141.00,141.00,141.00,360
2026-03-30,ESRS.CA,144.00,144.00,141.00,141.00,970
2026-04-01,ESRS.CA,143.00,144.00,141.00,141.00,970
2026-04-06,ESRS.CA,144.00,144.00,141.00,141.00,1080
2026-04-08,ESRS.CA,144.00,144.00,141.00,141.00,1870
2026-04-15,ESRS.CA,143.98,144.00,141.00,141.00,4330
2026-04-20,ESRS.CA,141.00,143.00,141.00,141.00,3530
2026-04-22,ESRS.CA,143.00,144.00,141.00,141.00,2210
2026-04-27,ESRS.CA,141.00,141.50,138.15,141.50,4110
2026-04-29,ESRS.CA,141.00,144.00,141.00,141.00,2790
2026-05-04,ESRS.CA,141.00,144.00,141.00,141.00,1010
2026-05-06,ESRS.CA,143.99,143.99,141.00,141.00,2070
2026-05-11,ESRS.CA,141.00,143.99,141.00,141.00,2530
2026-05-13,ESRS.CA,141.00,141.69,141.00,141.00,1150
2026-05-18,ESRS.CA,141.69,141.70,141.00,141.00,3200
2026-05-20,ESRS.CA,141.70,141.70,141.00,141.00,2380
2026-05-25,ESRS.CA,141.00,143.00,141.00,141.00,2350
2026-06-01,ESRS.CA,141.00,141.99,138.18,141.00,5090
2026-06-03,ESRS.CA,141.00,141.00,138.16,138.57,100
2026-06-08,ESRS.CA,141.00,141.00,61.00,61.00,490
2026-06-10,ESRS.CA,140.00,140.00,120.00,126.10,360
2026-06-15,ESRS.CA,138.13,138.13,126.15,126.20,390
2026-06-17,ESRS.CA,137.99,137.99,100.01,100.01,780
2026-06-22,ESRS.CA,135.00,135.00,101.15,134.70,130
2026-06-24,ESRS.CA,134.00,134.00,102.20,129.99,150
