Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ETEL.CA,38.05,38.63,37.84,38.50,981800
2024-01-03,ETEL.CA,38.60,38.69,38.05,38.31,396790
2024-01-04,ETEL.CA,38.45,38.50,37.86,38.24,1010000
2024-01-08,ETEL.CA,38.45,38.50,37.90,37.96,789710
2024-01-09,ETEL.CA,38.00,38.39,37.99,38.33,337970
2024-01-10,ETEL.CA,38.38,38.40,37.91,38.08,503610
2024-01-11,ETEL.CA,38.25,38.35,37.90,38.30,398770
2024-01-14,ETEL.CA,38.30,38.50,38.13,38.31,325800
2024-01-15,ETEL.CA,38.30,39.80,38.20,38.60,1120000
2024-01-16,ETEL.CA,39.10,39.60,38.71,39.50,763380
2024-01-17,ETEL.CA,39.90,41.49,39.63,39.82,1990000
2024-01-18,ETEL.CA,40.99,40.99,38.80,38.90,2010000
2024-01-21,ETEL.CA,39.39,39.60,38.50,39.46,1680000
2024-01-22,ETEL.CA,39.68,40.08,38.93,39.05,1990000
2024-01-23,ETEL.CA,39.22,39.60,37.75,37.82,1470000
2024-01-24,ETEL.CA,38.00,38.64,37.25,38.50,1540000
2024-01-28,ETEL.CA,38.90,39.60,38.06,39.00,2410000
2024-01-29,ETEL.CA,39.02,39.31,38.45,39.07,1080000
2024-01-30,ETEL.CA,39.20,39.35,38.30,39.32,2020000
2024-01-31,ETEL.CA,39.40,40.10,36.00,36.56,1750000
2024-02-01,ETEL.CA,36.56,37.68,34.02,37.00,1980000
2024-02-04,ETEL.CA,37.00,37.90,36.38,36.89,759950
2024-02-05,ETEL.CA,36.89,37.79,36.95,37.01,674370
2024-02-06,ETEL.CA,37.01,38.00,37.00,37.79,978040
2024-02-07,ETEL.CA,37.79,40.99,37.67,39.71,5150000
2024-02-08,ETEL.CA,39.71,42.42,40.06,41.58,7230000
2024-02-11,ETEL.CA,41.58,41.99,40.31,40.56,791680
2024-02-12,ETEL.CA,40.56,40.90,38.13,40.00,861070
2024-02-13,ETEL.CA,40.00,40.80,39.50,39.84,723650
2024-02-14,ETEL.CA,39.84,41.88,39.70,40.51,1630000
