Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ETRS.CA,3.15,3.26,3.14,3.25,4620000
2024-01-03,ETRS.CA,3.29,3.47,3.25,3.45,12220000
2024-01-04,ETRS.CA,3.46,3.50,3.37,3.39,10790000
2024-01-08,ETRS.CA,3.40,3.43,3.32,3.36,6640000
2024-01-09,ETRS.CA,3.37,3.41,3.35,3.35,4650000
2024-01-10,ETRS.CA,3.38,3.51,3.35,3.44,13230000
2024-01-11,ETRS.CA,3.49,3.56,3.45,3.51,12230000
2024-01-14,ETRS.CA,3.57,4.10,3.49,3.99,27500000
2024-01-15,ETRS.CA,4.10,4.22,3.92,4.11,33750000
2024-01-16,ETRS.CA,4.19,4.22,3.94,3.98,21970000
2024-01-17,ETRS.CA,4.04,4.10,3.86,3.88,13640000
2024-01-18,ETRS.CA,3.94,3.97,3.86,3.88,6510000
2024-01-21,ETRS.CA,3.92,4.08,3.91,4.01,10310000
2024-01-22,ETRS.CA,4.10,4.63,4.10,4.40,31350000
2024-01-23,ETRS.CA,4.43,4.43,4.20,4.20,7610000
2024-01-24,ETRS.CA,4.26,4.43,4.23,4.36,8190000
2024-01-28,ETRS.CA,4.44,4.65,4.34,4.50,13950000
2024-01-29,ETRS.CA,4.52,5.15,4.50,5.15,18410000
2024-01-30,ETRS.CA,5.21,5.21,4.90,5.00,15350000
2024-01-31,ETRS.CA,5.01,5.02,4.13,4.30,11220000
2024-02-01,ETRS.CA,4.30,4.58,4.04,4.55,7900000
2024-02-04,ETRS.CA,4.55,4.82,4.40,4.78,9340000
2024-02-05,ETRS.CA,4.78,5.03,4.76,4.87,9050000
2024-02-06,ETRS.CA,4.87,4.92,4.61,4.63,6640000
2024-02-07,ETRS.CA,4.63,4.77,4.52,4.57,2710000
2024-02-08,ETRS.CA,4.57,4.76,4.50,4.66,3100000
2024-02-11,ETRS.CA,4.66,4.82,4.53,4.56,4350000
2024-02-12,ETRS.CA,4.56,4.63,4.38,4.56,3710000
2024-02-13,ETRS.CA,4.56,5.19,4.56,5.10,25260000
2024-02-14,ETRS.CA,5.10,5.15,4.89,4.94,10850000
2024-02-15,ETRS.CA,4.94,4.99,4.84,4.91,7840000
2024-02-18,ETRS.CA,4.91,5.00,4.79,4.85,8190000
2024-02-19,ETRS.CA,4.85,4.87,4.69,4.74,4320000
2024-02-20,ETRS.CA,4.74,5.00,4.75,4.83,6630000
2024-02-21,ETRS.CA,4.83,5.07,4.85,4.90,10600000
2024-02-22,ETRS.CA,4.90,4.99,4.81,4.84,5020000
2024-02-25,ETRS.CA,4.84,4.72,4.30,4.50,5390000
2024-02-26,ETRS.CA,4.50,4.66,4.40,4.53,2720000
2024-02-27,ETRS.CA,4.53,4.70,4.45,4.46,2980000
2024-02-28,ETRS.CA,4.46,4.58,4.31,4.31,2620000
2024-02-29,ETRS.CA,4.31,4.37,4.09,4.23,4020000
2024-03-03,ETRS.CA,4.23,4.26,4.07,4.11,1350000
2024-03-04,ETRS.CA,4.11,4.28,4.13,4.19,3110000
2024-03-05,ETRS.CA,4.19,4.59,4.24,4.59,8180000
2024-03-06,ETRS.CA,4.59,4.64,4.31,4.40,5430000
2024-03-07,ETRS.CA,4.40,4.46,4.22,4.30,1090000
2024-03-10,ETRS.CA,4.30,4.51,4.30,4.49,2210000
2024-03-11,ETRS.CA,4.49,4.59,4.35,4.40,1240000
2024-03-12,ETRS.CA,4.40,4.45,4.10,4.16,1510000
2024-03-13,ETRS.CA,4.16,4.24,3.90,3.99,1800000
2024-03-14,ETRS.CA,3.99,4.17,3.90,4.15,1350000
2024-03-17,ETRS.CA,4.15,4.25,4.01,4.01,883810
2024-03-18,ETRS.CA,4.01,4.01,3.54,3.62,1030000
2024-03-19,ETRS.CA,3.62,3.57,3.32,3.46,1010000
2024-03-20,ETRS.CA,3.46,3.90,3.50,3.61,1020000
2024-03-21,ETRS.CA,3.61,3.81,3.62,3.77,827560
2024-03-24,ETRS.CA,3.77,4.09,3.85,3.97,2460000
2024-03-25,ETRS.CA,3.97,4.04,3.89,3.91,1500000
2024-03-26,ETRS.CA,3.91,3.98,3.86,3.88,1600000
2024-03-27,ETRS.CA,3.88,3.88,3.70,3.72,1140000
2024-03-28,ETRS.CA,3.72,3.77,3.63,3.68,535950
2024-03-31,ETRS.CA,3.68,3.69,3.45,3.51,449170
2024-04-01,ETRS.CA,3.51,3.75,3.49,3.75,729630
2024-04-02,ETRS.CA,3.75,3.77,3.61,3.69,486900
2024-04-03,ETRS.CA,3.69,3.69,3.57,3.63,386430
2024-04-04,ETRS.CA,3.63,3.73,3.64,3.71,563010
