Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,EXPA.CA,15.40,15.60,15.02,15.18,428730
2026-01-05,EXPA.CA,15.30,15.30,14.50,14.61,1530000
2026-01-06,EXPA.CA,15.03,15.04,14.63,14.92,1030000
2026-01-08,EXPA.CA,15.10,15.17,14.96,15.03,268790
2026-01-11,EXPA.CA,15.15,15.97,15.10,15.72,1620000
2026-01-12,EXPA.CA,15.85,15.87,15.40,15.40,999530
2026-01-13,EXPA.CA,15.63,15.63,15.01,15.25,1280000
2026-01-14,EXPA.CA,15.25,15.43,14.80,15.23,588160
2026-01-15,EXPA.CA,15.00,15.64,14.92,15.57,11010000
2026-01-18,EXPA.CA,15.68,15.88,15.59,15.70,913290
2026-01-19,EXPA.CA,15.84,15.90,15.60,15.65,632840
2026-01-20,EXPA.CA,15.69,16.31,15.60,16.31,4340000
2026-01-21,EXPA.CA,16.49,16.65,16.22,16.27,4880000
2026-01-22,EXPA.CA,16.32,16.47,15.98,16.18,1460000
2026-01-25,EXPA.CA,16.28,16.47,15.90,15.90,1120000
2026-01-26,EXPA.CA,16.00,16.25,15.82,15.89,1270000
2026-01-27,EXPA.CA,15.95,16.12,15.85,15.95,1970000
2026-01-28,EXPA.CA,15.95,16.09,15.62,15.84,834220
2026-02-01,EXPA.CA,15.85,15.95,15.61,15.95,356270
2026-02-02,EXPA.CA,15.96,16.25,15.70,16.00,1830000
2026-02-03,EXPA.CA,16.10,16.70,16.10,16.40,3760000
2026-02-04,EXPA.CA,16.42,16.65,16.30,16.37,1010000
2026-02-05,EXPA.CA,16.49,16.49,16.02,16.39,812220
2026-02-08,EXPA.CA,16.44,16.50,15.98,16.00,1080000
2026-02-09,EXPA.CA,16.10,16.70,15.99,16.70,2510000
2026-02-10,EXPA.CA,16.71,16.84,16.40,16.60,1650000
2026-02-11,EXPA.CA,16.60,16.60,16.03,16.20,1510000
2026-02-12,EXPA.CA,16.20,16.33,16.15,16.25,328140
2026-02-15,EXPA.CA,16.33,17.87,16.27,17.30,15550000
2026-02-16,EXPA.CA,17.32,17.50,17.02,17.30,3790000
2026-02-17,EXPA.CA,17.30,17.55,17.10,17.45,1980000
2026-02-18,EXPA.CA,17.58,17.77,17.20,17.23,2360000
2026-02-19,EXPA.CA,17.49,17.49,16.80,17.00,880250
2026-02-22,EXPA.CA,17.05,17.20,16.25,16.30,1390000
2026-02-23,EXPA.CA,16.55,16.63,16.22,16.50,1520000
2026-02-24,EXPA.CA,16.55,16.85,16.08,16.10,1950000
2026-02-25,EXPA.CA,16.40,16.40,15.90,16.10,905180
2026-02-26,EXPA.CA,16.40,16.40,15.95,16.25,1220000
2026-03-01,EXPA.CA,15.10,15.80,15.06,15.62,482310
2026-03-02,EXPA.CA,15.80,16.12,15.59,16.10,1550000
2026-03-03,EXPA.CA,16.10,16.20,15.90,16.00,1350000
2026-03-04,EXPA.CA,16.15,16.19,15.80,16.00,1320000
2026-03-05,EXPA.CA,16.00,16.25,15.87,16.23,1220000
2026-03-08,EXPA.CA,16.23,16.35,15.87,16.00,1090000
2026-03-09,EXPA.CA,16.08,16.25,15.91,16.00,1720000
2026-03-10,EXPA.CA,16.02,16.60,15.94,16.40,3330000
2026-03-11,EXPA.CA,16.46,17.00,16.41,16.69,2100000
2026-03-12,EXPA.CA,16.70,16.87,16.30,16.38,743800
2026-03-15,EXPA.CA,16.38,16.40,16.00,16.04,589260
2026-03-16,EXPA.CA,16.22,16.23,15.90,16.00,522700
2026-03-17,EXPA.CA,16.00,16.20,16.00,16.20,1530000
2026-03-18,EXPA.CA,16.25,16.36,16.16,16.35,933260
2026-03-24,EXPA.CA,16.40,16.44,16.20,16.23,277490
2026-03-25,EXPA.CA,16.24,16.40,16.24,16.26,1200000
2026-03-26,EXPA.CA,16.30,16.78,16.28,16.37,767090
2026-03-29,EXPA.CA,16.30,16.40,16.05,16.09,1580000
2026-03-30,EXPA.CA,16.19,16.19,16.01,16.04,307630
2026-03-31,EXPA.CA,16.18,16.38,16.00,16.10,2200000
2026-04-01,EXPA.CA,16.16,16.49,16.15,16.30,1380000
2026-04-02,EXPA.CA,16.35,16.35,16.18,16.25,768090
2026-04-05,EXPA.CA,16.25,16.92,16.21,16.79,7530000
2026-04-06,EXPA.CA,16.94,16.96,16.65,16.65,3350000
2026-04-07,EXPA.CA,16.65,16.75,16.42,16.52,539290
2026-04-08,EXPA.CA,16.78,16.90,16.62,16.66,852980
2026-04-09,EXPA.CA,16.70,16.87,16.60,16.70,619680
2026-04-12,EXPA.CA,16.66,16.70,16.70,16.70,619680
2026-04-14,EXPA.CA,16.78,17.40,16.70,17.31,5590000
2026-04-15,EXPA.CA,17.36,17.55,17.15,17.42,3450000
2026-04-16,EXPA.CA,17.36,17.67,17.15,17.42,2550000
2026-04-19,EXPA.CA,17.60,17.77,17.25,17.50,2240000
2026-04-20,EXPA.CA,17.36,17.70,17.30,17.40,1740000
2026-04-21,EXPA.CA,17.50,17.62,17.32,17.34,2250000
2026-04-22,EXPA.CA,17.35,17.50,17.16,17.25,2060000
2026-04-23,EXPA.CA,17.26,17.40,16.99,17.20,3410000
2026-04-26,EXPA.CA,17.19,17.20,16.93,16.99,1310000
2026-04-27,EXPA.CA,17.10,17.27,16.96,17.05,1200000
2026-04-28,EXPA.CA,17.10,17.20,16.95,17.00,2110000
2026-04-29,EXPA.CA,16.98,17.47,16.98,17.47,2100000
2026-04-30,EXPA.CA,17.46,17.64,17.31,17.40,1390000
2026-05-03,EXPA.CA,17.45,17.67,17.43,17.65,1370000
2026-05-04,EXPA.CA,17.80,21.18,17.80,18.40,7180000
2026-05-05,EXPA.CA,18.21,18.80,18.13,18.44,3890000
2026-05-06,EXPA.CA,18.55,18.80,18.49,18.70,2490000
2026-05-10,EXPA.CA,18.71,19.10,18.60,18.69,3500000
2026-05-11,EXPA.CA,18.70,18.90,18.40,18.68,2910000
2026-05-12,EXPA.CA,18.81,19.00,18.47,18.65,1040000
2026-05-13,EXPA.CA,18.61,18.93,18.52,18.70,2480000
2026-05-14,EXPA.CA,18.89,18.99,18.53,18.99,2180000
2026-05-17,EXPA.CA,18.99,19.25,18.60,18.60,1560000
2026-05-18,EXPA.CA,18.70,18.95,18.50,18.80,2000000
2026-05-19,EXPA.CA,18.80,19.24,18.69,18.90,2480000
2026-05-20,EXPA.CA,19.02,19.15,18.55,18.55,1450000
2026-05-21,EXPA.CA,18.60,18.79,18.57,18.60,1040000
2026-05-24,EXPA.CA,18.75,18.95,18.57,18.85,1480000
2026-05-25,EXPA.CA,18.96,19.00,18.70,18.83,2360000
2026-06-01,EXPA.CA,18.95,18.95,18.60,18.69,1510000
2026-06-02,EXPA.CA,18.70,18.80,18.66,18.70,1720000
2026-06-03,EXPA.CA,18.69,18.77,18.54,18.57,1340000
2026-06-04,EXPA.CA,18.64,18.64,18.34,18.50,1510000
2026-06-07,EXPA.CA,18.50,20.09,18.34,19.79,4400000
2026-06-08,EXPA.CA,19.69,19.69,19.00,19.11,2810000
2026-06-09,EXPA.CA,19.20,19.45,18.82,18.83,1970000
2026-06-10,EXPA.CA,19.10,19.10,18.60,18.63,1270000
2026-06-11,EXPA.CA,18.50,19.00,18.31,18.43,1740000
2026-06-14,EXPA.CA,18.65,18.97,18.51,18.57,1640000
2026-06-15,EXPA.CA,18.79,18.79,18.51,18.64,893790
2026-06-16,EXPA.CA,18.66,18.72,18.54,18.66,1470000
2026-06-17,EXPA.CA,18.70,18.70,18.21,18.21,2650000
2026-06-21,EXPA.CA,18.39,18.48,18.21,18.48,1370000
2026-06-22,EXPA.CA,18.50,18.64,18.40,18.44,1950000
2026-06-23,EXPA.CA,18.47,18.61,18.33,18.35,930420
2026-06-24,EXPA.CA,18.40,18.43,18.20,18.22,1350000
