Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,FAIT.CA,32.07,32.32,31.90,32.20,63510
2026-01-05,FAIT.CA,32.00,32.00,31.26,31.33,112390
2026-01-06,FAIT.CA,31.33,31.89,31.20,31.71,96640
2026-01-08,FAIT.CA,31.52,31.96,31.50,31.84,50850
2026-01-11,FAIT.CA,31.94,32.60,31.29,32.32,204400
2026-01-12,FAIT.CA,32.50,32.68,32.00,32.23,124310
2026-01-13,FAIT.CA,32.23,32.36,31.80,32.08,89410
2026-01-14,FAIT.CA,31.90,32.00,31.27,31.50,86590
2026-01-15,FAIT.CA,31.65,31.83,31.31,31.61,62850
2026-01-18,FAIT.CA,32.97,32.98,31.50,31.92,33870
2026-01-19,FAIT.CA,31.93,32.19,31.67,31.93,92450
2026-01-20,FAIT.CA,31.97,32.24,31.76,31.93,128600
2026-01-21,FAIT.CA,31.90,32.00,31.64,31.70,70940
2026-01-22,FAIT.CA,31.80,32.88,31.65,32.11,332080
2026-01-25,FAIT.CA,32.30,32.57,26.01,31.45,351080
2026-01-26,FAIT.CA,31.70,31.93,31.30,31.78,189320
2026-01-27,FAIT.CA,31.80,31.95,31.62,31.84,86020
2026-01-28,FAIT.CA,31.95,32.25,31.50,31.86,207830
2026-02-01,FAIT.CA,31.91,32.19,31.51,32.01,189830
2026-02-02,FAIT.CA,32.09,32.09,31.71,32.02,179130
2026-02-03,FAIT.CA,32.10,32.65,31.88,32.34,204950
2026-02-04,FAIT.CA,32.48,32.62,32.13,32.34,87890
2026-02-05,FAIT.CA,32.20,32.57,32.20,32.38,55110
2026-02-08,FAIT.CA,32.38,32.55,32.18,32.55,91730
2026-02-09,FAIT.CA,32.61,32.70,32.30,32.42,130160
2026-02-10,FAIT.CA,32.49,32.68,32.10,32.50,55790
2026-02-11,FAIT.CA,32.50,32.59,32.20,32.48,172530
2026-02-12,FAIT.CA,32.24,32.58,32.00,32.50,321760
2026-02-15,FAIT.CA,32.50,35.00,32.50,34.42,872690
2026-02-16,FAIT.CA,34.42,34.90,33.90,34.40,432660
2026-02-17,FAIT.CA,34.50,35.00,34.40,34.85,212210
2026-02-18,FAIT.CA,34.90,36.50,34.85,35.20,534140
2026-02-19,FAIT.CA,35.15,35.47,33.80,34.17,222000
2026-02-22,FAIT.CA,34.17,35.25,32.80,34.67,177620
2026-02-23,FAIT.CA,34.67,35.00,34.00,34.94,199060
2026-02-24,FAIT.CA,34.90,34.95,34.36,34.94,134780
2026-02-25,FAIT.CA,34.94,34.94,33.50,33.57,52510
2026-02-26,FAIT.CA,33.52,34.24,33.01,34.00,99120
