Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,FCMD.CA,1.500,1.566,1.470,1.474,337720
2024-01-03,FCMD.CA,1.480,1.526,1.478,1.484,263710
2024-01-04,FCMD.CA,1.481,1.502,1.460,1.492,312940
2024-01-08,FCMD.CA,1.453,1.544,1.451,1.495,123910
2024-01-09,FCMD.CA,1.510,1.542,1.441,1.458,524630
2024-01-10,FCMD.CA,1.484,1.484,1.445,1.451,255550
2024-01-11,FCMD.CA,1.470,1.500,1.453,1.483,142310
2024-01-14,FCMD.CA,1.490,1.500,1.456,1.471,215600
2024-01-15,FCMD.CA,1.470,1.495,1.442,1.453,283160
2024-01-16,FCMD.CA,1.470,1.478,1.442,1.453,148020
2024-01-17,FCMD.CA,1.481,1.487,1.440,1.442,178390
2024-01-18,FCMD.CA,1.459,1.459,1.402,1.442,20730
2024-01-21,FCMD.CA,1.450,1.455,1.419,1.431,514300
2024-01-22,FCMD.CA,1.445,1.445,1.401,1.404,155120
2024-01-23,FCMD.CA,1.410,1.435,1.400,1.401,200480
2024-01-24,FCMD.CA,1.410,1.423,1.380,1.392,253360
2024-01-28,FCMD.CA,1.400,1.458,1.390,1.407,318340
2024-01-29,FCMD.CA,1.424,1.440,1.394,1.402,489120
2024-01-30,FCMD.CA,1.417,1.425,1.400,1.408,180650
2024-01-31,FCMD.CA,1.401,1.435,1.350,1.389,498200
2024-02-01,FCMD.CA,1.389,1.410,1.315,1.393,343800
2024-02-04,FCMD.CA,1.393,1.442,1.360,1.411,194830
2024-02-05,FCMD.CA,1.411,1.450,1.400,1.421,450280
2024-02-06,FCMD.CA,1.421,1.448,1.387,1.405,169700
2024-02-07,FCMD.CA,1.405,1.429,1.351,1.395,149200
2024-02-08,FCMD.CA,1.395,1.399,1.350,1.365,162240
2024-02-11,FCMD.CA,1.365,1.398,1.320,1.332,370360
2024-02-12,FCMD.CA,1.332,1.360,1.310,1.317,398740
2024-02-13,FCMD.CA,1.317,1.390,1.310,1.351,176630
2024-02-14,FCMD.CA,1.351,1.379,1.293,1.305,1450000
2024-02-15,FCMD.CA,1.305,1.330,1.298,1.317,883700
2024-02-18,FCMD.CA,1.317,1.341,1.317,1.323,513350
2024-02-19,FCMD.CA,1.323,1.350,1.320,1.332,478540
2024-02-20,FCMD.CA,1.332,1.347,1.311,1.330,695840
2024-02-21,FCMD.CA,1.330,1.344,1.303,1.311,667830
2024-02-22,FCMD.CA,1.311,1.331,1.310,1.329,250100
2024-02-25,FCMD.CA,1.329,1.320,1.300,1.301,375300
2024-02-26,FCMD.CA,1.301,1.319,1.250,1.270,357700
2024-02-27,FCMD.CA,1.270,1.328,1.280,1.270,93330
2024-02-28,FCMD.CA,1.270,1.318,1.290,1.270,114230
2024-02-29,FCMD.CA,1.270,1.314,1.249,1.265,144680
2024-03-03,FCMD.CA,1.265,1.290,1.260,1.277,184740
2024-03-04,FCMD.CA,1.277,1.319,1.271,1.309,245250
2024-03-05,FCMD.CA,1.309,1.320,1.275,1.315,162450
2024-03-06,FCMD.CA,1.315,1.349,1.272,1.315,104920
2024-03-07,FCMD.CA,1.315,1.310,1.274,1.315,49300
2024-03-10,FCMD.CA,1.315,1.409,1.280,1.406,1080000
2024-03-11,FCMD.CA,1.406,1.420,1.362,1.400,332620
2024-03-12,FCMD.CA,1.400,1.410,1.372,1.394,118470
2024-03-13,FCMD.CA,1.394,1.377,1.311,1.332,161070
2024-03-14,FCMD.CA,1.332,1.359,1.320,1.334,161060
2024-03-17,FCMD.CA,1.334,1.400,1.330,1.375,195860
2024-03-18,FCMD.CA,1.375,1.374,1.300,1.318,174990
2024-03-19,FCMD.CA,1.318,1.345,1.306,1.318,34140
2024-03-20,FCMD.CA,1.318,1.355,1.301,1.318,88000
2024-03-21,FCMD.CA,1.318,1.367,1.331,1.318,55540
2024-03-24,FCMD.CA,1.318,1.370,1.300,1.317,151350
2024-03-25,FCMD.CA,1.317,1.398,1.330,1.373,118430
2024-03-26,FCMD.CA,1.373,1.410,1.337,1.407,269260
2024-03-27,FCMD.CA,1.407,1.418,1.350,1.407,25770
2024-03-28,FCMD.CA,1.407,1.547,1.380,1.547,794260
2024-03-31,FCMD.CA,1.547,1.670,1.500,1.600,602730
2024-04-01,FCMD.CA,1.600,1.649,1.500,1.591,487090
2024-04-02,FCMD.CA,1.591,1.600,1.540,1.590,231830
2024-04-03,FCMD.CA,1.590,1.600,1.550,1.580,156860
2024-04-04,FCMD.CA,1.580,1.614,1.570,1.603,120420
2024-04-07,FCMD.CA,1.603,1.640,1.575,1.618,96530
2024-04-08,FCMD.CA,1.618,1.770,1.631,1.683,331860
