Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,FNAR.CA,1.955,1.959,1.920,1.915,28890
2024-01-03,FNAR.CA,1.920,1.938,1.901,1.915,6500
2024-01-04,FNAR.CA,1.940,2.000,1.900,1.934,79030
2024-01-08,FNAR.CA,1.945,1.996,1.941,1.934,18600
2024-01-09,FNAR.CA,1.994,1.994,1.945,1.934,27250
2024-01-10,FNAR.CA,1.980,2.020,1.950,2.000,94600
2024-01-11,FNAR.CA,2.050,2.180,2.000,2.073,174900
2024-01-14,FNAR.CA,2.200,2.270,2.080,2.270,135870
2024-01-15,FNAR.CA,2.390,2.490,2.390,2.490,98720
2024-01-16,FNAR.CA,2.730,2.730,2.270,2.560,343190
2024-01-17,FNAR.CA,2.680,2.800,2.420,2.700,163150
2024-01-18,FNAR.CA,2.780,2.780,2.560,2.600,91400
2024-01-21,FNAR.CA,2.600,2.720,2.340,2.520,136980
2024-01-22,FNAR.CA,2.700,2.700,2.270,2.520,33440
2024-01-23,FNAR.CA,2.360,2.510,2.360,2.520,8540
2024-01-24,FNAR.CA,2.510,2.600,2.450,2.520,20280
2024-01-28,FNAR.CA,2.600,2.600,2.270,2.460,209610
2024-01-29,FNAR.CA,2.540,2.540,2.340,2.460,37240
2024-01-30,FNAR.CA,2.410,2.550,2.350,2.440,80840
2024-01-31,FNAR.CA,2.410,2.480,2.200,2.280,92880
2024-02-01,FNAR.CA,2.280,2.350,2.090,2.280,10570
2024-02-04,FNAR.CA,2.280,2.430,2.190,2.330,169000
2024-02-05,FNAR.CA,2.330,2.540,2.300,2.440,122920
2024-02-06,FNAR.CA,2.440,2.530,2.380,2.440,34660
2024-02-07,FNAR.CA,2.440,2.420,2.310,2.440,25870
2024-02-08,FNAR.CA,2.440,2.440,2.340,2.440,20630
2024-02-11,FNAR.CA,2.440,2.490,2.370,2.440,11830
2024-02-12,FNAR.CA,2.440,2.510,2.400,2.470,65830
2024-02-13,FNAR.CA,2.470,2.500,2.350,2.430,81610
2024-02-14,FNAR.CA,2.430,2.490,2.360,2.430,22430
2024-02-15,FNAR.CA,2.430,2.500,2.340,2.430,56860
2024-02-18,FNAR.CA,2.430,2.580,2.430,2.430,22090
2024-02-19,FNAR.CA,2.430,2.650,2.390,2.530,72970
2024-02-20,FNAR.CA,2.530,2.580,2.400,2.410,117890
2024-02-21,FNAR.CA,2.410,2.500,2.450,2.410,26320
2024-02-22,FNAR.CA,2.410,2.600,2.470,2.550,59800
2024-02-25,FNAR.CA,2.550,2.550,2.350,2.550,28810
2024-02-26,FNAR.CA,2.550,2.510,2.360,2.550,23770
2024-02-27,FNAR.CA,2.550,2.530,2.340,2.550,57490
2024-02-28,FNAR.CA,2.550,2.480,2.300,2.320,112070
2024-02-29,FNAR.CA,2.320,2.470,2.130,2.320,4390
2024-03-03,FNAR.CA,2.320,2.400,2.160,2.320,18120
2024-03-04,FNAR.CA,2.320,2.390,2.300,2.340,67190
2024-03-05,FNAR.CA,2.340,2.390,2.190,2.340,55130
2024-03-06,FNAR.CA,2.340,2.380,2.200,2.340,66080
2024-03-07,FNAR.CA,2.340,2.340,2.200,2.340,21900
2024-03-10,FNAR.CA,2.340,2.340,2.190,2.340,35670
2024-03-11,FNAR.CA,2.340,2.260,2.110,2.340,54670
2024-03-12,FNAR.CA,2.340,2.240,2.110,2.110,175180
2024-03-13,FNAR.CA,2.110,2.110,1.900,2.110,4040
2024-03-14,FNAR.CA,2.110,2.100,2.050,2.110,400
2024-03-17,FNAR.CA,2.110,2.120,2.010,2.110,27650
2024-03-18,FNAR.CA,2.110,2.180,1.900,2.110,39800
2024-03-19,FNAR.CA,2.110,1.920,1.920,2.110,0
2024-03-20,FNAR.CA,2.110,2.140,1.930,2.110,3820
2024-03-21,FNAR.CA,2.110,2.100,1.930,2.110,6670
2024-03-24,FNAR.CA,2.110,2.110,1.930,2.110,14640
2024-03-25,FNAR.CA,2.110,2.110,1.970,2.110,6790
2024-03-26,FNAR.CA,2.110,2.130,1.990,2.110,9640
2024-03-27,FNAR.CA,2.110,2.000,2.000,2.110,0
2024-03-28,FNAR.CA,2.110,2.110,2.000,2.110,70
2024-03-31,FNAR.CA,2.110,2.130,2.000,2.110,22980
2024-04-01,FNAR.CA,2.110,2.120,2.050,2.110,2860
2024-04-02,FNAR.CA,2.110,2.110,2.050,2.110,30550
2024-04-03,FNAR.CA,2.110,2.110,2.050,2.110,15000
2024-04-04,FNAR.CA,2.110,2.110,2.060,2.110,10000
2024-04-07,FNAR.CA,2.110,2.200,2.040,2.110,40080
2024-04-08,FNAR.CA,2.110,2.190,2.050,2.110,13600
2024-04-15,FNAR.CA,2.110,2.170,2.040,2.110,58070
2024-04-16,FNAR.CA,2.110,2.110,2.090,2.110,2000
2024-04-17,FNAR.CA,2.110,2.130,2.060,2.110,25040
2024-04-18,FNAR.CA,2.110,2.120,2.000,2.110,23650
2024-04-21,FNAR.CA,2.110,2.010,2.000,2.110,3680
2024-04-22,FNAR.CA,2.110,2.010,2.000,2.110,0
2024-04-23,FNAR.CA,2.110,2.070,1.940,2.110,1080
2024-04-24,FNAR.CA,2.110,2.040,2.040,2.110,150
2024-04-28,FNAR.CA,2.020,2.030,2.000,2.110,3340
2024-04-29,FNAR.CA,2.110,2.110,2.110,2.110,0
2024-04-30,FNAR.CA,1.910,2.030,1.900,2.110,23840
2024-05-01,FNAR.CA,1.900,1.990,1.900,2.110,29500
2024-05-02,FNAR.CA,1.900,2.010,1.900,2.110,23210
2024-05-07,FNAR.CA,1.900,2.030,1.900,2.110,9610
2024-05-08,FNAR.CA,1.940,2.080,1.930,2.110,11700
2024-05-09,FNAR.CA,1.930,1.980,1.900,2.110,30580
2024-05-12,FNAR.CA,1.900,1.900,1.900,2.110,640
2024-05-13,FNAR.CA,1.900,1.900,1.900,2.110,250
2024-05-14,FNAR.CA,1.900,1.900,1.900,2.110,6500
2024-05-15,FNAR.CA,2.110,2.110,2.110,2.110,0
2024-05-16,FNAR.CA,1.900,1.970,1.900,2.110,8450
2024-05-19,FNAR.CA,1.950,1.950,1.900,2.110,7660
2024-05-20,FNAR.CA,1.900,1.950,1.900,2.110,7100
2024-05-21,FNAR.CA,1.900,1.900,1.900,2.110,4430
2024-05-22,FNAR.CA,1.900,1.900,1.900,2.110,1220
2024-05-23,FNAR.CA,1.900,1.900,1.900,2.110,4260
2024-05-26,FNAR.CA,1.900,1.900,1.900,2.110,750
2024-05-27,FNAR.CA,1.900,1.900,1.900,2.110,110
2024-05-28,FNAR.CA,1.900,1.900,1.900,2.110,1090
2024-05-29,FNAR.CA,1.900,1.970,1.900,2.110,6490
