Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,GBCO.CA,27.10,27.15,25.72,26.00,1440000
2026-01-05,GBCO.CA,26.00,26.30,25.34,25.83,1480000
2026-01-06,GBCO.CA,25.90,26.75,25.75,26.60,1240000
2026-01-08,GBCO.CA,26.60,26.80,26.10,26.20,920800
2026-01-11,GBCO.CA,26.20,26.55,25.90,26.07,995320
2026-01-12,GBCO.CA,26.20,27.88,26.11,27.11,4490000
2026-01-13,GBCO.CA,27.21,29.25,27.20,28.00,6560000
2026-01-14,GBCO.CA,28.05,28.25,26.83,27.32,1480000
2026-01-15,GBCO.CA,27.33,27.49,25.70,26.00,2320000
2026-01-18,GBCO.CA,26.40,26.95,26.10,26.89,623960
2026-01-19,GBCO.CA,26.88,28.20,26.66,28.00,3720000
2026-01-20,GBCO.CA,28.00,30.44,28.00,29.31,8200000
2026-01-21,GBCO.CA,29.49,30.25,28.60,28.91,4110000
2026-01-22,GBCO.CA,29.01,30.25,28.50,29.36,6290000
2026-01-25,GBCO.CA,30.18,30.18,29.50,30.00,2280000
2026-01-26,GBCO.CA,30.00,31.80,30.00,31.60,9390000
2026-01-27,GBCO.CA,31.63,31.90,30.89,31.40,1870000
2026-01-28,GBCO.CA,31.44,31.75,30.60,31.03,3060000
2026-02-01,GBCO.CA,30.62,31.38,30.12,30.40,1450000
2026-02-02,GBCO.CA,30.50,31.00,29.80,31.00,2060000
2026-02-03,GBCO.CA,31.03,33.40,31.00,31.79,4250000
2026-02-04,GBCO.CA,31.80,32.50,31.11,31.50,1320000
2026-02-05,GBCO.CA,31.51,31.90,30.10,30.76,2130000
2026-02-08,GBCO.CA,30.92,31.05,29.37,29.70,3110000
2026-02-09,GBCO.CA,29.90,31.20,29.80,31.14,6510000
2026-02-10,GBCO.CA,31.14,31.58,30.20,31.40,5570000
2026-02-11,GBCO.CA,31.45,31.45,30.52,30.60,1780000
2026-02-12,GBCO.CA,30.55,31.20,30.01,30.42,2230000
2026-02-15,GBCO.CA,30.68,31.13,30.32,30.72,3310000
2026-02-16,GBCO.CA,31.01,31.30,30.20,30.50,1940000
2026-02-17,GBCO.CA,30.51,30.85,30.40,30.66,358540
2026-02-18,GBCO.CA,30.74,31.60,30.45,31.03,6030000
2026-02-19,GBCO.CA,31.12,31.61,30.20,30.57,2930000
2026-02-22,GBCO.CA,30.57,30.93,28.63,29.15,3610000
2026-02-23,GBCO.CA,29.20,30.30,29.20,30.20,2300000
2026-02-24,GBCO.CA,30.20,30.35,29.56,30.01,638280
2026-02-25,GBCO.CA,29.99,30.00,28.70,28.92,950630
2026-02-26,GBCO.CA,28.91,29.28,28.55,28.55,970290
2026-03-01,GBCO.CA,27.10,28.27,26.10,27.80,2590000
2026-03-02,GBCO.CA,27.90,28.20,27.52,28.17,876980
2026-03-03,GBCO.CA,28.00,28.17,27.25,27.82,1180000
2026-03-04,GBCO.CA,27.98,27.98,25.99,26.84,3620000
2026-03-05,GBCO.CA,27.00,27.85,26.85,27.00,3430000
2026-03-08,GBCO.CA,27.10,27.24,25.51,25.69,4070000
2026-03-09,GBCO.CA,25.80,25.83,23.95,24.64,11470000
2026-03-10,GBCO.CA,25.00,25.90,24.82,25.90,12560000
2026-03-11,GBCO.CA,26.00,26.46,25.61,25.99,2210000
2026-03-12,GBCO.CA,25.81,26.00,24.81,25.26,5050000
2026-03-15,GBCO.CA,25.36,25.38,24.55,24.60,2930000
2026-03-16,GBCO.CA,24.65,24.79,23.92,24.05,3030000
2026-03-17,GBCO.CA,24.09,24.50,24.01,24.42,5710000
2026-03-18,GBCO.CA,24.55,25.14,24.38,24.92,5380000
2026-03-24,GBCO.CA,25.35,25.87,24.65,24.81,3520000
2026-03-25,GBCO.CA,24.80,24.99,24.42,24.76,4410000
2026-03-26,GBCO.CA,24.76,24.84,24.56,24.80,1280000
2026-03-29,GBCO.CA,24.60,24.79,24.10,24.24,2070000
2026-03-30,GBCO.CA,24.25,24.87,24.03,24.45,3510000
2026-03-31,GBCO.CA,24.38,24.55,24.10,24.10,2010000
2026-04-01,GBCO.CA,24.15,25.09,24.15,25.00,4930000
2026-04-02,GBCO.CA,25.00,25.00,24.56,24.60,3410000
