Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,GGCC.CA,0.251,0.266,0.251,0.265,7350000
2024-01-03,GGCC.CA,0.267,0.269,0.264,0.267,10900000
2024-01-04,GGCC.CA,0.271,0.271,0.266,0.267,7760000
2024-01-08,GGCC.CA,0.269,0.273,0.267,0.273,8070000
2024-01-09,GGCC.CA,0.275,0.287,0.275,0.278,28470000
2024-01-10,GGCC.CA,0.281,0.293,0.277,0.285,26370000
2024-01-11,GGCC.CA,0.289,0.289,0.280,0.282,10990000
2024-01-14,GGCC.CA,0.286,0.297,0.281,0.290,24250000
2024-01-15,GGCC.CA,0.296,0.317,0.292,0.311,84620000
2024-01-16,GGCC.CA,0.313,0.327,0.311,0.314,59050000
2024-01-17,GGCC.CA,0.319,0.319,0.302,0.304,31810000
2024-01-18,GGCC.CA,0.309,0.310,0.303,0.307,11980000
2024-01-21,GGCC.CA,0.313,0.320,0.309,0.310,17370000
2024-01-22,GGCC.CA,0.317,0.317,0.303,0.305,11400000
2024-01-23,GGCC.CA,0.307,0.309,0.299,0.300,14290000
2024-01-24,GGCC.CA,0.301,0.308,0.299,0.301,12790000
2024-01-28,GGCC.CA,0.309,0.344,0.307,0.337,69460000
2024-01-29,GGCC.CA,0.345,0.357,0.330,0.344,57070000
2024-01-30,GGCC.CA,0.347,0.377,0.341,0.357,65400000
2024-01-31,GGCC.CA,0.362,0.367,0.307,0.313,32970000
2024-02-01,GGCC.CA,0.313,0.333,0.267,0.323,21910000
2024-02-04,GGCC.CA,0.323,0.330,0.304,0.311,19280000
2024-02-05,GGCC.CA,0.311,0.323,0.311,0.320,16550000
2024-02-06,GGCC.CA,0.320,0.341,0.315,0.329,54290000
2024-02-07,GGCC.CA,0.329,0.353,0.328,0.329,45440000
2024-02-08,GGCC.CA,0.329,0.339,0.321,0.323,20550000
2024-02-11,GGCC.CA,0.323,0.332,0.319,0.321,17340000
2024-02-12,GGCC.CA,0.321,0.324,0.315,0.318,7220000
2024-02-13,GGCC.CA,0.318,0.323,0.300,0.315,12990000
2024-02-14,GGCC.CA,0.315,0.331,0.317,0.330,17050000
2024-02-15,GGCC.CA,0.330,0.340,0.330,0.333,29350000
2024-02-18,GGCC.CA,0.333,0.353,0.337,0.347,43100000
2024-02-19,GGCC.CA,0.347,0.363,0.350,0.355,43790000
2024-02-20,GGCC.CA,0.355,0.393,0.361,0.383,85240000
2024-02-21,GGCC.CA,0.383,0.393,0.378,0.381,30700000
2024-02-22,GGCC.CA,0.381,0.406,0.380,0.400,42420000
2024-02-25,GGCC.CA,0.400,0.459,0.361,0.410,79720000
2024-02-26,GGCC.CA,0.410,0.429,0.403,0.407,34010000
2024-02-27,GGCC.CA,0.407,0.417,0.387,0.389,31680000
2024-02-28,GGCC.CA,0.389,0.393,0.372,0.373,15190000
2024-02-29,GGCC.CA,0.373,0.379,0.363,0.369,14230000
2024-03-03,GGCC.CA,0.369,0.407,0.367,0.375,13630000
2024-03-04,GGCC.CA,0.375,0.393,0.377,0.385,7970000
2024-03-05,GGCC.CA,0.385,0.393,0.375,0.377,8480000
2024-03-06,GGCC.CA,0.377,0.387,0.348,0.356,18340000
2024-03-07,GGCC.CA,0.356,0.365,0.337,0.345,11700000
2024-03-10,GGCC.CA,0.345,0.358,0.347,0.353,7330000
2024-03-11,GGCC.CA,0.353,0.370,0.350,0.353,8180000
2024-03-12,GGCC.CA,0.353,0.364,0.347,0.348,9650000
2024-03-13,GGCC.CA,0.348,0.353,0.330,0.335,8270000
2024-03-14,GGCC.CA,0.335,0.353,0.333,0.341,6840000
2024-03-17,GGCC.CA,0.341,0.351,0.340,0.341,5970000
2024-03-18,GGCC.CA,0.341,0.346,0.313,0.316,9210000
2024-03-19,GGCC.CA,0.316,0.323,0.287,0.296,5990000
2024-03-20,GGCC.CA,0.296,0.310,0.297,0.301,4670000
2024-03-21,GGCC.CA,0.301,0.313,0.303,0.312,7080000
2024-03-24,GGCC.CA,0.312,0.319,0.309,0.313,4300000
2024-03-25,GGCC.CA,0.313,0.320,0.313,0.314,4310000
2024-03-26,GGCC.CA,0.314,0.323,0.307,0.311,6130000
2024-03-27,GGCC.CA,0.311,0.311,0.296,0.298,10890000
2024-03-28,GGCC.CA,0.298,0.302,0.287,0.298,5030000
2024-03-31,GGCC.CA,0.298,0.320,0.273,0.282,7940000
2024-04-01,GGCC.CA,0.282,0.299,0.286,0.295,3690000
2024-04-02,GGCC.CA,0.295,0.301,0.295,0.298,2610000
2024-04-03,GGCC.CA,0.298,0.299,0.294,0.296,2460000
2024-04-04,GGCC.CA,0.296,0.309,0.295,0.307,8080000
2024-04-07,GGCC.CA,0.307,0.313,0.305,0.306,8550000
2024-04-08,GGCC.CA,0.306,0.309,0.304,0.307,1360000
2024-04-15,GGCC.CA,0.307,0.315,0.307,0.313,4580000
2024-04-16,GGCC.CA,0.313,0.326,0.317,0.323,16680000
2024-04-17,GGCC.CA,0.323,0.335,0.325,0.330,11500000
2024-04-18,GGCC.CA,0.330,0.339,0.301,0.317,9660000
2024-04-21,GGCC.CA,0.317,0.324,0.313,0.320,6560000
2024-04-22,GGCC.CA,0.320,0.327,0.314,0.316,5070000
2024-04-23,GGCC.CA,0.316,0.316,0.297,0.300,7340000
2024-04-24,GGCC.CA,0.300,0.298,0.281,0.284,7670000
2024-04-28,GGCC.CA,0.284,0.289,0.265,0.267,7310000
2024-04-29,GGCC.CA,0.267,0.273,0.254,0.270,4560000
2024-04-30,GGCC.CA,0.273,0.279,0.247,0.251,8940000
2024-05-01,GGCC.CA,0.251,0.256,0.244,0.252,4890000
2024-05-02,GGCC.CA,0.255,0.261,0.250,0.251,8910000
2024-05-07,GGCC.CA,0.251,0.253,0.247,0.251,6130000
2024-05-08,GGCC.CA,0.253,0.254,0.244,0.246,6590000
2024-05-09,GGCC.CA,0.245,0.249,0.240,0.241,4250000
2024-05-12,GGCC.CA,0.244,0.247,0.233,0.235,5100000
2024-05-13,GGCC.CA,0.233,0.239,0.201,0.223,5920000
2024-05-14,GGCC.CA,0.223,0.230,0.220,0.222,4480000
2024-05-15,GGCC.CA,0.222,0.233,0.219,0.228,6280000
2024-05-16,GGCC.CA,0.229,0.238,0.229,0.237,4300000
2024-05-19,GGCC.CA,0.239,0.249,0.239,0.248,5730000
2024-05-20,GGCC.CA,0.250,0.253,0.247,0.248,5940000
2024-05-21,GGCC.CA,0.250,0.253,0.242,0.248,5050000
2024-05-22,GGCC.CA,0.251,0.253,0.246,0.247,4150000
2024-05-23,GGCC.CA,0.251,0.253,0.247,0.247,4460000
2024-05-26,GGCC.CA,0.249,0.253,0.247,0.252,4950000
2024-05-27,GGCC.CA,0.252,0.256,0.248,0.249,10900000
2024-05-28,GGCC.CA,0.251,0.251,0.245,0.248,4840000
2024-05-29,GGCC.CA,0.248,0.254,0.248,0.249,6280000
2024-05-30,GGCC.CA,0.251,0.253,0.249,0.250,6120000
2024-06-02,GGCC.CA,0.252,0.255,0.247,0.249,6850000
2024-06-03,GGCC.CA,0.250,0.253,0.247,0.248,4960000
2024-06-04,GGCC.CA,0.250,0.253,0.249,0.249,2230000
2024-06-05,GGCC.CA,0.249,0.249,0.230,0.239,8360000
2024-06-06,GGCC.CA,0.240,0.243,0.234,0.238,1730000
2024-06-09,GGCC.CA,0.246,0.246,0.227,0.232,4210000
2024-06-10,GGCC.CA,0.227,0.233,0.227,0.232,1360000
2024-06-11,GGCC.CA,0.237,0.239,0.232,0.232,1270000
2024-06-12,GGCC.CA,0.239,0.251,0.234,0.246,6170000
2024-06-13,GGCC.CA,0.246,0.250,0.243,0.244,3670000
2024-06-23,GGCC.CA,0.247,0.261,0.247,0.261,10360000
2024-06-24,GGCC.CA,0.264,0.267,0.257,0.258,6620000
2024-06-25,GGCC.CA,0.258,0.260,0.256,0.258,3010000
2024-06-26,GGCC.CA,0.259,0.264,0.259,0.260,5270000
2024-06-27,GGCC.CA,0.263,0.263,0.260,0.260,2800000
2024-07-01,GGCC.CA,0.263,0.269,0.261,0.265,7330000
2024-07-02,GGCC.CA,0.267,0.271,0.265,0.266,7390000
2024-07-03,GGCC.CA,0.269,0.269,0.263,0.267,5230000
2024-07-04,GGCC.CA,0.267,0.269,0.264,0.266,2660000
2024-07-07,GGCC.CA,0.265,0.269,0.261,0.264,5410000
2024-07-08,GGCC.CA,0.263,0.273,0.261,0.264,12170000
2024-07-09,GGCC.CA,0.266,0.267,0.258,0.261,5380000
2024-07-10,GGCC.CA,0.263,0.265,0.257,0.258,2250000
2024-07-14,GGCC.CA,0.260,0.265,0.253,0.254,3280000
2024-07-15,GGCC.CA,0.255,0.259,0.251,0.253,4070000
2024-07-16,GGCC.CA,0.253,0.257,0.247,0.253,6630000
2024-07-17,GGCC.CA,0.251,0.261,0.247,0.260,6530000
2024-07-18,GGCC.CA,0.267,0.275,0.265,0.271,12000000
2024-07-21,GGCC.CA,0.272,0.277,0.270,0.274,6750000
2024-07-22,GGCC.CA,0.275,0.280,0.271,0.273,5520000
2024-07-23,GGCC.CA,0.269,0.276,0.269,0.271,4190000
2024-07-24,GGCC.CA,0.273,0.279,0.271,0.273,9810000
2024-07-28,GGCC.CA,0.277,0.277,0.270,0.271,3930000
2024-07-29,GGCC.CA,0.273,0.275,0.267,0.269,3670000
2024-07-30,GGCC.CA,0.272,0.272,0.269,0.270,1550000
2024-07-31,GGCC.CA,0.270,0.283,0.269,0.278,13610000
2024-08-01,GGCC.CA,0.282,0.282,0.273,0.274,9160000
2024-08-04,GGCC.CA,0.273,0.273,0.260,0.264,5850000
2024-08-05,GGCC.CA,0.260,0.260,0.233,0.244,6230000
2024-08-06,GGCC.CA,0.241,0.249,0.239,0.247,2510000
2024-08-07,GGCC.CA,0.251,0.257,0.249,0.252,4810000
2024-08-08,GGCC.CA,0.253,0.253,0.248,0.251,5450000
2024-08-11,GGCC.CA,0.253,0.263,0.252,0.255,6920000
2024-08-12,GGCC.CA,0.259,0.280,0.259,0.270,12370000
2024-08-13,GGCC.CA,0.271,0.271,0.261,0.261,7510000
2024-08-14,GGCC.CA,0.263,0.270,0.260,0.265,6450000
2024-08-15,GGCC.CA,0.263,0.267,0.261,0.263,1580000
2024-08-18,GGCC.CA,0.267,0.269,0.262,0.264,4140000
2024-08-19,GGCC.CA,0.264,0.266,0.262,0.263,2890000
2024-08-20,GGCC.CA,0.264,0.279,0.263,0.276,18230000
2024-08-21,GGCC.CA,0.279,0.279,0.272,0.274,8310000
2024-08-22,GGCC.CA,0.277,0.281,0.273,0.275,13440000
2024-08-25,GGCC.CA,0.273,0.288,0.273,0.280,14860000
