Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,GIHD.CA,22.00,22.51,22.00,22.11,10200
2024-01-03,GIHD.CA,22.25,23.50,22.17,23.38,38590
2024-01-04,GIHD.CA,23.39,24.30,22.86,23.77,54090
2024-01-08,GIHD.CA,23.53,23.97,23.00,23.17,30470
2024-01-09,GIHD.CA,23.25,23.73,23.00,23.06,30820
2024-01-10,GIHD.CA,23.40,23.90,23.01,23.33,37160
2024-01-11,GIHD.CA,23.33,24.86,23.33,24.38,109280
2024-01-14,GIHD.CA,25.25,25.25,24.23,24.52,60240
2024-01-15,GIHD.CA,24.55,25.00,24.00,24.06,95410
2024-01-16,GIHD.CA,24.40,24.66,24.10,24.36,52390
2024-01-17,GIHD.CA,24.36,26.88,24.00,25.53,406710
2024-01-18,GIHD.CA,25.95,26.45,24.00,24.78,213750
2024-01-21,GIHD.CA,24.90,25.95,24.53,24.89,169650
2024-01-22,GIHD.CA,25.50,25.59,24.73,24.83,149080
2024-01-23,GIHD.CA,25.40,25.60,24.91,25.38,152730
2024-01-24,GIHD.CA,27.16,29.73,27.16,27.67,430610
2024-01-28,GIHD.CA,28.15,29.43,28.00,28.61,321700
2024-01-29,GIHD.CA,28.82,28.82,27.00,27.23,179040
2024-01-30,GIHD.CA,27.51,28.90,27.02,27.89,144380
2024-01-31,GIHD.CA,28.69,28.69,24.40,24.59,166630
2024-02-01,GIHD.CA,24.59,26.84,23.02,26.28,81560
2024-02-04,GIHD.CA,26.28,26.51,25.00,25.81,79560
2024-02-05,GIHD.CA,25.81,26.17,25.20,25.58,34620
2024-02-06,GIHD.CA,25.58,26.50,25.00,25.23,102340
2024-02-07,GIHD.CA,25.23,27.98,25.00,26.49,181650
2024-02-08,GIHD.CA,26.49,27.00,26.02,26.89,47810
2024-02-11,GIHD.CA,26.89,28.86,26.61,26.95,148760
2024-02-12,GIHD.CA,26.95,27.88,26.00,26.62,43710
2024-02-13,GIHD.CA,26.62,26.89,26.01,26.61,28810
2024-02-14,GIHD.CA,26.61,29.50,26.27,27.98,266760
2024-02-15,GIHD.CA,27.98,28.90,27.37,27.60,113860
2024-02-18,GIHD.CA,27.60,28.69,27.95,28.13,105170
2024-02-19,GIHD.CA,28.13,28.88,27.66,27.85,112310
2024-02-20,GIHD.CA,27.85,29.45,27.87,28.19,274920
2024-02-21,GIHD.CA,28.19,33.82,28.86,33.82,647580
2024-02-22,GIHD.CA,33.82,37.90,32.00,33.50,330620
2024-02-25,GIHD.CA,33.50,33.80,28.10,28.39,161240
2024-02-26,GIHD.CA,28.39,32.69,28.65,30.55,143610
2024-02-27,GIHD.CA,30.55,32.74,29.75,30.04,106330
2024-02-28,GIHD.CA,30.04,30.49,28.00,28.49,63030
2024-02-29,GIHD.CA,28.49,28.77,26.79,27.92,43190
2024-03-03,GIHD.CA,27.92,29.40,27.68,28.39,14660
2024-03-04,GIHD.CA,28.39,29.01,28.00,28.49,29510
2024-03-05,GIHD.CA,28.49,29.48,23.00,26.78,48080
2024-03-06,GIHD.CA,26.78,28.25,24.00,24.91,254930
2024-03-07,GIHD.CA,24.91,26.99,24.12,25.83,61430
2024-03-10,GIHD.CA,25.83,26.50,25.50,25.98,48950
2024-03-11,GIHD.CA,25.98,26.25,25.00,25.07,46090
2024-03-12,GIHD.CA,25.07,25.99,23.90,24.18,32480
2024-03-13,GIHD.CA,24.18,25.00,23.57,23.83,27610
2024-03-14,GIHD.CA,23.83,25.70,24.10,25.18,17680
2024-03-17,GIHD.CA,25.18,25.18,23.11,24.05,37950
2024-03-18,GIHD.CA,24.05,25.70,20.56,20.90,72390
2024-03-19,GIHD.CA,20.90,22.49,20.02,21.75,29160
2024-03-20,GIHD.CA,21.75,22.48,18.02,20.76,80090
2024-03-21,GIHD.CA,20.76,21.90,21.00,21.34,71200
2024-03-24,GIHD.CA,21.34,22.87,21.05,21.29,54420
2024-03-25,GIHD.CA,21.29,22.69,21.35,22.59,95210
2024-03-26,GIHD.CA,22.59,23.70,22.21,22.83,68340
