Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,GOCO.CA,0.500,0.515,0.495,0.499,368170
2024-01-03,GOCO.CA,0.516,0.520,0.500,0.512,784960
2024-01-04,GOCO.CA,0.520,0.530,0.510,0.512,324260
2024-01-08,GOCO.CA,0.511,0.527,0.500,0.513,1310000
2024-01-09,GOCO.CA,0.524,0.524,0.496,0.503,1650000
2024-01-10,GOCO.CA,0.503,0.528,0.502,0.521,1230000
2024-01-11,GOCO.CA,0.528,0.540,0.512,0.521,915560
2024-01-14,GOCO.CA,0.545,0.547,0.520,0.547,4900000
2024-01-15,GOCO.CA,0.574,0.574,0.554,0.574,4750000
2024-01-16,GOCO.CA,0.601,0.602,0.580,0.602,7970000
2024-01-17,GOCO.CA,0.596,0.600,0.572,0.572,2890000
2024-01-18,GOCO.CA,0.547,0.570,0.544,0.545,2160000
2024-01-21,GOCO.CA,0.545,0.560,0.545,0.549,628350
2024-01-22,GOCO.CA,0.555,0.560,0.522,0.524,2400000
2024-01-23,GOCO.CA,0.545,0.545,0.501,0.524,517380
2024-01-24,GOCO.CA,0.540,0.540,0.515,0.524,430470
2024-01-28,GOCO.CA,0.526,0.545,0.501,0.517,1320000
2024-01-29,GOCO.CA,0.529,0.535,0.510,0.515,966210
2024-01-30,GOCO.CA,0.526,0.529,0.519,0.522,799520
2024-01-31,GOCO.CA,0.527,0.535,0.496,0.497,1510000
2024-02-01,GOCO.CA,0.497,0.498,0.473,0.478,714600
2024-02-04,GOCO.CA,0.478,0.498,0.478,0.478,225720
2024-02-05,GOCO.CA,0.478,0.501,0.487,0.478,430930
2024-02-06,GOCO.CA,0.478,0.501,0.495,0.499,635050
2024-02-07,GOCO.CA,0.499,0.515,0.479,0.499,540310
2024-02-08,GOCO.CA,0.499,0.520,0.486,0.499,308300
2024-02-11,GOCO.CA,0.499,0.510,0.487,0.499,234030
2024-02-12,GOCO.CA,0.499,0.500,0.490,0.499,132200
2024-02-13,GOCO.CA,0.499,0.500,0.483,0.499,126610
2024-02-14,GOCO.CA,0.499,0.520,0.475,0.504,1060000
2024-02-15,GOCO.CA,0.504,0.520,0.481,0.494,778980
2024-02-18,GOCO.CA,0.494,0.505,0.490,0.494,547050
2024-02-19,GOCO.CA,0.494,0.504,0.495,0.494,273540
2024-02-20,GOCO.CA,0.494,0.515,0.498,0.504,1130000
2024-02-21,GOCO.CA,0.504,0.518,0.501,0.504,480990
2024-02-22,GOCO.CA,0.504,0.514,0.500,0.502,849160
2024-02-25,GOCO.CA,0.502,0.518,0.496,0.506,814810
2024-02-26,GOCO.CA,0.506,0.500,0.487,0.490,623920
2024-02-27,GOCO.CA,0.490,0.495,0.472,0.490,553980
2024-02-28,GOCO.CA,0.490,0.499,0.486,0.490,234250
2024-02-29,GOCO.CA,0.490,0.509,0.476,0.490,113890
2024-03-03,GOCO.CA,0.490,0.499,0.466,0.490,188120
2024-03-04,GOCO.CA,0.490,0.485,0.466,0.490,264160
2024-03-05,GOCO.CA,0.490,0.485,0.467,0.490,450770
2024-03-06,GOCO.CA,0.490,0.479,0.466,0.490,172870
2024-03-07,GOCO.CA,0.490,0.479,0.466,0.490,252070
2024-03-10,GOCO.CA,0.490,0.488,0.466,0.490,110430
2024-03-11,GOCO.CA,0.490,0.474,0.466,0.490,105920
2024-03-12,GOCO.CA,0.490,0.474,0.466,0.490,145440
2024-03-13,GOCO.CA,0.490,0.470,0.466,0.490,125870
2024-03-14,GOCO.CA,0.490,0.466,0.466,0.490,18560
2024-03-17,GOCO.CA,0.490,0.466,0.466,0.490,35870
2024-03-18,GOCO.CA,0.490,0.466,0.466,0.490,19970
2024-03-19,GOCO.CA,0.490,0.466,0.466,0.490,5540
2024-03-20,GOCO.CA,0.490,0.466,0.466,0.490,20000
2024-03-21,GOCO.CA,0.490,0.466,0.466,0.490,10060
2024-03-24,GOCO.CA,0.490,0.490,0.466,0.490,229600
2024-03-25,GOCO.CA,0.490,0.480,0.466,0.470,692190
2024-03-26,GOCO.CA,0.470,0.488,0.466,0.470,403780
2024-03-27,GOCO.CA,0.470,0.487,0.466,0.470,460040
2024-03-28,GOCO.CA,0.470,0.490,0.480,0.480,1370000
2024-03-31,GOCO.CA,0.480,0.489,0.470,0.480,676350
2024-04-01,GOCO.CA,0.480,0.489,0.461,0.480,483030
2024-04-02,GOCO.CA,0.480,0.490,0.472,0.480,614830
2024-04-03,GOCO.CA,0.480,0.504,0.480,0.480,604660
2024-04-04,GOCO.CA,0.480,0.504,0.487,0.504,595540
2024-04-07,GOCO.CA,0.504,0.529,0.511,0.529,2760000
2024-04-08,GOCO.CA,0.529,0.555,0.508,0.540,2890000
2024-04-15,GOCO.CA,0.540,0.545,0.530,0.541,1160000
2024-04-16,GOCO.CA,0.541,0.557,0.521,0.552,1070000
2024-04-17,GOCO.CA,0.552,0.562,0.542,0.550,1050000
2024-04-18,GOCO.CA,0.550,0.548,0.526,0.539,1240000
2024-04-21,GOCO.CA,0.539,0.545,0.515,0.536,579260
2024-04-22,GOCO.CA,0.536,0.557,0.536,0.536,475980
2024-04-23,GOCO.CA,0.536,0.555,0.525,0.528,673190
2024-04-24,GOCO.CA,0.528,0.535,0.518,0.521,1880000
2024-04-28,GOCO.CA,0.515,0.520,0.502,0.510,1390000
2024-04-29,GOCO.CA,0.502,0.528,0.488,0.502,604090
2024-04-30,GOCO.CA,0.517,0.518,0.487,0.502,335640
2024-05-01,GOCO.CA,0.502,0.514,0.490,0.502,319210
2024-05-02,GOCO.CA,0.491,0.516,0.491,0.502,429490
2024-05-07,GOCO.CA,0.516,0.525,0.501,0.502,519300
2024-05-08,GOCO.CA,0.524,0.525,0.510,0.502,360340
2024-05-09,GOCO.CA,0.503,0.526,0.501,0.502,310000
2024-05-12,GOCO.CA,0.510,0.513,0.500,0.502,588250
2024-05-13,GOCO.CA,0.500,0.513,0.483,0.502,371250
2024-05-14,GOCO.CA,0.510,0.510,0.490,0.502,134000
2024-05-15,GOCO.CA,0.519,0.520,0.490,0.502,197800
2024-05-16,GOCO.CA,0.522,0.527,0.503,0.502,260160
2024-05-19,GOCO.CA,0.527,0.527,0.510,0.502,100150
2024-05-20,GOCO.CA,0.527,0.527,0.526,0.502,291930
2024-05-21,GOCO.CA,0.525,0.527,0.525,0.527,991320
2024-05-22,GOCO.CA,0.530,0.545,0.517,0.527,133270
2024-05-23,GOCO.CA,0.520,0.540,0.511,0.527,175190
2024-05-26,GOCO.CA,0.536,0.545,0.517,0.527,165910
2024-05-27,GOCO.CA,0.548,0.548,0.520,0.527,139230
2024-05-28,GOCO.CA,0.530,0.530,0.511,0.527,186870
2024-05-29,GOCO.CA,0.545,0.545,0.516,0.527,491750
2024-05-30,GOCO.CA,0.520,0.536,0.516,0.527,289850
2024-06-02,GOCO.CA,0.521,0.537,0.516,0.527,274420
2024-06-03,GOCO.CA,0.530,0.530,0.517,0.527,112650
2024-06-04,GOCO.CA,0.518,0.535,0.518,0.527,435410
2024-06-05,GOCO.CA,0.535,0.535,0.517,0.520,702050
2024-06-06,GOCO.CA,0.511,0.520,0.511,0.519,670710
2024-06-09,GOCO.CA,0.515,0.528,0.507,0.519,305860
2024-06-10,GOCO.CA,0.520,0.520,0.501,0.519,263720
2024-06-11,GOCO.CA,0.524,0.528,0.502,0.519,170430
2024-06-12,GOCO.CA,0.520,0.538,0.510,0.519,564670
2024-06-13,GOCO.CA,0.530,0.534,0.515,0.519,481250
2024-06-23,GOCO.CA,0.506,0.530,0.500,0.509,599790
2024-06-24,GOCO.CA,0.524,0.524,0.505,0.509,457090
2024-06-25,GOCO.CA,0.502,0.509,0.502,0.509,85210
2024-06-26,GOCO.CA,0.519,0.524,0.509,0.509,381430
2024-06-27,GOCO.CA,0.509,0.509,0.509,0.509,0
2024-07-01,GOCO.CA,0.505,0.524,0.502,0.509,188750
2024-07-02,GOCO.CA,0.520,0.520,0.509,0.509,5210
2024-07-03,GOCO.CA,0.519,0.519,0.507,0.509,115040
2024-07-04,GOCO.CA,0.502,0.515,0.502,0.505,748630
2024-07-07,GOCO.CA,0.520,0.520,0.505,0.505,295070
2024-07-08,GOCO.CA,0.515,0.530,0.510,0.505,249530
2024-07-09,GOCO.CA,0.506,0.518,0.505,0.505,321350
2024-07-10,GOCO.CA,0.507,0.516,0.507,0.505,40170
2024-07-14,GOCO.CA,0.510,0.519,0.510,0.505,157940
2024-07-15,GOCO.CA,0.510,0.515,0.510,0.505,253680
2024-07-16,GOCO.CA,0.510,0.511,0.508,0.505,105560
2024-07-17,GOCO.CA,0.520,0.520,0.505,0.505,115250
2024-07-18,GOCO.CA,0.504,0.529,0.500,0.516,1420000
2024-07-21,GOCO.CA,0.515,0.517,0.502,0.508,817160
2024-07-22,GOCO.CA,0.510,0.517,0.500,0.508,544770
2024-07-23,GOCO.CA,0.508,0.514,0.505,0.508,73680
2024-07-24,GOCO.CA,0.500,0.509,0.500,0.502,1430000
2024-07-28,GOCO.CA,0.500,0.514,0.498,0.502,130740
2024-07-29,GOCO.CA,0.499,0.512,0.497,0.502,80810
2024-07-30,GOCO.CA,0.510,0.510,0.500,0.502,160000
2024-07-31,GOCO.CA,0.502,0.509,0.500,0.502,374000
2024-08-01,GOCO.CA,0.498,0.509,0.498,0.502,45450
2024-08-04,GOCO.CA,0.501,0.508,0.500,0.502,358160
2024-08-05,GOCO.CA,0.497,0.505,0.491,0.502,630010
2024-08-06,GOCO.CA,0.503,0.519,0.491,0.502,161400
2024-08-07,GOCO.CA,0.491,0.519,0.491,0.502,572110
2024-08-08,GOCO.CA,0.502,0.523,0.502,0.502,575090
2024-08-11,GOCO.CA,0.515,0.515,0.502,0.508,2540000
2024-08-12,GOCO.CA,0.520,0.520,0.505,0.508,263950
2024-08-13,GOCO.CA,0.515,0.523,0.515,0.508,386220
2024-08-14,GOCO.CA,0.510,0.525,0.501,0.508,11120
2024-08-15,GOCO.CA,0.524,0.533,0.520,0.532,2670000
2024-08-18,GOCO.CA,0.532,0.540,0.525,0.528,644860
2024-08-19,GOCO.CA,0.539,0.540,0.525,0.528,153860
2024-08-20,GOCO.CA,0.537,0.543,0.525,0.528,556610
2024-08-21,GOCO.CA,0.520,0.546,0.520,0.528,552400
2024-08-22,GOCO.CA,0.544,0.545,0.528,0.528,527900
2024-08-25,GOCO.CA,0.528,0.547,0.510,0.528,547270
2024-08-26,GOCO.CA,0.530,0.547,0.530,0.528,555870
2024-08-27,GOCO.CA,0.547,0.554,0.521,0.549,1000000
2024-08-28,GOCO.CA,0.575,0.575,0.541,0.549,11760
2024-08-29,GOCO.CA,0.570,0.570,0.535,0.549,261750
2024-09-01,GOCO.CA,0.532,0.568,0.532,0.549,460470
2024-09-02,GOCO.CA,0.549,0.565,0.549,0.549,229190
2024-09-03,GOCO.CA,0.565,0.568,0.541,0.549,301780
2024-09-04,GOCO.CA,0.540,0.557,0.540,0.549,275050
2024-09-05,GOCO.CA,0.557,0.558,0.538,0.549,208420
2024-09-08,GOCO.CA,0.549,0.557,0.524,0.543,565310
2024-09-09,GOCO.CA,0.550,0.570,0.540,0.570,2070000
2024-09-10,GOCO.CA,0.598,0.598,0.598,0.570,259690
2024-09-11,GOCO.CA,0.598,0.598,0.597,0.598,2450000
2024-09-12,GOCO.CA,0.627,0.627,0.569,0.599,624990
2024-09-16,GOCO.CA,0.590,0.599,0.575,0.599,429290
2024-09-17,GOCO.CA,0.599,0.626,0.583,0.606,1090000
2024-09-18,GOCO.CA,0.609,0.610,0.581,0.597,781800
2024-09-19,GOCO.CA,0.600,0.600,0.580,0.587,1310000
2024-09-22,GOCO.CA,0.587,0.600,0.560,0.573,4840000
2024-09-23,GOCO.CA,0.580,0.580,0.551,0.558,1030000
2024-09-24,GOCO.CA,0.562,0.584,0.558,0.566,1740000
2024-09-25,GOCO.CA,0.590,0.590,0.565,0.566,15670
2024-09-26,GOCO.CA,0.580,0.590,0.555,0.570,1940000
2024-09-29,GOCO.CA,0.588,0.588,0.560,0.576,723450
2024-09-30,GOCO.CA,0.590,0.596,0.580,0.589,581830
2024-10-01,GOCO.CA,0.597,0.597,0.585,0.591,913070
2024-10-02,GOCO.CA,0.580,0.595,0.571,0.575,1550000
2024-10-03,GOCO.CA,0.572,0.597,0.572,0.585,1830000
2024-10-07,GOCO.CA,0.571,0.614,0.571,0.614,3660000
2024-10-08,GOCO.CA,0.643,0.644,0.607,0.644,1690000
2024-10-09,GOCO.CA,0.676,0.676,0.676,0.676,448230
2024-10-10,GOCO.CA,0.709,0.709,0.643,0.707,5820000
2024-10-13,GOCO.CA,0.738,0.742,0.709,0.742,4320000
2024-10-14,GOCO.CA,0.731,0.779,0.710,0.742,8570000
2024-10-15,GOCO.CA,0.779,0.779,0.742,0.747,2400000
2024-10-16,GOCO.CA,0.783,0.784,0.733,0.784,3760000
2024-10-17,GOCO.CA,0.823,0.823,0.823,0.823,590340
2024-10-20,GOCO.CA,0.864,0.864,0.864,0.864,941640
2024-10-21,GOCO.CA,0.907,0.907,0.907,0.907,373610
2024-10-22,GOCO.CA,0.951,0.952,0.930,0.952,2970000
2024-10-23,GOCO.CA,0.999,0.999,0.922,0.958,2040000
2024-10-24,GOCO.CA,0.922,1.005,0.915,1.005,3500000
2024-10-27,GOCO.CA,1.060,1.060,1.060,1.060,433050
2024-10-28,GOCO.CA,1.110,1.110,1.110,1.110,468760
2024-10-29,GOCO.CA,1.160,1.160,1.160,1.160,2070000
2024-10-30,GOCO.CA,1.210,1.210,1.210,1.210,463630
2024-10-31,GOCO.CA,1.270,1.270,1.270,1.270,4760000
2024-11-03,GOCO.CA,1.330,1.330,1.330,1.330,280740
2024-11-04,GOCO.CA,1.390,1.390,1.270,1.390,2860000
2024-11-05,GOCO.CA,1.450,1.450,1.330,1.330,1080000
2024-11-06,GOCO.CA,1.330,1.340,1.270,1.270,1080000
2024-11-07,GOCO.CA,1.270,1.290,1.210,1.220,506220
2024-11-10,GOCO.CA,1.270,1.270,1.160,1.160,1200000
2024-11-11,GOCO.CA,1.110,1.110,1.110,1.160,153990
2024-11-12,GOCO.CA,1.110,1.110,1.110,1.110,346010
2024-11-13,GOCO.CA,1.060,1.060,1.060,1.060,948380
2024-11-14,GOCO.CA,1.010,1.010,1.010,1.010,505130
2024-11-17,GOCO.CA,0.980,1.060,0.980,1.060,2330000
2024-11-18,GOCO.CA,1.110,1.110,1.110,1.110,376690
2024-11-19,GOCO.CA,1.160,1.160,1.090,1.130,1880000
2024-11-20,GOCO.CA,1.130,1.160,1.080,1.080,1660000
2024-11-21,GOCO.CA,1.100,1.110,1.040,1.080,200390
2024-11-24,GOCO.CA,1.080,1.100,1.040,1.060,508280
2024-11-25,GOCO.CA,1.040,1.100,1.010,1.030,3180000
2024-11-26,GOCO.CA,1.080,1.080,1.020,1.080,603140
2024-11-27,GOCO.CA,1.090,1.110,1.060,1.080,208070
2024-11-28,GOCO.CA,1.080,1.110,1.040,1.080,245020
2024-12-01,GOCO.CA,1.040,1.100,1.040,1.090,342030
2024-12-02,GOCO.CA,1.080,1.140,1.080,1.130,547290
2024-12-03,GOCO.CA,1.170,1.180,1.100,1.120,358610
2024-12-04,GOCO.CA,1.130,1.140,1.090,1.120,177970
2024-12-05,GOCO.CA,1.160,1.160,1.090,1.120,130040
2024-12-08,GOCO.CA,1.110,1.130,1.100,1.110,329810
2024-12-09,GOCO.CA,1.100,1.130,1.080,1.110,154000
2024-12-10,GOCO.CA,1.090,1.110,1.070,1.110,164870
2024-12-11,GOCO.CA,1.080,1.160,1.080,1.150,1220000
2024-12-12,GOCO.CA,1.130,1.150,1.120,1.150,185670
2024-12-15,GOCO.CA,1.110,1.140,1.110,1.150,119860
2024-12-16,GOCO.CA,1.110,1.150,1.110,1.150,189930
2024-12-17,GOCO.CA,1.130,1.150,1.100,1.150,121110
