Date,Ticker,Open,High,Low,Close,Volume
2026-01-22,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-01-25,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-01-26,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-01-27,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-01-28,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-02-01,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-02-02,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-02-03,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-02-04,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-02-05,GOUR.CA,0.25,0.25,0.25,0.25,0
2026-02-08,GOUR.CA,6.90,6.90,6.90,6.90,0
2026-02-09,GOUR.CA,6.90,6.90,6.90,6.90,0
2026-02-10,GOUR.CA,8.51,9.66,8.50,9.66,98090000
2026-02-11,GOUR.CA,10.00,11.00,9.68,9.80,56880000
2026-02-12,GOUR.CA,9.85,9.90,9.35,9.50,16840000
2026-02-15,GOUR.CA,9.50,9.58,9.19,9.20,10150000
2026-02-16,GOUR.CA,9.20,9.39,9.15,9.22,5400000
2026-02-17,GOUR.CA,9.27,9.61,9.20,9.38,9510000
2026-02-18,GOUR.CA,9.39,9.55,9.37,9.40,6030000
2026-02-19,GOUR.CA,9.42,9.53,9.38,9.41,1920000
2026-02-22,GOUR.CA,9.41,9.61,9.22,9.43,2530000
2026-02-23,GOUR.CA,9.40,9.78,9.40,9.56,2480000
2026-02-24,GOUR.CA,9.56,9.67,9.51,9.55,755020
2026-02-25,GOUR.CA,9.55,9.64,9.50,9.55,1030000
2026-02-26,GOUR.CA,9.56,9.80,9.50,9.70,1390000
2026-03-01,GOUR.CA,9.40,9.55,9.00,9.45,2360000
2026-03-02,GOUR.CA,9.50,9.90,9.40,9.60,1340000
2026-03-03,GOUR.CA,9.70,9.80,9.53,9.70,470520
2026-03-04,GOUR.CA,9.70,9.75,9.54,9.60,2310000
2026-03-05,GOUR.CA,9.60,9.72,9.46,9.68,513770
2026-03-08,GOUR.CA,9.68,9.70,9.26,9.31,1050000
2026-03-09,GOUR.CA,9.35,9.60,9.31,9.51,471850
2026-03-10,GOUR.CA,9.45,9.71,9.40,9.71,483270
2026-03-11,GOUR.CA,9.66,10.69,9.60,10.53,6450000
2026-03-12,GOUR.CA,10.50,11.58,10.00,11.30,6610000
2026-03-15,GOUR.CA,11.36,12.19,11.15,11.15,4560000
2026-03-16,GOUR.CA,11.21,11.53,10.61,10.96,2230000
2026-03-17,GOUR.CA,11.05,11.37,10.90,10.95,3330000
2026-03-18,GOUR.CA,11.00,11.37,10.95,11.11,877820
2026-03-24,GOUR.CA,11.20,11.30,10.62,10.81,1810000
2026-03-25,GOUR.CA,10.81,10.99,10.30,10.68,856850
2026-03-26,GOUR.CA,10.65,10.80,10.50,10.52,595490
2026-03-29,GOUR.CA,10.53,10.63,10.35,10.52,306170
2026-03-30,GOUR.CA,10.38,11.10,10.38,10.77,1440000
2026-03-31,GOUR.CA,10.77,10.94,10.65,10.80,1240000
2026-04-01,GOUR.CA,10.80,10.87,10.67,10.80,295490
2026-04-02,GOUR.CA,10.85,10.90,10.60,10.80,574270
2026-04-05,GOUR.CA,10.80,10.96,10.62,10.90,380530
2026-04-06,GOUR.CA,10.90,10.97,10.80,10.88,180980
2026-04-07,GOUR.CA,10.91,10.99,10.50,10.92,263600
2026-04-08,GOUR.CA,11.00,11.90,10.81,11.69,1270000
2026-04-09,GOUR.CA,11.68,11.69,11.42,11.51,377000
2026-04-12,GOUR.CA,11.69,11.51,11.51,11.51,377000
2026-04-14,GOUR.CA,11.44,11.60,11.40,11.48,333380
2026-04-15,GOUR.CA,11.49,11.69,11.43,11.50,4550000
2026-04-16,GOUR.CA,11.51,13.80,11.51,13.80,4760000
2026-04-19,GOUR.CA,14.58,14.59,13.16,13.30,4610000
2026-04-20,GOUR.CA,13.41,15.40,13.04,14.35,7310000
2026-04-21,GOUR.CA,14.51,14.74,14.00,14.10,2150000
2026-04-22,GOUR.CA,14.23,14.97,13.81,13.86,6980000
2026-04-23,GOUR.CA,13.95,14.00,13.57,13.64,2790000
2026-04-26,GOUR.CA,13.70,14.29,13.52,13.59,2290000
2026-04-27,GOUR.CA,13.65,13.79,13.12,13.30,2150000
2026-04-28,GOUR.CA,13.32,13.75,13.16,13.34,1430000
2026-04-29,GOUR.CA,13.35,13.56,12.55,12.57,4300000
2026-04-30,GOUR.CA,12.85,13.16,12.52,12.55,4830000
2026-05-03,GOUR.CA,12.65,14.00,12.60,13.59,8520000
2026-05-04,GOUR.CA,13.58,13.71,12.99,13.15,3260000
2026-05-05,GOUR.CA,13.01,13.60,12.86,13.21,2420000
2026-05-06,GOUR.CA,13.23,14.14,13.22,13.55,8960000
2026-05-10,GOUR.CA,13.60,13.90,13.35,13.52,912010
2026-05-11,GOUR.CA,13.50,13.73,13.40,13.64,1410000
2026-05-12,GOUR.CA,13.64,13.76,13.22,13.34,1140000
2026-05-13,GOUR.CA,13.50,13.50,13.18,13.25,1070000
2026-05-14,GOUR.CA,13.38,13.47,13.08,13.15,847730
2026-05-17,GOUR.CA,13.12,13.24,12.84,12.84,1140000
2026-05-18,GOUR.CA,12.84,13.00,12.70,12.81,792060
2026-05-19,GOUR.CA,12.82,13.44,12.73,13.19,1630000
2026-05-20,GOUR.CA,13.20,13.31,12.81,12.89,798460
2026-05-21,GOUR.CA,12.89,12.98,12.59,12.74,788830
2026-05-24,GOUR.CA,12.80,12.88,12.68,12.78,480530
2026-05-25,GOUR.CA,12.81,12.83,12.11,12.37,1790000
2026-06-01,GOUR.CA,12.50,12.74,12.36,12.68,660480
2026-06-02,GOUR.CA,12.70,13.26,12.55,13.15,8340000
2026-06-03,GOUR.CA,13.24,13.27,12.70,12.86,1420000
2026-06-04,GOUR.CA,12.90,13.09,12.61,12.90,1530000
2026-06-07,GOUR.CA,13.00,13.40,12.74,12.93,2920000
2026-06-08,GOUR.CA,12.95,13.00,12.76,12.79,1430000
2026-06-09,GOUR.CA,12.89,12.98,12.70,12.75,1280000
2026-06-10,GOUR.CA,12.76,12.94,12.30,12.38,1570000
2026-06-11,GOUR.CA,12.29,12.50,12.10,12.19,1750000
2026-06-14,GOUR.CA,12.45,12.65,12.30,12.36,743280
2026-06-15,GOUR.CA,12.58,12.87,12.45,12.79,1670000
2026-06-16,GOUR.CA,12.81,12.88,12.60,12.70,2230000
2026-06-17,GOUR.CA,12.70,12.90,12.52,12.85,1190000
2026-06-21,GOUR.CA,12.70,12.91,12.65,12.83,436010
2026-06-22,GOUR.CA,12.71,13.63,12.66,13.40,5050000
2026-06-23,GOUR.CA,13.44,13.45,12.83,12.88,1100000
2026-06-24,GOUR.CA,12.88,13.10,12.71,12.97,744980
