Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,GPIM.CA,0.680,0.680,0.662,0.663,27490000
2026-01-05,GPIM.CA,0.660,0.689,0.657,0.666,34610000
2026-01-06,GPIM.CA,0.668,0.679,0.664,0.666,20500000
2026-01-08,GPIM.CA,0.675,0.675,0.657,0.660,27190000
2026-01-11,GPIM.CA,0.662,0.675,0.662,0.663,16540000
2026-01-12,GPIM.CA,0.664,0.670,0.650,0.651,13740000
2026-01-13,GPIM.CA,0.654,0.660,0.621,0.621,35720000
2026-01-14,GPIM.CA,0.623,0.638,0.614,0.629,39070000
2026-01-15,GPIM.CA,0.631,0.639,0.613,0.630,6750000
2026-01-18,GPIM.CA,0.622,0.647,0.622,0.627,9690000
2026-01-19,GPIM.CA,0.628,0.652,0.628,0.650,13650000
2026-01-20,GPIM.CA,0.652,0.654,0.634,0.640,17820000
2026-01-21,GPIM.CA,0.645,0.648,0.624,0.632,11660000
2026-01-22,GPIM.CA,0.632,0.640,0.625,0.630,8800000
2026-01-25,GPIM.CA,0.630,0.634,0.620,0.627,10910000
2026-01-26,GPIM.CA,0.627,0.640,0.614,0.640,23780000
2026-01-27,GPIM.CA,0.640,0.685,0.631,0.673,89670000
2026-01-28,GPIM.CA,0.680,0.696,0.660,0.687,69080000
2026-02-01,GPIM.CA,0.687,0.717,0.687,0.701,66640000
2026-02-02,GPIM.CA,0.702,0.719,0.689,0.700,20680000
2026-02-03,GPIM.CA,0.700,0.707,0.680,0.682,27680000
2026-02-04,GPIM.CA,0.689,0.696,0.674,0.683,37910000
2026-02-05,GPIM.CA,0.683,0.780,0.680,0.746,163100000
2026-02-08,GPIM.CA,0.750,0.768,0.728,0.732,35220000
2026-02-09,GPIM.CA,0.739,0.776,0.733,0.760,57780000
2026-02-10,GPIM.CA,0.760,0.770,0.742,0.750,29260000
2026-02-11,GPIM.CA,0.752,0.768,0.727,0.731,28230000
2026-02-12,GPIM.CA,0.747,0.755,0.727,0.747,16270000
2026-02-15,GPIM.CA,0.747,0.789,0.746,0.786,43890000
2026-02-16,GPIM.CA,0.786,0.886,0.778,0.792,121300000
2026-02-17,GPIM.CA,0.802,0.817,0.793,0.795,51020000
2026-02-18,GPIM.CA,0.803,0.809,0.789,0.790,15940000
2026-02-19,GPIM.CA,0.790,0.801,0.763,0.766,19710000
2026-02-22,GPIM.CA,0.771,0.839,0.761,0.778,12800000
2026-02-23,GPIM.CA,0.783,0.799,0.777,0.780,9950000
2026-02-24,GPIM.CA,0.780,0.790,0.756,0.762,13940000
2026-02-25,GPIM.CA,0.762,0.770,0.733,0.748,16110000
2026-02-26,GPIM.CA,0.751,0.760,0.740,0.740,7250000
2026-03-01,GPIM.CA,0.700,0.734,0.690,0.720,9610000
2026-03-02,GPIM.CA,0.724,0.743,0.710,0.727,5240000
2026-03-03,GPIM.CA,0.735,0.742,0.720,0.732,9610000
2026-03-04,GPIM.CA,0.730,0.755,0.730,0.745,11110000
2026-03-05,GPIM.CA,0.745,0.760,0.742,0.750,5290000
2026-03-08,GPIM.CA,0.757,0.760,0.730,0.735,9750000
2026-03-09,GPIM.CA,0.736,0.744,0.730,0.731,5290000
2026-03-10,GPIM.CA,0.735,0.753,0.727,0.729,8540000
2026-03-11,GPIM.CA,0.730,0.743,0.700,0.737,24200000
2026-03-12,GPIM.CA,0.737,0.744,0.724,0.724,6840000
2026-03-15,GPIM.CA,0.725,0.732,0.710,0.711,9280000
2026-03-16,GPIM.CA,0.712,0.780,0.700,0.711,7500000
2026-03-17,GPIM.CA,0.728,0.730,0.713,0.715,4230000
2026-03-18,GPIM.CA,0.720,0.720,0.710,0.718,6300000
2026-03-24,GPIM.CA,0.734,0.745,0.727,0.740,12910000
2026-03-25,GPIM.CA,0.741,0.761,0.740,0.749,17700000
2026-03-26,GPIM.CA,0.755,0.775,0.746,0.770,21380000
2026-03-29,GPIM.CA,0.770,0.839,0.770,0.822,53600000
2026-03-30,GPIM.CA,0.832,0.837,0.804,0.820,29250000
2026-03-31,GPIM.CA,0.820,0.840,0.809,0.822,32230000
2026-04-01,GPIM.CA,0.833,0.873,0.825,0.857,57790000
2026-04-02,GPIM.CA,0.867,0.888,0.859,0.872,36150000
2026-04-05,GPIM.CA,0.878,0.885,0.860,0.861,14950000
2026-04-06,GPIM.CA,0.863,0.893,0.860,0.875,28670000
2026-04-07,GPIM.CA,0.880,0.919,0.878,0.910,49890000
2026-04-08,GPIM.CA,0.915,0.919,0.898,0.900,29080000
2026-04-09,GPIM.CA,0.909,0.914,0.897,0.904,18660000
2026-04-12,GPIM.CA,0.900,0.904,0.904,0.904,18660000
2026-04-14,GPIM.CA,0.908,0.914,0.896,0.897,14570000
2026-04-15,GPIM.CA,0.904,0.910,0.889,0.895,12080000
2026-04-16,GPIM.CA,0.900,0.900,0.873,0.879,12400000
2026-04-19,GPIM.CA,0.889,0.889,0.861,0.868,11710000
2026-04-20,GPIM.CA,0.868,0.881,0.859,0.880,14290000
2026-04-21,GPIM.CA,0.885,0.898,0.873,0.890,15850000
2026-04-22,GPIM.CA,0.893,0.893,0.872,0.876,5370000
2026-04-23,GPIM.CA,0.876,0.879,0.862,0.863,9450000
2026-04-26,GPIM.CA,0.873,0.873,0.854,0.855,12540000
2026-04-27,GPIM.CA,0.855,0.869,0.855,0.860,4530000
2026-04-28,GPIM.CA,0.860,0.865,0.849,0.857,8260000
2026-04-29,GPIM.CA,0.857,0.882,0.852,0.870,8410000
2026-04-30,GPIM.CA,0.870,0.879,0.858,0.860,10350000
2026-05-03,GPIM.CA,0.862,0.869,0.857,0.860,5190000
2026-05-04,GPIM.CA,0.864,0.873,0.859,0.860,13170000
2026-05-05,GPIM.CA,0.860,0.867,0.853,0.855,4080000
2026-05-06,GPIM.CA,0.860,0.862,0.850,0.860,6230000
2026-05-10,GPIM.CA,0.865,0.871,0.855,0.860,20070000
2026-05-11,GPIM.CA,0.865,0.900,0.857,0.880,28370000
2026-05-12,GPIM.CA,0.884,0.886,0.864,0.864,12000000
2026-05-13,GPIM.CA,0.866,0.874,0.860,0.865,5780000
2026-05-14,GPIM.CA,0.869,0.869,0.854,0.859,10530000
2026-05-17,GPIM.CA,0.855,0.862,0.844,0.844,4410000
2026-05-18,GPIM.CA,0.848,0.859,0.801,0.856,12180000
2026-05-19,GPIM.CA,0.859,0.860,0.840,0.842,5870000
2026-05-20,GPIM.CA,0.843,0.859,0.840,0.859,4640000
2026-05-21,GPIM.CA,0.858,0.858,0.837,0.841,3320000
2026-05-24,GPIM.CA,0.845,0.850,0.836,0.837,4390000
2026-05-25,GPIM.CA,0.843,0.875,0.838,0.861,36350000
2026-06-01,GPIM.CA,0.866,0.889,0.863,0.878,15530000
2026-06-02,GPIM.CA,0.880,0.969,0.876,0.940,85410000
2026-06-03,GPIM.CA,0.944,0.956,0.923,0.930,26910000
2026-06-04,GPIM.CA,0.944,0.944,0.911,0.920,17380000
2026-06-07,GPIM.CA,0.922,0.947,0.922,0.928,24440000
2026-06-08,GPIM.CA,0.925,1.030,0.917,0.992,70510000
2026-06-09,GPIM.CA,0.998,1.055,0.990,1.028,58680000
2026-06-10,GPIM.CA,1.025,1.053,0.990,1.000,27520000
2026-06-11,GPIM.CA,0.995,1.020,0.993,1.020,14000000
2026-06-14,GPIM.CA,1.040,1.190,1.020,1.140,58560000
2026-06-15,GPIM.CA,1.140,1.180,1.110,1.130,50740000
2026-06-16,GPIM.CA,1.130,1.220,1.130,1.190,52690000
