Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,GSSC.CA,241.05,245.00,238.26,241.36,5750
2026-01-05,GSSC.CA,242.86,242.86,232.51,239.95,2750
2026-01-06,GSSC.CA,238.03,241.90,235.15,239.67,1340
2026-01-08,GSSC.CA,238.90,241.20,236.11,239.33,2280
2026-01-11,GSSC.CA,240.70,241.59,237.19,237.59,4210
2026-01-12,GSSC.CA,240.90,243.40,237.60,237.59,670
2026-01-13,GSSC.CA,239.50,241.54,235.00,237.58,1870
2026-01-14,GSSC.CA,235.50,241.53,230.00,230.79,4980
2026-01-15,GSSC.CA,233.40,236.99,228.00,229.80,2750
2026-01-18,GSSC.CA,230.64,238.83,228.15,229.80,1280
2026-01-19,GSSC.CA,234.30,236.99,232.03,229.80,1250
2026-01-20,GSSC.CA,236.98,236.98,234.00,234.75,1900
2026-01-21,GSSC.CA,234.73,236.90,234.11,234.95,1830
2026-01-22,GSSC.CA,235.00,236.59,234.11,235.05,2470
2026-01-25,GSSC.CA,236.49,236.49,229.00,232.57,1870
2026-01-26,GSSC.CA,235.00,235.80,229.10,232.57,770
2026-01-27,GSSC.CA,230.01,234.15,230.00,232.01,1430
2026-01-28,GSSC.CA,234.00,236.40,229.02,235.64,5040
2026-02-01,GSSC.CA,235.45,236.40,229.30,230.12,2420
2026-02-02,GSSC.CA,231.00,236.00,230.25,230.89,5560
2026-02-03,GSSC.CA,232.00,234.50,230.89,230.89,1260
2026-02-04,GSSC.CA,232.49,244.00,231.02,239.98,12260
2026-02-05,GSSC.CA,240.20,240.20,230.00,236.45,8110
2026-02-08,GSSC.CA,237.99,239.00,230.00,232.25,4530
2026-02-09,GSSC.CA,234.70,236.69,231.57,232.14,1870
2026-02-10,GSSC.CA,234.00,234.88,232.00,232.14,1130
2026-02-11,GSSC.CA,232.16,234.49,231.63,232.14,530
2026-02-12,GSSC.CA,233.89,233.99,230.50,231.19,3090
2026-02-15,GSSC.CA,231.20,234.00,231.00,233.28,2360
2026-02-16,GSSC.CA,234.30,234.30,231.02,233.28,610
2026-02-17,GSSC.CA,231.50,234.18,231.11,233.28,710
2026-02-18,GSSC.CA,231.60,233.98,231.09,232.16,1720
2026-02-19,GSSC.CA,232.50,233.00,230.00,232.16,1130
2026-02-22,GSSC.CA,232.00,233.00,228.00,230.89,1900
2026-02-23,GSSC.CA,229.10,249.99,228.11,230.66,15620
2026-02-24,GSSC.CA,230.50,232.69,229.00,230.47,1910
2026-02-25,GSSC.CA,233.00,233.00,228.00,230.29,4270
2026-02-26,GSSC.CA,232.50,232.50,229.60,230.29,1040
2026-03-01,GSSC.CA,228.00,228.00,205.05,220.09,2660
2026-03-02,GSSC.CA,225.70,229.28,225.70,226.43,1540
2026-03-03,GSSC.CA,229.28,229.28,211.11,218.97,1930
2026-03-04,GSSC.CA,223.99,226.00,218.97,218.97,1220
2026-03-05,GSSC.CA,225.00,225.00,221.25,218.97,570
2026-03-08,GSSC.CA,225.97,229.00,220.20,225.41,2970
2026-03-09,GSSC.CA,226.99,227.20,222.01,225.03,1400
2026-03-10,GSSC.CA,223.53,225.30,220.80,222.14,3000
2026-03-11,GSSC.CA,226.00,226.49,220.03,220.74,2910
2026-03-12,GSSC.CA,224.99,225.00,221.25,223.30,1850
2026-03-15,GSSC.CA,221.90,225.00,221.00,223.30,1150
2026-03-16,GSSC.CA,221.00,226.90,221.00,225.49,1790
2026-03-17,GSSC.CA,225.89,225.89,220.65,221.25,2300
2026-03-18,GSSC.CA,221.00,224.00,221.00,221.25,300
2026-03-24,GSSC.CA,224.00,225.45,221.08,221.25,1060
2026-03-25,GSSC.CA,224.88,224.88,220.65,221.25,1030
2026-03-26,GSSC.CA,225.00,225.00,219.00,220.87,1910
2026-03-29,GSSC.CA,223.99,223.99,219.00,220.87,1250
2026-03-30,GSSC.CA,223.73,223.73,217.00,218.30,5870
2026-03-31,GSSC.CA,219.00,222.00,217.01,218.30,640
2026-04-01,GSSC.CA,221.99,226.50,218.35,224.29,3920
2026-04-02,GSSC.CA,222.11,227.99,222.11,226.41,9000
2026-04-05,GSSC.CA,227.00,248.99,226.00,234.06,28620
2026-04-06,GSSC.CA,234.06,238.50,217.02,232.55,8410
2026-04-07,GSSC.CA,230.00,242.00,228.60,234.95,6810
2026-04-08,GSSC.CA,234.95,241.89,233.99,239.57,6130
2026-04-09,GSSC.CA,239.60,242.00,232.02,241.95,7100
2026-04-12,GSSC.CA,239.57,241.95,241.95,241.95,7100
2026-04-14,GSSC.CA,240.98,241.00,236.15,237.42,1630
2026-04-15,GSSC.CA,236.25,239.50,236.25,238.85,3050
2026-04-16,GSSC.CA,238.50,243.99,235.00,241.10,9440
2026-04-19,GSSC.CA,243.97,249.94,241.30,247.05,16090
2026-04-20,GSSC.CA,247.00,248.95,244.02,246.82,8680
2026-04-21,GSSC.CA,248.00,249.00,247.05,248.00,2540
2026-04-22,GSSC.CA,249.00,272.00,248.21,258.35,237890
2026-04-23,GSSC.CA,261.50,268.00,260.51,262.05,185390
2026-04-26,GSSC.CA,266.00,278.84,265.85,275.51,261220
2026-04-27,GSSC.CA,294.01,299.00,285.00,285.00,270350
2026-04-28,GSSC.CA,284.89,285.65,272.20,272.54,160710
2026-04-29,GSSC.CA,274.02,276.00,268.10,272.00,132620
2026-04-30,GSSC.CA,271.95,276.00,268.00,268.89,85170
2026-05-03,GSSC.CA,270.02,277.77,268.68,272.01,162340
2026-05-04,GSSC.CA,275.00,275.90,268.00,268.41,101600
2026-05-05,GSSC.CA,268.00,274.00,266.00,270.28,109950
2026-05-06,GSSC.CA,274.00,275.00,267.72,268.58,73700
2026-05-10,GSSC.CA,268.31,270.09,268.31,268.85,38110
2026-05-11,GSSC.CA,269.00,269.99,267.00,268.41,41050
2026-05-12,GSSC.CA,268.42,268.42,265.51,265.91,52410
2026-05-13,GSSC.CA,265.91,266.00,264.01,265.44,34200
2026-05-14,GSSC.CA,266.00,267.00,264.14,264.26,25640
2026-05-17,GSSC.CA,270.01,272.50,265.30,265.49,75200
2026-05-18,GSSC.CA,266.90,268.90,262.00,264.70,59610
2026-05-19,GSSC.CA,267.00,267.00,264.01,264.25,17590
2026-05-20,GSSC.CA,265.00,266.80,262.60,262.67,21190
2026-05-21,GSSC.CA,262.83,263.50,256.00,257.84,22430
2026-05-24,GSSC.CA,257.84,260.00,255.60,256.13,17150
2026-05-25,GSSC.CA,257.90,257.90,254.10,255.15,13110
2026-06-01,GSSC.CA,255.30,256.29,254.50,255.42,6710
2026-06-02,GSSC.CA,256.40,257.49,255.00,255.98,11390
2026-06-03,GSSC.CA,256.97,256.97,250.00,252.95,7230
2026-06-04,GSSC.CA,252.95,254.87,250.01,251.47,5600
2026-06-07,GSSC.CA,252.00,254.77,228.10,248.44,12080
2026-06-08,GSSC.CA,251.00,252.00,247.01,248.92,12280
2026-06-09,GSSC.CA,248.32,251.00,248.32,249.35,12600
2026-06-10,GSSC.CA,250.00,252.80,248.80,249.27,19760
2026-06-11,GSSC.CA,248.00,249.00,247.29,247.61,13610
2026-06-14,GSSC.CA,248.50,250.99,247.25,248.65,8050
2026-06-15,GSSC.CA,248.65,250.90,247.65,248.31,11720
2026-06-16,GSSC.CA,248.00,249.00,246.10,247.54,6060
2026-06-17,GSSC.CA,248.58,248.90,246.10,248.00,11780
2026-06-21,GSSC.CA,248.80,249.95,247.50,249.83,20240
2026-06-22,GSSC.CA,251.91,256.89,248.80,251.85,55700
2026-06-23,GSSC.CA,252.00,255.00,250.05,250.17,15200
2026-06-24,GSSC.CA,250.56,251.98,248.00,248.13,12160
