Date,Ticker,Open,High,Low,Close,Volume
2024-01-03,GTHE.CA,2.060,2.290,2.060,2.080,14980
2024-01-08,GTHE.CA,2.050,2.180,2.000,2.140,49050
2024-01-10,GTHE.CA,2.150,2.150,2.000,2.000,13230
2024-01-15,GTHE.CA,2.000,2.030,2.000,2.000,30760
2024-01-17,GTHE.CA,2.000,2.130,1.900,2.050,22560
2024-01-22,GTHE.CA,2.100,2.100,1.820,1.820,70130
2024-01-24,GTHE.CA,2.030,2.070,1.850,2.070,20420
2024-01-29,GTHE.CA,2.060,2.060,1.850,2.020,45940
2024-01-31,GTHE.CA,2.060,2.060,1.830,1.940,50540
2024-02-05,GTHE.CA,1.940,2.300,1.710,2.300,135810
2024-02-07,GTHE.CA,2.300,2.280,1.840,2.030,4510
2024-02-12,GTHE.CA,2.030,2.030,1.880,1.890,8990
2024-02-14,GTHE.CA,1.890,1.990,1.890,1.910,2090
2024-02-19,GTHE.CA,1.910,2.050,1.910,2.050,47760
2024-02-21,GTHE.CA,2.050,2.050,0.760,1.710,140530
2024-02-26,GTHE.CA,1.710,1.880,1.700,1.870,11480
2024-02-28,GTHE.CA,1.870,1.850,1.790,1.840,7960
2024-03-04,GTHE.CA,1.840,1.860,1.710,1.810,8310
2024-03-06,GTHE.CA,1.810,1.870,1.770,1.780,530
2024-03-11,GTHE.CA,1.780,1.860,1.770,1.770,11970
2024-03-13,GTHE.CA,1.770,1.720,1.700,1.700,9930
2024-03-18,GTHE.CA,1.700,1.700,1.610,1.650,8640
2024-03-20,GTHE.CA,1.650,1.660,1.610,1.610,1120
2024-03-25,GTHE.CA,1.610,1.870,1.620,1.790,15100
2024-03-27,GTHE.CA,1.790,1.890,1.680,1.890,6440
2024-04-01,GTHE.CA,1.890,1.790,1.750,1.790,3400
2024-04-03,GTHE.CA,1.790,1.890,1.770,1.770,24900
2024-04-08,GTHE.CA,1.770,1.890,1.740,1.870,28550
2024-04-15,GTHE.CA,1.870,1.910,1.840,1.900,30400
2024-04-17,GTHE.CA,1.900,2.050,1.890,1.900,48610
2024-04-22,GTHE.CA,1.900,1.940,1.840,1.840,4610
2024-04-24,GTHE.CA,1.840,1.850,1.800,1.800,29110
2024-04-29,GTHE.CA,1.840,1.800,1.800,1.800,0
2024-05-01,GTHE.CA,1.840,1.800,1.800,1.800,0
