Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,GTWL.CA,27.26,28.00,26.51,27.76,17450
2024-01-03,GTWL.CA,26.18,27.60,26.18,27.76,2230
2024-01-04,GTWL.CA,26.22,27.30,26.00,27.76,10030
2024-01-08,GTWL.CA,26.40,27.25,26.15,27.76,8750
2024-01-09,GTWL.CA,26.19,26.95,26.19,27.76,7650
2024-01-10,GTWL.CA,26.27,26.70,26.15,27.76,9110
2024-01-11,GTWL.CA,26.97,26.98,26.20,27.76,1520
2024-01-14,GTWL.CA,26.71,26.71,26.15,27.76,9260
2024-01-15,GTWL.CA,26.69,27.39,26.26,26.71,19490
2024-01-16,GTWL.CA,27.35,29.77,26.53,28.22,23930
2024-01-17,GTWL.CA,27.77,28.47,27.00,28.22,6840
2024-01-18,GTWL.CA,27.95,27.95,26.80,28.22,4050
2024-01-21,GTWL.CA,27.90,28.00,27.01,27.19,15930
2024-01-22,GTWL.CA,27.07,27.66,27.00,27.19,8730
2024-01-23,GTWL.CA,26.80,27.00,25.60,27.19,6320
2024-01-24,GTWL.CA,26.27,26.80,26.27,27.19,2150
2024-01-28,GTWL.CA,27.00,27.75,26.50,27.19,1650
2024-01-29,GTWL.CA,27.00,27.50,26.00,27.19,8930
2024-01-30,GTWL.CA,27.20,29.50,27.00,28.69,18320
2024-01-31,GTWL.CA,28.69,29.00,26.00,28.69,9690
2024-02-01,GTWL.CA,28.69,28.99,26.20,28.69,2190
2024-02-04,GTWL.CA,28.69,28.90,26.41,28.69,6880
2024-02-05,GTWL.CA,28.69,28.45,27.00,28.69,8150
2024-02-06,GTWL.CA,28.69,28.00,27.00,28.69,10550
2024-02-07,GTWL.CA,28.69,27.00,26.30,28.69,6870
2024-02-08,GTWL.CA,28.69,28.50,26.09,28.69,2620
2024-02-11,GTWL.CA,28.69,27.90,26.11,28.69,5190
2024-02-12,GTWL.CA,28.69,27.89,26.26,28.69,4990
2024-02-13,GTWL.CA,28.69,27.40,26.51,28.69,4480
2024-02-14,GTWL.CA,28.69,27.78,26.71,28.69,40
2024-02-15,GTWL.CA,28.69,27.74,26.76,28.69,1320
2024-02-18,GTWL.CA,28.69,27.80,26.73,28.69,7280
2024-02-19,GTWL.CA,28.69,27.77,26.00,26.01,81270
2024-02-20,GTWL.CA,26.01,26.51,26.05,26.01,4950
2024-02-21,GTWL.CA,26.01,27.05,25.82,25.98,44560
2024-02-22,GTWL.CA,25.98,26.74,25.81,25.99,15150
2024-02-25,GTWL.CA,25.99,26.00,20.81,25.09,31020
2024-02-26,GTWL.CA,25.09,28.68,24.03,27.78,24750
2024-02-27,GTWL.CA,27.78,28.00,26.00,27.78,6090
2024-02-28,GTWL.CA,27.78,28.00,25.00,27.78,9000
2024-02-29,GTWL.CA,27.78,27.75,23.60,27.78,3110
2024-03-03,GTWL.CA,27.78,26.99,23.65,27.78,4490
2024-03-04,GTWL.CA,27.78,25.61,25.53,27.78,500
2024-03-05,GTWL.CA,27.78,27.00,26.00,27.78,11180
2024-03-06,GTWL.CA,27.78,27.50,26.10,26.79,21390
2024-03-07,GTWL.CA,26.79,27.20,26.50,26.79,2680
2024-03-10,GTWL.CA,26.79,27.20,26.01,26.79,9140
2024-03-11,GTWL.CA,26.79,27.00,25.55,26.79,230
2024-03-12,GTWL.CA,26.79,32.13,26.90,28.75,21530
2024-03-13,GTWL.CA,28.75,29.25,24.07,28.75,7560
2024-03-14,GTWL.CA,28.75,25.70,25.53,28.75,2900
2024-03-17,GTWL.CA,28.75,26.00,25.01,28.75,1510
2024-03-18,GTWL.CA,28.75,28.75,25.00,28.75,960
2024-03-19,GTWL.CA,28.75,26.00,23.40,28.75,1780
2024-03-20,GTWL.CA,28.75,27.00,24.10,28.75,240
2024-03-21,GTWL.CA,28.75,26.10,24.50,28.75,30
2024-03-24,GTWL.CA,28.75,28.00,26.10,28.75,4020
2024-03-25,GTWL.CA,28.75,27.90,23.80,28.75,2450
2024-03-26,GTWL.CA,28.75,27.97,26.50,28.75,810
2024-03-27,GTWL.CA,28.75,28.75,25.70,27.28,13920
2024-03-28,GTWL.CA,27.28,27.30,25.70,26.02,25310
2024-03-31,GTWL.CA,26.02,29.00,26.97,28.65,21750
2024-04-01,GTWL.CA,28.65,30.00,27.08,27.79,21030
2024-04-02,GTWL.CA,27.79,30.40,28.05,29.47,15930
2024-04-03,GTWL.CA,29.47,32.69,29.51,32.01,11620
2024-04-04,GTWL.CA,32.01,32.80,31.00,32.01,7440
2024-04-07,GTWL.CA,32.01,33.00,31.01,32.01,8430
2024-04-08,GTWL.CA,32.01,32.50,30.00,30.78,14560
2024-04-15,GTWL.CA,30.78,32.45,28.75,29.45,22740
2024-04-16,GTWL.CA,29.45,30.97,28.21,28.91,45060
2024-04-17,GTWL.CA,28.91,29.94,28.30,28.91,9640
2024-04-18,GTWL.CA,28.91,30.00,26.01,28.91,10380
2024-04-21,GTWL.CA,28.91,29.57,26.60,27.26,15590
2024-04-22,GTWL.CA,27.26,32.71,27.00,32.71,86220
2024-04-23,GTWL.CA,32.71,35.90,30.20,31.72,42130
2024-04-24,GTWL.CA,31.72,31.99,28.51,31.72,8150
2024-04-28,GTWL.CA,27.65,31.72,27.65,31.72,4810
2024-04-29,GTWL.CA,28.11,31.72,27.90,31.72,9740
2024-04-30,GTWL.CA,30.97,31.72,27.50,31.72,8900
2024-05-01,GTWL.CA,28.50,31.72,27.12,31.72,7950
2024-05-02,GTWL.CA,30.99,30.99,27.80,28.37,12530
2024-05-07,GTWL.CA,29.50,33.88,28.00,31.05,30050
2024-05-08,GTWL.CA,29.02,32.00,28.71,31.05,7070
2024-05-09,GTWL.CA,33.00,33.49,27.51,27.92,26020
2024-05-12,GTWL.CA,28.07,28.35,27.45,27.92,6350
2024-05-13,GTWL.CA,27.11,28.45,27.10,27.92,3620
2024-05-14,GTWL.CA,27.15,28.90,26.87,27.92,1850
2024-05-15,GTWL.CA,27.01,28.47,27.00,27.92,1560
2024-05-16,GTWL.CA,28.44,28.44,26.50,27.92,7260
2024-05-19,GTWL.CA,28.00,28.40,26.77,27.92,7170
2024-05-20,GTWL.CA,27.88,27.92,26.11,27.92,5880
2024-05-21,GTWL.CA,26.38,27.92,26.38,27.92,6060
2024-05-22,GTWL.CA,26.50,27.92,26.50,27.92,2360
2024-05-23,GTWL.CA,26.60,27.00,26.00,27.92,5060
2024-05-26,GTWL.CA,26.05,26.89,26.04,27.92,670
2024-05-27,GTWL.CA,26.15,26.15,25.50,27.92,5470
2024-05-28,GTWL.CA,25.70,26.42,23.10,27.92,8460
