Date,Ticker,Open,High,Low,Close,Volume
2024-01-03,HCFI.CA,2.380,2.400,2.100,2.200,1930000
2024-01-08,HCFI.CA,2.250,2.280,2.110,2.130,1400000
2024-01-10,HCFI.CA,2.140,2.290,2.100,2.260,1950000
2024-01-15,HCFI.CA,2.260,2.300,2.160,2.160,2070000
2024-01-17,HCFI.CA,2.200,2.280,2.130,2.200,1330000
2024-01-22,HCFI.CA,2.200,2.290,2.130,2.190,1160000
2024-01-24,HCFI.CA,2.190,2.190,2.120,2.140,499110
2024-01-29,HCFI.CA,2.150,2.180,2.020,2.060,1070000
2024-01-31,HCFI.CA,2.100,2.100,1.950,1.970,1050000
2024-02-05,HCFI.CA,1.970,1.990,1.810,1.940,557340
2024-02-07,HCFI.CA,1.940,1.980,1.900,1.950,735320
2024-02-12,HCFI.CA,1.950,1.970,1.840,1.850,951400
2024-02-14,HCFI.CA,1.850,1.910,1.500,1.840,560240
2024-02-19,HCFI.CA,1.840,1.880,1.730,1.760,727230
2024-02-21,HCFI.CA,1.760,1.950,1.760,1.910,1040000
2024-02-26,HCFI.CA,1.910,1.910,1.720,1.850,1480000
2024-02-28,HCFI.CA,1.850,1.930,1.800,1.870,538310
2024-03-04,HCFI.CA,1.870,2.000,1.870,1.910,301090
2024-03-06,HCFI.CA,1.910,2.100,1.900,2.090,638920
2024-03-11,HCFI.CA,2.090,2.530,2.080,2.500,2980000
2024-03-13,HCFI.CA,2.500,3.200,2.540,3.150,4060000
2024-03-18,HCFI.CA,3.150,3.320,2.530,2.950,2210000
2024-03-20,HCFI.CA,2.950,3.250,2.620,2.650,1930000
2024-03-25,HCFI.CA,2.650,2.970,2.600,2.690,1530000
2024-03-27,HCFI.CA,2.690,2.820,2.640,2.700,834420
2024-04-01,HCFI.CA,2.700,2.930,2.700,2.900,802930
2024-04-03,HCFI.CA,2.900,3.590,2.930,3.460,2540000
2024-04-08,HCFI.CA,3.460,4.100,3.500,4.000,1880000
2024-04-15,HCFI.CA,4.000,4.370,3.620,3.950,1350000
2024-04-17,HCFI.CA,3.950,4.050,3.520,3.700,1150000
2024-04-22,HCFI.CA,3.700,4.490,3.750,3.950,2290000
2024-04-24,HCFI.CA,3.950,3.920,2.510,3.220,1040000
2024-04-29,HCFI.CA,3.300,3.450,2.950,3.030,1010000
2024-05-01,HCFI.CA,3.020,3.750,2.900,3.750,1500000
2024-05-08,HCFI.CA,3.750,4.460,3.750,4.300,2740000
2024-05-13,HCFI.CA,4.350,5.240,4.350,4.860,6330000
2024-05-15,HCFI.CA,4.900,5.250,4.440,4.650,3030000
2024-05-20,HCFI.CA,4.600,5.200,4.520,4.700,1940000
2024-05-22,HCFI.CA,4.680,4.850,4.400,4.400,1270000
2024-05-27,HCFI.CA,4.450,4.750,4.110,4.240,1290000
2024-05-29,HCFI.CA,4.240,4.440,3.800,4.430,2330000
