Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,HDBK.CA,45.00,45.50,44.25,44.53,162330
2026-01-05,HDBK.CA,44.99,44.99,44.00,44.01,100300
2026-01-06,HDBK.CA,44.01,44.92,44.00,44.30,50610
2026-01-08,HDBK.CA,44.04,44.75,44.04,44.55,13620
2026-01-11,HDBK.CA,44.55,45.20,44.05,45.03,819160
2026-01-12,HDBK.CA,45.13,47.00,45.00,45.90,1200000
2026-01-13,HDBK.CA,46.01,46.78,45.96,46.08,307670
2026-01-14,HDBK.CA,46.42,46.42,45.00,45.47,78940
2026-01-15,HDBK.CA,45.50,46.44,45.17,45.71,122030
2026-01-18,HDBK.CA,46.40,46.40,45.30,45.99,55010
2026-01-19,HDBK.CA,45.65,47.00,45.65,46.81,281890
2026-01-20,HDBK.CA,47.00,47.45,46.75,47.01,105590
2026-01-21,HDBK.CA,46.80,47.44,46.80,47.10,63660
2026-01-22,HDBK.CA,47.15,49.44,47.05,49.25,515720
2026-01-25,HDBK.CA,49.49,50.99,48.83,49.13,136710
2026-01-26,HDBK.CA,49.25,50.00,48.70,50.00,335490
2026-01-27,HDBK.CA,50.05,50.49,49.15,49.57,124210
2026-01-28,HDBK.CA,49.58,50.00,45.75,48.18,164820
2026-02-01,HDBK.CA,48.50,49.40,47.29,48.92,636510
2026-02-02,HDBK.CA,48.50,49.50,48.23,49.48,70620
2026-02-03,HDBK.CA,48.90,50.04,48.58,49.24,351710
2026-02-04,HDBK.CA,49.34,49.99,48.72,49.49,401380
2026-02-05,HDBK.CA,49.55,49.55,48.47,48.51,292070
2026-02-08,HDBK.CA,49.15,49.42,48.49,48.63,137490
2026-02-09,HDBK.CA,48.97,48.97,48.00,48.04,232120
2026-02-10,HDBK.CA,48.02,48.50,47.51,48.50,437630
2026-02-11,HDBK.CA,48.05,48.88,48.01,48.25,119330
2026-02-12,HDBK.CA,48.03,49.99,47.51,49.44,433520
2026-02-15,HDBK.CA,49.44,51.13,49.44,50.05,683490
2026-02-16,HDBK.CA,50.03,50.90,49.00,49.38,691050
2026-02-17,HDBK.CA,49.75,52.95,49.38,51.18,1690000
2026-02-18,HDBK.CA,51.50,51.99,50.65,50.76,229790
2026-02-19,HDBK.CA,51.49,51.49,50.00,50.33,267890
2026-02-22,HDBK.CA,50.35,52.78,50.35,51.63,661520
2026-02-23,HDBK.CA,52.00,59.75,51.20,56.15,845610
2026-02-24,HDBK.CA,56.51,59.45,55.28,57.69,548610
2026-02-25,HDBK.CA,57.50,59.00,55.53,56.00,506270
2026-02-26,HDBK.CA,56.15,57.47,55.00,56.85,236550
2026-03-01,HDBK.CA,54.05,56.00,53.86,55.42,353310
2026-03-02,HDBK.CA,55.51,57.25,55.20,56.01,518640
2026-03-03,HDBK.CA,56.51,56.97,54.53,55.97,118010
2026-03-04,HDBK.CA,56.43,56.50,54.35,55.16,218530
2026-03-05,HDBK.CA,55.55,56.25,55.00,55.50,183360
2026-03-08,HDBK.CA,56.00,56.49,54.50,55.06,186040
2026-03-09,HDBK.CA,55.08,55.64,54.50,54.57,132750
2026-03-10,HDBK.CA,55.49,56.75,54.63,56.66,151950
2026-03-11,HDBK.CA,56.76,58.50,55.51,57.58,300590
2026-03-12,HDBK.CA,57.65,59.25,57.01,57.01,614260
2026-03-15,HDBK.CA,57.50,57.90,55.26,57.31,232780
2026-03-16,HDBK.CA,57.31,57.49,55.80,56.23,168500
2026-03-17,HDBK.CA,56.23,57.22,56.16,56.66,111580
2026-03-18,HDBK.CA,57.00,57.50,57.00,57.24,6430000
2026-03-24,HDBK.CA,56.00,58.50,56.00,57.67,226460
2026-03-25,HDBK.CA,58.00,60.55,57.75,60.26,2380000
2026-03-26,HDBK.CA,60.35,60.99,59.10,59.50,445220
2026-03-29,HDBK.CA,59.50,63.85,59.15,63.50,1580000
2026-03-30,HDBK.CA,63.49,69.85,62.50,69.85,1570000
2026-03-31,HDBK.CA,69.85,82.45,68.50,82.45,11030000
2026-04-01,HDBK.CA,79.51,83.45,76.50,77.03,1130000
2026-04-02,HDBK.CA,77.67,80.88,71.83,73.00,1410000
2026-04-05,HDBK.CA,73.08,74.25,71.51,72.01,777700
2026-04-06,HDBK.CA,72.25,73.13,71.88,72.80,489640
2026-04-07,HDBK.CA,69.75,69.86,68.01,68.14,429550
2026-04-08,HDBK.CA,69.25,69.70,68.30,68.82,408610
2026-04-09,HDBK.CA,68.86,69.47,68.28,68.41,155710
2026-04-12,HDBK.CA,137.65,136.82,136.82,136.82,77850
2026-04-14,HDBK.CA,68.35,71.32,68.00,71.00,580690
2026-04-15,HDBK.CA,71.45,77.50,71.32,76.00,937230
2026-04-16,HDBK.CA,76.75,78.93,74.00,74.25,689800
2026-04-19,HDBK.CA,74.31,75.00,72.50,72.75,231290
2026-04-20,HDBK.CA,73.00,73.97,72.50,72.55,199040
2026-04-21,HDBK.CA,72.59,73.38,71.88,72.14,210290
2026-04-22,HDBK.CA,72.14,72.50,70.55,71.13,201770
2026-04-23,HDBK.CA,71.00,74.00,70.70,72.58,283650
2026-04-26,HDBK.CA,72.75,73.50,71.80,72.07,86050
2026-04-27,HDBK.CA,73.00,76.80,72.00,74.05,538220
2026-04-28,HDBK.CA,74.80,76.95,74.50,76.18,607520
2026-04-29,HDBK.CA,76.76,78.50,76.00,76.50,483570
2026-04-30,HDBK.CA,77.19,77.50,74.00,74.32,386220
2026-05-03,HDBK.CA,74.33,75.50,74.00,74.00,382470
2026-05-04,HDBK.CA,74.01,75.50,73.01,73.54,392300
2026-05-05,HDBK.CA,73.30,74.50,72.80,73.57,396330
2026-05-06,HDBK.CA,75.00,75.00,73.78,74.13,319720
2026-05-10,HDBK.CA,74.44,74.75,73.30,73.40,267450
2026-05-11,HDBK.CA,73.50,75.00,73.30,73.61,576310
2026-05-12,HDBK.CA,73.80,74.50,73.00,73.63,217310
2026-05-13,HDBK.CA,73.99,73.99,72.00,72.75,226880
2026-05-14,HDBK.CA,72.88,73.29,71.79,72.00,202490
2026-05-17,HDBK.CA,72.00,72.95,71.00,71.07,171810
2026-05-18,HDBK.CA,71.04,71.50,70.00,70.02,175330
2026-05-19,HDBK.CA,70.80,72.89,70.25,71.74,337140
2026-05-20,HDBK.CA,72.05,73.25,70.51,70.60,135120
2026-05-21,HDBK.CA,71.50,71.75,70.68,71.04,79720
2026-05-24,HDBK.CA,71.40,71.90,70.95,71.00,159450
2026-05-25,HDBK.CA,71.00,72.50,70.75,71.88,133130
2026-06-01,HDBK.CA,72.10,72.10,71.00,71.07,92730
2026-06-02,HDBK.CA,71.07,72.49,70.85,71.65,180350
2026-06-03,HDBK.CA,71.90,71.90,70.75,71.39,189350
2026-06-04,HDBK.CA,71.50,71.50,70.25,70.60,126790
2026-06-07,HDBK.CA,70.50,71.22,70.00,70.04,149750
2026-06-08,HDBK.CA,70.00,72.05,69.38,71.51,357560
