Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,HELI.CA,3.48,3.57,3.48,3.57,6690000
2024-01-03,HELI.CA,3.60,3.60,3.54,3.60,11030000
2024-01-04,HELI.CA,3.61,3.73,3.60,3.64,28070000
2024-01-08,HELI.CA,3.67,3.69,3.63,3.65,7580000
2024-01-09,HELI.CA,3.67,3.76,3.66,3.74,19800000
2024-01-10,HELI.CA,3.74,3.77,3.70,3.70,9990000
2024-01-11,HELI.CA,3.70,3.72,3.65,3.67,9300000
2024-01-14,HELI.CA,3.70,3.80,3.67,3.80,26550000
2024-01-15,HELI.CA,3.80,3.83,3.69,3.71,20290000
2024-01-16,HELI.CA,3.72,3.76,3.68,3.74,12260000
2024-01-17,HELI.CA,3.77,3.80,3.70,3.72,22370000
2024-01-18,HELI.CA,3.73,3.74,3.67,3.70,10360000
2024-01-21,HELI.CA,3.73,3.83,3.72,3.83,24340000
2024-01-22,HELI.CA,3.86,3.90,3.77,3.77,38580000
2024-01-23,HELI.CA,3.79,3.81,3.67,3.67,29790000
2024-01-24,HELI.CA,3.69,3.69,3.61,3.62,18490000
2024-01-28,HELI.CA,3.63,3.68,3.60,3.62,17270000
2024-01-29,HELI.CA,3.64,3.69,3.56,3.57,19110000
2024-01-30,HELI.CA,3.60,3.64,3.57,3.62,12950000
2024-01-31,HELI.CA,3.63,3.72,3.34,3.40,38140000
2024-02-01,HELI.CA,3.40,3.46,3.25,3.43,19590000
2024-02-04,HELI.CA,3.43,3.58,3.37,3.53,20860000
2024-02-05,HELI.CA,3.53,3.76,3.58,3.72,27440000
2024-02-06,HELI.CA,3.72,3.78,3.58,3.65,25760000
2024-02-07,HELI.CA,3.65,3.79,3.62,3.69,41670000
2024-02-08,HELI.CA,3.69,3.77,3.68,3.77,17310000
2024-02-11,HELI.CA,3.77,3.91,3.73,3.76,53190000
2024-02-12,HELI.CA,3.76,3.78,3.70,3.71,14490000
2024-02-13,HELI.CA,3.71,3.79,3.72,3.75,10870000
2024-02-14,HELI.CA,3.75,3.84,3.74,3.82,21450000
2024-02-15,HELI.CA,3.82,3.98,3.82,3.98,84750000
2024-02-18,HELI.CA,3.98,4.13,4.02,4.08,85870000
2024-02-19,HELI.CA,4.08,4.19,3.96,4.18,70290000
2024-02-20,HELI.CA,4.18,4.25,4.15,4.19,54430000
2024-02-21,HELI.CA,4.19,4.30,4.09,4.23,48280000
2024-02-22,HELI.CA,4.23,4.27,4.10,4.11,34370000
2024-02-25,HELI.CA,4.11,4.19,3.90,3.95,92490000
2024-02-26,HELI.CA,3.95,4.07,3.94,3.95,39210000
2024-02-27,HELI.CA,3.95,4.22,3.98,4.09,62040000
2024-02-28,HELI.CA,4.09,4.20,3.97,4.03,47730000
2024-02-29,HELI.CA,4.03,4.16,3.98,4.02,22890000
2024-03-03,HELI.CA,4.02,4.08,4.00,4.07,18100000
2024-03-04,HELI.CA,4.07,4.65,4.14,4.46,144620000
2024-03-05,HELI.CA,4.46,4.63,4.40,4.45,57590000
2024-03-06,HELI.CA,4.45,4.43,4.10,4.10,47070000
2024-03-07,HELI.CA,4.10,4.16,3.98,4.03,20880000
2024-03-10,HELI.CA,4.03,4.35,4.08,4.20,36610000
2024-03-11,HELI.CA,4.20,4.25,3.97,3.99,29050000
2024-03-12,HELI.CA,3.99,4.03,3.68,3.80,25680000
2024-03-13,HELI.CA,3.80,3.83,3.48,3.52,23840000
2024-03-14,HELI.CA,3.52,3.58,3.41,3.55,12520000
2024-03-17,HELI.CA,3.55,3.66,3.51,3.53,9440000
2024-03-18,HELI.CA,3.53,3.54,3.20,3.20,17030000
2024-03-19,HELI.CA,3.20,3.31,3.18,3.28,12230000
2024-03-20,HELI.CA,3.28,3.37,3.25,3.27,8130000
2024-03-21,HELI.CA,3.27,3.37,3.26,3.36,10130000
2024-03-24,HELI.CA,3.36,3.44,3.35,3.38,11040000
2024-03-25,HELI.CA,3.38,3.43,3.32,3.43,26320000
2024-03-26,HELI.CA,3.43,3.49,3.34,3.35,17510000
2024-03-27,HELI.CA,3.35,3.38,3.27,3.27,16040000
2024-03-28,HELI.CA,3.27,3.30,3.21,3.21,8660000
2024-03-31,HELI.CA,3.21,3.27,2.97,3.03,9730000
2024-04-01,HELI.CA,3.03,3.40,3.11,3.38,23260000
2024-04-02,HELI.CA,3.38,3.47,3.35,3.39,22980000
2024-04-03,HELI.CA,3.39,3.48,3.35,3.45,15940000
2024-04-04,HELI.CA,3.45,3.57,3.46,3.57,16790000
2024-04-07,HELI.CA,3.57,3.59,3.44,3.50,10250000
2024-04-08,HELI.CA,3.50,3.55,3.48,3.52,8590000
2024-04-15,HELI.CA,3.52,3.65,3.51,3.63,12540000
2024-04-16,HELI.CA,3.63,3.72,3.62,3.65,18100000
2024-04-17,HELI.CA,3.65,3.75,3.64,3.73,18780000
2024-04-18,HELI.CA,3.73,3.76,3.38,3.48,24880000
2024-04-21,HELI.CA,3.48,3.58,3.49,3.50,12860000
2024-04-22,HELI.CA,3.50,3.57,3.40,3.42,15930000
2024-04-23,HELI.CA,3.42,3.45,3.14,3.16,22010000
2024-04-24,HELI.CA,3.16,3.21,3.03,3.10,15350000
2024-04-28,HELI.CA,3.13,3.17,2.90,2.93,19310000
2024-04-29,HELI.CA,2.95,3.10,2.92,3.10,12240000
2024-04-30,HELI.CA,3.13,3.21,2.87,2.90,26770000
2024-05-01,HELI.CA,2.96,3.14,2.88,3.13,23810000
2024-05-02,HELI.CA,3.13,3.25,3.10,3.24,23620000
2024-05-07,HELI.CA,3.24,3.35,3.21,3.33,26460000
2024-05-08,HELI.CA,3.35,3.40,3.25,3.28,17850000
2024-05-09,HELI.CA,3.28,3.36,3.23,3.35,10830000
2024-05-12,HELI.CA,3.39,3.44,3.10,3.11,45760000
2024-05-13,HELI.CA,3.13,3.15,3.03,3.13,18450000
2024-05-14,HELI.CA,3.17,3.18,3.07,3.09,16700000
2024-05-15,HELI.CA,3.10,3.15,3.06,3.11,18470000
2024-05-16,HELI.CA,3.12,3.23,3.11,3.23,24870000
2024-05-19,HELI.CA,3.26,3.32,3.22,3.32,24740000
2024-05-20,HELI.CA,3.33,3.34,3.27,3.28,23120000
2024-05-21,HELI.CA,3.28,3.31,3.26,3.27,12530000
2024-05-22,HELI.CA,3.27,3.42,3.25,3.40,30930000
2024-05-23,HELI.CA,3.43,3.49,3.41,3.41,30130000
2024-05-26,HELI.CA,3.43,3.49,3.42,3.48,21370000
2024-05-27,HELI.CA,3.53,3.53,3.38,3.42,19440000
2024-05-28,HELI.CA,3.40,3.46,3.36,3.45,14050000
2024-05-29,HELI.CA,3.47,3.56,3.45,3.54,22690000
2024-05-30,HELI.CA,3.54,3.60,3.50,3.52,31050000
2024-06-02,HELI.CA,3.53,3.71,3.53,3.69,41120000
2024-06-03,HELI.CA,3.70,3.79,3.64,3.72,38990000
2024-06-04,HELI.CA,3.72,3.88,3.72,3.80,32640000
2024-06-05,HELI.CA,3.81,3.88,3.73,3.80,33240000
2024-06-06,HELI.CA,3.83,3.84,3.76,3.77,16200000
2024-06-09,HELI.CA,3.78,3.78,3.65,3.65,20420000
2024-06-10,HELI.CA,3.66,3.68,3.61,3.65,18400000
2024-06-11,HELI.CA,3.23,3.30,3.23,3.25,24900000
2024-06-12,HELI.CA,3.25,3.29,3.21,3.23,10300000
2024-06-13,HELI.CA,3.24,3.26,3.20,3.23,16240000
2024-06-23,HELI.CA,3.27,3.36,3.25,3.32,22060000
2024-06-24,HELI.CA,3.35,3.36,3.29,3.29,15470000
2024-06-25,HELI.CA,3.30,3.31,3.27,3.31,9910000
2024-06-26,HELI.CA,3.31,3.40,3.30,3.36,33350000
2024-06-27,HELI.CA,3.39,3.40,3.31,3.31,25400000
2024-07-01,HELI.CA,3.33,3.35,3.30,3.30,8190000
2024-07-02,HELI.CA,3.32,3.34,3.27,3.28,18870000
2024-07-03,HELI.CA,3.28,3.30,3.23,3.24,20430000
2024-07-04,HELI.CA,3.25,3.29,3.24,3.24,13230000
2024-07-07,HELI.CA,3.25,3.29,3.24,3.25,15540000
2024-07-08,HELI.CA,3.27,3.28,3.19,3.21,12190000
2024-07-09,HELI.CA,3.23,3.23,3.18,3.19,9280000
2024-07-10,HELI.CA,3.20,3.23,3.16,3.18,15360000
2024-07-14,HELI.CA,3.25,3.27,3.21,3.25,12980000
2024-07-15,HELI.CA,3.25,3.26,3.21,3.21,4430000
2024-07-16,HELI.CA,3.22,3.24,3.19,3.21,6580000
2024-07-17,HELI.CA,3.22,3.34,3.22,3.29,25770000
2024-07-18,HELI.CA,3.32,3.34,3.27,3.29,14850000
2024-07-21,HELI.CA,3.30,3.35,3.28,3.35,15410000
2024-07-22,HELI.CA,3.37,3.39,3.32,3.34,25890000
2024-07-23,HELI.CA,3.36,3.47,3.34,3.43,46050000
2024-07-24,HELI.CA,3.46,3.50,3.42,3.42,25100000
2024-07-28,HELI.CA,3.43,3.44,3.38,3.40,12330000
2024-07-29,HELI.CA,3.41,3.44,3.36,3.36,13620000
2024-07-30,HELI.CA,3.36,3.38,3.34,3.35,7640000
2024-07-31,HELI.CA,3.36,3.38,3.34,3.35,9780000
2024-08-01,HELI.CA,3.36,3.38,3.29,3.29,11640000
2024-08-04,HELI.CA,3.17,3.21,3.12,3.12,15810000
2024-08-05,HELI.CA,3.08,3.10,2.90,3.06,18160000
2024-08-06,HELI.CA,3.06,3.11,3.04,3.09,6540000
2024-08-07,HELI.CA,3.11,3.12,3.07,3.10,9810000
2024-08-08,HELI.CA,3.09,3.10,3.03,3.04,10920000
2024-08-11,HELI.CA,3.04,3.11,3.04,3.09,9470000
2024-08-12,HELI.CA,3.13,3.14,3.07,3.08,11920000
2024-08-13,HELI.CA,3.08,3.12,3.04,3.05,6550000
2024-08-14,HELI.CA,3.09,3.13,3.05,3.08,9340000
2024-08-15,HELI.CA,3.11,3.11,3.07,3.10,16700000
2024-08-18,HELI.CA,3.12,3.18,3.12,3.14,18600000
2024-08-19,HELI.CA,3.15,3.18,3.09,3.11,21500000
2024-08-20,HELI.CA,3.12,3.16,3.12,3.14,15000000
2024-08-21,HELI.CA,3.15,3.17,3.11,3.11,16530000
2024-08-22,HELI.CA,3.16,3.22,3.15,3.17,40550000
2024-08-25,HELI.CA,3.21,3.33,3.21,3.29,48540000
2024-08-26,HELI.CA,3.30,3.37,3.27,3.30,25960000
2024-08-27,HELI.CA,3.32,3.40,3.28,3.40,38840000
2024-08-28,HELI.CA,3.40,3.41,3.33,3.34,16940000
2024-08-29,HELI.CA,3.36,3.39,3.32,3.33,18510000
2024-09-01,HELI.CA,3.36,3.38,3.33,3.37,21930000
2024-09-02,HELI.CA,3.39,3.45,3.33,3.33,50130000
2024-09-03,HELI.CA,3.36,3.39,3.33,3.33,23780000
2024-09-04,HELI.CA,3.34,3.35,3.30,3.32,14460000
2024-09-05,HELI.CA,3.33,3.37,3.31,3.31,14830000
2024-09-08,HELI.CA,3.32,3.33,3.26,3.26,10850000
2024-09-09,HELI.CA,3.28,3.32,3.26,3.28,6450000
2024-09-10,HELI.CA,3.29,3.31,3.23,3.24,8710000
2024-09-11,HELI.CA,3.24,3.26,3.21,3.25,12610000
2024-09-12,HELI.CA,3.27,3.28,3.22,3.22,11390000
2024-09-16,HELI.CA,3.24,3.37,3.24,3.30,36100000
2024-09-17,HELI.CA,3.32,3.37,3.30,3.30,26950000
2024-09-18,HELI.CA,3.32,3.36,3.30,3.32,27400000
2024-09-19,HELI.CA,3.36,3.40,3.29,3.31,60180000
2024-09-22,HELI.CA,3.34,3.42,3.33,3.38,56600000
2024-09-23,HELI.CA,3.40,3.51,3.39,3.50,121210000
2024-09-24,HELI.CA,3.51,3.53,3.44,3.46,39980000
2024-09-25,HELI.CA,3.46,3.59,3.44,3.57,68140000
2024-09-26,HELI.CA,3.57,3.59,3.51,3.53,25430000
2024-09-29,HELI.CA,3.53,3.63,3.51,3.57,36500000
2024-09-30,HELI.CA,3.58,3.59,3.51,3.52,23910000
2024-10-01,HELI.CA,3.55,3.57,3.50,3.52,14780000
2024-10-02,HELI.CA,3.49,3.55,3.47,3.48,21310000
2024-10-03,HELI.CA,3.50,3.56,3.49,3.51,17430000
2024-10-07,HELI.CA,3.54,3.55,3.44,3.44,14260000
2024-10-08,HELI.CA,3.46,3.47,3.22,3.28,23260000
2024-10-09,HELI.CA,3.30,3.34,3.26,3.28,14580000
2024-10-10,HELI.CA,3.30,3.32,3.22,3.22,17500000
2024-10-13,HELI.CA,3.25,3.25,3.16,3.16,10140000
2024-10-14,HELI.CA,3.17,3.20,3.11,3.13,9780000
2024-10-15,HELI.CA,3.17,3.20,3.14,3.17,9230000
2024-10-16,HELI.CA,3.21,3.21,3.16,3.16,10890000
2024-10-17,HELI.CA,3.17,3.20,3.11,3.12,9970000
2024-10-20,HELI.CA,3.13,3.14,3.05,3.07,15110000
2024-10-21,HELI.CA,3.27,3.29,3.20,3.22,40550000
2024-10-22,HELI.CA,3.23,3.24,3.20,3.21,15740000
