Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,HRHO.CA,16.40,17.15,16.40,17.02,5160000
2024-01-03,HRHO.CA,17.10,17.20,16.84,16.85,3020000
2024-01-04,HRHO.CA,16.87,17.13,16.80,16.90,2830000
2024-01-08,HRHO.CA,16.93,17.44,16.90,17.26,8630000
2024-01-09,HRHO.CA,17.35,17.42,17.18,17.29,8630000
2024-01-10,HRHO.CA,17.35,17.53,17.10,17.10,4520000
2024-01-11,HRHO.CA,17.15,17.17,16.70,16.81,7400000
2024-01-14,HRHO.CA,16.86,17.13,16.86,17.08,3720000
2024-01-15,HRHO.CA,17.15,17.31,17.13,17.15,10930000
2024-01-16,HRHO.CA,17.29,17.54,17.11,17.40,11790000
2024-01-17,HRHO.CA,17.57,17.72,17.28,17.30,12330000
2024-01-18,HRHO.CA,17.31,17.50,17.12,17.34,4890000
2024-01-21,HRHO.CA,17.35,18.16,17.24,18.00,13350000
2024-01-22,HRHO.CA,18.05,18.29,17.87,17.94,9890000
2024-01-23,HRHO.CA,17.97,18.07,17.60,18.00,12270000
2024-01-24,HRHO.CA,18.10,18.25,17.92,18.00,8390000
2024-01-28,HRHO.CA,18.07,18.36,18.06,18.30,6980000
2024-01-29,HRHO.CA,18.43,18.70,18.10,18.30,13780000
2024-01-30,HRHO.CA,18.46,19.15,18.15,19.15,22920000
2024-01-31,HRHO.CA,19.40,19.40,17.81,18.10,13890000
2024-02-01,HRHO.CA,18.10,18.38,16.45,18.38,10110000
2024-02-04,HRHO.CA,18.38,18.26,17.10,18.20,5940000
2024-02-05,HRHO.CA,18.20,18.64,18.06,18.21,5620000
2024-02-06,HRHO.CA,18.21,19.15,18.45,18.80,18380000
2024-02-07,HRHO.CA,18.80,19.40,18.50,18.96,11460000
2024-02-08,HRHO.CA,18.96,19.15,18.77,19.01,3580000
2024-02-11,HRHO.CA,19.01,19.33,18.75,18.90,8350000
2024-02-12,HRHO.CA,18.90,19.38,18.40,19.02,9300000
2024-02-13,HRHO.CA,19.02,19.20,18.65,18.95,7650000
2024-02-14,HRHO.CA,18.95,19.76,19.01,19.70,18290000
2024-02-15,HRHO.CA,19.70,19.94,19.43,19.78,9360000
2024-02-18,HRHO.CA,19.78,20.45,19.81,20.30,8230000
2024-02-19,HRHO.CA,20.30,20.50,19.92,20.10,9280000
2024-02-20,HRHO.CA,20.10,20.44,19.95,20.20,17850000
2024-02-21,HRHO.CA,20.20,20.40,19.90,20.05,8160000
2024-02-22,HRHO.CA,20.05,20.20,19.90,20.05,5010000
2024-02-25,HRHO.CA,20.05,19.30,18.30,18.60,10690000
2024-02-26,HRHO.CA,18.60,19.07,18.05,18.60,11890000
2024-02-27,HRHO.CA,18.60,19.69,18.73,19.40,26700000
2024-02-28,HRHO.CA,19.40,19.69,18.95,19.00,3730000
2024-02-29,HRHO.CA,19.00,19.16,18.52,18.81,12070000
2024-03-03,HRHO.CA,18.81,19.20,18.52,19.01,5140000
2024-03-04,HRHO.CA,19.01,20.05,19.19,20.00,11480000
2024-03-05,HRHO.CA,20.00,21.00,20.00,20.70,18730000
2024-03-06,HRHO.CA,20.70,22.00,20.15,20.15,33540000
2024-03-07,HRHO.CA,20.15,21.30,19.60,21.30,13160000
2024-03-10,HRHO.CA,21.30,23.34,21.90,22.89,36870000
2024-03-11,HRHO.CA,22.89,23.97,22.80,23.00,17990000
2024-03-12,HRHO.CA,23.00,23.06,21.42,22.03,10620000
2024-03-13,HRHO.CA,22.03,22.30,20.40,20.53,17130000
2024-03-14,HRHO.CA,20.53,20.90,20.00,20.52,10660000
2024-03-17,HRHO.CA,20.52,20.95,19.81,19.83,6080000
2024-03-18,HRHO.CA,19.83,19.83,18.21,18.21,8560000
2024-03-19,HRHO.CA,18.21,18.45,17.06,17.72,12790000
2024-03-20,HRHO.CA,17.72,18.20,17.60,17.74,5570000
2024-03-21,HRHO.CA,17.74,18.63,17.81,18.50,4870000
2024-03-24,HRHO.CA,18.50,18.70,18.24,18.31,2690000
2024-03-25,HRHO.CA,18.31,18.97,18.13,18.90,6580000
2024-03-26,HRHO.CA,18.90,19.35,18.76,18.92,8940000
2024-03-27,HRHO.CA,18.92,18.90,17.80,18.10,12370000
2024-03-28,HRHO.CA,18.10,18.10,17.65,17.65,3060000
2024-03-31,HRHO.CA,17.65,17.79,17.00,17.35,3490000
2024-04-01,HRHO.CA,17.35,17.87,17.00,17.80,6560000
2024-04-02,HRHO.CA,17.80,18.00,17.31,17.32,6630000
2024-04-03,HRHO.CA,17.32,17.45,17.03,17.15,4620000
2024-04-04,HRHO.CA,17.15,17.59,17.19,17.36,5520000
2024-04-07,HRHO.CA,17.36,17.59,17.15,17.15,2130000
2024-04-08,HRHO.CA,17.15,17.30,17.00,17.21,4860000
2024-04-15,HRHO.CA,17.21,17.64,17.13,17.60,6180000
2024-04-16,HRHO.CA,17.60,17.86,17.52,17.76,6720000
2024-04-17,HRHO.CA,17.76,17.89,17.61,17.61,4200000
2024-04-18,HRHO.CA,17.61,18.01,16.50,17.10,5900000
2024-04-21,HRHO.CA,17.10,17.41,17.15,17.40,1360000
2024-04-22,HRHO.CA,17.40,17.66,17.12,17.12,4550000
2024-04-23,HRHO.CA,17.12,17.25,16.50,16.51,10420000
2024-04-24,HRHO.CA,16.51,16.65,15.65,16.23,4470000
2024-04-28,HRHO.CA,16.38,16.45,15.62,15.70,1910000
2024-04-29,HRHO.CA,15.71,15.98,15.60,15.94,2160000
2024-04-30,HRHO.CA,16.02,16.06,14.41,14.80,5530000
2024-05-01,HRHO.CA,15.00,15.15,14.35,15.14,3650000
2024-05-02,HRHO.CA,15.16,15.80,15.03,15.38,2020000
2024-05-07,HRHO.CA,15.35,15.89,15.00,15.89,1630000
2024-05-08,HRHO.CA,15.81,15.99,14.72,14.72,10570000
2024-05-09,HRHO.CA,14.96,15.08,14.75,14.76,3610000
2024-05-12,HRHO.CA,14.80,14.89,14.00,14.27,2860000
2024-05-13,HRHO.CA,14.27,14.27,13.87,14.12,7620000
2024-05-14,HRHO.CA,14.21,14.39,14.07,14.25,2330000
2024-05-15,HRHO.CA,14.25,14.57,14.01,14.38,4160000
2024-05-16,HRHO.CA,14.48,15.00,14.35,14.81,7360000
2024-05-19,HRHO.CA,14.95,15.68,14.89,15.55,4710000
2024-05-20,HRHO.CA,15.60,15.68,15.12,15.12,3870000
2024-05-21,HRHO.CA,15.26,15.60,15.05,15.37,3950000
2024-05-22,HRHO.CA,15.37,15.64,15.21,15.60,3510000
2024-05-23,HRHO.CA,15.72,16.56,15.72,16.12,10490000
2024-05-26,HRHO.CA,16.30,16.52,16.15,16.50,4500000
2024-05-27,HRHO.CA,16.59,16.59,16.20,16.25,2630000
2024-05-28,HRHO.CA,16.04,16.41,15.81,16.32,3510000
2024-05-29,HRHO.CA,16.32,16.40,15.96,15.96,4340000
2024-05-30,HRHO.CA,15.95,16.14,15.25,15.40,45640000
2024-06-02,HRHO.CA,15.49,16.50,15.40,16.25,19970000
2024-06-03,HRHO.CA,16.30,17.40,16.30,17.02,30890000
2024-06-04,HRHO.CA,17.11,17.97,16.91,17.60,23920000
2024-06-05,HRHO.CA,17.55,17.75,16.86,17.21,5880000
2024-06-06,HRHO.CA,17.30,17.44,16.80,17.00,5470000
2024-06-09,HRHO.CA,17.01,17.15,16.70,16.99,2390000
2024-06-10,HRHO.CA,16.91,17.20,16.80,17.14,2080000
2024-06-11,HRHO.CA,17.20,17.59,17.12,17.35,7140000
2024-06-12,HRHO.CA,17.40,17.69,17.10,17.10,5690000
2024-06-13,HRHO.CA,17.17,17.43,17.10,17.40,5300000
2024-06-23,HRHO.CA,17.55,18.65,17.44,18.49,9710000
2024-06-24,HRHO.CA,18.49,18.50,18.24,18.32,4080000
2024-06-25,HRHO.CA,18.35,18.50,17.80,18.46,6930000
2024-06-26,HRHO.CA,18.50,19.10,18.50,18.83,13150000
2024-06-27,HRHO.CA,19.00,20.00,18.93,19.70,13590000
2024-07-01,HRHO.CA,19.88,19.90,19.27,19.38,3850000
2024-07-02,HRHO.CA,19.34,19.51,19.20,19.40,2600000
2024-07-03,HRHO.CA,19.50,20.65,19.43,20.04,12610000
2024-07-04,HRHO.CA,20.15,20.49,19.97,20.09,5290000
2024-07-07,HRHO.CA,20.26,22.80,20.25,21.72,22670000
2024-07-08,HRHO.CA,21.95,22.58,21.50,21.66,11320000
2024-07-09,HRHO.CA,21.71,22.90,21.54,22.80,13240000
2024-07-10,HRHO.CA,22.85,23.10,21.99,22.40,17810000
2024-07-14,HRHO.CA,22.50,22.60,21.40,21.55,5010000
