Date,Ticker,Open,High,Low,Close,Volume
2024-01-03,IBCT.CA,1.39,1.39,1.39,1.54,5460
2024-01-04,IBCT.CA,1.39,1.39,1.39,1.54,7580
2024-01-15,IBCT.CA,1.39,1.39,1.39,1.54,14010
2024-01-16,IBCT.CA,1.39,1.39,1.39,1.54,2270
2024-01-17,IBCT.CA,1.39,1.39,1.39,1.54,1000
2024-01-18,IBCT.CA,1.39,1.39,1.39,1.54,2000
2024-01-30,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-01-31,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-01,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-04,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-05,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-06,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-07,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-08,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-11,IBCT.CA,1.39,1.54,1.54,1.54,0
2024-02-12,IBCT.CA,1.54,1.39,1.39,1.54,330
2024-02-13,IBCT.CA,1.54,1.39,1.39,1.54,1000
2024-02-14,IBCT.CA,1.54,1.39,1.39,1.54,1140
2024-02-15,IBCT.CA,1.54,1.39,1.39,1.54,1220
2024-02-18,IBCT.CA,1.54,1.39,1.39,1.54,8160
2024-02-19,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-02-20,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-02-21,IBCT.CA,1.54,1.39,1.39,1.54,5800
2024-02-22,IBCT.CA,1.54,1.39,1.39,1.54,21000
2024-02-25,IBCT.CA,1.54,1.39,1.39,1.54,0
2024-02-26,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-02-27,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-02-28,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-02-29,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-03-03,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-03-04,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-03-05,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-03-06,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-03-07,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-03-10,IBCT.CA,1.54,1.54,1.54,1.54,0
2024-03-11,IBCT.CA,1.54,1.54,1.54,1.54,0
