Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ICFC.CA,14.320,14.550,14.210,14.510,406430
2026-01-05,ICFC.CA,14.800,15.220,14.610,15.220,2610000
2026-01-06,ICFC.CA,15.280,15.550,15.150,15.440,1640000
2026-01-08,ICFC.CA,15.500,15.640,15.150,15.210,1100000
2026-01-11,ICFC.CA,15.340,15.390,14.870,14.890,957400
2026-01-12,ICFC.CA,14.910,15.650,14.750,15.650,2870000
2026-01-13,ICFC.CA,15.850,16.420,15.700,16.100,6220000
2026-01-14,ICFC.CA,16.180,16.250,15.170,15.390,2870000
2026-01-15,ICFC.CA,15.410,15.700,14.840,15.010,1590000
2026-01-18,ICFC.CA,15.100,15.650,15.090,15.650,749720
2026-01-19,ICFC.CA,15.940,15.940,15.500,15.740,1190000
2026-01-20,ICFC.CA,15.740,16.060,15.620,16.060,1740000
2026-01-21,ICFC.CA,16.110,16.320,15.810,16.110,1760000
2026-01-22,ICFC.CA,16.150,16.290,15.900,15.950,1060000
2026-01-25,ICFC.CA,16.040,16.300,15.850,15.910,1170000
2026-01-26,ICFC.CA,15.910,15.910,15.400,15.650,700240
2026-01-27,ICFC.CA,15.660,15.770,15.400,15.470,642980
2026-01-28,ICFC.CA,15.440,15.650,15.030,15.190,828890
2026-02-01,ICFC.CA,15.250,15.390,14.700,15.180,554380
2026-02-02,ICFC.CA,15.220,15.300,15.000,15.150,593100
2026-02-03,ICFC.CA,15.180,15.280,14.970,15.010,836850
2026-02-04,ICFC.CA,15.100,15.140,14.910,14.940,800820
2026-02-05,ICFC.CA,14.940,15.150,14.750,15.040,905320
2026-02-08,ICFC.CA,15.130,15.620,15.040,15.430,1100000
2026-02-09,ICFC.CA,15.480,15.610,15.250,15.280,616440
2026-02-10,ICFC.CA,15.310,16.960,15.190,16.960,2000000
2026-02-11,ICFC.CA,16.730,17.000,15.210,16.700,7030000
2026-02-12,ICFC.CA,16.860,16.900,16.110,16.480,3240000
2026-02-15,ICFC.CA,16.700,16.990,16.520,16.620,2710000
2026-02-16,ICFC.CA,16.700,16.800,16.210,16.340,1200000
2026-02-17,ICFC.CA,16.300,16.470,16.100,16.270,788180
2026-02-18,ICFC.CA,16.300,16.440,16.130,16.210,792640
2026-02-19,ICFC.CA,16.300,16.300,15.460,15.630,1170000
2026-02-22,ICFC.CA,15.600,15.790,15.010,15.090,1260000
2026-02-23,ICFC.CA,15.100,15.400,15.000,15.300,551870
2026-02-24,ICFC.CA,15.370,15.600,15.150,15.230,619950
2026-02-25,ICFC.CA,15.300,15.380,14.440,14.650,1190000
2026-02-26,ICFC.CA,14.750,14.940,14.550,14.720,432540
2026-03-01,ICFC.CA,14.000,14.440,13.500,14.270,589400
2026-03-02,ICFC.CA,14.200,14.680,14.120,14.580,522770
2026-03-03,ICFC.CA,14.600,15.500,14.380,15.500,1120000
2026-03-04,ICFC.CA,15.710,16.000,15.120,15.500,1590000
2026-03-05,ICFC.CA,15.690,15.700,15.110,15.450,473370
2026-03-08,ICFC.CA,15.850,16.690,15.620,16.650,2990000
2026-03-09,ICFC.CA,16.800,16.960,15.750,15.940,2250000
