Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ICID.CA,4.06,4.24,4.05,4.18,738630
2024-01-03,ICID.CA,4.18,4.25,4.15,4.23,336310
2024-01-04,ICID.CA,4.24,4.27,4.19,4.21,271010
2024-01-08,ICID.CA,4.21,4.25,4.10,4.17,401980
2024-01-09,ICID.CA,4.23,4.27,4.15,4.16,489940
2024-01-10,ICID.CA,4.22,4.25,4.11,4.20,1010000
2024-01-11,ICID.CA,4.30,4.90,4.30,4.44,3390000
2024-01-14,ICID.CA,4.64,4.74,4.52,4.54,1510000
2024-01-15,ICID.CA,4.55,4.63,4.46,4.48,897450
2024-01-16,ICID.CA,4.50,4.56,4.35,4.40,1200000
2024-01-17,ICID.CA,4.49,4.50,4.20,4.27,4110000
2024-01-18,ICID.CA,4.25,4.37,4.20,4.31,1530000
2024-01-21,ICID.CA,4.31,4.40,4.28,4.30,1100000
2024-01-22,ICID.CA,4.31,4.37,4.25,4.29,632220
2024-01-23,ICID.CA,4.35,4.35,4.22,4.27,486960
2024-01-24,ICID.CA,4.27,4.40,4.22,4.30,816530
2024-01-28,ICID.CA,4.31,4.40,4.28,4.29,558580
2024-01-29,ICID.CA,4.32,4.33,4.17,4.20,678090
2024-01-30,ICID.CA,4.21,4.29,4.14,4.16,802790
2024-01-31,ICID.CA,4.23,4.23,3.88,3.96,1020000
2024-02-01,ICID.CA,3.96,4.20,3.80,4.15,739700
2024-02-04,ICID.CA,4.15,4.14,4.04,4.09,201450
2024-02-05,ICID.CA,4.09,4.20,4.08,4.14,465230
2024-02-06,ICID.CA,4.14,4.21,4.07,4.09,586070
2024-02-07,ICID.CA,4.09,4.17,4.07,4.12,210650
2024-02-08,ICID.CA,4.12,4.15,4.03,4.09,253830
2024-02-11,ICID.CA,4.09,4.12,4.00,4.01,293050
2024-02-12,ICID.CA,4.01,4.10,3.90,4.02,309340
2024-02-13,ICID.CA,4.02,4.30,3.95,4.13,1020000
2024-02-14,ICID.CA,4.13,4.18,4.08,4.10,383710
2024-02-15,ICID.CA,4.10,4.15,4.04,4.06,518070
2024-02-18,ICID.CA,4.06,4.28,4.05,4.17,1130000
2024-02-19,ICID.CA,4.17,4.26,4.12,4.22,1820000
2024-02-20,ICID.CA,4.22,4.15,3.92,4.14,9800000
2024-02-21,ICID.CA,4.14,4.20,4.07,4.09,3110000
2024-02-22,ICID.CA,4.09,4.11,3.99,4.04,2680000
2024-02-25,ICID.CA,4.04,4.20,3.80,4.06,4130000
2024-02-26,ICID.CA,4.06,4.12,3.99,4.00,3640000
2024-02-27,ICID.CA,4.00,4.04,3.92,3.95,1680000
2024-02-28,ICID.CA,3.95,3.99,3.83,3.83,2470000
2024-02-29,ICID.CA,3.83,3.85,3.73,3.75,1570000
2024-03-03,ICID.CA,3.75,3.89,3.71,3.72,1940000
2024-03-04,ICID.CA,3.72,3.83,3.72,3.77,1640000
2024-03-05,ICID.CA,3.77,3.82,3.63,3.66,1320000
2024-03-06,ICID.CA,3.66,3.70,3.36,3.40,1210000
2024-03-07,ICID.CA,3.40,3.47,3.35,3.37,737440
2024-03-10,ICID.CA,3.37,3.48,3.37,3.41,1250000
