Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,IDRE.CA,54.12,54.12,54.12,56.96,850
2024-01-03,IDRE.CA,54.12,54.12,54.12,56.96,2260
2024-01-04,IDRE.CA,54.12,54.12,54.12,56.96,460
2024-01-08,IDRE.CA,54.12,54.64,54.12,56.96,3180
2024-01-09,IDRE.CA,54.20,54.20,54.12,56.96,960
2024-01-10,IDRE.CA,54.12,54.12,54.12,56.96,710
2024-01-11,IDRE.CA,54.12,54.12,54.12,56.96,2590
2024-01-14,IDRE.CA,54.12,54.12,54.12,56.96,3090
2024-01-15,IDRE.CA,54.12,54.13,54.12,54.12,8000
2024-01-16,IDRE.CA,54.00,54.00,51.42,51.48,11570
2024-01-17,IDRE.CA,51.28,51.28,48.91,49.32,12390
2024-01-18,IDRE.CA,49.32,50.19,46.90,47.74,7840
2024-01-21,IDRE.CA,48.15,50.00,47.21,47.74,1830
2024-01-22,IDRE.CA,48.98,48.98,47.00,47.76,7540
2024-01-23,IDRE.CA,48.75,48.75,45.38,45.38,28910
2024-01-24,IDRE.CA,45.99,46.98,43.12,43.26,29310
2024-01-28,IDRE.CA,44.01,45.42,41.10,41.16,58160
2024-01-29,IDRE.CA,41.85,41.88,39.11,39.11,44060
2024-01-30,IDRE.CA,38.00,38.85,37.16,37.77,9670
2024-01-31,IDRE.CA,38.50,38.99,35.89,35.98,29280
2024-02-01,IDRE.CA,35.98,35.89,34.19,34.55,11040
2024-02-04,IDRE.CA,34.55,36.25,33.10,34.06,12110
2024-02-05,IDRE.CA,34.06,34.64,32.52,33.09,17330
2024-02-06,IDRE.CA,33.09,34.73,31.44,31.44,197460
2024-02-07,IDRE.CA,31.44,32.79,29.87,29.87,340150
2024-02-08,IDRE.CA,29.87,30.75,28.38,28.38,566720
2024-02-11,IDRE.CA,28.38,28.83,26.97,26.99,527240
2024-02-12,IDRE.CA,26.99,28.33,25.91,28.33,315150
2024-02-13,IDRE.CA,28.33,29.09,26.92,26.99,546320
2024-02-14,IDRE.CA,26.99,27.19,25.65,25.65,636930
2024-02-15,IDRE.CA,25.65,26.26,25.20,25.75,294410
2024-02-18,IDRE.CA,25.75,25.72,24.47,25.54,328800
2024-02-19,IDRE.CA,25.54,25.50,24.27,24.92,174370
2024-02-20,IDRE.CA,24.92,25.49,24.63,25.12,113920
2024-02-21,IDRE.CA,25.12,25.39,24.50,25.03,136090
2024-02-22,IDRE.CA,25.03,25.25,24.75,25.06,100540
2024-02-25,IDRE.CA,25.06,24.98,23.81,23.89,149850
2024-02-26,IDRE.CA,23.89,24.75,23.30,24.40,45430
2024-02-27,IDRE.CA,24.40,24.33,23.72,23.85,47850
2024-02-28,IDRE.CA,23.85,23.97,22.66,22.75,109890
2024-02-29,IDRE.CA,22.75,23.80,21.72,23.40,68750
2024-03-03,IDRE.CA,23.40,23.99,22.71,23.49,42630
2024-03-04,IDRE.CA,23.49,24.20,23.40,23.89,58720
2024-03-05,IDRE.CA,23.89,24.34,23.65,23.70,40900
2024-03-06,IDRE.CA,23.70,23.97,22.85,23.01,51900
2024-03-07,IDRE.CA,23.01,23.01,22.40,22.66,26150
2024-03-10,IDRE.CA,22.66,23.47,22.60,22.82,25350
2024-03-11,IDRE.CA,22.82,23.20,22.60,22.69,50180
2024-03-12,IDRE.CA,22.69,22.98,22.15,22.26,31210
2024-03-13,IDRE.CA,22.26,22.80,21.35,21.74,35080
2024-03-14,IDRE.CA,21.74,21.70,21.26,21.40,19930
2024-03-17,IDRE.CA,21.40,22.00,20.50,21.12,44080
2024-03-18,IDRE.CA,21.12,21.39,20.07,20.13,60340
2024-03-19,IDRE.CA,20.13,20.00,19.13,19.33,86040
2024-03-20,IDRE.CA,19.33,19.75,18.75,19.22,20960
2024-03-21,IDRE.CA,19.22,19.98,18.60,19.82,28100
2024-03-24,IDRE.CA,19.82,20.00,19.63,19.77,38810
2024-03-25,IDRE.CA,19.77,19.89,19.06,19.15,38380
2024-03-26,IDRE.CA,19.15,19.73,19.15,19.15,14400
2024-03-27,IDRE.CA,19.15,19.95,19.01,19.35,16580
2024-03-28,IDRE.CA,19.35,20.31,19.11,20.31,140010
2024-03-31,IDRE.CA,20.31,21.32,20.40,21.32,156270
2024-04-01,IDRE.CA,21.32,22.38,20.91,22.36,156990
2024-04-02,IDRE.CA,22.36,22.99,21.33,22.08,110440
2024-04-03,IDRE.CA,22.08,22.26,20.98,21.04,84830
2024-04-04,IDRE.CA,21.04,22.09,21.00,21.78,76270
