Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,IFAP.CA,6.358,7.326,6.189,7.175,14170000
2024-01-03,IFAP.CA,7.272,8.337,7.116,7.587,16790000
2024-01-04,IFAP.CA,7.747,8.198,7.461,7.920,10520000
2024-01-08,IFAP.CA,8.080,8.408,7.789,7.891,10050000
2024-01-09,IFAP.CA,7.920,7.954,7.537,7.684,7020000
2024-01-10,IFAP.CA,7.705,7.743,7.474,7.520,3810000
2024-01-11,IFAP.CA,7.389,7.726,7.389,7.436,3800000
2024-01-14,IFAP.CA,7.495,7.566,7.242,7.314,4080000
2024-01-15,IFAP.CA,7.364,7.411,7.036,7.095,5650000
2024-01-16,IFAP.CA,7.200,7.571,7.137,7.263,9750000
2024-01-17,IFAP.CA,7.368,7.549,7.200,7.242,4980000
2024-01-18,IFAP.CA,7.339,7.432,7.179,7.331,5130000
2024-01-21,IFAP.CA,7.432,7.474,7.288,7.326,4080000
2024-01-22,IFAP.CA,7.411,7.891,7.326,7.705,14360000
2024-01-23,IFAP.CA,7.853,7.996,7.545,7.621,7490000
2024-01-24,IFAP.CA,7.701,7.777,7.549,7.642,4950000
2024-01-28,IFAP.CA,7.684,7.916,7.642,7.802,4530000
2024-01-29,IFAP.CA,7.920,7.933,7.491,7.541,5940000
2024-01-30,IFAP.CA,7.579,7.676,7.512,7.592,2580000
2024-01-31,IFAP.CA,7.667,7.667,6.741,6.880,3150000
2024-02-01,IFAP.CA,6.880,7.495,6.320,7.436,3250000
2024-02-04,IFAP.CA,7.436,7.432,7.040,7.069,2320000
2024-02-05,IFAP.CA,7.069,7.263,7.061,7.120,2000000
2024-02-06,IFAP.CA,7.120,7.221,6.783,6.834,1910000
2024-02-07,IFAP.CA,6.834,7.158,6.737,6.737,2580000
2024-02-08,IFAP.CA,6.737,7.398,6.741,7.187,5400000
2024-02-11,IFAP.CA,7.187,7.263,6.947,7.019,2180000
2024-02-12,IFAP.CA,7.019,7.246,6.737,7.032,3160000
2024-02-13,IFAP.CA,7.032,7.760,6.960,7.747,9860000
2024-02-14,IFAP.CA,7.747,7.785,7.385,7.579,2990000
2024-02-15,IFAP.CA,7.579,7.663,7.474,7.600,2980000
2024-02-18,IFAP.CA,7.600,7.705,7.389,7.432,1980000
2024-02-19,IFAP.CA,7.432,7.528,7.158,7.377,2720000
2024-02-20,IFAP.CA,7.377,7.495,7.200,7.242,1980000
2024-02-21,IFAP.CA,7.242,7.364,7.137,7.162,2700000
2024-02-22,IFAP.CA,7.162,7.309,7.158,7.242,1710000
2024-02-25,IFAP.CA,7.242,7.082,6.573,6.640,2640000
2024-02-26,IFAP.CA,6.640,6.905,6.573,6.733,2570000
2024-02-27,IFAP.CA,6.733,6.935,6.653,6.674,1930000
2024-02-28,IFAP.CA,6.674,6.813,6.404,6.737,2350000
2024-02-29,IFAP.CA,6.737,6.863,6.539,6.737,1070000
