Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,INEG.CA,0.194,0.205,0.191,0.194,41170000
2024-01-03,INEG.CA,0.194,0.201,0.183,0.194,34060000
2024-01-04,INEG.CA,0.195,0.195,0.185,0.188,15400000
2024-01-08,INEG.CA,0.187,0.191,0.185,0.187,13900000
2024-01-09,INEG.CA,0.187,0.198,0.187,0.188,41910000
2024-01-10,INEG.CA,0.190,0.191,0.181,0.186,20430000
2024-01-11,INEG.CA,0.186,0.189,0.182,0.183,18110000
2024-01-14,INEG.CA,0.184,0.185,0.182,0.184,11460000
2024-01-15,INEG.CA,0.185,0.186,0.182,0.186,10500000
2024-01-16,INEG.CA,0.186,0.191,0.184,0.191,22190000
2024-01-17,INEG.CA,0.191,0.194,0.186,0.186,13880000
2024-01-18,INEG.CA,0.188,0.188,0.184,0.188,6070000
2024-01-21,INEG.CA,0.190,0.190,0.185,0.185,6360000
2024-01-22,INEG.CA,0.187,0.188,0.183,0.184,7150000
2024-01-23,INEG.CA,0.187,0.187,0.181,0.182,7420000
2024-01-24,INEG.CA,0.181,0.184,0.181,0.181,9840000
2024-01-28,INEG.CA,0.183,0.190,0.181,0.186,17910000
2024-01-29,INEG.CA,0.187,0.188,0.181,0.182,7720000
2024-01-30,INEG.CA,0.184,0.184,0.181,0.181,8060000
2024-01-31,INEG.CA,0.182,0.182,0.163,0.163,17280000
2024-02-01,INEG.CA,0.163,0.163,0.147,0.162,10330000
2024-02-04,INEG.CA,0.162,0.163,0.155,0.157,7780000
2024-02-05,INEG.CA,0.157,0.173,0.161,0.170,13950000
2024-02-06,INEG.CA,0.170,0.170,0.163,0.164,9030000
2024-02-07,INEG.CA,0.164,0.166,0.162,0.163,2770000
2024-02-08,INEG.CA,0.163,0.164,0.161,0.163,2800000
2024-02-11,INEG.CA,0.163,0.167,0.161,0.163,6150000
2024-02-12,INEG.CA,0.163,0.164,0.158,0.163,4990000
2024-02-13,INEG.CA,0.163,0.165,0.161,0.162,5690000
2024-02-14,INEG.CA,0.162,0.170,0.163,0.168,7470000
2024-02-15,INEG.CA,0.168,0.170,0.165,0.166,7160000
2024-02-18,INEG.CA,0.166,0.169,0.164,0.167,7620000
2024-02-19,INEG.CA,0.167,0.176,0.164,0.175,14890000
2024-02-20,INEG.CA,0.175,0.192,0.173,0.192,40270000
2024-02-21,INEG.CA,0.192,0.198,0.184,0.185,25190000
2024-02-22,INEG.CA,0.185,0.195,0.183,0.186,14420000
2024-02-25,INEG.CA,0.186,0.179,0.168,0.171,15190000
2024-02-26,INEG.CA,0.171,0.170,0.160,0.163,7100000
2024-02-27,INEG.CA,0.163,0.167,0.160,0.163,5290000
2024-02-28,INEG.CA,0.163,0.163,0.152,0.156,6970000
2024-02-29,INEG.CA,0.156,0.160,0.152,0.158,2450000
2024-03-03,INEG.CA,0.158,0.162,0.155,0.156,4110000
2024-03-04,INEG.CA,0.156,0.160,0.157,0.159,1540000
2024-03-05,INEG.CA,0.159,0.170,0.160,0.163,8170000
2024-03-06,INEG.CA,0.163,0.163,0.147,0.156,5850000
2024-03-07,INEG.CA,0.156,0.159,0.149,0.156,2310000
2024-03-10,INEG.CA,0.156,0.158,0.153,0.156,3770000
2024-03-11,INEG.CA,0.156,0.158,0.151,0.153,2100000
2024-03-12,INEG.CA,0.153,0.154,0.146,0.149,3710000
2024-03-13,INEG.CA,0.149,0.149,0.141,0.143,3620000
2024-03-14,INEG.CA,0.143,0.146,0.140,0.143,2090000
2024-03-17,INEG.CA,0.143,0.149,0.142,0.147,2210000
2024-03-18,INEG.CA,0.147,0.156,0.142,0.144,4560000
2024-03-19,INEG.CA,0.144,0.146,0.136,0.138,3130000
2024-03-20,INEG.CA,0.138,0.145,0.139,0.138,846870
2024-03-21,INEG.CA,0.138,0.149,0.139,0.146,1450000
2024-03-24,INEG.CA,0.146,0.149,0.140,0.144,1610000
2024-03-25,INEG.CA,0.144,0.147,0.140,0.142,1980000
2024-03-26,INEG.CA,0.142,0.145,0.142,0.143,1120000
2024-03-27,INEG.CA,0.143,0.152,0.144,0.146,6950000
2024-03-28,INEG.CA,0.146,0.150,0.142,0.148,1940000
2024-03-31,INEG.CA,0.148,0.148,0.142,0.143,2110000
2024-04-01,INEG.CA,0.143,0.146,0.140,0.144,2600000
2024-04-02,INEG.CA,0.144,0.147,0.140,0.143,1170000
2024-04-03,INEG.CA,0.143,0.145,0.140,0.143,719040
2024-04-04,INEG.CA,0.143,0.144,0.141,0.143,797240
2024-04-07,INEG.CA,0.143,0.144,0.140,0.143,808910
2024-04-08,INEG.CA,0.143,0.143,0.140,0.143,718730
2024-04-15,INEG.CA,0.143,0.145,0.140,0.142,4140000
2024-04-16,INEG.CA,0.142,0.145,0.142,0.144,2730000
2024-04-17,INEG.CA,0.144,0.151,0.145,0.149,5520000
2024-04-18,INEG.CA,0.149,0.152,0.141,0.143,7970000
2024-04-21,INEG.CA,0.143,0.146,0.142,0.143,990550
2024-04-22,INEG.CA,0.143,0.147,0.142,0.143,1470000
2024-04-23,INEG.CA,0.143,0.143,0.134,0.138,3230000
2024-04-24,INEG.CA,0.138,0.136,0.128,0.130,2980000
2024-04-28,INEG.CA,0.132,0.132,0.125,0.126,1290000
2024-04-29,INEG.CA,0.125,0.128,0.122,0.125,1980000
2024-04-30,INEG.CA,0.128,0.131,0.125,0.125,3030000
2024-05-01,INEG.CA,0.125,0.126,0.121,0.125,1450000
2024-05-02,INEG.CA,0.125,0.128,0.125,0.125,1040000
2024-05-07,INEG.CA,0.127,0.128,0.124,0.125,1050000
2024-05-08,INEG.CA,0.127,0.132,0.127,0.128,3170000
2024-05-09,INEG.CA,0.128,0.128,0.125,0.126,1390000
2024-05-12,INEG.CA,0.127,0.129,0.125,0.127,1440000
2024-05-13,INEG.CA,0.126,0.126,0.118,0.119,2750000
2024-05-14,INEG.CA,0.121,0.122,0.117,0.119,3290000
2024-05-15,INEG.CA,0.119,0.127,0.117,0.125,3200000
2024-05-16,INEG.CA,0.126,0.132,0.125,0.126,3360000
2024-05-19,INEG.CA,0.126,0.130,0.126,0.128,2200000
2024-05-20,INEG.CA,0.128,0.133,0.128,0.128,2630000
2024-05-21,INEG.CA,0.128,0.132,0.126,0.130,2840000
2024-05-22,INEG.CA,0.129,0.129,0.126,0.128,1460000
2024-05-23,INEG.CA,0.127,0.130,0.127,0.128,422270
2024-05-26,INEG.CA,0.128,0.130,0.126,0.128,772380
