Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,INFI.CA,92.06,92.64,90.00,90.16,26500
2026-01-05,INFI.CA,90.16,91.43,88.93,89.86,75940
2026-01-06,INFI.CA,89.29,91.00,88.64,90.23,19690
2026-01-08,INFI.CA,90.93,91.21,88.94,89.21,55370
2026-01-11,INFI.CA,89.29,90.00,88.57,89.00,25460
2026-01-12,INFI.CA,88.66,90.21,88.66,88.76,37140
2026-01-13,INFI.CA,88.66,88.93,86.44,87.04,37800
2026-01-14,INFI.CA,87.04,87.04,82.36,83.95,59060
2026-01-15,INFI.CA,83.96,86.07,82.15,82.54,34040
2026-01-18,INFI.CA,84.29,84.29,81.61,81.71,24920
2026-01-19,INFI.CA,83.57,83.57,81.82,82.64,39250
2026-01-20,INFI.CA,83.56,87.86,82.71,86.75,127420
2026-01-21,INFI.CA,87.23,87.86,85.00,85.10,65890
2026-01-22,INFI.CA,85.14,87.64,84.68,84.97,64930
2026-01-25,INFI.CA,85.00,99.99,84.64,96.43,763750
2026-01-26,INFI.CA,96.41,96.41,91.89,93.57,227800
2026-01-27,INFI.CA,92.86,95.86,92.86,94.85,143960
2026-01-28,INFI.CA,94.86,94.93,90.77,91.81,72580
2026-02-01,INFI.CA,94.24,94.64,91.81,93.79,82230
2026-02-02,INFI.CA,95.00,99.14,95.00,95.70,262320
2026-02-03,INFI.CA,96.07,96.78,94.51,95.09,146230
2026-02-04,INFI.CA,96.24,96.24,94.89,95.00,100360
2026-02-05,INFI.CA,95.35,95.35,91.50,93.14,44210
2026-02-08,INFI.CA,93.57,95.17,92.86,93.11,54850
2026-02-09,INFI.CA,93.92,94.21,92.14,92.29,44100
2026-02-10,INFI.CA,93.21,97.00,92.16,93.30,177730
2026-02-11,INFI.CA,95.69,95.69,92.93,93.01,50430
2026-02-12,INFI.CA,93.76,95.36,93.01,93.27,90020
2026-02-15,INFI.CA,93.29,94.64,92.88,93.04,45810
2026-02-16,INFI.CA,93.50,93.54,91.54,91.74,48460
2026-02-17,INFI.CA,92.14,93.21,91.51,92.51,57130
2026-02-18,INFI.CA,91.50,92.97,91.05,91.88,58740
2026-02-19,INFI.CA,91.98,92.00,88.26,89.01,37820
2026-02-22,INFI.CA,89.99,91.00,85.82,86.05,23480
2026-02-23,INFI.CA,85.76,86.70,84.60,85.18,47680
2026-02-24,INFI.CA,85.55,86.43,84.60,84.78,17430
2026-02-25,INFI.CA,84.65,87.00,83.02,86.84,73510
2026-02-26,INFI.CA,86.84,87.90,86.00,87.44,33200
2026-03-01,INFI.CA,83.11,87.00,82.03,86.31,46040
2026-03-02,INFI.CA,85.12,87.30,85.12,86.22,18400
2026-03-03,INFI.CA,86.99,86.99,84.10,84.16,13910
2026-03-04,INFI.CA,84.20,85.97,84.20,85.14,11390
2026-03-05,INFI.CA,86.01,87.14,85.10,85.19,23820
2026-03-08,INFI.CA,85.93,85.93,84.75,84.93,10740
2026-03-09,INFI.CA,84.84,85.93,84.51,84.52,31780
2026-03-10,INFI.CA,85.00,87.14,85.00,86.40,21530
2026-03-11,INFI.CA,87.00,91.50,87.00,90.21,58700
2026-03-12,INFI.CA,90.77,91.00,88.41,89.45,18910
2026-03-15,INFI.CA,89.50,93.62,89.08,89.22,83260
2026-03-16,INFI.CA,89.30,91.25,87.02,88.16,22560
2026-03-17,INFI.CA,89.30,89.88,87.01,88.04,8350
2026-03-18,INFI.CA,87.61,89.00,87.61,88.11,10780
2026-03-24,INFI.CA,88.13,89.60,87.00,87.30,10810
2026-03-25,INFI.CA,88.00,88.45,86.36,86.67,22750
2026-03-26,INFI.CA,88.70,92.48,86.03,89.95,125280
2026-03-29,INFI.CA,90.35,91.59,88.00,88.40,42420
2026-03-30,INFI.CA,89.00,89.38,86.00,86.00,30490
2026-03-31,INFI.CA,86.50,87.68,85.01,85.38,35990
2026-04-01,INFI.CA,85.50,87.20,85.50,85.82,17870
2026-04-02,INFI.CA,85.83,87.48,85.00,86.04,35500
2026-04-05,INFI.CA,86.04,91.00,85.06,87.81,192920
2026-04-06,INFI.CA,87.05,91.00,87.00,88.00,156110
2026-04-07,INFI.CA,88.03,89.97,86.20,86.87,52510
2026-04-08,INFI.CA,87.06,91.49,87.06,87.82,125340
2026-04-09,INFI.CA,88.70,89.35,87.25,87.88,38260
2026-04-12,INFI.CA,87.82,87.88,87.88,87.88,38260
2026-04-14,INFI.CA,87.90,89.99,87.90,88.09,60070
2026-04-15,INFI.CA,88.03,88.98,87.00,87.56,63460
2026-04-16,INFI.CA,88.43,89.00,87.61,88.00,121830
2026-04-19,INFI.CA,88.69,89.35,87.54,87.83,64340
2026-04-20,INFI.CA,87.85,88.00,87.10,87.50,39260
2026-04-21,INFI.CA,88.20,90.97,87.60,88.72,176960
2026-04-22,INFI.CA,89.94,90.90,88.00,89.01,100510
2026-04-23,INFI.CA,89.79,89.80,88.50,88.60,49210
2026-04-26,INFI.CA,88.60,93.65,88.60,91.48,225010
2026-04-27,INFI.CA,91.50,92.99,91.10,91.86,83180
2026-04-28,INFI.CA,92.01,92.90,90.02,92.00,64800
2026-04-29,INFI.CA,96.02,101.00,94.51,96.99,629210
2026-04-30,INFI.CA,97.00,98.00,95.70,97.42,107190
2026-05-03,INFI.CA,100.00,101.99,98.22,99.50,294620
2026-05-04,INFI.CA,100.50,100.75,97.85,98.12,119600
2026-05-05,INFI.CA,98.20,106.75,98.20,102.94,294690
2026-05-06,INFI.CA,104.00,104.00,102.00,103.50,107850
2026-05-10,INFI.CA,105.03,106.75,103.25,103.55,175990
2026-05-11,INFI.CA,103.99,104.49,101.53,101.56,141560
2026-05-12,INFI.CA,102.00,102.65,101.06,101.30,61850
2026-05-13,INFI.CA,101.97,112.50,101.05,110.00,912150
2026-05-14,INFI.CA,109.80,109.87,104.50,106.00,276940
2026-05-17,INFI.CA,106.20,106.96,102.55,103.00,175050
2026-05-18,INFI.CA,103.10,103.90,100.05,100.98,120620
2026-05-19,INFI.CA,101.33,102.50,100.51,100.57,74430
