Date,Ticker,Open,High,Low,Close,Volume
5/01/2026,IRAX.CA,950,1055,1055,1055,0
12/01/2026,IRAX.CA,950.1,1099.99,600,1099.99,60
14/01/2026,IRAX.CA,950.1,1099.99,1099.99,1099.99,0
19/01/2026,IRAX.CA,999,1187,861,1187,10
21/01/2026,IRAX.CA,1165,1169,1165,1169,0
26/01/2026,IRAX.CA,1165,1169,1169,1169,0
28/01/2026,IRAX.CA,1098,1250,1098,1250,290
2/02/2026,IRAX.CA,1250,1250,1250,1250,10
4/02/2026,IRAX.CA,1250,1250,1250,1250,0
9/02/2026,IRAX.CA,1250,1250,1250,1250,110
11/02/2026,IRAX.CA,1250,1250,1250,1250,0
16/02/2026,IRAX.CA,1250,1250,1250,1250,30
18/02/2026,IRAX.CA,1250,1250,1250,1250,20
23/02/2026,IRAX.CA,1250,1250,1250,1250,0
25/02/2026,IRAX.CA,1250,1250,1250,1250,10
2/03/2026,IRAX.CA,1250,1250,1250,1250,0
4/03/2026,IRAX.CA,1250,1250,1250,1250,0
18/03/2026,IRAX.CA,1250,1250,1250,1250,0
25/03/2026,IRAX.CA,1250,1250,1250,1250,0
30/03/2026,IRAX.CA,1250,1250,1250,1250,0
1/04/2026,IRAX.CA,1250,1250,1250,1250,0
6/04/2026,IRAX.CA,1250,1250,1250,1250,0
8/04/2026,IRAX.CA,1250,1250,1250,1250,0
15/04/2026,IRAX.CA,1250,1250,1250,1250,0
20/04/2026,IRAX.CA,1250,1250,1250,1250,0
22/04/2026,IRAX.CA,1250,1250,1250,1250,0
27/04/2026,IRAX.CA,1250,1250,1250,1250,70
29/04/2026,IRAX.CA,1250,1250,1250,1250,0
4/05/2026,IRAX.CA,1250,1250,1250,1250,0
6/05/2026,IRAX.CA,1250,1250,1250,1250,10
11/05/2026,IRAX.CA,1250,1250,1250,1250,0
13/05/2026,IRAX.CA,1250,1250,1250,1250,0
18/05/2026,IRAX.CA,1250,1250,1250,1250,0
20/05/2026,IRAX.CA,1250,1250,1250,1250,10
25/05/2026,IRAX.CA,1250,1250,1250,1250,10
1/06/2026,IRAX.CA,1250,1250,1250,1250,10
3/06/2026,IRAX.CA,1250,1250,1250,1250,0
8/06/2026,IRAX.CA,1250,1250,1250,1250,0
10/06/2026,IRAX.CA,1250,1250,1250,1250,0
15/06/2026,IRAX.CA,1250,1250,1250,1250,0
17/06/2026,IRAX.CA,1250,1250,1250,1250,0
19/06/2026,IRAX.CA,1250,1250,1250,1250,0
22/06/2026,IRAX.CA,1250,1250,1250,1250,0
24/06/2026,IRAX.CA,1245,1245,1245,1245,0
8/01/2024,IRAX.CA,1250,1250,1250,1250,30
10/01/2024,IRAX.CA,1250.01,1250.01,1250,1250,60
15/01/2024,IRAX.CA,1250.01,1540,1250,1540,60
17/01/2024,IRAX.CA,1465,1480,1256.5,1256.5,10
22/01/2024,IRAX.CA,1250,1251,1250,1250.2,30
24/01/2024,IRAX.CA,1250.02,1300,1250.02,1300,10
29/01/2024,IRAX.CA,1300,1300,1300,1300,10
31/01/2024,IRAX.CA,1300,1300,1300,1300,0
5/02/2024,IRAX.CA,1300,1300,1300,1300,0
7/02/2024,IRAX.CA,1300,1300,1250,1250,10
12/02/2024,IRAX.CA,1250,1250.1,1250,1250.1,0
14/02/2024,IRAX.CA,1250.1,1251,1250,1250,20
19/02/2024,IRAX.CA,1250.1,1250,1250,1250,0
21/02/2024,IRAX.CA,1250,1251.1,1250,1250,510
26/02/2024,IRAX.CA,1250,1250,1250,1250,0
28/02/2024,IRAX.CA,1250,1250,1250,1250,0
4/03/2024,IRAX.CA,1250,1250.01,1250,1250,0
6/03/2024,IRAX.CA,1250,1250.01,1250,1250,10
11/03/2024,IRAX.CA,1250,1250,1250,1250,0
13/03/2024,IRAX.CA,1250,1250,1250,1250,110
18/03/2024,IRAX.CA,1250,1300,1250,1300,10
25/03/2024,IRAX.CA,1300,1250,1250,1250,10
27/03/2024,IRAX.CA,1250,1251,1250,1251,0
1/04/2024,IRAX.CA,1251,1300,1250,1300,20
3/04/2024,IRAX.CA,1300,1250,1250,1250,270
8/04/2024,IRAX.CA,1250,1250,1250,1250,20
15/04/2024,IRAX.CA,1250,1260,1260,1260,0
17/04/2024,IRAX.CA,1260,1300,1265,1265,0
22/04/2024,IRAX.CA,1265,1250.1,1250,1250,10
24/04/2024,IRAX.CA,1250,1255,1255,1255,0
29/04/2024,IRAX.CA,1250,1255,1255,1255,0
1/05/2024,IRAX.CA,1255,1255,1250,1250,60
8/05/2024,IRAX.CA,1252,1252,1250,1251,50
13/05/2024,IRAX.CA,1250,1251,1251,1251,0
15/05/2024,IRAX.CA,1470,1470,1460,1460,10
20/05/2024,IRAX.CA,1469,1470,1469,1470,0
22/05/2024,IRAX.CA,1466,1500,1460,1500,40
27/05/2024,IRAX.CA,1500,1605,1260.01,1600,40
29/05/2024,IRAX.CA,1690,1920,1400,1800,30
3/06/2024,IRAX.CA,1700,1700,1261,1400,70
5/06/2024,IRAX.CA,1282,1400,1250,1400,40
10/06/2024,IRAX.CA,1350,1350,1250,1345,40
12/06/2024,IRAX.CA,1300,1300,1253,1253,40
24/06/2024,IRAX.CA,1253,1253,1250,1252.52,30
26/06/2024,IRAX.CA,1253,1253,1253,1253,0
1/07/2024,IRAX.CA,1252,1260.01,1252,1260,10
3/07/2024,IRAX.CA,1252.1,1299.99,1250,1256.01,20
8/07/2024,IRAX.CA,1256,1265,1250,1265,80
10/07/2024,IRAX.CA,1265,1265,1255,1255,20
15/07/2024,IRAX.CA,1255,1255,1250,1250,30
17/07/2024,IRAX.CA,1255,1257,1255,1255,30
22/07/2024,IRAX.CA,1255,1255,1255,1255,10
24/07/2024,IRAX.CA,1255,1255,1250,1250,30
29/07/2024,IRAX.CA,1251,1255,1251,1255,20
5/08/2024,IRAX.CA,1250,1251,1250,1250,20
7/08/2024,IRAX.CA,1251,1251,1251,1251,0
12/08/2024,IRAX.CA,1251,1251,1251,1251,10
14/08/2024,IRAX.CA,1251,1251,1250,1250,70
19/08/2024,IRAX.CA,1250,1251,1250,1251,50
21/08/2024,IRAX.CA,1250,1251,1250,1250,30
26/08/2024,IRAX.CA,1250,1250,1250,1250,30
28/08/2024,IRAX.CA,1250.5,1250.5,1250.5,1250.5,20
2/09/2024,IRAX.CA,1250.5,1250.5,1250,1250,20
4/09/2024,IRAX.CA,1250,1250,1250,1250,50
9/09/2024,IRAX.CA,1250,1250,1250,1250,30
11/09/2024,IRAX.CA,1250,1250,1250,1250,10
16/09/2024,IRAX.CA,1250,1250,1250,1250,0
18/09/2024,IRAX.CA,1250,1250,1250,1250,10
23/09/2024,IRAX.CA,1250.01,1250.01,1250,1250,10
25/09/2024,IRAX.CA,1250,1250.01,1250,1250,0
30/09/2024,IRAX.CA,1250,1250.01,1250,1250.01,10
2/10/2024,IRAX.CA,1250,1250,1250,1250,10
7/10/2024,IRAX.CA,1250,1250,1250,1250,0
9/10/2024,IRAX.CA,1250,1250,1250,1250,30
14/10/2024,IRAX.CA,1250,1250,1250,1250,0
16/10/2024,IRAX.CA,1250,1250,1250,1250,250
21/10/2024,IRAX.CA,1250,1250,1250,1250,0
23/10/2024,IRAX.CA,1250,1250,1250,1250,20
28/10/2024,IRAX.CA,1250,1250,1250,1250,510
30/10/2024,IRAX.CA,1300,1460,1250,1250,10
4/11/2024,IRAX.CA,160,160,135.41,135.41,20
6/11/2024,IRAX.CA,1000,1000,1000,1000,0
11/11/2024,IRAX.CA,1001,1001,1000,1000,20
13/11/2024,IRAX.CA,1000,1001,1000,1001,10
18/11/2024,IRAX.CA,999.99,1000,930,1000,20
20/11/2024,IRAX.CA,1000,1000,1000,1000,10
25/11/2024,IRAX.CA,1000,1000,960.6,1000,20
27/11/2024,IRAX.CA,1000,1000,1000,1000,0
2/12/2024,IRAX.CA,1000,1000,1000,1000,0
4/12/2024,IRAX.CA,1000,1000,999,999,10
9/12/2024,IRAX.CA,955.05,955.05,550.36,550.36,10
11/12/2024,IRAX.CA,720,1250,720,1250,500
16/12/2024,IRAX.CA,1245,1299.98,1245,1299.98,420
18/12/2024,IRAX.CA,1249.99,1250,1249.99,1250,20
23/12/2024,IRAX.CA,1000.1,1000.1,932,932,10
25/12/2024,IRAX.CA,1250,1250.01,1250,1250.01,510
30/12/2024,IRAX.CA,1250,1250,1240,1250,570
6/01/2025,IRAX.CA,1250,1251,1250,1251,20
8/01/2025,IRAX.CA,1251,1251,1251,1251,0
15/01/2025,IRAX.CA,1250,1250,1250,1250,10
20/01/2025,IRAX.CA,1250,1250,1250,1250,0
22/01/2025,IRAX.CA,1250,1250,1250,1250,0
27/01/2025,IRAX.CA,1250,1250,1250,1250,10
29/01/2025,IRAX.CA,1250,1250,1250,1250,0
3/02/2025,IRAX.CA,1250,1250,1250,1250,20
5/02/2025,IRAX.CA,1251,1251,1251,1251,0
10/02/2025,IRAX.CA,1250,1251,1250,1250,20
12/02/2025,IRAX.CA,1250,1250,1250,1250,0
17/02/2025,IRAX.CA,1250,1250,1250,1250,20
19/02/2025,IRAX.CA,1251,1251,1250,1250,200
24/02/2025,IRAX.CA,1250,1251,1250,1251,10
26/02/2025,IRAX.CA,1250,1251,1250,1250,30
3/03/2025,IRAX.CA,1250,1250,1250,1250,20
5/03/2025,IRAX.CA,1250,1250,1250,1250,20
10/03/2025,IRAX.CA,1250,1350,1250,1250,30
12/03/2025,IRAX.CA,1250,1250,1250,1250,10
17/03/2025,IRAX.CA,1250,1250,1250,1250,10
19/03/2025,IRAX.CA,1250,1250,1250,1250,10
24/03/2025,IRAX.CA,1250,1250,1250,1250,60
26/03/2025,IRAX.CA,1250,1250,1250,1250,190
7/04/2025,IRAX.CA,1250,1250,1250,1250,10
9/04/2025,IRAX.CA,1400,1400,1250,1250,10
14/04/2025,IRAX.CA,1250,1250,1250,1250,30
16/04/2025,IRAX.CA,1250,1250,1250,1250,310
28/04/2025,IRAX.CA,1250,1250,1250,1250,0
30/04/2025,IRAX.CA,1250,1250.01,1250,1250,10
